,Concept_ID,kn,de
0,Auge::N,ಕಣ್ಣು,Auge
1,Ohr::N,ಕಿವಿ,Ohr
2,Nase::N,ಮೂಗು,Nase
3,Mund::N,ಬಾಯಿ,Mund
4,Zahn::N,ಹಲ್ಲು,Zahn
5,Zunge::N,ನಾಲಿಗೆ,Zunge
6,Lippe::N,ತುಟಿ,Lippe
7,Wange::N,ಗಲ್ಲ,Wange
8,Gesicht::N,ಮುಖ,Gesicht
9,Stirn::N,ಹಣೆ,Stirn
10,Haar::N,ಕೂದಲು,Haar
11,Schnurrbart::N,ಮೀಸೆ,Schnurrbart
12,Bart::N,ಗಡ್ಡ,Bart
13,Kinn::N,ಗದ್ದ,Kinn
14,Kiefer[Anatomie]::N,ದವಡೆ,Kiefer
15,Kehle::N,ಗಂಟಲು,Kehle
16,Hals::N,ಕೊರಳು,Hals
17,Genick::N,ಹಿಂಗತ್ತು,Genick
18,Kopf::N,ತಲೆ,Kopf
19,Rücken::N,ಬೆನ್ನು,Rücken
20,Bauch::N,ಹೊಟ್ಟೆ,Bauch
21,Nabel::N,ಹೊಕ್ಕುಳು,Nabel
22,Busen::N,ಸ್ತನ,Busen
23,Brust::N,ಎದೆ,Brust
24,Schulter::N,ಭುಜ,Schulter
25,Arm::N,ತೋಳು,Arm
26,Ellenbogen::N,ಮೊಣಕೈ,Ellenbogen
27,Hand::N,ಕೈ,Hand
28,Handfläche::N,ಅಂಗೈ,Handfläche
29,Finger::N,ಕೈಬೆರಳು,Finger
30,Fingernagel::N,ಉಗುರು,Fingernagel
31,Nagel[Anatomie]::N,ಉಗುರು,Nagel
32,Zeh::N,ಕಾಲ್ಬೆರಳು,Zeh
33,Fuß::N,ಪಾದ,Fuß
34,Ferse::N,ಹಿಮ್ಮಡಿ,Ferse
35,Knie::N,ಮಂಡಿ,Knie
36,Oberschenkel::N,ತೊಡೆ,Oberschenkel
37,Bein::N,ಕಾಲು,Bein
38,Körper::N,ದೇಹ,Körper
39,Haut::N,ಚರ್ಮ,Haut
40,Blut::N,ರಕ್ತ,Blut
41,Ader::N,ನರ,Ader
42,Sehne::N,ನರ,Sehne
43,Knochen::N,ಮೂಳೆ,Knochen
44,Gehirn::N,ಮಿದುಳು,Gehirn
45,Herz::N,ಹೃದಯ,Herz
46,Magen::N,ಉದರ,Magen
47,Leber::N,ಯಕೃತ್ತು,Leber
48,Atem::N,ಉಸಿರು,Atem
49,Hunger::N,ಹಸಿವು,Hunger
50,Träne::N,ಕಣ್ಣೀರು,Träne
51,Geschmack::N,ರುಚಿ,Geschmack
52,Geruch::N,ವಾಸನೆ,Geruch
53,Schlaf::N,ನಿದ್ರೆ,Schlaf
54,Traum::N,ಕನಸು,Traum
55,Himmel::N,ಬಾನು,Himmel
56,Sonne::N,ಸೂರ್ಯ,Sonne
57,Mond::N,ಚಂದ್ರ,Mond
58,Stern::N,ಚುಕ್ಕಿ,Stern
59,Luft::N,ವಾಯು,Luft
60,Wind::N,ಗಾಳಿ,Wind
61,Welle::N,ಅಲೆ,Welle
62,Wasser::N,ನೀರು,Wasser
63,Stein::N,ಕಲ್ಲು,Stein
64,Boden::N,ನೆಲ,Boden
65,Erde::N,ಭೂಮಿ,Erde
66,Staub::N,ದೂಳು,Staub
67,Rauch::N,ಹೊಗೆ,Rauch
68,Funke::N,ಕಿಡಿ,Funke
69,Feuer::N,ಬೆಂಕಿ,Feuer
70,Licht::N,ಬೆಳಕು,Licht
71,Schatten::N,ನೆರಳು,Schatten
72,Wetter::N,ಹವ,Wetter
73,Nebel::N,ಮಂಜು,Nebel
74,Wolke::N,ಮೋಡ,Wolke
75,Regen::N,ಮಳೆ,Regen
76,Schnee::N,ಹಿಮ,Schnee
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,Eis
78,Frost::N,ಮಂಜು,Frost
79,Kälte::N,ಹಿಮ,Kälte
80,Hitze::N,ಉಷ್ಣ,Hitze
81,Raureif::N,ಇಬ್ಬನಿ,Raureif
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,Regenbogen
83,Donner::N,ಗುಡುಗು,Donner
84,Strömung::N,ಪ್ರವಾಹ,Strömung
85,Tropfen::N,ತೊಟ್ಟು,Tropfen
86,Schaum::N,ನೊರೆ,Schaum
87,Schmutz::N,ಕಸ,Schmutz
88,See::N,ಸರೋವರ,See
89,Sumpf::N,ಜೌಗುಸ್ಥಳ,Sumpf
90,Moor::N,ಬಂಜರು ಭೂಮಿ,Moor
91,Wiese::N,ಹುಲ್ಲುಗಾವಲು,Wiese
92,Wald::N,ಕಾಡು,Wald
93,Hügel::N,ಗುಡ್ಡೆ,Hügel
94,Anhöhe::N,ದಿಬ್ಬ,Anhöhe
95,Berg::N,ಮಲೆ,Berg
96,Berg::N,ಪರ್ವತ,Berg
97,Gipfel::N,ಶೃಂಗ,Gipfel
98,Höhle::N,ಗುಹೆ,Höhle
99,Abhang::N,ಇಳಿಜಾರು,Abhang
100,Quelle::N,ಮೂಲ,Quelle
101,Bach::N,ತೊರೆ,Bach
102,Fluss::N,ನದಿ,Fluss
103,Ufer::N,ತೀರ,Ufer
104,Küste::N,ದಂಡೆ,Küste
105,Festland::N,ಭೂಮಿ,Festland
106,Meer::N,ಕಡಲು,Meer
107,Bucht::N,ಖಾರಿ,Bucht
108,Insel::N,ದ್ವೀಪ,Insel
109,Blume::N,ಸುಮ,Blume
110,Gras::N,ಹುಲ್ಲು,Gras
111,Wurzel::N,ಬೇರು,Wurzel
112,Baum::N,ಮರ,Baum
113,Stamm::N,ಕಾಂಡ,Stamm
114,Rinde::N,ತೂಗಟಿ,Rinde
115,Ast::N,ಶಾಖೆ,Ast
116,Zweig::N,ರೆಂಬೆ,Zweig
117,Blatt::N,ಎಲೆ,Blatt
118,Birke::N,ಬರ್ಚ್ ಮರ,Birke
119,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,Kiefer
120,Weide[Baum]::N,ವಿಲೋಮರ,Weide
121,Tanne::N,ಭದ್ರದಾರು,Tanne
122,Horn::N,ಕೊಂಬು,Horn
123,Feder::N,ಪುಕ್ಕ,Feder
124,Fell::N,ರೋಮ,Fell
125,Flügel::N,ರೆಕ್ಕೆ,Flügel
126,Klaue::N,ಪಂಜ,Klaue
127,Kralle::N,ಉಗುರು,Kralle
128,Schwanz::N,ಬಾಲ,Schwanz
129,Ei::N,ಮೊಟ್ಟೆ,Ei
130,Nest::N,ಗೂಡು,Nest
131,Bau::N,ಅಡಗುದಾಣ,Bau
132,Tier::N,ಪ್ರಾಣಿ,Tier
133,Herde::N,ಗುಂಪು,Herde
134,Kuh::N,ಹಸು,Kuh
135,Bulle::N,ಗೂಳಿ,Bulle
136,Pferd::N,ಕುದುರೆ,Pferd
137,Schaf::N,ಕುರಿ,Schaf
138,Schwein::N,ಹಂದಿ,Schwein
139,Hund::N,ನಾಯಿ,Hund
140,Katze::N,ಬೆಕ್ಕು,Katze
141,Bär::N,ಕರಡಿ,Bär
142,Eichhörnchen::N,ಉಡುತೆ,Eichhörnchen
143,Elch::N,ಕಡವೆ,Elch
144,Fuchs::N,ನರಿ,Fuchs
145,Hase::N,ಮೊಲ,Hase
146,Maus::N,ಇಲಿ,Maus
147,Wolf::N,ತೋಳ,Wolf
148,Vogel::N,ಪಕ್ಷಿ,Vogel
149,Schwarm::N,ಗುಂಪು,Schwarm
150,Huhn::N,ಚಿಕ್,Huhn
151,Hahn::N,ಹುಂಜ,Hahn
152,Gans::N,ವರಟೆ,Gans
153,Adler::N,ಗರುಡ,Adler
154,Ente::N,ಬಾತು,Ente
155,Eule::N,ಗೂಬೆ,Eule
156,Kranich::N,ಕೊಕ್ಕರ,Kranich
157,Krähe::N,ಕಾಗೆ,Krähe
158,Kuckuck::N,ಕೋಗಿಲೆ,Kuckuck
159,Schwan::N,ಹಂಸಪಕ್ಷಿ,Schwan
160,Fisch::N,ಮೀನು,Fisch
161,Barsch::N,ಪರ್ಚ್ ಮೀನು,Barsch
162,Hecht::N,ಪೈಕ್ ಮೀನು,Hecht
163,Schlange[Tier]::N,ಹಾವು,Schlange
164,Wurm::N,ಹುಳು,Wurm
165,Spinne::N,ಊರ್ಣನಾಭ,Spinne
166,Ameise::N,ಇರುವೆ,Ameise
167,Laus::N,ಹೇನು,Laus
168,Mücke::N,ಸೊಳ್ಳೆ,Mücke
169,Fliege::N,ನೊಣ,Fliege
170,Schmetterling::N,ಪತಂಗ,Schmetterling
171,Beere::N,ನಯವಣ್ಣು,Beere
172,Apfel::N,ಸೇಬು,Apfel
173,Pilz::N,ಅಣಬೆ,Pilz
174,Zwiebel::N,ನೀರುಳ್ಳಿ,Zwiebel
