,Concept_ID,en,kl
0,Auge::N,eye,isi
1,Ohr::N,ear,siut
2,Nase::N,nose,
3,Mund::N,mouth,paaq
4,Mund::N,mouth,qaneq
5,Zahn::N,tooth,kigut
6,Zunge::N,tongue,oqaq
7,Lippe::N,lip,qarloq
8,Wange::N,cheek,ersaq
9,Gesicht::N,face,kiinaq
10,Stirn::N,forehead,qaaq
11,Haar::N,hair,meqqoq
12,Schnurrbart::N,moustache,
13,Bart::N,beard,umik
14,Kinn::N,chin,talloq
15,Kiefer[Anatomie]::N,jaw,alleroq
16,Kehle::N,throat,malaq
17,Hals::N,neck,qungaseq
18,Genick::N,nape,pukusuk
19,Kopf::N,head,niaqoq
20,Rücken::N,back,qimerlut
21,Rücken::N,spine,qimerlut
22,Bauch::N,belly,naaq
23,Nabel::N,navel,qalaseq
24,Busen::N,bosom,iviangeq
25,Brust::N,chest,iviangeq
26,Brust::N,breast,iviangeq
27,Schulter::N,shoulder,ersik
28,Schulter::N,shoulder,assaqqoq
29,Arm::N,arm,taleq
30,Ellenbogen::N,elbow,ikusik
31,Hand::N,hand,assak
32,Handfläche::N,palm,itumak
33,Finger::N,finger,inuak
34,Fingernagel::N,fingernail,kikiak
35,Nagel[Anatomie]::N,nail,kukik
36,Zeh::N,toe,isigak
37,Fuß::N,foot,
38,Ferse::N,heel,kimmik
39,Knie::N,knee,seeqqoq
40,Oberschenkel::N,thigh,uppat
41,Oberschenkel::N,thigh,quttoraq
42,Bein::N,leg,isigak
43,Körper::N,body,timi
44,Haut::N,skin,mattak
45,Blut::N,blood,aak
46,Ader::N,vein,taqaq
47,Sehne::N,sinew,ujalu
48,Sehne::N,sinew,ujaloq
49,Knochen::N,bone,saanikut
50,Gehirn::N,brain,qarasaq
51,Herz::N,heart,uummat
52,Magen::N,stomach,aqajaroq
53,Leber::N,liver,tinguk
54,Atem::N,breath,anerneq
55,Hunger::N,hunger,kaanneq
56,Träne::N,tear,qia
57,Träne::N,tear,qiak
58,Geschmack::N,flavour,qilanaartuut
59,Geschmack::N,flavor,qilanaartuut
60,Geruch::N,odour,tipi
61,Geruch::N,odour,tipik
62,Geruch::N,odor,tipi
63,Geruch::N,odor,tipik
64,Schlaf::N,sleep,
65,Traum::N,dream,sinnattoq
66,Traum::N,dream,sinnattugaq
67,Himmel::N,sky,qilak
68,Sonne::N,sun,seqineq
69,Mond::N,moon,qaammat
70,Stern::N,star,ulloriaq
71,Luft::N,air,silaannaq
72,Wind::N,wind,anori
73,Wind::N,wind,anorsarik
74,Welle::N,wave,aalappaa
75,Wasser::N,water,imeq
76,Stein::N,stone,ujarak
77,Boden::N,soil,nateq
78,Boden::N,ground,nateq
79,Erde::N,earth,issoq
80,Staub::N,dust,pujualanerit
81,Staub::N,dust,pujoralanerit
82,Rauch::N,smoke,iseq
83,Rauch::N,smoke,pujoq
84,Funke::N,spark,illoorneq
85,Feuer::N,fire,inneq
86,Licht::N,light,qaamaneq
87,Schatten::N,shadow,tarraq
88,Wetter::N,weather,sila
89,Nebel::N,fog,pujoq
90,Wolke::N,cloud,nuia
91,Regen::N,rain,sialuk
92,Schnee::N,snow,aput
93,Eis::N,ice,siku
94,Frost::N,frost,issi
95,Frost::N,frost,issik
96,Kälte::N,chill,issi
97,Hitze::N,heat,kianneq
98,Hitze::N,heat,kiassuseq
99,Raureif::N,hoarfrost,kaneq
100,Regenbogen::N,rainbow,neriusaaq
101,Donner::N,thunder,kalleq
102,Strömung::N,current,
103,Tropfen::N,drop,kuseriarneq
104,Schaum::N,foam,qapuk
105,Schmutz::N,dirt,minguk
106,See::N,lake,taseq
107,Sumpf::N,swamp,maqulluk
108,Moor::N,moor,
109,Wiese::N,meadow,masarsuk
110,Wald::N,forest,
111,Hügel::N,hill,qattuneq
112,Hügel::N,hill,majuariaq
113,Hügel::N,hill,majorajaaq
114,Hügel::N,hill,qaqqannguaq
115,Anhöhe::N,elevation,
116,Berg::N,mountain,qaqqaq
117,Gipfel::N,summit,
