,Concept_ID,hr,is
0,Auge::N,oko,auga
1,Ohr::N,uho,eyra
2,Nase::N,nos,nef
3,Mund::N,usta,munnur
4,Zahn::N,zub,tönn
5,Zunge::N,jezik,tunga
6,Lippe::N,usna,vör
7,Wange::N,obraz,kinn
8,Wange::N,obraz,vangi
9,Gesicht::N,lice,andlit
10,Stirn::N,čelo,enni
11,Haar::N,kosa,hár
12,Schnurrbart::N,brkovi,yfirskegg
13,Bart::N,brada,skegg
14,Kinn::N,brada,haka
15,Kinn::N,podbradak,haka
16,Kiefer[Anatomie]::N,čeljust,kjálki
17,Kiefer[Anatomie]::N,čeljust,skoltur
18,Kehle::N,grlo,kverk
19,Hals::N,vrat,háls
20,Genick::N,zatiljak,hnakki
21,Kopf::N,glava,höfuð
22,Rücken::N,leđa,hryggur
23,Rücken::N,hrbat,hryggur
24,Bauch::N,trbuh,kviður
25,Nabel::N,pupak,nafli
26,Busen::N,sisa,barmur
27,Busen::N,njedra,barmur
28,Brust::N,prsa,brjóst
29,Schulter::N,rame,öxl
30,Schulter::N,pleći,öxl
31,Arm::N,ruka,armur
32,Ellenbogen::N,lakat,olnbogi
33,Hand::N,ruka,hönd
34,Handfläche::N,dlan,lófi
35,Finger::N,prst,fingur
36,Fingernagel::N,nokat,fingurnögl
37,Nagel[Anatomie]::N,nokat,nögl
38,Zeh::N,nozni prst,tá
39,Fuß::N,noga,fótur
40,Fuß::N,stopalo,fótur
41,Ferse::N,peta,hæll
42,Knie::N,koljeno,kné
43,Oberschenkel::N,bedro,læri
44,Bein::N,noga,fótleggur
45,Körper::N,tijelo,búkur
46,Körper::N,tijelo,líkami
47,Haut::N,put,húð
48,Haut::N,put,skinn
49,Haut::N,koža,húð
50,Haut::N,koža,skinn
51,Blut::N,krv,blóð
52,Ader::N,žila,æð
53,Sehne::N,tetiva,sin
54,Knochen::N,kost,bein
55,Herz::N,srce,hjarta
56,Magen::N,stomak,magi
57,Magen::N,želudac,magi
58,Leber::N,jetra,lifur
59,Atem::N,dah,andi
60,Atem::N,dah,andardráttur
61,Hunger::N,glad,hungur
62,Träne::N,suza,tár
63,Geschmack::N,ukus,smekkur
64,Geruch::N,njuh,lykt
65,Geruch::N,miris,lykt
66,Schlaf::N,san,svefn
67,Traum::N,san,draumur
68,Himmel::N,nebo,himinn
69,Sonne::N,sunce,sól
70,Mond::N,mjesec,tungl
71,Stern::N,zvijezda,stjarna
72,Luft::N,zrak,loft
73,Wind::N,vjetar,vindur
74,Welle::N,val,alda
75,Welle::N,val,bylgja
76,Welle::N,talas,alda
77,Welle::N,talas,bylgja
78,Wasser::N,voda,vatn
79,Stein::N,kamen,steinn
80,Boden::N,tlo,botn
81,Boden::N,zemlja,botn
82,Erde::N,zemlja,jörð
83,Staub::N,prah,ryk
84,Staub::N,prah,duft
85,Staub::N,prašina,ryk
86,Staub::N,prašina,duft
87,Rauch::N,dim,reykur
88,Funke::N,iskra,neisti
89,Funke::N,varnica,neisti
90,Feuer::N,vatra,eldur
91,Licht::N,svjetlo,ljós
92,Schatten::N,hlad,skuggi
93,Schatten::N,sjena,skuggi
94,Wetter::N,vrijeme,veður
95,Nebel::N,magla,þoka
96,Wolke::N,oblak,ský
97,Regen::N,kiša,regn
98,Schnee::N,snijeg,snjór
99,Eis::N,led,ís
100,Frost::N,mraz,frost
101,Kälte::N,studen,kuldi
102,Kälte::N,hladnoća,kuldi
103,Hitze::N,vrućina,hiti
104,Raureif::N,inje,hrím
105,Regenbogen::N,duga,regnbogi
106,Donner::N,grom,þruma
107,Donner::N,grmljavina,þruma
108,Strömung::N,struja,straumur
109,Strömung::N,strujanje,straumur
110,Tropfen::N,kap,dropi
111,Tropfen::N,kaplja,dropi
112,Schaum::N,pjena,froða
113,Schmutz::N,nečistoća,óhreinindi
114,Schmutz::N,prljavština,óhreinindi
115,See::N,jezero,stöðuvatn
