,Concept_ID,hy,ca
0,Auge::N,աչք,ull
1,Ohr::N,ականջ,orella
2,Nase::N,քիթ,nas
3,Mund::N,բերան,boca
4,Zahn::N,ատամ,dent
5,Zunge::N,լեզու,llēngua
6,Lippe::N,շրթունք,llavi
7,Wange::N,այտ,galta
8,Wange::N,թուշ,galta
9,Gesicht::N,դեմք,cara
10,Stirn::N,ճակատ,front
11,Haar::N,մազ,cabēll
12,Schnurrbart::N,բեղ,bigoti
13,Bart::N,մորուք,barba
14,Kinn::N,կզակ,mentó
15,Kinn::N,կզակ,barbeta
16,Kiefer[Anatomie]::N,ծնոտ,queix
17,Kiefer[Anatomie]::N,ծնոտ,mandíbula
18,Kehle::N,կոկորդ,gola
19,Kehle::N,կոկորդ,gorja
20,Hals::N,վիզ,coll
21,Hals::N,պարանոց,coll
22,Genick::N,ծոծրակ,nuca
23,Kopf::N,գլուխ,cap
24,Rücken::N,մեջք,esquena
25,Bauch::N,փոր,panxa
26,Bauch::N,որովայն,panxa
27,Nabel::N,պորտ,llombrígol
28,Busen::N,ծոց,pit
29,Busen::N,ծոց,mama
30,Brust::N,կուրծք,pit
31,Schulter::N,ուս,espatlla
32,Arm::N,թեւ,braç
33,Arm::N,բազուկ,braç
34,Ellenbogen::N,արմունկ,colze
35,Hand::N,ձեռք,mà
36,Handfläche::N,ափ,palma
37,Finger::N,մատ,dit
38,Fingernagel::N,եղունգ,ungla
39,Nagel[Anatomie]::N,եղունգ,ungla
40,Zeh::N,ոտքի մատ,dit del peu
41,Fuß::N,ոտք,peu
42,Ferse::N,գարշապար,taló
43,Knie::N,ծունկ,genoll
44,Oberschenkel::N,ազդր,cuixa
45,Bein::N,ոտք,cama
46,Körper::N,մարմին,cos
47,Haut::N,մաշկ,pell
48,Blut::N,արյուն,sang
49,Ader::N,երակ,vena
50,Sehne::N,ջիղ,tendó
51,Sehne::N,ձգտան,tendó
52,Knochen::N,ոսկոր,os
53,Gehirn::N,խելք,cervell
54,Herz::N,սիրտ,cor
55,Magen::N,ստամոքս,estómac
56,Leber::N,լյարդ,fetge
57,Atem::N,շունչ,alè
58,Atem::N,շունչ,hàlit
59,Hunger::N,քաղց,fam
60,Hunger::N,քաղց,gana
61,Träne::N,արտասուք,llàgrima
62,Geschmack::N,համ,gust
63,Geschmack::N,համ,sabor
64,Geschmack::N,բուրմունք,gust
65,Geschmack::N,բուրմունք,sabor
66,Geruch::N,հոտ,olor
67,Geruch::N,բուրում,olor
68,Schlaf::N,քուն,son
69,Traum::N,երազ,somni
70,Himmel::N,երկինք,celm
71,Sonne::N,արեւ,sol
72,Mond::N,լուսին,lluna
73,Stern::N,աստղ,estel
74,Stern::N,աստղ,estrella
75,Luft::N,օդ,aire
76,Wind::N,քամի,vent
77,Welle::N,ալիք,ona
78,Wasser::N,ջուր,āigua
79,Stein::N,քար,pedra
80,Boden::N,գետին,sòl
81,Erde::N,հող,terra
82,Staub::N,փոշի,pols
83,Rauch::N,ծուխ,fum
84,Funke::N,կայծ,guspira
85,Funke::N,կայծ,centella
86,Feuer::N,կրակ,foc
87,Feuer::N,հրդեհ,foc
88,Licht::N,լույս,llum
89,Schatten::N,ստվեր,ombra
90,Wetter::N,եղանակ,temps
91,Nebel::N,մեգ,boira
92,Nebel::N,մառախուղ,boira
93,Wolke::N,ամպ,núvol
94,Regen::N,անձրև,pluja
95,Schnee::N,ձյուն,neu
96,Eis::N,սառույց,gel
97,Eis::N,սառույց,glaç
98,Frost::N,սառնամանիք,glaçada
99,Kälte::N,դող,fred
100,Hitze::N,շոգ,calor
