,Concept_ID,ko,tt
0,Auge::N,눈,күз
1,Ohr::N,귀,колак
2,Nase::N,코,борын
3,Mund::N,입,авыз
4,Mund::N,입,тамак
5,Zahn::N,이,теш
6,Zunge::N,혀,тел
7,Lippe::N,입술,ирен
8,Wange::N,뺨,яңак
9,Gesicht::N,얼굴,йөз
10,Stirn::N,이마,маңгай
11,Haar::N,털,чәч
12,Schnurrbart::N,윗수몀,мыек
13,Schnurrbart::N,코밑수염,мыек
14,Bart::N,수엄,сакал
15,Kinn::N,아래턱,ияк
16,Kiefer[Anatomie]::N,턱,казналык
17,Kehle::N,인후,тамак
18,Hals::N,목,бугаз
19,Genick::N,먹덜이,җилкә
20,Kopf::N,머리,баш
21,Rücken::N,든,сырт
22,Bauch::N,배,корсак
23,Nabel::N,배꼽,кендек
24,Busen::N,가슴속,түш
25,Brust::N,가슴,имчәк
26,Brust::N,가슴,күкрәк
27,Schulter::N,어깨,иңбаш
28,Schulter::N,어깨,кулбаш
29,Arm::N,팔,кул
30,Ellenbogen::N,팔쿰치,терсәк
31,Hand::N,손,кул
32,Handfläche::N,손바닥,уч
33,Finger::N,속가락,бармак
34,Fingernagel::N,손톱,тырнак
35,Nagel[Anatomie]::N,손톱,тырнак
36,Zeh::N,발가락,бармак
37,Fuß::N,발,табан
38,Ferse::N,발꿈치,үкчә
39,Knie::N,무릎,тез
40,Oberschenkel::N,허벅다리,бот
41,Bein::N,다리,аяк
42,Körper::N,구간,тән
43,Körper::N,구간,җисем
44,Haut::N,살갗,тире
45,Blut::N,피,кан
46,Ader::N,정맥,тамыр
47,Sehne::N,현,сеңер
48,Knochen::N,뼈,сөяк
49,Gehirn::N,뇌,ми
50,Gehirn::N,뇌수,ми
51,Herz::N,염통,йөрәк
52,Magen::N,위,ашказаны
53,Leber::N,간,бавыр
54,Atem::N,기식,сулыш
55,Hunger::N,공복,ачлык
56,Träne::N,눈물,яшь
57,Geschmack::N,기호,тәм
58,Geschmack::N,기호,зәвык
59,Geruch::N,냄새,ис
60,Schlaf::N,수면,йокы
61,Traum::N,쿰,төш
62,Himmel::N,하늘,күк
63,Sonne::N,해,кояш
64,Mond::N,달,ай
65,Stern::N,별,йолдыз
66,Luft::N,동준,һава
67,Luft::N,가스채,һава
68,Wind::N,바람,җил
69,Welle::N,물결,дулкын
70,Wasser::N,물,су
71,Stein::N,돌,таш
72,Boden::N,바닥,туфрак
73,Erde::N,흙,җир
74,Staub::N,먼지,тузан
75,Rauch::N,연기,төтен
76,Funke::N,불티,очкын
77,Feuer::N,불,ут
78,Licht::N,불,якты
79,Schatten::N,어스레함,күләгә
80,Wetter::N,기상,һава
81,Nebel::N,안개,томан
82,Wolke::N,구름,болыт
83,Regen::N,비,яңгыр
84,Schnee::N,눈,кар
85,Eis::N,얼음,боз
86,Frost::N,혹한,суык
87,Frost::N,혹한,салкын
88,Kälte::N,추위,суык
89,Kälte::N,추위,салкын
90,Kälte::N,차가움,суык
91,Kälte::N,차가움,салкын
