,Concept_ID,ce,no
0,Auge::N,бӏаьрг,øye
1,Ohr::N,лерг,øre
2,Nase::N,мара,nese
3,Mund::N,бага,munn
4,Zahn::N,церг,tann
5,Zunge::N,мотт,tunge
6,Lippe::N,балда,leppe
7,Wange::N,бесни,kinn
8,Gesicht::N,юьхь,fjes
9,Gesicht::N,юьхь,ansikt
10,Stirn::N,хьаж,panne
11,Haar::N,мас,hår
12,Schnurrbart::N,мекх,bart
13,Bart::N,маж,skjegg
14,Kinn::N,чӏениг,hake
15,Kiefer[Anatomie]::N,мочхал,kjeve
16,Kehle::N,къамкъарг,strupe
17,Hals::N,ворта,hals
18,Genick::N,кӏесаркӏаг,nakke
19,Kopf::N,корта,hode
20,Rücken::N,букъ,rygg
21,Bauch::N,кийра,buk
22,Bauch::N,кийра,mage
23,Nabel::N,цӏонга,navle
24,Busen::N,зударийн накха,barm
25,Brust::N,накха,bryst
26,Schulter::N,белш,skulder
27,Arm::N,пхьарс,arm
28,Ellenbogen::N,пхьаьрсан гола,albue
29,Hand::N,куьг,hånd
30,Handfläche::N,кераюкъ,håndflate
31,Finger::N,пӏелг,finger
32,Fingernagel::N,мӏара,fingernegl
33,Nagel[Anatomie]::N,мӏара,negl
34,Zeh::N,кога пӏелг,tå
35,Fuß::N,ког,fot
36,Ferse::N,кӏажа,hæl
37,Knie::N,гола,kne
38,Oberschenkel::N,варе,lår
39,Bein::N,ког,bein
40,Körper::N,хӏума,kropp
41,Körper::N,хӏума,legeme
42,Haut::N,чкъор,hud
43,Haut::N,чкъор,skinn
44,Blut::N,цӏий,blod
45,Ader::N,пха,åre
46,Sehne::N,хьорзам,sene
47,Knochen::N,даьӏахк,bein
48,Knochen::N,даьӏахк,knokkel
49,Gehirn::N,хье,hjerne
50,Herz::N,дог,hjerte
51,Magen::N,зорх,mage
52,Leber::N,доӏах,lever
53,Atem::N,садеӏар,pust
54,Hunger::N,мацалла,sult
55,Träne::N,бӏаьрхи,tåre
56,Geschmack::N,чам,smak
57,Geruch::N,хьожа,lukt
58,Schlaf::N,наб,søvn
59,Traum::N,гӏан,drøm
60,Himmel::N,стигал,himmel
61,Sonne::N,малх,sol
62,Mond::N,бутт,måne
63,Stern::N,седа,stjerne
64,Luft::N,xӏаваъ,luft
65,Wind::N,мох,vind
66,Welle::N,тулгӏе,bølge
67,Wasser::N,хи,vann
68,Stein::N,тӏулг,stein
69,Boden::N,цӏенкъа,bakke
70,Erde::N,латта,jord
71,Staub::N,чан,støv
72,Rauch::N,кӏур,røyk
73,Funke::N,суй,gnist
74,Feuer::N,цӏе,ild
75,Licht::N,серло,lys
76,Schatten::N,ӏиндагӏ,skygge
77,Wetter::N,хенан хӏоттам,vær
78,Nebel::N,дохк,tåke
79,Wolke::N,марха,sky
80,Regen::N,догӏа,regn
81,Schnee::N,ло,snø
82,Eis::N,ша,is
83,Frost::N,шело,frost
84,Kälte::N,шело,kulde
85,Hitze::N,йовхо,hete
86,Raureif::N,йис,rimfrost
87,Regenbogen::N,стелаӏад,regnbue
88,Donner::N,ткъес,torden
89,Strömung::N,дӏаэхар,strømning
90,Strömung::N,дӏасалелар,strømning
91,Tropfen::N,тӏадам,dråpe
92,Schaum::N,чопа,skum
93,Schmutz::N,хатт,søl
94,Schmutz::N,хатт,skitt
95,See::N,ӏам,sjø
96,Sumpf::N,уьшал,sump
97,Sumpf::N,уьшал,myrlende
98,Moor::N,уьшал,myr
99,Moor::N,уьшал,myrhei
100,Wiese::N,бай,eng
101,Wald::N,хьун,skog
102,Hügel::N,гу,haug
103,Hügel::N,гу,bakke
104,Hügel::N,шу,haug
105,Hügel::N,шу,bakke
106,Hügel::N,барз,haug
107,Hügel::N,барз,bakke
108,Anhöhe::N,акъари,haug
109,Anhöhe::N,акъари,bakke
110,Berg::N,лам,berg
111,Berg::N,лам,fjell
112,Gipfel::N,бохь,topp
113,Höhle::N,хьех,hule
114,Abhang::N,басе,li
115,Abhang::N,басе,skråning
116,Quelle::N,шовда,kilde
117,Bach::N,татол,bekk
118,Fluss::N,хи,elv
119,Ufer::N,хийист,bredd
120,Küste::N,йист,kyst
121,Festland::N,латта,fastland
122,Meer::N,xӏорд,hav
123,Bucht::N,чож,bukt
124,Insel::N,гӏайре,øy
125,Blume::N,зезаг,blomst
126,Gras::N,буц,gress
127,Wurzel::N,орам,rot
128,Baum::N,дитт,tre
129,Stamm::N,гӏад,stamme
130,Stamm::N,тайпа,stamme
131,Rinde::N,кевстиг,bark
132,Ast::N,га,gren
133,Zweig::N,га,kvist
134,Blatt::N,гӏа,blad
135,Birke::N,дакх,bjørk
136,Kiefer[Baum]::N,бага,furu
137,Weide[Baum]::N,дак,selje
138,Weide[Baum]::N,дак,piletre
139,Tanne::N,база,gran
140,Horn::N,маӏа,horn
141,Feder::N,пелаг,fjær
142,Fell::N,цӏока,skinn
143,Flügel::N,тӏам,vinge
144,Klaue::N,мӏара,klauv
145,Kralle::N,тlод,klo
146,Schwanz::N,цӏога,hale
147,Ei::N,xӏoa,egg
148,Nest::N,бен,rede
149,Bau::N,lуьрг,hi
150,Tier::N,дийнат,dyr
151,Herde::N,жа,flokk
152,Kuh::N,етт,ku
153,Bulle::N,сту,tyr
154,Pferd::N,говр,hest
155,Schaf::N,жий,får
156,Schaf::N,уьстагӏ,får
157,Schwein::N,хьакха,gris
158,Hund::N,жӏаьла,hund
159,Katze::N,цициг,katt
160,Bär::N,ча,bjørn
161,Eichhörnchen::N,тарсал,ekorn
162,Elch::N,сай,elg
163,Fuchs::N,цхьогал,rev
164,Hase::N,пхьагал,hare
165,Maus::N,дахка,mus
166,Wolf::N,борз,ulv
167,Wolf::N,борз,varg
168,Vogel::N,олхазар,fugl
169,Huhn::N,котам,høne
170,Hahn::N,нӏаьна,hane
171,Hahn::N,боргӏал,hane
172,Gans::N,гӏаз,gås
173,Adler::N,aьрзу,ørn
174,Ente::N,бад,and
175,Eule::N,бухӏа,ugle
176,Kranich::N,гӏаргӏули,trane
177,Krähe::N,къиг,kråke
178,Kuckuck::N,aттйокх,gjøk
179,Schwan::N,гӏургӏаз,svane
180,Fisch::N,чӏара,fisk
181,Barsch::N,окунь,abbor
182,Hecht::N,гӏазкхийн чӏара,gjedde
183,Schlange[Tier]::N,лаьхьа,orm
184,Schlange[Tier]::N,лаьхьа,slange
185,Wurm::N,нӏаьна,orm
186,Wurm::N,нӏаьна,mark
187,Spinne::N,гезг,edderkopp
188,Ameise::N,зингат,maur
189,Laus::N,меза,lus
190,Laus::N,гӏениг,lus
191,Mücke::N,чуьрк,mygg
192,Fliege::N,моза,flue
193,Schmetterling::N,полла,sommerfugl
194,Beere::N,цӏазам,bær
195,Apfel::N,ӏаж,eple
196,Pilz::N,жӏаьлин нускал,sopp
197,Zwiebel::N,xох,løk
