,Concept_ID,be,sq
0,Auge::N,вока,sy
1,Ohr::N,вуха,vesh
2,Nase::N,нос,hundë
3,Mund::N,рот,gojë
4,Zahn::N,зуб,dhëmb
5,Zunge::N,язык,gjuhë
6,Lippe::N,губа,buzë
7,Wange::N,шчака,faqe
8,Wange::N,шчака,mollëz
9,Gesicht::N,твар,fytyrë
10,Stirn::N,лоб,ballë
11,Haar::N,волас,flokë
12,Haar::N,валасы,flokë
13,Schnurrbart::N,вус,mustaqe
14,Schnurrbart::N,вусы,mustaqe
15,Bart::N,барада,mjekër
16,Kinn::N,падбародак,mjekër
17,Kiefer[Anatomie]::N,сківіца,nofull
18,Kehle::N,горла,fyt
19,Kehle::N,горла,grykë
20,Hals::N,шыя,qafë
21,Genick::N,патыліца,arrëz
22,Kopf::N,галава,kokë
23,Rücken::N,спіна,kurriz
24,Bauch::N,жывот,bark
25,Nabel::N,пупок,kërthizë
26,Busen::N,грудзі,gji
27,Brust::N,грудзі,gjoks
28,Brust::N,грудзі,kraharor
29,Schulter::N,плячо,sup
30,Schulter::N,плячо,krah
31,Arm::N,рука,krah
32,Ellenbogen::N,локаць,bërryl
33,Hand::N,кісць,dorë
34,Handfläche::N,далонь,pëllëmbë
35,Finger::N,палец,gisht
36,Fingernagel::N,ногаць,thua
37,Nagel[Anatomie]::N,ногаць,thua
38,Zeh::N,палец,gisht i këmbës
39,Fuß::N,нага,këmbë
40,Ferse::N,пята,thembër
41,Ferse::N,пятка,thembër
42,Knie::N,калена,gju
43,Oberschenkel::N,бядро,kofshë
44,Oberschenkel::N,сцягно,kofshë
45,Bein::N,нага,këmbë
46,Körper::N,цела,trup
47,Haut::N,скура,lëkurë
48,Blut::N,кроў,gjak
49,Ader::N,вена,venë
50,Ader::N,сасуд,venë
51,Sehne::N,жыла,dell
52,Sehne::N,цеціва,dell
53,Sehne::N,сухажылле,dell
54,Knochen::N,косць,asht
55,Knochen::N,косць,kockë
56,Gehirn::N,мозг,tru
57,Herz::N,сэрца,zemër
58,Magen::N,страўнік,stomak
59,Leber::N,печань,mëlçi
60,Atem::N,дыханне,frymë
61,Hunger::N,голад,uri
62,Träne::N,сляза,lot
63,Geschmack::N,смак,shije
64,Geruch::N,пах,erë
65,Schlaf::N,сон,gjumë
66,Traum::N,сон,ëndërr
67,Himmel::N,неба,qiell
68,Sonne::N,сонца,diell
69,Mond::N,месяц,hënë
70,Stern::N,зорка,yll
71,Luft::N,паветра,ajër
72,Wind::N,вецер,erë
73,Welle::N,хваля,valë
74,Welle::N,хваля,dallgë
75,Wasser::N,вада,ujë
76,Stein::N,камень,gur
77,Boden::N,глеба,tokë
78,Boden::N,глеба,truall
79,Erde::N,зямля,dhe
