,Concept_ID,udm,lv
0,Auge::N,син,син
1,Auge::N,син,acs
2,Ohr::N,пель,пель
3,Ohr::N,пель,auss
4,Nase::N,ныр,ныр
5,Nase::N,ныр,deguns
6,Mund::N,ым,вом
7,Mund::N,ым,mute
8,Zahn::N,пинь,пинь
9,Zahn::N,пинь,zobs
10,Zunge::N,кыл,кыв
11,Zunge::N,кыл,mēle
12,Lippe::N,ымдур,вом дор
13,Lippe::N,ымдур,lūpa
14,Wange::N,бам,бан
15,Wange::N,бам,vaigs
16,Gesicht::N,ымныр,чужӧм
17,Gesicht::N,ымныр,seja
18,Gesicht::N,ымныр,ģīmis
19,Stirn::N,кымес,плеш
20,Stirn::N,кымес,кымӧс
21,Stirn::N,кымес,piere
22,Haar::N,йырси,си
23,Haar::N,йырси,юрси
24,Haar::N,йырси,mats
25,Schnurrbart::N,мыйык,ус
26,Schnurrbart::N,мыйык,пыртсим
27,Schnurrbart::N,мыйык,ūsas
28,Bart::N,туш,тош
29,Bart::N,туш,bārda
30,Kinn::N,ангес,тшӧка
31,Kinn::N,ангес,zods
32,Kinn::N,ангес,smakrs
33,Kiefer[Anatomie]::N,ан,черлы
34,Kiefer[Anatomie]::N,ан,алака лы
35,Kiefer[Anatomie]::N,ан,вомкӧтш лы
36,Kiefer[Anatomie]::N,ан,žoklis
37,Kiefer[Anatomie]::N,анлы,черлы
38,Kiefer[Anatomie]::N,анлы,алака лы
39,Kiefer[Anatomie]::N,анлы,вомкӧтш лы
40,Kiefer[Anatomie]::N,анлы,žoklis
41,Kehle::N,гульым,голя
42,Kehle::N,гульым,rīkle
43,Hals::N,чырты,сьылі
44,Hals::N,чырты,kakls
45,Genick::N,йырбер,юрбӧр
46,Genick::N,йырбер,балябӧж
47,Genick::N,йырбер,sprands
48,Kopf::N,йыр,юр
49,Kopf::N,йыр,galva
50,Rücken::N,мыш,мыш
51,Rücken::N,мыш,mugura
52,Bauch::N,кӧт,рушку
53,Bauch::N,кӧт,vēders
54,Nabel::N,гогы,гӧг
55,Nabel::N,гогы,naba
56,Busen::N,ноны,морӧс
57,Busen::N,ноны,krūts
58,Brust::N,мӧля,морӧс
59,Brust::N,мӧля,krūts
60,Schulter::N,пельпум,пельпом
61,Schulter::N,пельпум,plecs
62,Arm::N,суй,ки
63,Arm::N,суй,roka
64,Arm::N,суй,delms
65,Ellenbogen::N,гырпум,гырддза
66,Ellenbogen::N,гырпум,elkonis
67,Hand::N,ки,ки
68,Hand::N,ки,roka
69,Hand::N,ки,plauksta
70,Handfläche::N,ки пыдэс,ки пыдӧс
71,Handfläche::N,ки пыдэс,delna
72,Handfläche::N,ки пыдэс,plauksta
73,Handfläche::N,кырым пыдэс,ки пыдӧс
74,Handfläche::N,кырым пыдэс,delna
75,Handfläche::N,кырым пыдэс,plauksta
76,Finger::N,чиньы,чунь
77,Finger::N,чиньы,pirksts
78,Fingernagel::N,гижы,гыж
79,Fingernagel::N,гижы,nags
80,Fingernagel::N,гиждӥнь,гыж
81,Fingernagel::N,гиждӥнь,nags
82,Nagel[Anatomie]::N,гижы,гыж
83,Nagel[Anatomie]::N,гижы,nags
84,Zeh::N,пыдчиньы,кок чунь
85,Zeh::N,пыдчиньы,pirksts
86,Fuß::N,пыд,кок
87,Fuß::N,пыд,kāja
88,Ferse::N,пыдбер,кокбӧр
89,Ferse::N,пыдбер,papēdis
90,Knie::N,пыдес,пидзӧс
91,Knie::N,пыдес,celis
92,Oberschenkel::N,макес,лядьвей
93,Oberschenkel::N,макес,бек
94,Oberschenkel::N,макес,ciska
95,Oberschenkel::N,макес,augšstilbs
96,Bein::N,пыд,кок
97,Bein::N,пыд,kāja
98,Körper::N,мугор,туша
99,Körper::N,мугор,вывтыр
100,Körper::N,мугор,miesa
101,Körper::N,мугор,ķermenis
102,Körper::N,вылтыр,туша
103,Körper::N,вылтыр,вывтыр
104,Körper::N,вылтыр,miesa
105,Körper::N,вылтыр,ķermenis
106,Haut::N,ку,ку
107,Haut::N,ку,āda
108,Blut::N,вир,вир
109,Blut::N,вир,asins
110,Ader::N,вирсэр,сӧн
111,Ader::N,вирсэр,asinsvads
112,Sehne::N,вуж,вез
113,Sehne::N,вуж,dzīsla
114,Knochen::N,лы,лы
115,Knochen::N,лы,kauls
116,Gehirn::N,вим,вем
117,Gehirn::N,вим,smadzenes
118,Herz::N,сюлэм,сьӧлӧм
119,Herz::N,сюлэм,sirds
120,Magen::N,ӝуш,кынӧм
121,Magen::N,ӝуш,kuņģis
122,Leber::N,мус,мус
123,Leber::N,мус,aknas
124,Atem::N,лул,лов
125,Atem::N,лул,elpa
126,Atem::N,шокан,лов
127,Atem::N,шокан,elpa
128,Hunger::N,кӧтсюман,тшыг
129,Hunger::N,кӧтсюман,bads
130,Hunger::N,кӧтсюман,izsalkums
131,Träne::N,синкыли,синва
132,Träne::N,синкыли,asara
133,Geschmack::N,шӧм,кӧр
134,Geschmack::N,шӧм,чӧсмӧс
135,Geschmack::N,шӧм,garša
136,Geruch::N,зын,зын
137,Geruch::N,зын,дук
138,Geruch::N,зын,smaka
139,Schlaf::N,вӧт,узьӧм
140,Schlaf::N,вӧт,miegs
141,Traum::N,уйвӧт,вӧт
142,Traum::N,уйвӧт,вӧтасьӧм
143,Traum::N,уйвӧт,sapnis
144,Himmel::N,ин,енэж
145,Himmel::N,ин,debess
146,Sonne::N,шунды,шонді
147,Sonne::N,шунды,saule
148,Mond::N,толэзь,тӧлысь
149,Mond::N,толэзь,mēness
150,Stern::N,кизили,кодзув
151,Stern::N,кизили,zvaigzne
152,Luft::N,омыр,сынӧд
153,Luft::N,омыр,gaiss
154,Wind::N,тӧл,тӧв
155,Wind::N,тӧл,vējš
156,Welle::N,тулкым,гы
157,Welle::N,тулкым,vilnis
158,Wasser::N,ву,ва
159,Wasser::N,ву,ūdens
160,Stein::N,из,из
161,Stein::N,из,akmens
162,Boden::N,музъем,му
163,Boden::N,музъем,augsne
