,Concept_ID,bn,ta
0,Auge::N,চক্ষু,கண்
1,Ohr::N,কর্ণ,காது
2,Nase::N,নাক,மூக்கு
3,Mund::N,মুখ,வாய்
4,Zahn::N,দাঁত,பல்
5,Zunge::N,জিহবা,நாக்கு
6,Lippe::N,অধর,உதடு
7,Wange::N,গণ্ড,கன்னம்
8,Gesicht::N,মুখমণ্ডল,முகம்
9,Stirn::N,কপাল,முன்னெற்றி
10,Haar::N,চুল,முடி
11,Schnurrbart::N,গোঁফ,மீசை
12,Bart::N,শ্মশ্রু,தாடி
13,Kinn::N,চিবুক,கீழதாடை
14,Kiefer[Anatomie]::N,চোয়াল,தாடை
15,Kehle::N,কণ্ঠ,தொண்டை
16,Hals::N,গল,கழுத்து
17,Genick::N,ঘাড়,கழுத்து
18,Kopf::N,মাথা,தலை
19,Rücken::N,পৃষ্ঠ,முதுகு
20,Bauch::N,উদর,வயிறு
21,Nabel::N,নাভি,தொப்புள்
22,Busen::N,স্তন,மார்பகம்
23,Brust::N,বুক, மார்பு
24,Schulter::N,স্কন্ধ,தோள்பட்டை
25,Arm::N,বাহু,கரம்
26,Ellenbogen::N,কনুই,முழங்கை
27,Hand::N,হাত,கை
28,Handfläche::N,করতল,உள்ளங்கை
29,Finger::N,আঙ্গুল,விரல்
30,Fingernagel::N,হাতের নখ,விரல் நகம்
31,Nagel[Anatomie]::N,নখ,நகம்
32,Zeh::N,আঙ্গুল,கால்விரல்
33,Fuß::N,পা,கால்
34,Ferse::N,গোড়ালি,குதிகால்
35,Knie::N,হাঁটু,முழங்கால்
36,Oberschenkel::N,ঊরু,தொடை
37,Bein::N,পা,கால்
38,Körper::N,দেহ,உடல்
39,Haut::N,ত্বক,சருமம்
40,Blut::N,রক্ত,இரத்தம்
41,Ader::N,শিরা,நாளம்
42,Sehne::N,কণ্ডরা,தசைநார்
43,Knochen::N,অস্থি,எலுமபு
44,Gehirn::N,মস্তিষ্ক,மூனை
45,Herz::N,হৃৎপিণ্ড,இதயம
46,Magen::N,পাকস্থলী,வயிறு
47,Leber::N,যকৃৎ,கல்லீரல்
48,Atem::N,শ্বাস,மூச்சு
49,Hunger::N,ক্ষুধা,பசி
50,Träne::N,অশ্রু,கண்ணீர்
51,Geschmack::N,স্বাদ,நறுமணம்
52,Geruch::N,গন্ধ,துர்நாற்றம்
53,Schlaf::N,ঘুম,தூக்கம்
54,Traum::N,স্বপ্ন,கனவு
55,Himmel::N,আকাশ,வானம்
56,Sonne::N,সূর্য,சூரியன்
57,Mond::N,চন্দ্র,சந்திரன்
58,Stern::N,নক্ষত্র,நட்சத்திரம்
59,Luft::N,বায়ু,காறறு
60,Wind::N,বাতাস,காற்று
61,Welle::N,ঢেউ,அலை
62,Welle::N,তরঙ্গ,அலை
63,Wasser::N,জল,நீர்
64,Stein::N,ঢিল,கல்
65,Stein::N,প্রস্তর,கல்
66,Boden::N,ভূতল,தரை
67,Erde::N,ভূমি,மண்
68,Staub::N,ধুলা,தூசி
69,Rauch::N,ধোঁয়া,புகை
70,Funke::N,স্ফুলিঙ্গ,தீப்பொறி
71,Feuer::N,অগ্নি,தீ
72,Licht::N,আলো,வெளிச்சம்
73,Schatten::N,ছায়া,நிழல்
74,Wetter::N,আবহাওয়া,வானிலை
75,Nebel::N,কুহেলিকা,பனிமூட்டம்
76,Wolke::N,মেঘ,மேகம்
77,Regen::N,বৃষ্টি,மழை
78,Schnee::N,তুষার,உறைபனி
79,Eis::N,বরফ,பனிக்கட்டி
80,Frost::N,তুষার,உறைபனி
81,Kälte::N,শৈত্য,குளிர்ந்த
82,Hitze::N,তাপ,சூடு
83,Raureif::N,তুহিন,உறைபனி வெண்திரை
84,Regenbogen::N,রামধনু,வானவில்
85,Donner::N,বজ্রধ্বনি,இடி
86,Strömung::N,স্রোত,நீரோட்டம்
87,Tropfen::N,ফোঁটা,துளி
88,Schaum::N,ফেনা,நுரை
89,Schmutz::N,ধুলা,அழுக்கு
90,See::N,হ্রদ,ஏரி
91,Sumpf::N,জলা,சதுப்பு நிலம்
92,Moor::N,মাঠ,முட்புதற்காடு
93,Wiese::N,তৃণভূমি,பசும் புல்தரை
94,Wald::N,বন,காடு
95,Hügel::N,পাহাড়,குன்று
96,Anhöhe::N,টিলা,பதுக்கை
97,Berg::N,পর্বত,மலை
98,Gipfel::N,শীর্ষ,உச்சி மாநாடு
99,Höhle::N,গুহা,குகை
100,Abhang::N,ঢাল,சரிவு
101,Quelle::N,উৎস,மூலம்
102,Bach::N,ক্ষুদ্র নদী,ஓடை
103,Fluss::N,নদী,ஆறு
104,Ufer::N,উপকূল,நீர்க்கரை
105,Küste::N,তীর,கடற்கரை
106,Festland::N,ভূমি,நிலம்
107,Meer::N,সমুদ্র,கடல்
108,Bucht::N,উপসাগর,சிறுகுடா
109,Insel::N,দ্বীপ,தீவு
110,Blume::N,ফুল,பூ
111,Gras::N,ঘাস,புல்தரை
112,Wurzel::N,শিকড়,வேர்
113,Baum::N,গাছ,மரம்
114,Stamm::N,স্কন্ধ,அடிமரம்
115,Rinde::N,বল্কল,பட்டை
116,Rinde::N,বল্কল,மரப்பட்டை
117,Ast::N,শাখা,கினை
118,Zweig::N,ডাল,குச்சி
119,Blatt::N,পর্ণ,இலை
120,Birke::N,ভুর্জ,பிர்ச் மரம்
121,Kiefer[Baum]::N,পাইন গাছ,தேவதாரு மரம்
122,Weide[Baum]::N,উইলো,மர வகைகளுள் ஒன்று
123,Tanne::N,দেবদারূ গাছ,சாதிக்கய்
124,Horn::N,শিং,கொம்பு
125,Feder::N,পালক,இறகு
126,Fell::N,রোম,மென்முடி
127,Flügel::N,ডানা,இறக்கை
128,Klaue::N,নখর,நகம்
129,Kralle::N,নখর,நகம்
130,Schwanz::N,লেজ,வால்
131,Ei::N,ডিম,முட்டை
132,Nest::N,কুলায়,கூடு
133,Bau::N,ডেরা,குகை
134,Tier::N,জন্তু,விலங்கு
135,Herde::N,ঝাঁক,கூட்டம்
136,Kuh::N,গোরু,பசு
137,Bulle::N,বৃষ,காளை
138,Pferd::N,ঘোড়া,குதிரை
139,Schaf::N,ভেড়া,செம்மறிஆடு
140,Schwein::N,শূকর,பன்றி
141,Hund::N,কুকুর,நாய்
142,Katze::N,বেড়াল,பூனை
143,Bär::N,ভল্লুক,கரடி
144,Eichhörnchen::N,কাঠবিড়াল,அணில்
145,Elch::N,হরিণবিশেষ,கடம்பை
146,Fuchs::N,পাঁতিশিয়াল,நரி
147,Hase::N,শশক,முயல்
148,Maus::N,নেংটি ইঁদুর,எலி
149,Wolf::N,নেকড়ে,ஓநாய்
150,Vogel::N,পক্ষী,பறவை
151,Schwarm::N,ঝাঁক,தொகுதி
152,Huhn::N,মোরগ,கோழிக்குஞசு
153,Hahn::N,কুক্কুট,சேவல்
154,Gans::N,হংসী,பெண் வாத்து
155,Adler::N,ইগল,பருநது
156,Ente::N,হংসী,வாத்து
157,Eule::N,পেচক,ஆந்தை
158,Kranich::N,সারস,நாரை
159,Krähe::N,কাক,காகம்
160,Kuckuck::N,কোকিল,குயில்
161,Schwan::N,মরাল,அன்னம்
162,Fisch::N,মাছ,மீன்
163,Barsch::N,মৎন্যবিশেষ,பேர்ச்
164,Hecht::N,বানমাছ,கோலாச்சி மீன்
165,Schlange[Tier]::N,সর্প,பாம்பு
166,Wurm::N,কীট,புழு
167,Spinne::N,মাকড়সা,சிலந்தி
168,Ameise::N,পিপীলিকা,எறும்பு
169,Laus::N,উকুন,பேன்
170,Mücke::N,মশা,கொசுவினப்பூச்சி
171,Fliege::N,মাছি,ஈ
172,Schmetterling::N,প্রজাপতি,வண்ணத்துப்பூச்சி
173,Beere::N,বেরি,சதைப்பழம்
174,Apfel::N,আপেল,ஆப்பிள பழம்
175,Pilz::N,ছত্রক,காளான்
176,Zwiebel::N,পিয়াজ,வெங்காயம்
177,Saat::N,বীজ,விதை
178,Korn::N,শস্য,தானியம்
179,Heu::N,খড়,வைக்கோல்
180,Schale::N,খোসা,தோல்
181,Grube::N,গর্ত,குழி
182,Falle::N,ফাঁদ,பொறி
