,Concept_ID,te,pl
0,Auge::N,కన్ను,oko
1,Ohr::N,చెవి,ucho
2,Nase::N,ముక్కు,nos
3,Mund::N,నోరు,usta
4,Zahn::N,పల్లు,ząb
5,Zunge::N,నాలుక,język
6,Lippe::N,పెదవి,warga
7,Wange::N,చెంప,policzek
8,Gesicht::N,ముఖము,twarz
9,Stirn::N,నుదురు,czoło
10,Haar::N,వెండ్రుక,włos
11,Haar::N,వెండ్రుక,włosy
12,Schnurrbart::N,మీసము,wąsy
13,Bart::N,గడ్డము,broda
14,Kinn::N,గడ్డము,podbródek
15,Kiefer[Anatomie]::N,దౌడ,czeluść
16,Kehle::N,గొంతు,gardło
17,Hals::N,మెడ,szyja
18,Genick::N,మూపు,kark
19,Kopf::N,తల,głowa
20,Rücken::N,వెన్ను,plecy
21,Rücken::N,వెన్ను,grzbiet
22,Bauch::N,కడుపు,brzuch
23,Nabel::N,బొడ్డు,pępek
24,Busen::N,స్తనము,biust
25,Brust::N,ఱొమ్ము,pierś
26,Schulter::N,భుజము,bark
27,Schulter::N,భుజము,ramię
28,Arm::N,చేయి,ręka
29,Arm::N,చేయి,ramię
30,Ellenbogen::N,మోచేయి,łokieć
31,Hand::N,చేయి,dłoń
32,Handfläche::N,అరచేయు,dłoń
33,Finger::N,చేతిప్రేలు,palec
34,Fingernagel::N,గోరు,paznokieć
35,Nagel[Anatomie]::N,గోరు,paznokieć
36,Zeh::N,కాలిప్రేలు,palec
37,Fuß::N,అడుగు,stopa
38,Ferse::N,మడమ,pięta
39,Knie::N,మోకాలు,kolano
40,Oberschenkel::N,తొడ,udo
41,Bein::N,కాలు,noga
42,Körper::N,కాయము,ciało
43,Haut::N,చర్మము,skóra
44,Blut::N,రక్తము,krew
45,Ader::N,సిర,żyła
46,Sehne::N,స్నాయువు,ścięgno
47,Knochen::N,ఎముక,kość
48,Gehirn::N,మెదడు,mózg
49,Herz::N,హృదయము,serce
50,Magen::N,కడుపు,żołądek
51,Leber::N,కాలేయము,wątroba
52,Atem::N,ఉపిరి,dech
53,Atem::N,ఉపిరి,oddech
54,Hunger::N,ఆకలి,głód
55,Träne::N,కన్నీటిచుక్క,łza
56,Geschmack::N,రుచి,smak
57,Geruch::N,వాసన,woń
58,Geruch::N,వాసన,zapach
59,Schlaf::N,నిద్ర,sen
60,Traum::N,కల,sen
61,Himmel::N,ఆకాశము,niebo
62,Sonne::N,సూర్యుడు,słońce
63,Mond::N,చంద్రుడు,księżyc
64,Stern::N,నక్షత్రము,gwiazda
65,Luft::N,గాలి,powietrze
66,Wind::N,వీచుచున్నగాలి,wiatr
67,Welle::N,అల,fala
68,Wasser::N,నీరు,woda
69,Stein::N,ఱాయి,kamień
70,Boden::N,నేల,grunt
71,Erde::N,మన్ను,ziemia
72,Staub::N,దుమ్ము,pył
73,Staub::N,దుమ్ము,kurz
74,Rauch::N,పొగ,dym
75,Funke::N,అగ్నికణము,iskra
76,Feuer::N,అగ్ని,ogień
77,Licht::N,కాంతి,światło
78,Schatten::N,నీడ,cień
79,Wetter::N,వాతావరణ స్థితి,pogoda
80,Nebel::N,పొగమంచు,mgła
81,Wolke::N,మేఘము,obłok
82,Wolke::N,మేఘము,chmura
83,Regen::N,వాన,deszcz
84,Schnee::N,హిమము,śnieg
85,Eis::N,మంచుగడ్డ,lód
86,Frost::N,పేరిన మంచు,mróz
87,Kälte::N,చలి,chłód
88,Hitze::N,వేడిమి,gorąco
89,Raureif::N,మంచు,szron
90,Regenbogen::N,ఇంద్రధనుస్సు,tęcza
91,Donner::N,ఉరుము,grzmot
92,Strömung::N,ప్రవాహము,nurt
93,Tropfen::N,చుక్క,kropla
94,Schaum::N,నురుగు,piana
95,Schmutz::N,మైల,brud
96,See::N,సరస్సు,jezioro
97,Sumpf::N,చిత్తడినేల,bagno
98,Moor::N,చిత్తడినేల,bagno
99,Wiese::N,పచ్చిక బయలు,łąka
100,Wald::N,అడవి,las
101,Hügel::N,చివ్నకొండ,pagórek
102,Anhöhe::N,కొండ,wzgórze
103,Berg::N,పర్వతము,góra
104,Gipfel::N,శిఖరము,szczyt
105,Gipfel::N,శిఖరము,wierzchołek
106,Höhle::N,గుహ,pieczara
107,Abhang::N,ఏటవాలు,stok
108,Abhang::N,ఏటవాలు,zbocze
109,Quelle::N,మూలము,zdrój
110,Quelle::N,మూలము,źródło
111,Bach::N,కాలువ,potok
112,Bach::N,కాలువ,strumień
113,Fluss::N,నది,rzeka
114,Ufer::N,తీరము,brzeg
115,Küste::N,తీరము,wybrzeże
116,Festland::N,భూమి,ląd
117,Meer::N,సముద్రము,morze
118,Bucht::N,మరుగు,zatoka
119,Insel::N,దీవి,wyspa
120,Blume::N,పుష్పము,kwiat
121,Gras::N,పచ్చగడ్డి,trawa
122,Wurzel::N,వేరు,korzeń
123,Baum::N,చెట్టు,drzewo
124,Stamm::N,చెట్టుబోదె,pień
125,Rinde::N,చెట్టుపట్ట,kora
126,Ast::N,కొమ్మ,gałąź
127,Zweig::N,చివుకు,gałąź
128,Blatt::N,ఆకు,liść
129,Birke::N,తరహా చెట్టు,brzoza
130,Kiefer[Baum]::N,దేవదారు చెట్టు,sosna
131,Weide[Baum]::N,జాతిచెట్టు,wierzba
132,Tanne::N,దేవదారుచెట్టు,jodła
133,Horn::N,కొమ్ము,róg
134,Feder::N,ఈక,pióro
135,Fell::N,తోలు,futro
136,Flügel::N,ఱెక్క,skrzydło
137,Klaue::N,వంకరగోరు,szpon
138,Kralle::N,వంకరగోరు,pazur
139,Schwanz::N,తోక,ogon
140,Ei::N,గ్రుడ్డు,jajko
141,Nest::N,పక్షిగూడు,gniazdo
142,Bau::N,గుహ,nora
143,Tier::N,జంతువు,zwierzę
144,Herde::N,మంద,stado
145,Herde::N,మంద,trzoda
146,Kuh::N,ఆవు,krowa
147,Bulle::N,గిత్త,byk
148,Pferd::N,గుఱ్ఱము,koń
149,Schaf::N,గొఱ్ఱె,owca
150,Schwein::N,పంది,świnia
151,Hund::N,కుక్క,pies
152,Katze::N,పిల్లి,kot
153,Katze::N,పిల్లి,kotka
154,Bär::N,ఎలుగుబంటి,niedźwiedż
155,Eichhörnchen::N,ఉడుత,wiewiórka
156,Elch::N,కణంజు,łóś
157,Fuchs::N,గుంటనక్క,lis
158,Hase::N,కుందేలు,zając
159,Maus::N,చిట్టెలుక,mysz
160,Wolf::N,తోడేలు,wilk
161,Vogel::N,పక్షి,ptak
162,Schwarm::N,గుంపు,stado
163,Huhn::N,కోడిపిల్ల,kura
164,Hahn::N,కోడివుంజు,kogut
165,Gans::N,ఆడుబాతు,gęś
166,Adler::N,గ్రద్ద,orzeł
167,Ente::N,పాట్టిబాతు,kaczka
168,Eule::N,గ్రుడ్లగూబ,sowa
169,Kranich::N,కొంగ,żuraw
170,Krähe::N,కాకి,wrona
171,Kuckuck::N,కోయల,kukułka
172,Schwan::N,హంస,łabędż
173,Fisch::N,చేప,ryba
174,Barsch::N,ఒకచేఁప,okoń
175,Hecht::N,గండుమీను,szczupak
176,Schlange[Tier]::N,పాము,wąż
177,Schlange[Tier]::N,పాము,żmija
178,Wurm::N,పురుగు,robak
179,Spinne::N,సాలె పురుగు,pająk
180,Ameise::N,చీమ,mrówka
181,Laus::N,పేను,wesz
182,Mücke::N,చీకటీగ,komar
183,Fliege::N,ఈగ,mucha
184,Schmetterling::N,సీతాకోకచిలుక,motyl
185,Beere::N,కాయ,jagoda
186,Apfel::N,ఆపిల్ పండు,jabłko
187,Pilz::N,కుక్కగొడుగు,grzyb
188,Zwiebel::N,నీరుల్లి,cebula
189,Saat::N,విత్తనము,siew
190,Korn::N,గింజ,ziarno
191,Heu::N,ఎండుగడ్డి,siano
192,Schale::N,పొట్టు,łupina
193,Grube::N,గొయ్యి,dół
194,Grube::N,గొయ్యి,jama
195,Falle::N,బోను,pułapka
196,Schlinge::N,ఉరి,sidła
197,Spur::N,జాడ,ślad
198,Asche::N,బూడిద,popiół
199,Dreck::N,ముఱికి,brud
200,Eisen::N,ఇనుము,żelazo
201,Gold::N,బంగారము,złoto
202,Silber::N,వెండి,srebro
203,Kohle::N,నేలబొగ్గు,węgiel
204,Glas::N,గాజు,szkło
205,Lehm::N,బంకమన్ను,glina
206,Sand::N,ఇసుక,piasek
207,Mensch::N,నరుడు,człowiek
208,Mann::N,పురుమడు,mężczyzna
209,Frau::N,ఆడుది,kobieta
210,Kind::N,బిడ్డ,dziecko
211,Junge::N,బాలుడు,chłopak
212,Junge::N,బాలుడు,chłopiec
213,Mädchen::N,బాలిక,dziewczynka
214,Familie::N,కుటుంబము,rodzina
215,Großvater::N,తాత,dziadek
216,Großmutter::N,అయ్యమ్మ,babka
217,Eltern::N,తల్లితండ్రులు,rodzice
218,Vater::N,తండ్రి,ojciec
219,Mutter::N,తల్లి,matka
220,Sohn::N,కొడుకు,syn
221,Tochter::N,కూతురు,córka
222,Bruder::N,పోదరుడు,brat
223,Schwester::N,సోదరి,siostra
224,Onkel::N,మేనమామ,wuj
225,Onkel::N,మేనమామ,stryj
226,Tante::N,మేనత్త,ciotka
227,Tante::N,పినతల్లి,ciotka
228,Ehemann::N,భర్త,mąż
229,Ehefrau::N,భార్య,żona
230,Freude::N,సంతోషము,radość
231,Gelächter::N,నవ్వు,śmiech
232,Glück::N,సంతోషము,szczęście
233,Kummer::N,దుఃఖము,zmartwienie
234,Wunsch::N,కోరిక,życzenie
235,Lust::N,కోరిక,chęć
236,Lust::N,కోరిక,ochota
237,Geist::N,ఆత్మ,duch
238,Gedanke::N,ఆలోచన,myśl
239,Gedächtnis::N,జ్ఞాపకము,pamięć
240,Verstand::N,మనస్సు,rozum
241,Sinn::N,అర్థము,zmysł
242,Grund::N,కారణము,powód
243,Wahrheit::N,సత్యము,prawda
244,Gespräch::N,పంభాషణ,rozmowa
245,Märchen::N,అద్భుతకథ,bajka
246,Erzählung::N,కథ,opowiadanie
247,Nachricht::N,వార్త,wiadomość
248,Neuigkeit::N,వార్త,nowina
249,Name::N,పేరు,imię
250,Rätsel::N,చిక్కు,zagadka
251,Rede::N,ఉపన్యాసము,mowa
252,Sprache::N,భాష,język
253,Stimme::N,కంరథ్సని,głos
254,Wort::N,మాట,słowo
255,Zeichen::N,గుర్తు,znak
256,Ruf::N,పిలువు,wołanie
257,Lärm::N,సందడి,hałas
258,Lärm::N,సందడి,zgiełk
259,Laut::N,ధ్వని,dźwięk
260,Ton::N,స్వరము,ton
261,Ton::N,స్వరము,dźwięk
262,Lied::N,పాట,pieśń
263,Lied::N,పాట,piosenka
264,Ruhe::N,గాలిలేమి,spokój
265,Leute::N,జనులు,ludzie
266,Volk::N,జాతి,naród
267,Arbeit::N,పని,praca
268,Arbeit::N,పని,robota
269,Gast::N,అతిధి,gość
270,Geschenk::N,దానము,prezent
271,Geschenk::N,దానము,podarunek
272,Spiel::N,ఆట,gra
273,Spiel::N,ఆట,zabawa
274,Gesellschaft::N,జట్టు,towarzystwo
275,Hilfe::N,సాహాయ్యము,pomoc
276,Freund::N,స్నేహితుడు,przyjaciel
277,Kamerad::N,చెలికాడు,kolega
278,Angelegenheit::N,విషయము,sprawa
279,Anzahl::N,లెక్క,ilość
280,Art::N,జాతి,rodzaj
281,Stück::N,తునుక,kawałek
282,Teil::N,భాగము,część
283,Hälfte::N,సగము,połowa
284,Kreis::N,వృత్తము,krąg
285,Kreuz::N,సిలువ,krzyż
286,Linie::N,గీత,linia
287,Strich::N,గీత,kreska
288,Abstand::N,సందు,odstęp
289,Entfernung::N,దూరము,odległość
290,Gegend::N,విస్తీర్ణము,okolica
291,Platz::N,ఎడము,miejsce
292,Ort::N,స్థలము,miejsce
293,Seite::N,ప్రక్క,bok
294,Seite::N,ప్రక్క,strona
295,Mitte::N,నడిమి,środek
296,Gegenstand::N,పద్దు,przedmiot
297,Sache::N,వస్తువు,rzecz
298,Rand::N,అంచు,skraj
299,Rand::N,అంచు,krawędź
300,Kante::N,అంచు,kant
301,Kante::N,అంచు,krawędź
302,Ecke::N,మూల,róg
303,Spitze::N,మొన,ostrze
304,Ende::N,కొన,koniec
305,Loch::N,రంధ్రము,dziura
306,Winkel::N,కోణము,kąt
307,Winkel::N,కోణము,kącik
308,Muster::N,మాదిరి,wzór
309,Größe::N,పరిమాణము,rozmiar
310,Größe::N,పరిమాణము,wielkość
311,Länge::N,పొడుగు,długość
312,Höhe::N,పొడుగు,wysokość
313,Gewicht::N,భారము,ciężar
314,Menge::N,మొత్తము,ilość
315,Haufen::N,రాశి,kupa
316,Reihe::N,వరుస,rząd
317,Reihe::N,వరుస,szereg
318,Boot::N,పడవ,łódź
319,Boot::N,పడవ,łódka
320,Ruder::N,అడక,wiosło
321,Schlitten::N,సరవండ్లు,sanki
322,Ski::N,స్కీ,narta
323,Lagerfeuer::N,నెగడు,ognisko
324,Last::N,బరువు,ciężar
325,Last::N,బరువు,brzemię
326,Gang::N,నడక,chód
327,Schritt::N,అడుగు,krok
328,Norden::N,ఉత్తరదిక్కు,północ
329,Süden::N,దక్షిణము,południe
330,Westen::N,పడమర,zachód
331,Osten::N,తూర్పు,wschód
332,Holz::N,కొయ్య,drzewo
333,Brett::N,పలక,deska
334,Platte::N,పలక,płyta
335,Stütze::N,వాల్సేడ్లు,podpora
336,Stange::N,స్తంభము,drąg
337,Stange::N,స్తంభము,żerdź
338,Stock::N,కఱ్ఱ,kij
339,Stock::N,కఱ్ఱ,laska
340,Stab::N,కఱ్ఱ,pręt
341,Rohr::N,గొట్టము,rura
342,Haus::N,ఇల్లు,dom
343,Heim::N,స్వగృహము,dom
344,Ofen::N,పొయ్యి,piec
345,Fußboden::N,నేల,podłoga
346,Tisch::N,మేజా,stół
347,Stuhl::N,కుర్చీ,krzesło
348,Wiege::N,ఉయ్యాల,kołyska
349,Bett::N,పడక,łóżko
350,Bett::N,పడక,pościel
351,Bett::N,మంచం,łóżko
352,Bett::N,మంచం,pościel
353,Regal::N,అటక,regał
354,Kiste::N,వెట్టె,skrzynia
355,Fenster::N,కిటికి,okno
356,Tür::N,ద్వారము,drzwi
357,Tor::N,ద్వారము,brama
358,Zaun::N,కంచె,płot
359,Zaun::N,కంచె,parkan
360,Dach::N,ఇంటివైకప్పు,dach
361,Leiter::N,నిచ్చెన,drabina
362,Besen::N,చీపురుకట్ట,miotła
363,Spaten::N,పాఱ,rydel
364,Schaufel::N,పాఱ,łopata
365,Gabel::N,ముండ్లగరిటె,widelec
366,Löffel::N,గరిటె,łyżka
367,Messer::N,కత్తి,nóż
368,Nagel::N,మేకు,gwóźdź
369,Netz::N,వల,sieć
370,Haken::N,కొక్కెము,hak
371,Griff::N,పిడి,chwyt
372,Schloss::N,తాళము,zamek
373,Bild::N,చిత్రము,obraz
374,Figur::N,రూపము,figura
375,Puppe::N,బొమ్మ,lalka
376,Beutel::N,సంచి,torba
377,Bündel::N,మూట,wiązka
378,Tasche::N,సంచి,torba
379,Eimer::N,చేద,kubeł
380,Eimer::N,చేద,wiadro
381,Deckel::N,మూత,przykrywka
382,Geschirr::N,వంటకాలు,statki
383,Geschirr::N,వంటకాలు,naczynia
384,Sack::N,గోనెసంచి,worek
385,Tasse::N,గిన్నె,filiżanka
386,Topf::N,కుండ,garnek
387,Kessel::N,నీరుకాచుపాత్ర,kocioł
388,Essen::N,ఆహారము,jedzenie
389,Nahrung::N,ఆహారము,pokarm
390,Nahrung::N,ఆహారము,pożywienie
391,Speise::N,ఆహారము,potrawa
392,Speise::N,ఆహారము,jedzenie
393,Fleisch::N,మాంసము,mięso
394,Getreide::N,ధాన్యము,zboże
395,Brei::N,గుజ్జు,kasza
396,Brot::N,రొట్టె,chleb
397,Scheibe::N,బద్ద,kromka
398,Fett::N,క్రొవ్వు,tłuszcz
399,Butter::N,వెన్న,masło
400,Öl::N,నూనె,olej
401,Salz::N,ఉప్పు,sól
402,Suppe::N,చారు,zupa
403,Honig::N,తెనె,miód
404,Milch::N,పాలు,mleko
405,Tee::N,తేనీరు,herbata
406,Leder::N,బాగుచేసివతోలు,skóra
407,Wolle::N,ఉన్ని,wełna
408,Stoff::N,బట్ట,tkanina
409,Stoff::N,బట్ట,materiał
410,Nadel::N,సూది,igła
411,Faden::N,దారము,nić
412,Faden::N,దారము,nitka
413,Knopf::N,బొత్తాము,guzik
414,Knoten::N,ముడి,węzeł
415,Farbe::N,రంగు,farba
416,Kleidung::N,బట్టలు,odzież
417,Hemd::N,చొక్కాయ,koszula
418,Kragen::N,మాల,kołnierz
419,Ärmel::N,చొక్కాయచెయ్యి,rękaw
420,Hose::N,ఇజారు,spodnie
421,Gürtel::N,పటకా,pasek
422,Mütze::N,టోపి,czapka
423,Schuh::N,పాదరక్ష,but
424,Schuh::N,పాదరక్ష,bucik
425,Stiefel::N,బూటు,but
426,Stiefel::N,బూటు,kozak
427,Ring::N,ఉంగరము,pierścień
428,Band::N,నాడా,wstęga
429,Kamm::N,దువ్వెన,grzebień
430,Spiegel::N,అద్దము,lustro
431,Riemen::N,వాడా,rzemień
432,Schnur::N,దారము,sznur
433,Leine::N,వారు,smycz
434,Decke::N,కంబళి,kołdra
435,Kissen::N,తలగడ,poduszka
436,Tuch::N,బట్ట,chustka
437,Handtuch::N,తువాలు,ręcznik
438,Kraft::N,బలము,moc
439,Kraft::N,బలము,siła
440,Stärke::N,శక్తి,moc
441,Stärke::N,శక్తి,siła
442,Gesundheit::N,ఆరోగ్యము,zdrowie
443,Krankheit::N,రోగము,choroba
444,Schmerz::N,నొప్పి,ból
445,Wunde::N,గాయము,rana
446,Fieber::N,జ్వరము,gorączka
447,Arznei::N,మందు,lekarstwo
448,Brücke::N,వంతెన,most
449,Brunnen::N,బావి,studnia
450,Brunnen::N,కూపము,studnia
451,Brunnen::N,నుయ్యి,studnia
452,Weide::N,పచ్చికబయలు,pastwisko
453,Pfad::N,కాలిత్రోవ,ścieżka
454,Weg::N,మార్గము,droga
455,Straße::N,బాట,ulica
456,Dorf::N,గ్రామము,wieś
457,Stadt::N,పట్టణము,miasto
458,Brief::N,జాబు,list
459,Buch::N,పుస్తకము,książka
460,Buchstabe::N,అక్షరము,litera
461,Zeitung::N,వార్తాపత్రిక,gazeta
462,Zeitung::N,వార్తాపత్రిక,dziennik
463,Leben::N,ప్రాణము,życie
464,Tod::N,మరణము,śmierć
465,Grab::N,సమాధి,grób
466,Kirche::N,క్రెస్తవులగుడి,kościół
467,Sünde::N,పాపము,grzech
468,Gott::N,దేవుడు,bóg
469,Arbeiter::N,పనిపాటుచేశేవాడు,robotnik
470,Chef::N,యజమానుడు,szef
471,Meister::N,కళాకారుడు,mistrz
472,Meister::N,కళాకారుడు,majster
473,Arzt::N,వైద్యుడు,lekarz
474,Lehrer::N,ఉపాధ్యాయుడు,nauczyciel
475,Geld::N,ద్రవ్యము,pieniądze
476,Geschäft::N,వ్యాపారము,sprawa
477,Geschäft::N,వ్యాపారము,interes
478,Laden::N,అంగడి,sklep
479,Preis::N,వెల,cena
480,Ware::N,సరకులు,towar
481,Nutzen::N,ప్రయోజనము,pożytek
482,Reichtum::N,ధనము,bogactwo
483,Welt::N,ప్రపంచము,świat
484,Land::N,దేశము,kraj
485,Staat::N,రాజ్యము,państwo
486,König::N,రాజు,król
487,Macht::N,అధికారము,władza
488,Grenze::N,సరిహద్దు,granica
489,Krieg::N,యుద్ధము,wojna
490,Feind::N,శత్రువు,wróg
491,Gewalt::N,దౌర్జన్యము,władza
492,Kampf::N,పోట్లాట,bój
493,Kampf::N,పోట్లాట,walka
494,Bogen[Waffe]::N,విల్లు,łuk
495,Pfeil::N,బాణము,strzała
496,Gewehr::N,తుపాకి,karabin
497,Fehler::N,తప్ప,błąd
498,Lüge::N,అసత్యము,kłamstwo
499,Schaden::N,నష్టము,szkoda
