,Concept_ID,kl,is
0,Auge::N,isi,auga
1,Ohr::N,siut,eyra
2,Mund::N,paaq,munnur
3,Mund::N,qaneq,munnur
4,Zahn::N,kigut,tönn
5,Zunge::N,oqaq,tunga
6,Lippe::N,qarloq,vör
7,Wange::N,ersaq,kinn
8,Wange::N,ersaq,vangi
9,Gesicht::N,kiinaq,andlit
10,Stirn::N,qaaq,enni
11,Haar::N,meqqoq,hár
12,Bart::N,umik,skegg
13,Kinn::N,talloq,haka
14,Kiefer[Anatomie]::N,alleroq,kjálki
15,Kiefer[Anatomie]::N,alleroq,skoltur
16,Kehle::N,malaq,kverk
17,Hals::N,qungaseq,háls
18,Genick::N,pukusuk,hnakki
19,Kopf::N,niaqoq,höfuð
20,Rücken::N,qimerlut,hryggur
21,Bauch::N,naaq,kviður
22,Nabel::N,qalaseq,nafli
23,Busen::N,iviangeq,barmur
24,Brust::N,iviangeq,brjóst
25,Schulter::N,ersik,öxl
26,Schulter::N,assaqqoq,öxl
27,Arm::N,taleq,armur
28,Ellenbogen::N,ikusik,olnbogi
29,Hand::N,assak,hönd
30,Handfläche::N,itumak,lófi
31,Finger::N,inuak,fingur
32,Fingernagel::N,kikiak,fingurnögl
33,Nagel[Anatomie]::N,kukik,nögl
34,Zeh::N,isigak,tá
35,Ferse::N,kimmik,hæll
36,Knie::N,seeqqoq,kné
37,Oberschenkel::N,uppat,læri
38,Oberschenkel::N,quttoraq,læri
39,Bein::N,isigak,fótleggur
40,Körper::N,timi,búkur
41,Körper::N,timi,líkami
42,Haut::N,mattak,húð
43,Haut::N,mattak,skinn
44,Blut::N,aak,blóð
45,Ader::N,taqaq,æð
46,Sehne::N,ujalu,sin
47,Sehne::N,ujaloq,sin
48,Knochen::N,saanikut,bein
49,Gehirn::N,qarasaq,heili
50,Herz::N,uummat,hjarta
51,Magen::N,aqajaroq,magi
52,Leber::N,tinguk,lifur
53,Atem::N,anerneq,andi
54,Atem::N,anerneq,andardráttur
55,Hunger::N,kaanneq,hungur
56,Träne::N,qia,tár
57,Träne::N,qiak,tár
58,Geschmack::N,qilanaartuut,smekkur
59,Geruch::N,tipi,lykt
60,Geruch::N,tipik,lykt
61,Traum::N,sinnattoq,draumur
62,Traum::N,sinnattugaq,draumur
63,Himmel::N,qilak,himinn
64,Sonne::N,seqineq,sól
65,Mond::N,qaammat,tungl
66,Stern::N,ulloriaq,stjarna
67,Luft::N,silaannaq,loft
68,Wind::N,anori,vindur
69,Wind::N,anorsarik,vindur
70,Welle::N,aalappaa,alda
71,Welle::N,aalappaa,bylgja
72,Wasser::N,imeq,vatn
73,Stein::N,ujarak,steinn
74,Boden::N,nateq,botn
75,Erde::N,issoq,jörð
76,Staub::N,pujualanerit,ryk
77,Staub::N,pujualanerit,duft
78,Staub::N,pujoralanerit,ryk
79,Staub::N,pujoralanerit,duft
80,Rauch::N,iseq,reykur
81,Rauch::N,pujoq,reykur
82,Funke::N,illoorneq,neisti
83,Feuer::N,inneq,eldur
84,Licht::N,qaamaneq,ljós
85,Schatten::N,tarraq,skuggi
86,Wetter::N,sila,veður
87,Nebel::N,pujoq,þoka
88,Wolke::N,nuia,ský
89,Regen::N,sialuk,regn
90,Schnee::N,aput,snjór
91,Eis::N,siku,ís
92,Frost::N,issi,frost
93,Frost::N,issik,frost
94,Kälte::N,issi,kuldi
95,Hitze::N,kianneq,hiti
96,Hitze::N,kiassuseq,hiti
97,Raureif::N,kaneq,hrím
98,Regenbogen::N,neriusaaq,regnbogi
99,Donner::N,kalleq,þruma
100,Tropfen::N,kuseriarneq,dropi
101,Schaum::N,qapuk,froða
102,Schmutz::N,minguk,óhreinindi
103,See::N,taseq,stöðuvatn
104,Sumpf::N,maqulluk,fen
105,Wiese::N,masarsuk,engi
106,Hügel::N,qattuneq,hæð
107,Hügel::N,qattuneq,hóll
108,Hügel::N,majuariaq,hæð
109,Hügel::N,majuariaq,hóll
110,Hügel::N,majorajaaq,hæð
111,Hügel::N,majorajaaq,hóll
112,Hügel::N,qaqqannguaq,hæð
113,Hügel::N,qaqqannguaq,hóll
114,Berg::N,qaqqaq,fell
115,Berg::N,qaqqaq,fjall
116,Höhle::N,qaarusuk,hellir
117,Abhang::N,ippik,hlíð
118,Abhang::N,ippik,brekka
119,Abhang::N,sivinganeq,hlíð
120,Abhang::N,sivinganeq,brekka
121,Abhang::N,sivingajaaq,hlíð
122,Abhang::N,sivingajaaq,brekka
123,Abhang::N,kussangajaaq,hlíð
124,Abhang::N,kussangajaaq,brekka
125,Bach::N,kuunnguaq,lækur
126,Fluss::N,kuuk,á
127,Fluss::N,kuuk,fljót
128,Ufer::N,sissap sinaa,árbakki
129,Ufer::N,sissap sinaa,sjávarbakki
130,Küste::N,sineriak,strönd
131,Meer::N,imaq,haf
132,Meer::N,imaq,sjór
133,Bucht::N,ikeq,vík
134,Bucht::N,kangerluk,vík
135,Bucht::N,kangerliumaneq,vík
136,Insel::N,qeqertaq,eyja
137,Blume::N,naasoq,blóm
138,Gras::N,ivigaq,gras
139,Wurzel::N,niulutaq,rót
140,Baum::N,orpik,tré
141,Stamm::N,kanaartaq,stofn
142,Rinde::N,ameraq,börkur
143,Ast::N,avalequt,grein
144,Zweig::N,avalequt,angi
145,Zweig::N,avalequt,kvistur
146,Blatt::N,pilutaq,blað
147,Birke::N,patitsit,birki
148,Weide[Baum]::N,palleq,víðir
149,Tanne::N,orsuerneq,greni
150,Horn::N,nassuk,horn
151,Feder::N,suluk,fjöður
152,Fell::N,ameq,skinn
153,Flügel::N,suluk,vængur
154,Flügel::N,isaroq,vængur
155,Klaue::N,kukik,kló
156,Kralle::N,kukik,kló
157,Schwanz::N,pamioq,rófa
158,Schwanz::N,pamioq,skott
159,Schwanz::N,paperuusaq,rófa
160,Schwanz::N,paperuusaq,skott
161,Ei::N,mannik,egg
162,Nest::N,ullut,hreiður
163,Bau::N,ini,greni
164,Bau::N,ini,bæli
165,Tier::N,uumasoq,dýr
166,Herde::N,unguukkat,hjörð
167,Kuh::N,ussik,kýr
168,Bulle::N,angukulak,boli
169,Bulle::N,anguteralak,boli
170,Bulle::N,angutikulooq,boli
171,Schaf::N,sava,kind
172,Schwein::N,puuluki,svín
173,Hund::N,qimmeq,hundur
174,Katze::N,puisaaq,köttur
175,Bär::N,allaq,björn
176,Eichhörnchen::N,sissinnguaq,íkorni
177,Fuchs::N,terianniaq,refur
178,Hase::N,ukaleq,héri
179,Maus::N,teriannguaq,mús
180,Wolf::N,amaroq,úlfur
181,Vogel::N,timmiaq,fugl
182,Huhn::N,kukkukooq,hæna
183,Huhn::N,marloraaqaaq,hæna
184,Hahn::N,kiasiusaq,hani
185,Gans::N,nerleq,gæs
186,Adler::N,nattoralik,örn
187,Eule::N,uppik,uggla
188,Kranich::N,qorlorfik,trana
189,Krähe::N,tuluatsiaq,kráka
190,Kuckuck::N,kukkooq,gaukur
191,Schwan::N,qussuk,svanur
192,Fisch::N,aalisagaq,fiskur
193,Schlange[Tier]::N,pulateriarsuk,naðra
194,Schlange[Tier]::N,pulateriaarsuk,naðra
195,Spinne::N,aasiaq,kónguló
196,Spinne::N,nissavaarsuk,kónguló
197,Ameise::N,uniaaluk,maur
198,Laus::N,kumak,lús
199,Mücke::N,ippernaq,mý
200,Mücke::N,ippernaq,mýfluga
201,Fliege::N,ippernaq,fluga
202,Schmetterling::N,paluaq,fiðrildi
203,Schmetterling::N,pakkaluaq,fiðrildi
204,Schmetterling::N,utsuppaluaq,fiðrildi
205,Schmetterling::N,taqaleqisaaq,fiðrildi
206,Beere::N,paarmaq,ber
207,Beere::N,paarngaq,ber
208,Apfel::N,iipili,epli
209,Pilz::N,anngiusaq,sveppur
210,Zwiebel::N,uanitsoq,laukur
211,Saat::N,naatsiiassaq,fræ
212,Saat::N,naatsiiassaq,útsæði
213,Korn::N,maannineq,korn
214,Schale::N,niutsivik,hýði
215,Schale::N,ilulissaq qaartussaq,hýði
216,Grube::N,itersaq,gryfja
217,Falle::N,pualavoq,gildra
218,Schlinge::N,orseq,snara
219,Schlinge::N,norloq,snara
220,Spur::N,tumaa,spor
221,Asche::N,arsat,aska
222,Dreck::N,minguk,óþverri
223,Eisen::N,savimineq,járn
224,Eisen::N,saffiugassaq,járn
225,Gold::N,kuulti,gull
226,Silber::N,siilviuvoq,silfur
227,Kohle::N,aamarsuit aamaruutissat,kol
228,Glas::N,igalaaq,gler
229,Glas::N,imertarfik,gler
230,Glas::N,igalaamineq,gler
231,Lehm::N,marraq,leir
232,Sand::N,sioqqat,sandur
233,Mensch::N,inuk,maður
234,Mensch::N,inuk,manneskja
235,Mensch::N,silamiu,maður
236,Mensch::N,silamiu,manneskja
237,Mann::N,angut,maður
238,Mann::N,angut,karlmaður
239,Frau::N,arnaq,kona
240,Kind::N,meeraq,barn
241,Kind::N,meeraq,krakki
242,Junge::N,nukappiaraq,drengur
243,Mädchen::N,arnannguaq,stelpa
244,Familie::N,ilaqutakka,fjölskylda
245,Familie::N,ilaqutariit,fjölskylda
246,Großvater::N,aatak,afi
247,Großmutter::N,aanaq,amma
248,Eltern::N,angajoqqaat,foreldrar
249,Vater::N,ataata,faðir
250,Vater::N,ataataq,faðir
251,Mutter::N,anaana,móðir
252,Sohn::N,erneq,sonur
253,Tochter::N,panik,dóttir
254,Bruder::N,ani,bróðir
255,Bruder::N,aqqaluk,bróðir
256,Bruder::N,qatanngut,bróðir
257,Schwester::N,naja,systir
258,Schwester::N,aleqa,systir
259,Schwester::N,qatanngut,systir
260,Onkel::N,akkak,föðurbróðir
261,Tante::N,aja,frænka
262,Tante::N,aja,móðursystir
263,Tante::N,ajak,frænka
264,Tante::N,ajak,móðursystir
265,Tante::N,atsak,frænka
266,Tante::N,atsak,móðursystir
267,Ehemann::N,ui,eiginmaður
268,Ehefrau::N,nuliaq,eiginkona
269,Freude::N,tipaatsussuseq,gleði
270,Gelächter::N,illaq,hlátur
271,Glück::N,usornaat,gæfa
272,Glück::N,usornarsuseq,gæfa
273,Wunsch::N,kissaat,ósk
274,Lust::N,illigussuseq,fýsn
275,Lust::N,illigussuseq,löngun
276,Lust::N,piummaseq,fýsn
277,Lust::N,piummaseq,löngun
278,Geist::N,anerneq,andi
279,Geist::N,toornaq,andi
280,Gedanke::N,isumassaq,hugsun
281,Gedächtnis::N,eqqaamannissuseq,minni
282,Verstand::N,isuma,vit
283,Verstand::N,sianissut,vit
284,Verstand::N,misigissut,vit
285,Verstand::N,sianissuseq,vit
286,Verstand::N,silaqassuseq,vit
287,Sinn::N,isuma,merking
288,Grund::N,patsit,ástæða
289,Wahrheit::N,sallusuissut,sannleikur
290,Märchen::N,oqalualaarut,ævintýri
291,Märchen::N,oqaluasaaq,ævintýri
292,Erzählung::N,oqaluttuaq,saga
293,Nachricht::N,oqaassut,frétt
294,Nachricht::N,oqqersuut,frétt
295,Neuigkeit::N,tusarnartaq,frétt
296,Name::N,ateq,nafn
297,Rätsel::N,nalorsitsaarut,gáta
298,Rede::N,oqaluuseq,ræða
299,Sprache::N,oqaatsit,mál
300,Sprache::N,oqaatsit,tungumál
301,Stimme::N,erinaq,rödd
302,Stimme::N,qarluuseq,rödd
303,Wort::N,oqaasii,orð
304,Zeichen::N,nalunaaqqut,tákn
305,Zeichen::N,nalunaaqqut,merki
306,Ruf::N,qaaqqussut,kall
307,Lärm::N,perpaluk,hávaði
308,Laut::N,torsukattak,hljóð
309,Ton::N,erinaq,tónn
310,Lied::N,taalliaq,ljóð
311,Lied::N,taalliaq,söngur
312,Lied::N,erinarsuut,ljóð
313,Lied::N,erinarsuut,söngur
314,Ruhe::N,qatsunganeq,ró
315,Ruhe::N,qatsunganeq,kyrrð
316,Leute::N,inuiak,fólk
317,Leute::N,inuiaqatigiit,fólk
318,Volk::N,inuiaat,þjóð
319,Arbeit::N,suliaq,vinna
320,Gast::N,qaaqqusaq,gestur
321,Geschenk::N,pajugut,gjöf
322,Hilfe::N,annertoqqut,hjálp
323,Freund::N,tiliaq,vinur
324,Freund::N,ikinngut,vinur
325,Kamerad::N,tiliaq,félagi
326,Kamerad::N,ikinngut,félagi
327,Art::N,ileqquuseq,tegund
328,Stück::N,nakkaalaniku,biti
329,Stück::N,nakkaalaniku,stykki
330,Teil::N,tassiaasat,hluti
331,Teil::N,tassiaasat,partur
332,Hälfte::N,affaq,helmingur
333,Kreis::N,kaajaluinneq or kaajaluitsoq,hringur
334,Kreuz::N,sanningasulik,kross
335,Kreuz::N,sanningasulik,krossmark
336,Linie::N,tittaq,lína
337,Linie::N,titarneq,lína
338,Abstand::N,aku,millibil
339,Abstand::N,ikiaq,millibil
340,Entfernung::N,asi,fjarlægð
341,Gegend::N,nuna,hérað
342,Platz::N,ini,pláss
343,Platz::N,inissaq,pláss
344,Ort::N,sumiiffik,staður
345,Seite::N,saneraq,hlið
346,Mitte::N,qiteq,miðja
347,Sache::N,pigisaq,mál
348,Rand::N,sini,brún
349,Rand::N,akerfineq,brún
350,Kante::N,akerfineq,rönd
351,Ecke::N,teqeqqoq,horn
352,Ecke::N,tikeqqoq,horn
353,Spitze::N,inngik,oddur
354,Ende::N,isu,endi
355,Loch::N,putu,gat
356,Loch::N,putu,hola
357,Winkel::N,teqeqqorissaat,skot
358,Winkel::N,teqeqqorissaat,krókur
359,Muster::N,ilisserut,munstur
360,Größe::N,angissuseq,stærð
