,Concept_ID,xal,ku
0,Auge::N,нүдн,çav
1,Ohr::N,чикн,guh
2,Nase::N,хамр,bêvil
3,Mund::N,амн,dev
4,Zahn::N,шүдн,didan
5,Zunge::N,келн,ziman
6,Lippe::N,урл,lêv
7,Wange::N,халх,dêm
8,Wange::N,халх,hinarik
9,Gesicht::N,нүр,rû
10,Stirn::N,маңна,enî
11,Haar::N,үсн,por
12,Schnurrbart::N,сахл,simbêl
13,Bart::N,сахл,rih
14,Bart::N,өргнә сахл,rih
15,Kinn::N,өргн,zenî
16,Kiefer[Anatomie]::N,өргн,arguşk
17,Kehle::N,хол,qirik
18,Hals::N,күзүн,stû
19,Hals::N,күзүн,qirik
20,Genick::N,гиҗг,stû
21,Kopf::N,толһа,serî
22,Rücken::N,нурһн,pişt
23,Bauch::N,гесн,ûr
24,Bauch::N,гесн,zik
25,Nabel::N,киисн,navik
26,Busen::N,көкн,sîng
27,Brust::N,чееҗ,sîng
28,Schulter::N,ээм,mil
29,Arm::N,һар,çepil
30,Ellenbogen::N,тоха,enîşk
31,Hand::N,баһлцг,dest
32,Handfläche::N,альхн,kefadest
33,Finger::N,хурһн,tilî
34,Finger::N,һарин хурһн,tilî
35,Fingernagel::N,хумсн,neynuk
36,Nagel[Anatomie]::N,хумсн,bizmar
37,Zeh::N,хурһн,tilî linga
38,Zeh::N,көлин хурһн,tilî linga
39,Fuß::N,тавг,ling
40,Ferse::N,өскә,pahnî
41,Knie::N,өвдг,kabok
42,Oberschenkel::N,һуй,rahn
43,Bein::N,көл,çip
44,Körper::N,махмуд,laş
45,Körper::N,махмуд,gowde
46,Haut::N,арсн,çerm
47,Blut::N,цусн,xwîn
48,Ader::N,судцн,reh
49,Sehne::N,шүрүсн,reh
50,Knochen::N,ясн,hestî
51,Gehirn::N,экн,mêjî
52,Herz::N,зүркн,dil
53,Magen::N,гесн,navêş
54,Leber::N,элкн,kezeb
55,Atem::N,әмсхл,hilm
56,Hunger::N,харһнлһн,birçîtî
57,Träne::N,нульмсн,hêstir
58,Geschmack::N,амтн,tam
59,Geruch::N,үнр,bêhn
60,Schlaf::N,нөр,xew
61,Traum::N,зүүдн,xewn
62,Himmel::N,теңгр,ezman
63,Sonne::N,нарн,roj
64,Mond::N,сар,heyv
65,Stern::N,одн,stêrk
66,Luft::N,аһар,ba
67,Wind::N,салькн,ba
68,Welle::N,дольган,şewl
69,Wasser::N,усн,av
70,Stein::N,чолун,kevir
71,Boden::N,Һазр,herd
72,Erde::N,Һазр,ax
73,Staub::N,тоосн,toz
74,Rauch::N,утан,dû
75,Funke::N,очн,çirûşk
76,Feuer::N,һал,agir
77,Licht::N,герл,ronahî
78,Schatten::N,сүүдр,sî
79,Wetter::N,теңгр,hewa
80,Nebel::N,будн,mij
81,Wolke::N,үүлн,ewr
82,Regen::N,хур,baran
83,Schnee::N,цасн,berf
84,Eis::N,мөсн,qeşa
85,Frost::N,киитн,xûsik
86,Kälte::N,киитн,serma
87,Hitze::N,халун,germayî
88,Raureif::N,цаң,şext
89,Raureif::N,кирү,şext
90,Regenbogen::N,солңһ,heftreng
91,Donner::N,оһтрһун дун,gire-gir
92,Strömung::N,урсхл,şewl
93,Tropfen::N,дусал,dilop
94,Schaum::N,көөсн,kef
95,Schmutz::N,кир,gemar
96,See::N,нур,gol
97,Sumpf::N,унул,hezek
98,Moor::N,улм,mafêl
99,Wiese::N,хадлһн,sûrik
100,Wald::N,ө-модн,çiya
101,Wald::N,ө-модн,daristan
102,Hügel::N,толһа,gir
103,Anhöhe::N,хамр,sere gir
104,Berg::N,уул,kaş
105,Gipfel::N,ора,sere gir
106,Höhle::N,хадин көндә,şikeft
107,Abhang::N,ташу,kaş
108,Quelle::N,булг,kanî
109,Bach::N,һооҗур,çem
110,Fluss::N,һол,çem
111,Fluss::N,һол,rûbar
112,Ufer::N,көвә,kevî
113,Küste::N,көвә,berav
114,Küste::N,теңгсин көвә,berav
115,Festland::N,хүүрә һазр,bejahî
