,Concept_ID,it,mhr
0,Auge::N,occhio,шинча́
1,Ohr::N,orecchio,пы́лыш
2,Nase::N,naso,нер
3,Mund::N,bocca,умша́
4,Zahn::N,dente,пӱй
5,Zunge::N,lingua,йы́лме
6,Lippe::N,labbro,тӱ́рвӧ
7,Wange::N,guancia,шӱ́ргӧ
8,Gesicht::N,viso,чури́й
9,Gesicht::N,faccia,чури́й
10,Stirn::N,fronte,саҥга́
11,Haar::N,capello,ӱп
12,Schnurrbart::N,baffi,ӧ́рыш
13,Schnurrbart::N,mustacchi,ӧ́рыш
14,Bart::N,barba,понда́ш
15,Kinn::N,mento,оҥыла́ш
16,Kiefer[Anatomie]::N,mascella,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,mascella,пӱйората́
18,Kehle::N,gola,лога́р
19,Hals::N,collo,шӱй
20,Genick::N,nuca,шӱйло́дыш
21,Kopf::N,capo,вуй
22,Kopf::N,testa,вуй
23,Rücken::N,dorso,туп
24,Rücken::N,schiena,туп
25,Bauch::N,ventre,мӱ́шкыр
26,Nabel::N,ombelico,кы́лымде
27,Busen::N,seno,чы́зе
28,Brust::N,petto,оҥ
29,Schulter::N,spalla,ва́че
30,Arm::N,braccio,кид
31,Ellenbogen::N,gomito,кынерву́й
32,Hand::N,mano,кид
33,Hand::N,mano,копа́
34,Handfläche::N,palma,со́во
35,Finger::N,dito,парня́
36,Fingernagel::N,unghia,кидкӱ́ч
37,Fingernagel::N,unghia,парнягӱ́ч
38,Nagel[Anatomie]::N,unghia,кӱч
39,Zeh::N,dito del piede,йолварня́
40,Fuß::N,piede,йол
41,Fuß::N,piede,йолкопа́
42,Ferse::N,tallone,тага́н
43,Ferse::N,calcagno,тага́н
44,Knie::N,ginocchio,пулву́й
45,Oberschenkel::N,fèmore,э́рде
46,Bein::N,gamba,йол
47,Körper::N,corpo,кап
48,Haut::N,pelle,кова́ште
49,Blut::N,sangue,вӱр
50,Ader::N,vena,шӧн
51,Sehne::N,tèndine,шӧн
52,Sehne::N,tèndine,кӱсе́н
53,Knochen::N,osso,лу
54,Gehirn::N,cervello,вем
55,Gehirn::N,cervello,вуйве́м
56,Herz::N,cuore,шӱм
57,Magen::N,stòmaco,пага́р
58,Leber::N,fegato,мокш
59,Atem::N,fiato,шӱ́лыш
60,Atem::N,respiro,шӱ́лыш
61,Hunger::N,fame,шужыма́ш
62,Träne::N,làcrima,шинчавӱ́д
63,Geschmack::N,gusto,там
64,Geschmack::N,sapore,там
65,Geruch::N,odore,пуш
66,Schlaf::N,sonno,о́мо
67,Traum::N,sogno,йӱдо́мо
68,Himmel::N,cielo,кава́
69,Sonne::N,sole,ке́че
70,Mond::N,luna,ты́лзе
71,Stern::N,stella,шӱ́дыр
72,Luft::N,aria,юж
73,Wind::N,vento,марде́ж
74,Welle::N,onda,то́лкын
75,Wasser::N,acqua,вӱд
76,Stein::N,sasso,кӱ
77,Stein::N,pietra,кӱ
78,Boden::N,suolo,рок
79,Boden::N,terreno,рок
80,Erde::N,terra,мла́нде
