,Concept_ID,uz,ar
0,Auge::N,ko'z,عين
1,Ohr::N,quloq,أذن
2,Nase::N,burun,أنف
3,Mund::N,og'iz,فم
4,Zahn::N,tish,سن
5,Zunge::N,til,لسان
6,Lippe::N,dudoq,شفة
7,Wange::N,bet,خد
8,Wange::N,bet,وجنة
9,Gesicht::N,yuz,وجه
10,Stirn::N,manglay,جبين
11,Haar::N,soch,شعر
12,Schnurrbart::N,mo'ylov,شارب
13,Bart::N,soqol,لحية
14,Kinn::N,ängak,ذقن
15,Kiefer[Anatomie]::N,iyak,فك
16,Kehle::N,bo'g'iz,حلق
17,Hals::N,bo'yin,عنق
18,Hals::N,bo'yin,رقبة
19,Genick::N,gardan,قفا
20,Kopf::N,bosh,رأس
21,Rücken::N,orqa,ظهر
22,Bauch::N,qorin,بطن
23,Nabel::N,kindik,سرة
24,Busen::N,ämchak,ثدي
25,Brust::N,ko'krak,صدر
26,Schulter::N,elka,كتف
27,Arm::N,bilak,ذراع
28,Ellenbogen::N,tirsak,كوع
29,Hand::N,qo'l,يد
30,Handfläche::N,kaft,كف
31,Finger::N,barmoq,إصبع
32,Fingernagel::N,tirnoq,ظفر
33,Nagel[Anatomie]::N,tirnoq,ظفر
34,Zeh::N,oyoq barmog'i,إصبع القدم
35,Fuß::N,oyoq,قدم
36,Ferse::N,tovon,كعب
37,Knie::N,tiz,ركبة
38,Oberschenkel::N,son,فخذ
39,Bein::N,oyoq,ساق
40,Körper::N,badna,جسم
41,Haut::N,teri,بشرة
42,Blut::N,qon,دم
43,Ader::N,qon tomir,عرق
44,Sehne::N,tomir,طنب
45,Knochen::N,suyak,عظم
46,Gehirn::N,miya,دماغ
47,Herz::N,qalb,قلب
48,Magen::N,oshqozon,معدة
49,Leber::N,bag'ir,كبد
50,Atem::N,dam,نفس
51,Hunger::N,ochlik,جوع
52,Träne::N,yosh,دمعة
53,Geschmack::N,tam,طعم
54,Geschmack::N,tam,مذاق
55,Geruch::N,jid,رائحة
56,Schlaf::N,uyqu,نوم
57,Schlaf::N,uyqu,منام
58,Traum::N,tush,حلم
59,Himmel::N,osmon,سماء
60,Sonne::N,quyosh,شمس
61,Mond::N,oy,قمر
62,Stern::N,yulduz,نجم
63,Stern::N,yulduz,كوكب
64,Luft::N,havo,هواء
65,Wind::N,el,ريح
66,Welle::N,to'lqin,موجة
67,Wasser::N,suv,ماء
68,Stein::N,tosh,حجر
69,Boden::N,tuproq,تراب
70,Erde::N,er,أرض
71,Staub::N,chang,غبار
72,Rauch::N,tutun,دخان
73,Funke::N,yalt,شرارة
74,Feuer::N,o't,نار
75,Licht::N,yorug',نور
76,Licht::N,yorug',ضوء
77,Schatten::N,soya,ظل
78,Schatten::N,soya,فيء
79,Wetter::N,havo,جو
80,Wetter::N,havo,طقس
81,Nebel::N,tuman,ضباب
82,Wolke::N,bulut,غيمة
83,Wolke::N,bulut,سحابة
84,Regen::N,yomg'ir,مطر
85,Schnee::N,qor,ثلج
86,Eis::N,muz,جليد
87,Frost::N,ajoz,صقيع
88,Kälte::N,ajoz,برد
89,Hitze::N,issiq,حر
90,Hitze::N,issiq,حرارة
91,Raureif::N,qirov,صقيع
92,Regenbogen::N,kamalak,قوس قزح
93,Donner::N,guldur,رعد
94,Strömung::N,oqim,تيار
95,Tropfen::N,tomchi,قطرة
96,Schaum::N,ko'pik,زبد
97,Schaum::N,ko'pik,رغوة
98,Schmutz::N,gard,وسخ
99,See::N,ko'l,بحيرة
100,Sumpf::N,botqoq,مستنقع
101,Moor::N,qir-adir,مستنقع
102,Wiese::N,o'tzor,مرج
103,Wald::N,o'rmon,غابة
104,Hügel::N,tepa,تل
105,Anhöhe::N,adir,تل
106,Berg::N,tog',جبل
107,Gipfel::N,cho'qqi,قمة
108,Höhle::N,kavak,كهف
109,Abhang::N,to'sh,منحدر
110,Quelle::N,buloq,منبع
111,Bach::N,o'zan,مجرى
112,Fluss::N,daryo,نهر
113,Ufer::N,sohil,ضفة
114,Küste::N,qirg'oq,ساحل
115,Festland::N,materik,بر
116,Meer::N,dengiz,بحر
117,Bucht::N,qo'ltiq,خليج
118,Insel::N,orol,جزيرة
119,Blume::N,gul,زهرة
120,Gras::N,sabza,حشيش
121,Wurzel::N,tub,أصل
122,Wurzel::N,tomir,أصل
123,Baum::N,daraxt,شجرة
124,Stamm::N,o'simta,جذع
125,Rinde::N,qobiq,قشرة
126,Ast::N,shox,فرع
127,Zweig::N,butoq,غصن
128,Blatt::N,barg,ورقة
129,Birke::N,qayin,قضبان
130,Kiefer[Baum]::N,qarag'ay,صنوبرة
131,Weide[Baum]::N,shum,صفصاف
132,Tanne::N,archa,شوح
133,Tanne::N,archa,تبوب
134,Horn::N,mugiz,قرن
135,Feder::N,par,ريشة
136,Fell::N,mo'yna,فرو
137,Flügel::N,qanot,جناح
138,Klaue::N,tirnoq,مخلب
