,Concept_ID,sl,la
0,Auge::N,okó,oculus
1,Ohr::N,uhó,auris
2,Nase::N,nós,nasus
3,Mund::N,ústa,os
4,Zahn::N,zób,dens
5,Zunge::N,jêzik,lingua
6,Lippe::N,ústnica,labrum
7,Wange::N,líce,gena
8,Gesicht::N,oblíčje,vultus
9,Stirn::N,čêlo,frons
10,Haar::N,lás,capillus
11,Schnurrbart::N,bŕki,barba labri superioris
12,Bart::N,bráda,barba
13,Kinn::N,bráda,mentum
14,Kiefer[Anatomie]::N,čeljúst,mala
15,Kehle::N,gŕlo,iugulums
16,Hals::N,vrát,collum
17,Genick::N,zatílnik,cervices
18,Kopf::N,gláva,caput
19,Rücken::N,hrbèt,tergum
20,Bauch::N,trébuh,venter
21,Nabel::N,pópek,umbilicus
22,Busen::N,nédrja,sinus
23,Brust::N,pŕsi,pectus
24,Schulter::N,ráma,umerus
25,Schulter::N,plêče,umerus
26,Arm::N,rôka,bracchium
27,Ellenbogen::N,komólec,cubitum
28,Hand::N,rôka,manus
29,Handfläche::N,dlán,palma
30,Finger::N,pŕst,digitus
31,Fingernagel::N,nóht na rôki,unguiculus
32,Nagel[Anatomie]::N,nóht,unguis
33,Zeh::N,pŕst na nôgi,digitus
34,Fuß::N,nôga,pes
35,Ferse::N,pêta,calx
36,Knie::N,koléno,genu
37,Oberschenkel::N,stêgno,femur
38,Bein::N,nôga,crus
39,Körper::N,teló,corpus
40,Haut::N,kóža,cutis
41,Haut::N,kóža,pellis
42,Blut::N,krí,sanguis
43,Ader::N,žíla,vena
44,Sehne::N,kíta,nervus
45,Knochen::N,kóst,os
46,Gehirn::N,možgáni,cerebrum
47,Herz::N,srcé,cor
48,Herz::N,srcé,animus
49,Magen::N,želódec,stomachus
50,Leber::N,jétra,iecur
51,Atem::N,díh,spiritus
52,Hunger::N,glád,fames
53,Träne::N,sólza,lacrima
54,Geschmack::N,okús,sapor
55,Geschmack::N,okús,gustus
56,Geruch::N,vónj,odor
57,Schlaf::N,sèn,somnus
58,Schlaf::N,spánec,somnus
59,Traum::N,sánje,somnium
60,Himmel::N,nebó,caelum
61,Sonne::N,sónce,sol
62,Mond::N,lúna,luna
63,Mond::N,mésec,luna
64,Stern::N,zvézda,sidus
65,Stern::N,zvézda,stella
66,Luft::N,zràk,aer
67,Wind::N,véter,ventus
68,Welle::N,vál,unda
69,Wasser::N,vôda,aqua
70,Stein::N,kámen,lapis
71,Boden::N,tlà,solum
72,Erde::N,pŕst,terra
73,Erde::N,zêmlja,terra
74,Staub::N,práh,pulvis
75,Rauch::N,dìm,fumus
76,Funke::N,ískra,scintilla
77,Feuer::N,ôgenj,ignis
78,Licht::N,lúč,lux
79,Licht::N,lúč,lumen
80,Schatten::N,sénca,umbra
81,Wetter::N,vrême,caelum
82,Wetter::N,vrême,tempestas
83,Nebel::N,meglà,nebula
84,Wolke::N,oblák,nubes
85,Regen::N,dèž,imber
86,Regen::N,dèž,pluvia
87,Schnee::N,snég,nix
88,Eis::N,léd,glacies
89,Frost::N,zmrzál,gelu
90,Kälte::N,mràz,frigus
91,Hitze::N,pripéka,calor
92,Hitze::N,pripéka,aestus
93,Raureif::N,ívje,pruina
94,Raureif::N,slána,pruina
95,Regenbogen::N,mávrica,arcus
96,Donner::N,gròm,tonitrus
97,Strömung::N,strúja,fluctus
98,Tropfen::N,káplja,gutta
