,Concept_ID,cs,ku
0,Auge::N,oko,çav
1,Ohr::N,ucho,guh
2,Nase::N,nos,bêvil
3,Mund::N,pusa,dev
4,Zahn::N,zub,didan
5,Zunge::N,jazyk,ziman
6,Lippe::N,ret,lêv
7,Wange::N,tvář,dêm
8,Wange::N,tvář,hinarik
9,Gesicht::N,obličej,rû
10,Stirn::N,čelo,enî
11,Haar::N,vlas,por
12,Haar::N,vlasy,por
13,Schnurrbart::N,kníry,simbêl
14,Bart::N,vousy,rih
15,Kinn::N,brada,zenî
16,Kiefer[Anatomie]::N,čelist,arguşk
17,Kehle::N,hrdlo,qirik
18,Hals::N,krk,stû
19,Hals::N,krk,qirik
20,Genick::N,týl,stû
21,Kopf::N,hlava,serî
22,Rücken::N,záda,pişt
23,Rücken::N,hřbet,pişt
24,Bauch::N,břicho,ûr
25,Bauch::N,břicho,zik
26,Nabel::N,pupek,navik
27,Busen::N,ňadra,sîng
28,Brust::N,prsa,sîng
29,Schulter::N,plece,mil
30,Schulter::N,rameno,mil
31,Arm::N,ruka,çepil
32,Ellenbogen::N,loket,enîşk
33,Hand::N,ruka,dest
34,Handfläche::N,dlaň,kefadest
35,Finger::N,prst,tilî
36,Fingernagel::N,nehet,neynuk
37,Nagel[Anatomie]::N,nehet,bizmar
38,Zeh::N,prst u nohy,tilî linga
39,Fuß::N,noha,ling
40,Ferse::N,pata,pahnî
41,Knie::N,koleno,kabok
42,Oberschenkel::N,stehno,rahn
43,Bein::N,noha,çip
44,Körper::N,tělo,laş
45,Körper::N,tělo,gowde
46,Haut::N,kůže,çerm
47,Blut::N,krev,xwîn
48,Ader::N,céva,reh
49,Sehne::N,šlacha,reh
50,Knochen::N,kost,hestî
51,Gehirn::N,mozek,mêjî
52,Herz::N,srdce,dil
53,Magen::N,žaludek,navêş
54,Leber::N,játra,kezeb
55,Atem::N,dech,hilm
56,Hunger::N,hlad,birçîtî
57,Träne::N,slza,hêstir
58,Geschmack::N,vkus,tam
59,Geruch::N,vůně,bêhn
60,Geruch::N,zápach,bêhn
61,Schlaf::N,spánek,xew
62,Traum::N,sen,xewn
63,Himmel::N,nebe,ezman
64,Sonne::N,slunce,roj
65,Mond::N,měsíc,heyv
66,Stern::N,hvězda,stêrk
67,Luft::N,vzduch,ba
68,Wind::N,vítr,ba
69,Welle::N,vlna,şewl
70,Wasser::N,voda,av
71,Stein::N,kámen,kevir
72,Boden::N,půda,herd
73,Erde::N,země,ax
74,Staub::N,prach,toz
75,Rauch::N,dým,dû
76,Rauch::N,kouř,dû
77,Funke::N,jiskra,çirûşk
78,Feuer::N,oheň,agir
79,Licht::N,světlo,ronahî
80,Schatten::N,stín,sî
81,Wetter::N,počasí,hewa
82,Nebel::N,mlha,mij
83,Wolke::N,mrak,ewr
84,Wolke::N,oblak,ewr
85,Regen::N,déšť,baran
86,Schnee::N,sníh,berf
87,Eis::N,led,qeşa
88,Frost::N,mráz,xûsik
89,Kälte::N,chlad,serma
90,Hitze::N,horko,germayî
91,Raureif::N,jinovatka,şext
92,Regenbogen::N,duha,heftreng
93,Donner::N,hrom,gire-gir
94,Strömung::N,proudění,şewl
95,Tropfen::N,kapka,dilop
96,Schaum::N,pěna,kef
97,Schmutz::N,špína,gemar
98,See::N,jezero,gol
99,Sumpf::N,močál,hezek
100,Sumpf::N,bažina,hezek
101,Moor::N,bažina,mafêl
102,Moor::N,slatina,mafêl
103,Wiese::N,louka,sûrik
104,Wald::N,les,çiya
105,Wald::N,les,daristan
106,Hügel::N,kopec,gir
107,Anhöhe::N,pahorek,sere gir
108,Berg::N,hora,kaş
109,Gipfel::N,vrchol,sere gir
110,Höhle::N,jeskyně,şikeft
111,Abhang::N,svah,kaş
112,Abhang::N,stráň,kaş
113,Quelle::N,pramen,kanî
114,Bach::N,potok,çem
115,Fluss::N,řeka,çem
116,Fluss::N,řeka,rûbar
117,Ufer::N,břeh,kevî
118,Küste::N,pobřeží,berav
119,Festland::N,souš,bejahî
120,Festland::N,pevnina,bejahî
121,Meer::N,moře,behr
122,Bucht::N,záliv,derav
123,Bucht::N,zátoka,derav
124,Insel::N,ostrov,girav
125,Blume::N,květina,kulînk
126,Gras::N,tráva,giha
127,Wurzel::N,kořen,reh
128,Baum::N,strom,dar
129,Stamm::N,kmen,bavik
130,Rinde::N,kůra,qaqil
131,Ast::N,větev,gulî
132,Zweig::N,větev,şax
133,Blatt::N,lupen,pel
134,Birke::N,bříza,dara sipî
135,Kiefer[Baum]::N,sosna,dara bî
136,Kiefer[Baum]::N,borovice,dara bî
137,Weide[Baum]::N,vrba,dara belalûk
138,Tanne::N,jedle,merx
139,Horn::N,roh,strô
140,Feder::N,pero,pîrtîk
141,Fell::N,srst,heyar
142,Flügel::N,křídlo,per
143,Klaue::N,dráp,napîk
144,Klaue::N,pazneht,napîk
145,Kralle::N,dráp,dinik
146,Kralle::N,dráp,dirnax
147,Schwanz::N,ocas,dûv
148,Ei::N,vejce,hêk
149,Nest::N,hnízdo,hêlîn
150,Bau::N,nora,avahî
151,Tier::N,zvíře,heywan
152,Herde::N,stádo,hoz
153,Kuh::N,kráva,çêlek
154,Bulle::N,býk,ga
155,Pferd::N,kůň,hesp
156,Schaf::N,ovce,mîh
157,Schwein::N,vepř,beraz
158,Schwein::N,prase,beraz
159,Hund::N,pes,seh
160,Katze::N,kočka,pişîk
