,Concept_ID,zh,sk
0,Auge::N,眼睛,oko
1,Ohr::N,耳朵,ucho
2,Nase::N,鼻子,nos
3,Mund::N,嘴,ústa
4,Zahn::N,牙齿,zub
5,Zunge::N,舌头,jazyk
6,Lippe::N,嘴唇,pera
7,Wange::N,面颊,líce
8,Gesicht::N,脸,tvár
9,Gesicht::N,脸,obličaj
10,Stirn::N,额,čelo
11,Haar::N,头发,vlas
12,Schnurrbart::N,髭须,fúzy
13,Bart::N,胡子,brada
14,Kinn::N,下巴,brada
15,Kiefer[Anatomie]::N,颌,čeľusť
16,Kehle::N,嗓子,hrdlo
17,Hals::N,颈,krk
18,Genick::N,后颈,väzy
19,Kopf::N,头,hlava
20,Rücken::N,背,chrbát
21,Bauch::N,肚子,brucho
22,Nabel::N,肚脐,pupok
23,Busen::N,胸脯,prsia
24,Brust::N,胸,hruď
25,Schulter::N,肩膀,plece
26,Arm::N,臂膀,rameno
27,Ellenbogen::N,肘,lakeť
28,Hand::N,手,ruka
29,Handfläche::N,手掌,dlaň
30,Finger::N,手指,prst
31,Fingernagel::N,指甲,necht
32,Nagel[Anatomie]::N,指甲,necht
33,Zeh::N,脚趾,prst na nohe
34,Fuß::N,脚,noha
35,Ferse::N,后跟,päta
36,Knie::N,膝,koleno
37,Oberschenkel::N,大腿,stehno
38,Bein::N,腿,noha
39,Körper::N,身体,telo
40,Haut::N,皮肤,koža
41,Blut::N,血,krv
42,Ader::N,血管,žila
43,Sehne::N,腱,šľacha
44,Knochen::N,骨,kosť
45,Gehirn::N,脑,mozog
46,Herz::N,心,srdce
47,Magen::N,胃,žalúdok
48,Leber::N,肝,pečeň
49,Atem::N,呼吸,dych
50,Hunger::N,饿,hlad
51,Träne::N,眼泪,slza
52,Geschmack::N,味道,chuť
53,Geruch::N,气味,pach
54,Schlaf::N,睡眠,spánok
55,Traum::N,梦,sen
56,Himmel::N,天空,nebo
57,Sonne::N,太阳,slnko
58,Mond::N,月亮,mesiac
59,Stern::N,星,hviezda
60,Luft::N,空气,vzduch
61,Wind::N,风,vietor
62,Welle::N,波,vlna
63,Wasser::N,水,voda
64,Stein::N,石头,kameň
65,Boden::N,地面,zem
66,Boden::N,地面,pôda
67,Erde::N,地,zem
68,Staub::N,灰尘,prach
69,Rauch::N,烟,dym
70,Funke::N,火花,iskra
71,Feuer::N,火,oheň
72,Licht::N,光,svetlo
73,Schatten::N,影子,tieň
74,Wetter::N,天气,počasie
75,Nebel::N,雾,hmla
76,Wolke::N,云,oblak
77,Wolke::N,云,mračno
78,Regen::N,雨,dážď
79,Schnee::N,雪,sneh
80,Eis::N,冰,ľad
81,Frost::N,霜冻,mráz
82,Kälte::N,寒冷,zima
83,Kälte::N,寒冷,chlad
84,Hitze::N,炎热,horúčava
85,Raureif::N,霜,srieň
86,Raureif::N,霜,inovať
87,Regenbogen::N,虹,dúha
88,Donner::N,雷,hrom
89,Strömung::N,水流,prúdenie
90,Tropfen::N,滴,kvapka
91,Schaum::N,泡沫,pena
92,Schmutz::N,赃物,špina
93,Schmutz::N,赃物,nečistota
94,See::N,湖,jazero
95,Sumpf::N,沼泽,bahno
96,Moor::N,沼泽,močiar
97,Wiese::N,草地,lúka
98,Wald::N,森林,les
99,Wald::N,森林,hora
100,Hügel::N,丘陵,vŕšok
101,Anhöhe::N,山丘,výšina
102,Anhöhe::N,山丘,vyvýšenina
103,Berg::N,山,hora
104,Gipfel::N,峰,vrchol
105,Höhle::N,洞穴,jaskyňa
106,Abhang::N,斜坡,úbočie
107,Quelle::N,泉,prameň
108,Bach::N,溪,potok
109,Fluss::N,河流,rieka
110,Ufer::N,岸,breh
111,Küste::N,海岸,pobrežie
112,Festland::N,大陆,pevnina
113,Meer::N,海,more
114,Bucht::N,海湾,záliv
115,Bucht::N,海湾,zátoka
116,Insel::N,岛,ostrov
117,Blume::N,花,kvet
118,Blume::N,花,kvetina
119,Gras::N,草,tráva
120,Wurzel::N,根,koreň
121,Baum::N,树,strom
122,Stamm::N,树干,kmeň
123,Rinde::N,树皮,kôra
124,Ast::N,树枝,konár
125,Zweig::N,树枝,vetva
126,Blatt::N,叶子,list
127,Birke::N,桦木,breza
128,Kiefer[Baum]::N,松树,sosna
129,Kiefer[Baum]::N,松树,borovica
130,Weide[Baum]::N,柳树,vŕba
