,Concept_ID,ar,cv
0,Auge::N,عين,куҫ
1,Ohr::N,أذن,хӑлха
2,Nase::N,أنف,сӑмса
3,Mund::N,فم,ҫӑвар
4,Zahn::N,سن,шӑл
5,Zunge::N,لسان,чӗлхе
6,Lippe::N,شفة,тута
7,Wange::N,خد,пит ҫӑмарти
8,Wange::N,وجنة,пит ҫӑмарти
9,Gesicht::N,وجه,пит
10,Gesicht::N,وجه,пит-куҫ
11,Stirn::N,جبين,ҫамка
12,Haar::N,شعر,ҫӳҫ
13,Schnurrbart::N,شارب,усси
14,Bart::N,لحية,сухал
15,Kinn::N,ذقن,янах
16,Kiefer[Anatomie]::N,فك,янах
17,Kehle::N,حلق,пыр
18,Kehle::N,حلق,карланкӑ
19,Hals::N,عنق,пыр
20,Hals::N,رقبة,пыр
21,Genick::N,قفا,ӗнсе
22,Kopf::N,رأس,пуҫ
23,Rücken::N,ظهر,ҫурӑм
24,Bauch::N,بطن,
25,Nabel::N,سرة,кӑвапа
26,Busen::N,ثدي,кӑкӑр
27,Brust::N,صدر,умӗ
28,Schulter::N,كتف,хул пуҫҫи
29,Arm::N,ذراع,алӑ
30,Ellenbogen::N,كوع,чавса
31,Hand::N,يد,алӑ сыппи
32,Handfläche::N,كف,ал лаппи
33,Finger::N,إصبع,пӳрне
34,Fingernagel::N,ظفر,чӗрне
35,Nagel[Anatomie]::N,ظفر,чӗрне
36,Zeh::N,إصبع القدم,пӳрне
37,Fuß::N,قدم,ура лаппи
38,Ferse::N,كعب,кӗле
39,Knie::N,ركبة,чӗркуҫҫи
40,Oberschenkel::N,فخذ,пӗҫӗ
41,Bein::N,ساق,ура
42,Körper::N,جسم,ӳт
43,Körper::N,جسم,ӳт-пӳ
44,Haut::N,بشرة,тир
45,Blut::N,دم,юн
46,Ader::N,عرق,вена
47,Sehne::N,طنب,шӑнӑр
48,Knochen::N,عظم,шӑмӑ
49,Gehirn::N,دماغ,миме
50,Herz::N,قلب,чӗре
51,Magen::N,معدة,хырӑмлӑх
52,Leber::N,كبد,пӗвер
53,Atem::N,نفس,сывлав
54,Hunger::N,جوع,выҫлӑх
55,Träne::N,دمعة,куҫҫуль
56,Geschmack::N,طعم,техӗм
57,Geschmack::N,مذاق,техӗм
58,Geruch::N,رائحة,шӑршӑ
59,Schlaf::N,نوم,ыйхӑ
60,Schlaf::N,منام,ыйхӑ
61,Traum::N,حلم,тӗлӗк
62,Himmel::N,سماء,пӗлӗт
63,Sonne::N,شمس,хӗвел
64,Mond::N,قمر,уйӑх
65,Stern::N,نجم,ҫӑлтӑр
66,Stern::N,كوكب,ҫӑлтӑр
67,Luft::N,هواء,сывлӑш
68,Wind::N,ريح,ҫил
69,Welle::N,موجة,хум
70,Wasser::N,ماء,шыв
71,Wasser::N,ماء,шыв-шур
72,Stein::N,حجر,чул
73,Boden::N,تراب,тӑпра
74,Erde::N,أرض,ҫӗр
75,Staub::N,غبار,тусан
76,Rauch::N,دخان,тӗтӗм
77,Funke::N,شرارة,хӗм
78,Feuer::N,نار,вут
79,Feuer::N,نار,ҫулӑм
80,Licht::N,نور,ҫутӑ
81,Licht::N,ضوء,ҫутӑ
82,Schatten::N,ظل,сулхӑн
83,Schatten::N,فيء,сулхӑн
84,Wetter::N,جو,ҫанталӑк
85,Wetter::N,طقس,ҫанталӑк
86,Nebel::N,ضباب,тӗтре
87,Wolke::N,غيمة,пӗлӗт
88,Wolke::N,سحابة,пӗлӗт
89,Regen::N,مطر,ҫумӑр
90,Schnee::N,ثلج,юр
91,Eis::N,جليد,пӑр
92,Frost::N,صقيع,сивӗ
93,Kälte::N,برد,сивӗ
94,Hitze::N,حر,вӗри
95,Hitze::N,حر,шӑрӑх
96,Hitze::N,حرارة,вӗри
97,Hitze::N,حرارة,шӑрӑх
98,Raureif::N,صقيع,пас
99,Regenbogen::N,قوس قزح,асамат кӗперӗ
100,Donner::N,رعد,аслати
101,Strömung::N,تيار,юхӑ
102,Tropfen::N,قطرة,тумлам
103,Schaum::N,زبد,кӑпӑк
104,Schaum::N,رغوة,кӑпӑк
105,Schmutz::N,وسخ,пылчӑк
106,See::N,بحيرة,кӳлӗ
107,Sumpf::N,مستنقع,шур
108,Sumpf::N,مستنقع,шурлӑх
109,Moor::N,مستنقع,торфлӑ шурлӑх
110,Wiese::N,مرج,улӑх
111,Wiese::N,مرج,ҫаран
112,Wald::N,غابة,вӑрман
113,Hügel::N,تل,сӑрт
114,Hügel::N,تل,тӗмеске
115,Anhöhe::N,تل,сӑрт
116,Berg::N,جبل,ту
117,Gipfel::N,قمة,тӳпе
118,Höhle::N,كهف,ҫӗр хӑвӑлӗ
119,Abhang::N,منحدر,тӑвайкки
120,Quelle::N,منبع,ҫӑл куҫ
121,Bach::N,مجرى,пӗчӗк шыв
122,Fluss::N,نهر,юхан шыв
123,Ufer::N,ضفة,ҫыран
124,Küste::N,ساحل,тинӗс ҫыранӗ
125,Festland::N,بر,тип ҫӗр
126,Meer::N,بحر,тинӗс
