,Concept_ID,et,mn
0,Auge::N,silm,нүд
1,Ohr::N,kõrv,чих
2,Nase::N,nina,хамар
3,Mund::N,suu,ам
4,Zahn::N,hammas,шүд
5,Zunge::N,keel,хэл
6,Lippe::N,huul,уруул
7,Wange::N,põsk,хацар
8,Gesicht::N,nägu,царай
9,Gesicht::N,nägu,нүүр
10,Stirn::N,otsmik,дух
11,Haar::N,juus,үс
12,Schnurrbart::N,vurrud,дээд сахал
13,Schnurrbart::N,vurrud,живэр сахал
14,Schnurrbart::N,vuntsid,дээд сахал
15,Schnurrbart::N,vuntsid,живэр сахал
16,Bart::N,habe,сахал
17,Kinn::N,lõug,эрүү
18,Kiefer[Anatomie]::N,lõualuu,эрүү
19,Kehle::N,kõri,хоолой
20,Hals::N,kael,хүзүү
21,Genick::N,kukal,шил
22,Genick::N,kukal,хүзүү
23,Kopf::N,pea,толгой
24,Rücken::N,selg,ар
25,Rücken::N,selg,нуруу
26,Bauch::N,kõht,хэвлий
27,Bauch::N,kõht,гэдэс
28,Nabel::N,naba,хүйс
29,Busen::N,rind,хөх
30,Brust::N,rind,цээж
31,Schulter::N,õlg,мөр
32,Schulter::N,õlg,бугалга
33,Arm::N,käsivars,гар
34,Ellenbogen::N,küünarnukk,тохой
35,Hand::N,käsi,гар
36,Hand::N,käsi,алга
37,Handfläche::N,pihk,алга
38,Finger::N,sõrm,хуруу
39,Fingernagel::N,küüs,хурууны хумс
40,Nagel[Anatomie]::N,küüs,хумс
41,Zeh::N,varvas,хуруу
42,Fuß::N,jalg,хөл
43,Ferse::N,kand,өсгий
44,Knie::N,põlv,өвдөг
45,Oberschenkel::N,reis,гуя
46,Bein::N,jalg,хөл
47,Körper::N,ihu,бие
48,Körper::N,keha,бие
49,Haut::N,nahk,арьс
50,Blut::N,veri,цус
51,Ader::N,veen,судас
52,Sehne::N,kõõlus,бүлх
53,Sehne::N,kõõlus,шандас
54,Knochen::N,luu,яс
55,Gehirn::N,aju,тархи
56,Herz::N,süda,зүрх
57,Magen::N,magu,ходоод
58,Leber::N,maks,элэг
59,Atem::N,hingeõhk,амьсгаа
60,Atem::N,hingamine,амьсгаа
61,Hunger::N,nälg,өлсгөлөн
62,Träne::N,pisar,нулимс
63,Geschmack::N,maitse,амт
64,Geruch::N,lõhn,үнэр
65,Schlaf::N,uni,нойр
66,Traum::N,unenägu,зүүд
67,Himmel::N,taevas,тэнгэр
68,Himmel::N,taevas,огторгуй
69,Sonne::N,päike,нар
70,Mond::N,kuu,сар
71,Stern::N,täht,од
72,Luft::N,õhk,агаар
73,Wind::N,tuul,салхи
74,Welle::N,laine,долгио
75,Welle::N,laine,давалгаа
76,Wasser::N,vesi,ус
77,Stein::N,kivi,чулуу
78,Boden::N,maa,хөрс
79,Boden::N,pinnas,хөрс
80,Erde::N,maa,газар
81,Erde::N,maa,шороо
82,Staub::N,põrm,тоос
83,Rauch::N,suits,утаа
84,Funke::N,säde,оч
85,Feuer::N,tuli,гал
86,Licht::N,valgus,гэрэл
87,Licht::N,valgus,гэгээ
88,Schatten::N,vari,сүүдэр
89,Wetter::N,ilm,тэнгэр
90,Wetter::N,ilm,цаг уур
91,Nebel::N,udu,будан
92,Wolke::N,pilv,үүл
93,Regen::N,sadu,бороо
94,Schnee::N,lumi,цас
95,Eis::N,jää,мөс
96,Frost::N,pakane,хүйт
97,Kälte::N,külm,хүйт
98,Kälte::N,külmus,хүйт
99,Hitze::N,kuumus,халуун
100,Hitze::N,palavus,халуун
101,Raureif::N,härmatis,цан
102,Raureif::N,härmatis,хяруу
103,Regenbogen::N,vikerkaar,солонго
104,Donner::N,kõu,тэнгэрийн дуу
105,Donner::N,müristamine,тэнгэрийн дуу
106,Strömung::N,voolus,урсгал
107,Strömung::N,jõevool,урсгал
108,Tropfen::N,tilk,дусал
109,Schaum::N,vaht,хөөс
110,Schmutz::N,pori,хир
111,Schmutz::N,pori,шавхай
