,Concept_ID,no,ar
0,Auge::N,øye,عين
1,Ohr::N,øre,أذن
2,Nase::N,nese,أنف
3,Mund::N,munn,فم
4,Zahn::N,tann,سن
5,Zunge::N,tunge,لسان
6,Lippe::N,leppe,شفة
7,Wange::N,kinn,خد
8,Wange::N,kinn,وجنة
9,Gesicht::N,fjes,وجه
10,Gesicht::N,ansikt,وجه
11,Stirn::N,panne,جبين
12,Haar::N,hår,شعر
13,Schnurrbart::N,bart,شارب
14,Bart::N,skjegg,لحية
15,Kinn::N,hake,ذقن
16,Kiefer[Anatomie]::N,kjeve,فك
17,Kehle::N,strupe,حلق
18,Hals::N,hals,عنق
19,Hals::N,hals,رقبة
20,Genick::N,nakke,قفا
21,Kopf::N,hode,رأس
22,Rücken::N,rygg,ظهر
23,Bauch::N,buk,بطن
24,Bauch::N,mage,بطن
25,Nabel::N,navle,سرة
26,Busen::N,barm,ثدي
27,Brust::N,bryst,صدر
28,Schulter::N,skulder,كتف
29,Arm::N,arm,ذراع
30,Ellenbogen::N,albue,كوع
31,Hand::N,hånd,يد
32,Handfläche::N,håndflate,كف
33,Finger::N,finger,إصبع
34,Fingernagel::N,fingernegl,ظفر
35,Nagel[Anatomie]::N,negl,ظفر
36,Zeh::N,tå,إصبع القدم
37,Fuß::N,fot,قدم
38,Ferse::N,hæl,كعب
39,Knie::N,kne,ركبة
40,Oberschenkel::N,lår,فخذ
41,Bein::N,bein,ساق
42,Körper::N,kropp,جسم
43,Körper::N,legeme,جسم
44,Haut::N,hud,بشرة
45,Haut::N,skinn,بشرة
46,Blut::N,blod,دم
47,Ader::N,åre,عرق
48,Sehne::N,sene,طنب
49,Knochen::N,bein,عظم
50,Knochen::N,knokkel,عظم
51,Gehirn::N,hjerne,دماغ
52,Herz::N,hjerte,قلب
53,Magen::N,mage,معدة
54,Leber::N,lever,كبد
55,Atem::N,pust,نفس
56,Hunger::N,sult,جوع
57,Träne::N,tåre,دمعة
58,Geschmack::N,smak,طعم
59,Geschmack::N,smak,مذاق
60,Geruch::N,lukt,رائحة
61,Schlaf::N,søvn,نوم
62,Schlaf::N,søvn,منام
63,Traum::N,drøm,حلم
64,Himmel::N,himmel,سماء
65,Sonne::N,sol,شمس
66,Mond::N,måne,قمر
67,Stern::N,stjerne,نجم
68,Stern::N,stjerne,كوكب
69,Luft::N,luft,هواء
70,Wind::N,vind,ريح
71,Welle::N,bølge,موجة
72,Wasser::N,vann,ماء
73,Stein::N,stein,حجر
74,Boden::N,bakke,تراب
75,Erde::N,jord,أرض
76,Staub::N,støv,غبار
77,Rauch::N,røyk,دخان
78,Funke::N,gnist,شرارة
79,Feuer::N,ild,نار
80,Licht::N,lys,نور
81,Licht::N,lys,ضوء
82,Schatten::N,skygge,ظل
83,Schatten::N,skygge,فيء
84,Wetter::N,vær,جو
85,Wetter::N,vær,طقس
86,Nebel::N,tåke,ضباب
87,Wolke::N,sky,غيمة
88,Wolke::N,sky,سحابة
89,Regen::N,regn,مطر
90,Schnee::N,snø,ثلج
91,Eis::N,is,جليد
92,Frost::N,frost,صقيع
93,Kälte::N,kulde,برد
94,Hitze::N,hete,حر
95,Hitze::N,hete,حرارة
96,Raureif::N,rimfrost,صقيع
97,Regenbogen::N,regnbue,قوس قزح
98,Donner::N,torden,رعد
99,Strömung::N,strømning,تيار
100,Tropfen::N,dråpe,قطرة
101,Schaum::N,skum,زبد
102,Schaum::N,skum,رغوة
103,Schmutz::N,søl,وسخ
104,Schmutz::N,skitt,وسخ
105,See::N,sjø,بحيرة
106,Sumpf::N,sump,مستنقع
107,Sumpf::N,myrlende,مستنقع
108,Moor::N,myr,مستنقع
109,Moor::N,myrhei,مستنقع
110,Wiese::N,eng,مرج
111,Wald::N,skog,غابة
112,Hügel::N,haug,تل
113,Hügel::N,bakke,تل
114,Anhöhe::N,haug,تل
115,Anhöhe::N,bakke,تل
116,Berg::N,berg,جبل
117,Berg::N,fjell,جبل
118,Gipfel::N,topp,قمة
119,Höhle::N,hule,كهف
120,Abhang::N,li,منحدر
121,Abhang::N,skråning,منحدر
122,Quelle::N,kilde,منبع
123,Bach::N,bekk,مجرى
124,Fluss::N,elv,نهر
125,Ufer::N,bredd,ضفة
126,Küste::N,kyst,ساحل
127,Festland::N,fastland,بر
128,Meer::N,hav,بحر
129,Bucht::N,bukt,خليج
130,Insel::N,øy,جزيرة
131,Blume::N,blomst,زهرة
132,Gras::N,gress,حشيش
133,Wurzel::N,rot,أصل
134,Baum::N,tre,شجرة
135,Stamm::N,stamme,جذع
136,Rinde::N,bark,قشرة
137,Ast::N,gren,فرع
138,Zweig::N,kvist,غصن
139,Blatt::N,blad,ورقة
140,Birke::N,bjørk,قضبان
141,Kiefer[Baum]::N,furu,صنوبرة
142,Weide[Baum]::N,selje,صفصاف
143,Weide[Baum]::N,piletre,صفصاف
144,Tanne::N,gran,شوح
145,Tanne::N,gran,تبوب
146,Horn::N,horn,قرن
147,Feder::N,fjær,ريشة
148,Fell::N,skinn,فرو
149,Flügel::N,vinge,جناح
150,Klaue::N,klauv,مخلب
151,Kralle::N,klo,مخلب
152,Schwanz::N,hale,ذيل
153,Ei::N,egg,بيض
154,Nest::N,rede,عش
155,Bau::N,hi,جحر
156,Tier::N,dyr,حيوان
157,Herde::N,flokk,قطيع
158,Kuh::N,ku,بقرة
159,Bulle::N,tyr,ثور
160,Pferd::N,hest,خيل
161,Schaf::N,får,شاة
162,Schwein::N,gris,خنزير
163,Hund::N,hund,كلب
164,Katze::N,katt,قطة
165,Bär::N,bjørn,دب
166,Eichhörnchen::N,ekorn,سنجاب
167,Elch::N,elg,موظ
168,Fuchs::N,rev,ثعلب
169,Hase::N,hare,أرنب
170,Maus::N,mus,فأرة
171,Wolf::N,ulv,ذئب
172,Wolf::N,varg,ذئب
173,Vogel::N,fugl,طير
174,Schwarm::N,sverm,سرب
175,Huhn::N,høne,دجاجة
176,Hahn::N,hane,ديك
177,Gans::N,gås,وزة
178,Adler::N,ørn,نسر
179,Ente::N,and,بطة
180,Eule::N,ugle,بوم
181,Kranich::N,trane,كركي
182,Krähe::N,kråke,غراب
183,Kuckuck::N,gjøk,وقواق
184,Schwan::N,svane,إوز عراقي
185,Fisch::N,fisk,سمك
186,Barsch::N,abbor,فرخ أوربي
187,Hecht::N,gjedde,سمك الكراكي
188,Schlange[Tier]::N,orm,حية
189,Schlange[Tier]::N,orm,ثعبان
