,Concept_ID,kl,ta
0,Auge::N,isi,கண்
1,Ohr::N,siut,காது
2,Mund::N,paaq,வாய்
3,Mund::N,qaneq,வாய்
4,Zahn::N,kigut,பல்
5,Zunge::N,oqaq,நாக்கு
6,Lippe::N,qarloq,உதடு
7,Wange::N,ersaq,கன்னம்
8,Gesicht::N,kiinaq,முகம்
9,Stirn::N,qaaq,முன்னெற்றி
10,Haar::N,meqqoq,முடி
11,Bart::N,umik,தாடி
12,Kinn::N,talloq,கீழதாடை
13,Kiefer[Anatomie]::N,alleroq,தாடை
14,Kehle::N,malaq,தொண்டை
15,Hals::N,qungaseq,கழுத்து
16,Genick::N,pukusuk,கழுத்து
17,Kopf::N,niaqoq,தலை
18,Rücken::N,qimerlut,முதுகு
19,Bauch::N,naaq,வயிறு
20,Nabel::N,qalaseq,தொப்புள்
21,Busen::N,iviangeq,மார்பகம்
22,Brust::N,iviangeq, மார்பு
23,Schulter::N,ersik,தோள்பட்டை
24,Schulter::N,assaqqoq,தோள்பட்டை
25,Arm::N,taleq,கரம்
26,Ellenbogen::N,ikusik,முழங்கை
27,Hand::N,assak,கை
28,Handfläche::N,itumak,உள்ளங்கை
29,Finger::N,inuak,விரல்
30,Fingernagel::N,kikiak,விரல் நகம்
31,Nagel[Anatomie]::N,kukik,நகம்
32,Zeh::N,isigak,கால்விரல்
33,Ferse::N,kimmik,குதிகால்
34,Knie::N,seeqqoq,முழங்கால்
35,Oberschenkel::N,uppat,தொடை
36,Oberschenkel::N,quttoraq,தொடை
37,Bein::N,isigak,கால்
38,Körper::N,timi,உடல்
39,Haut::N,mattak,சருமம்
40,Blut::N,aak,இரத்தம்
41,Ader::N,taqaq,நாளம்
42,Sehne::N,ujalu,தசைநார்
43,Sehne::N,ujaloq,தசைநார்
44,Knochen::N,saanikut,எலுமபு
45,Gehirn::N,qarasaq,மூனை
46,Herz::N,uummat,இதயம
47,Magen::N,aqajaroq,வயிறு
48,Leber::N,tinguk,கல்லீரல்
49,Atem::N,anerneq,மூச்சு
50,Hunger::N,kaanneq,பசி
51,Träne::N,qia,கண்ணீர்
52,Träne::N,qiak,கண்ணீர்
53,Geschmack::N,qilanaartuut,நறுமணம்
54,Geruch::N,tipi,துர்நாற்றம்
55,Geruch::N,tipik,துர்நாற்றம்
56,Traum::N,sinnattoq,கனவு
57,Traum::N,sinnattugaq,கனவு
58,Himmel::N,qilak,வானம்
59,Sonne::N,seqineq,சூரியன்
60,Mond::N,qaammat,சந்திரன்
61,Stern::N,ulloriaq,நட்சத்திரம்
62,Luft::N,silaannaq,காறறு
63,Wind::N,anori,காற்று
64,Wind::N,anorsarik,காற்று
65,Welle::N,aalappaa,அலை
66,Wasser::N,imeq,நீர்
67,Stein::N,ujarak,கல்
68,Boden::N,nateq,தரை
69,Erde::N,issoq,மண்
70,Staub::N,pujualanerit,தூசி
71,Staub::N,pujoralanerit,தூசி
72,Rauch::N,iseq,புகை
73,Rauch::N,pujoq,புகை
74,Funke::N,illoorneq,தீப்பொறி
75,Feuer::N,inneq,தீ
76,Licht::N,qaamaneq,வெளிச்சம்
77,Schatten::N,tarraq,நிழல்
78,Wetter::N,sila,வானிலை
79,Nebel::N,pujoq,பனிமூட்டம்
80,Wolke::N,nuia,மேகம்
81,Regen::N,sialuk,மழை
82,Schnee::N,aput,உறைபனி
83,Eis::N,siku,பனிக்கட்டி
84,Frost::N,issi,உறைபனி
85,Frost::N,issik,உறைபனி
86,Kälte::N,issi,குளிர்ந்த
87,Hitze::N,kianneq,சூடு
88,Hitze::N,kiassuseq,சூடு
89,Raureif::N,kaneq,உறைபனி வெண்திரை
90,Regenbogen::N,neriusaaq,வானவில்
91,Donner::N,kalleq,இடி
92,Tropfen::N,kuseriarneq,துளி
93,Schaum::N,qapuk,நுரை
94,Schmutz::N,minguk,அழுக்கு
95,See::N,taseq,ஏரி
96,Sumpf::N,maqulluk,சதுப்பு நிலம்
97,Wiese::N,masarsuk,பசும் புல்தரை
98,Hügel::N,qattuneq,குன்று
99,Hügel::N,majuariaq,குன்று
100,Hügel::N,majorajaaq,குன்று
101,Hügel::N,qaqqannguaq,குன்று
102,Berg::N,qaqqaq,மலை
103,Höhle::N,qaarusuk,குகை
104,Abhang::N,ippik,சரிவு
105,Abhang::N,sivinganeq,சரிவு
106,Abhang::N,sivingajaaq,சரிவு
107,Abhang::N,kussangajaaq,சரிவு
108,Bach::N,kuunnguaq,ஓடை
109,Fluss::N,kuuk,ஆறு
110,Ufer::N,sissap sinaa,நீர்க்கரை
111,Küste::N,sineriak,கடற்கரை
112,Meer::N,imaq,கடல்
113,Bucht::N,ikeq,சிறுகுடா
114,Bucht::N,kangerluk,சிறுகுடா
115,Bucht::N,kangerliumaneq,சிறுகுடா
116,Insel::N,qeqertaq,தீவு
117,Blume::N,naasoq,பூ
118,Gras::N,ivigaq,புல்தரை
119,Wurzel::N,niulutaq,வேர்
120,Baum::N,orpik,மரம்
121,Stamm::N,kanaartaq,அடிமரம்
122,Rinde::N,ameraq,பட்டை
123,Rinde::N,ameraq,மரப்பட்டை
124,Ast::N,avalequt,கினை
125,Zweig::N,avalequt,குச்சி
126,Blatt::N,pilutaq,இலை
127,Birke::N,patitsit,பிர்ச் மரம்
128,Weide[Baum]::N,palleq,மர வகைகளுள் ஒன்று
129,Tanne::N,orsuerneq,சாதிக்கய்
130,Horn::N,nassuk,கொம்பு
131,Feder::N,suluk,இறகு
132,Fell::N,ameq,மென்முடி
133,Flügel::N,suluk,இறக்கை
134,Flügel::N,isaroq,இறக்கை
135,Klaue::N,kukik,நகம்
136,Kralle::N,kukik,நகம்
137,Schwanz::N,pamioq,வால்
138,Schwanz::N,paperuusaq,வால்
139,Ei::N,mannik,முட்டை
140,Nest::N,ullut,கூடு
141,Bau::N,ini,குகை
142,Tier::N,uumasoq,விலங்கு
143,Herde::N,unguukkat,கூட்டம்
144,Kuh::N,ussik,பசு
145,Bulle::N,angukulak,காளை
146,Bulle::N,anguteralak,காளை
147,Bulle::N,angutikulooq,காளை
148,Schaf::N,sava,செம்மறிஆடு
149,Schwein::N,puuluki,பன்றி
150,Hund::N,qimmeq,நாய்
151,Katze::N,puisaaq,பூனை
152,Bär::N,allaq,கரடி
153,Eichhörnchen::N,sissinnguaq,அணில்
154,Fuchs::N,terianniaq,நரி
155,Hase::N,ukaleq,முயல்
156,Maus::N,teriannguaq,எலி
157,Wolf::N,amaroq,ஓநாய்
158,Vogel::N,timmiaq,பறவை
159,Huhn::N,kukkukooq,கோழிக்குஞசு
160,Huhn::N,marloraaqaaq,கோழிக்குஞசு
161,Hahn::N,kiasiusaq,சேவல்
162,Gans::N,nerleq,பெண் வாத்து
163,Adler::N,nattoralik,பருநது
164,Eule::N,uppik,ஆந்தை
