,Concept_ID,se,ro
0,Auge::N,tjelmie,ochi
1,Auge::N,tjalmme,ochi
2,Auge::N,čalbmi,ochi
3,Auge::N,čalme,ochi
4,Auge::N,čâ´lmm,ochi
5,Auge::N,ча̄лльм,ochi
6,Ohr::N,bieljie,ureche
7,Ohr::N,biellje,ureche
8,Ohr::N,beallji,ureche
9,Ohr::N,pelji,ureche
10,Ohr::N,pe´llj,ureche
11,Ohr::N,пе̄лльй,ureche
12,Nase::N,njuenie,nas
13,Nase::N,njunnje,nas
14,Nase::N,njunni,nas
15,Nase::N,njuṇe,nas
16,Nase::N,njuu´nn,nas
17,Nase::N,нюннҍ,nas
18,Mund::N,njaelmie,gură
19,Mund::N,njálmme,gură
20,Mund::N,njálbmi,gură
21,Mund::N,njälmi,gură
22,Mund::N,njä´lmm,gură
23,Mund::N,ня̄лльм,gură
24,Zahn::N,baenie,dinte
25,Zahn::N,bádne,dinte
26,Zahn::N,bátni,dinte
27,Zahn::N,pääṇi,dinte
28,Zahn::N,pää´nn,dinte
29,Zahn::N,па̄ннҍ,dinte
30,Zunge::N,njoektjeme,limbă
31,Zunge::N,njuovtjav,limbă
32,Zunge::N,njuovčča,limbă
33,Zunge::N,njuovčâ,limbă
34,Zunge::N,njuhččâm,limbă
35,Zunge::N,нюхчем,limbă
36,Lippe::N,bangseme,buză
37,Lippe::N,njálmmerabdda,buză
38,Lippe::N,bavssa,buză
39,Lippe::N,poovsâ,buză
40,Lippe::N,põõus,buză
41,Lippe::N,пэ̄кс,buză
42,Wange::N,skiehrie,bucă
43,Wange::N,skiehrie,obraz
44,Wange::N,nierra,bucă
45,Wange::N,nierra,obraz
46,Wange::N,muohtu,bucă
47,Wange::N,muohtu,obraz
48,Wange::N,nieṛâ,bucă
49,Wange::N,nieṛâ,obraz
50,Wange::N,njiõrr,bucă
51,Wange::N,njiõrr,obraz
52,Wange::N,нӣрр,bucă
53,Wange::N,нӣрр,obraz
54,Gesicht::N,ååredæjja,față
55,Gesicht::N,ååredæjja,figură
56,Gesicht::N,muohto,față
57,Gesicht::N,muohto,figură
58,Gesicht::N,muođut,față
59,Gesicht::N,muođut,figură
60,Gesicht::N,ámadadju,față
61,Gesicht::N,ámadadju,figură
62,Gesicht::N,muáđuh,față
63,Gesicht::N,muáđuh,figură
64,Gesicht::N,muâđ,față
65,Gesicht::N,muâđ,figură
66,Gesicht::N,ка̄ссв,față
67,Gesicht::N,ка̄ссв,figură
68,Stirn::N,gaalloe,frunte
69,Stirn::N,gállo,frunte
70,Stirn::N,gállu,frunte
71,Stirn::N,kállu,frunte
72,Stirn::N,käll,frunte
73,Stirn::N,вуэххьц,frunte
74,Haar::N,voepte,păr
75,Haar::N,vuoppta,păr
76,Haar::N,vuokta,păr
77,Haar::N,vuop'tâ,păr
78,Haar::N,vuõpt,păr
79,Haar::N,вӯппт,păr
80,Schnurrbart::N,bijjie-skaavtjoe,mustață
81,Schnurrbart::N,njunjevuolskávttjá,mustață
82,Schnurrbart::N,seamu,mustață
83,Schnurrbart::N,siämu,mustață
84,Schnurrbart::N,ää´bben,mustață
85,Schnurrbart::N,о̄а̄бпан,mustață
86,Bart::N,skaavtja,barbă
87,Bart::N,skaavtjoe,barbă
88,Bart::N,skávttjá,barbă
89,Bart::N,seamu,barbă
90,Bart::N,siämu,barbă
91,Bart::N,seäm,barbă
92,Bart::N,ся̄м,barbă
93,Kinn::N,gaejpie,bărbie
94,Kinn::N,gájbbe,bărbie
95,Kinn::N,gáibi,bărbie
96,Kinn::N,käibi,bărbie
97,Kinn::N,käi´bb,bărbie
98,Kinn::N,ка̄ййп,bărbie
99,Kiefer[Anatomie]::N,gaejpie,falcă
100,Kiefer[Anatomie]::N,oalol,falcă
101,Kiefer[Anatomie]::N,oaloldákte,falcă
102,Kiefer[Anatomie]::N,gáibi,falcă
103,Kiefer[Anatomie]::N,uá'lultähti,falcă
104,Kiefer[Anatomie]::N,vuâl'lõš,falcă
105,Kiefer[Anatomie]::N,вуаллнешш,falcă
106,Kehle::N,gealoe,beregată
107,Kehle::N,tjåttå,beregată
108,Kehle::N,njiello,beregată
109,Kehle::N,čotta,beregată
110,Kehle::N,čuudâ,beregată
111,Kehle::N,čoodd,beregată
112,Kehle::N,чонт,beregată
113,Kehle::N,кэ̄ҏс,beregată
114,Hals::N,tjeapohke,gât
115,Hals::N,tjiebet,gât
116,Hals::N,čeabet,gât
117,Hals::N,čiäppát,gât
118,Hals::N,čeäppat,gât
119,Hals::N,ча̄пэх,gât
120,Genick::N,tjovrese,ceafă
121,Genick::N,nisske,ceafă
122,Genick::N,niehkki,ceafă
123,Genick::N,niski,ceafă
124,Genick::N,niek'ki,ceafă
125,Genick::N,nji´šǩǩmaadd,ceafă
126,Genick::N,нышшькмоант,ceafă
127,Kopf::N,åejjie,cap
128,Kopf::N,oajvve,cap
129,Kopf::N,oaivi,cap
130,Kopf::N,uái'vi,cap
131,Kopf::N,vuei´vv,cap
132,Kopf::N,вуэййв,cap
133,Rücken::N,rudtje,dos
134,Rücken::N,rudtje,spate
135,Rücken::N,rudtje,spinare
136,Rücken::N,hárddo,dos
137,Rücken::N,hárddo,spate
138,Rücken::N,hárddo,spinare
139,Rücken::N,tjavelk,dos
140,Rücken::N,tjavelk,spate
141,Rücken::N,tjavelk,spinare
142,Rücken::N,sealgi,dos
143,Rücken::N,sealgi,spate
144,Rücken::N,sealgi,spinare
145,Rücken::N,selgi,dos
146,Rücken::N,selgi,spate
147,Rücken::N,selgi,spinare
148,Rücken::N,čielgi,dos
149,Rücken::N,čielgi,spate
150,Rücken::N,čielgi,spinare
151,Rücken::N,seä´lǧǧ,dos
152,Rücken::N,seä´lǧǧ,spate
153,Rücken::N,seä´lǧǧ,spinare
154,Rücken::N,се̄лльк,dos
155,Rücken::N,се̄лльк,spate
156,Rücken::N,се̄лльк,spinare
157,Bauch::N,tjåejjie,burtă
158,Bauch::N,tjåejjie,pântece
159,Bauch::N,tjoajvve,burtă
160,Bauch::N,tjoajvve,pântece
161,Bauch::N,čoavji,burtă
162,Bauch::N,čoavji,pântece
163,Bauch::N,čuáv'ji,burtă
164,Bauch::N,čuáv'ji,pântece
165,Bauch::N,čåu´jj,burtă
166,Bauch::N,čåu´jj,pântece
