,Concept_ID,fr,ja
0,Auge::N,œil,目
1,Ohr::N,oreille,耳
2,Nase::N,nez,鼻
3,Mund::N,bouche,口
4,Zahn::N,dent,歯
5,Zunge::N,langue,舌
6,Lippe::N,lèvre,唇
7,Wange::N,joue,頬
8,Gesicht::N,face,顔
9,Gesicht::N,visage,顔
10,Stirn::N,front,額
11,Haar::N,cheveu,髪
12,Schnurrbart::N,moustache,口髭
13,Bart::N,barbe,髭
14,Kinn::N,menton,顎
15,Kiefer[Anatomie]::N,mâchoire,顎
16,Kehle::N,gorge,喉
17,Hals::N,cou,首
18,Genick::N,nuque,首
19,Kopf::N,tête,頭
20,Rücken::N,dos,背中
21,Bauch::N,ventre,腹
22,Bauch::N,ventre,お腹
23,Nabel::N,nombril,へそ
24,Busen::N,sein,乳房
25,Brust::N,poitrine,胸
26,Schulter::N,épaule,肩
27,Arm::N,bras,腕
28,Ellenbogen::N,coude,肘
29,Hand::N,main,手
30,Handfläche::N,paume,手のひら
31,Finger::N,doigt,指
32,Fingernagel::N,ongle,爪
33,Nagel[Anatomie]::N,ongle,爪
34,Zeh::N,orteil,足の指
35,Zeh::N,doigt de pied,足の指
36,Fuß::N,pied,足
37,Ferse::N,talon,かかと
38,Knie::N,genou,膝
39,Oberschenkel::N,cuisse,上腿
40,Bein::N,jambe,足
41,Körper::N,corps,体
42,Haut::N,peau,皮膚
43,Blut::N,sang,血
44,Ader::N,veine,血管
45,Sehne::N,tendon,腱
46,Knochen::N,os,骨
47,Gehirn::N,cerveau,脳
48,Herz::N,cœur,心
49,Herz::N,cœur,心臓
50,Magen::N,estomac,胃
51,Leber::N,foie,肝臓
52,Atem::N,haleine,息
53,Atem::N,haleine,呼吸
54,Hunger::N,faim,空腹
55,Träne::N,larme,涙
56,Geschmack::N,goût,味
57,Geschmack::N,saveur,味
58,Geruch::N,odeur,匂い
59,Schlaf::N,sommeil,睡眠
60,Traum::N,songe,夢
61,Himmel::N,ciel,空
62,Sonne::N,soleil,太陽
63,Mond::N,lune,月
64,Stern::N,étoile,星
65,Luft::N,air,空気
66,Wind::N,vent,風
67,Welle::N,vague,波
68,Wasser::N,eau,水
69,Stein::N,pierre,石
70,Boden::N,sol,土地
71,Boden::N,terrain,土地
72,Erde::N,terre,土
73,Staub::N,poussière,埃
74,Rauch::N,fumée,煙
75,Funke::N,étincelle,火花
76,Feuer::N,feu,火
77,Licht::N,lumière,光
78,Schatten::N,ombre,陰
79,Wetter::N,temps,天気
80,Nebel::N,brume,霧
81,Nebel::N,brouillard,霧
82,Wolke::N,nuage,雲
83,Regen::N,pluie,雨
84,Schnee::N,neige,雪
85,Eis::N,glace,氷
86,Frost::N,gel,霜
87,Frost::N,gelée,霜
88,Kälte::N,froid,寒さ
89,Hitze::N,chaleur,暑さ
90,Raureif::N,givre,霧氷
91,Regenbogen::N,arc-en-ciel,虹
92,Donner::N,tonnerre,雷
93,Strömung::N,courant,流れ
94,Tropfen::N,goutte,滴
95,Schaum::N,écume,泡
96,Schaum::N,mousse,泡
97,Schmutz::N,boue,汚れ
98,Schmutz::N,saleté,汚れ
99,See::N,lac,湖
100,Sumpf::N,marais,沼
101,Sumpf::N,marécage,沼
102,Moor::N,tourbière,湿原
103,Wiese::N,pré,草原
104,Wald::N,bois,森
105,Wald::N,forêt,森
106,Hügel::N,coteau,丘
107,Hügel::N,colline,丘
108,Anhöhe::N,éminence,高み
109,Anhöhe::N,élévation,高み
110,Berg::N,mont,山
111,Berg::N,montagne,山
112,Gipfel::N,cime,頂上
113,Gipfel::N,sommet,頂上
114,Höhle::N,caverne,洞窟
115,Abhang::N,pente,斜面
116,Abhang::N,versant,斜面
117,Quelle::N,source,泉
118,Quelle::N,fontaine,泉
119,Bach::N,ruisseau,小川
120,Fluss::N,fleuve,川
121,Fluss::N,rivière,川
122,Ufer::N,bord,岸
123,Ufer::N,rivage,岸
124,Küste::N,côte,海岸
125,Festland::N,terre ferme,陸
126,Meer::N,mer,海
127,Bucht::N,baie,湾
128,Insel::N,île,島
129,Blume::N,fleur,花
130,Gras::N,herbe,草
131,Wurzel::N,racine,根
132,Baum::N,arbre,木
133,Stamm::N,tronc,幹
