,Concept_ID,sl,uz
0,Auge::N,okó,ko'z
1,Ohr::N,uhó,quloq
2,Nase::N,nós,burun
3,Mund::N,ústa,og'iz
4,Zahn::N,zób,tish
5,Zunge::N,jêzik,til
6,Lippe::N,ústnica,dudoq
7,Wange::N,líce,bet
8,Gesicht::N,oblíčje,yuz
9,Stirn::N,čêlo,manglay
10,Haar::N,lás,soch
11,Schnurrbart::N,bŕki,mo'ylov
12,Bart::N,bráda,soqol
13,Kinn::N,bráda,ängak
14,Kiefer[Anatomie]::N,čeljúst,iyak
15,Kehle::N,gŕlo,bo'g'iz
16,Hals::N,vrát,bo'yin
17,Genick::N,zatílnik,gardan
18,Kopf::N,gláva,bosh
19,Rücken::N,hrbèt,orqa
20,Bauch::N,trébuh,qorin
21,Nabel::N,pópek,kindik
22,Busen::N,nédrja,ämchak
23,Brust::N,pŕsi,ko'krak
24,Schulter::N,ráma,elka
25,Schulter::N,plêče,elka
26,Arm::N,rôka,bilak
27,Ellenbogen::N,komólec,tirsak
28,Hand::N,rôka,qo'l
29,Handfläche::N,dlán,kaft
30,Finger::N,pŕst,barmoq
31,Fingernagel::N,nóht na rôki,tirnoq
32,Nagel[Anatomie]::N,nóht,tirnoq
33,Zeh::N,pŕst na nôgi,oyoq barmog'i
34,Fuß::N,nôga,oyoq
35,Ferse::N,pêta,tovon
36,Knie::N,koléno,tiz
37,Oberschenkel::N,stêgno,son
38,Bein::N,nôga,oyoq
39,Körper::N,teló,badna
40,Haut::N,kóža,teri
41,Blut::N,krí,qon
42,Ader::N,žíla,qon tomir
43,Sehne::N,kíta,tomir
44,Knochen::N,kóst,suyak
45,Gehirn::N,možgáni,miya
46,Herz::N,srcé,qalb
47,Magen::N,želódec,oshqozon
48,Leber::N,jétra,bag'ir
49,Atem::N,díh,dam
50,Hunger::N,glád,ochlik
51,Träne::N,sólza,yosh
52,Geschmack::N,okús,tam
53,Geruch::N,vónj,jid
54,Schlaf::N,sèn,uyqu
55,Schlaf::N,spánec,uyqu
56,Traum::N,sánje,tush
57,Himmel::N,nebó,osmon
58,Sonne::N,sónce,quyosh
59,Mond::N,lúna,oy
60,Mond::N,mésec,oy
61,Stern::N,zvézda,yulduz
62,Luft::N,zràk,havo
63,Wind::N,véter,el
64,Welle::N,vál,to'lqin
65,Wasser::N,vôda,suv
66,Stein::N,kámen,tosh
67,Boden::N,tlà,tuproq
68,Erde::N,pŕst,er
69,Erde::N,zêmlja,er
70,Staub::N,práh,chang
71,Rauch::N,dìm,tutun
72,Funke::N,ískra,yalt
73,Feuer::N,ôgenj,o't
74,Licht::N,lúč,yorug'
75,Schatten::N,sénca,soya
76,Wetter::N,vrême,havo
77,Nebel::N,meglà,tuman
78,Wolke::N,oblák,bulut
79,Regen::N,dèž,yomg'ir
80,Schnee::N,snég,qor
81,Eis::N,léd,muz
82,Frost::N,zmrzál,ajoz
83,Kälte::N,mràz,ajoz
84,Hitze::N,pripéka,issiq
85,Raureif::N,ívje,qirov
86,Raureif::N,slána,qirov
87,Regenbogen::N,mávrica,kamalak
88,Donner::N,gròm,guldur
89,Strömung::N,strúja,oqim
90,Tropfen::N,káplja,tomchi
91,Schaum::N,péna,ko'pik
92,Schmutz::N,nesnága,gard
93,See::N,jézero,ko'l
94,Sumpf::N,močvírje,botqoq
95,Moor::N,bárje,qir-adir
96,Wiese::N,trávnik,o'tzor
97,Wald::N,lés,o'rmon
98,Wald::N,gòzd,o'rmon
99,Hügel::N,brég,tepa
100,Hügel::N,goríca,tepa
101,Anhöhe::N,gríč,adir
102,Anhöhe::N,višína,adir
103,Berg::N,gôra,tog'
104,Berg::N,planína,tog'
105,Gipfel::N,vŕh,cho'qqi
106,Höhle::N,jáma,kavak
107,Höhle::N,votlína,kavak
108,Abhang::N,pobóčje,to'sh
109,Quelle::N,izvír,buloq
110,Bach::N,pôtok,o'zan
111,Fluss::N,réka,daryo
112,Ufer::N,brég,sohil
113,Küste::N,obála,qirg'oq
114,Küste::N,obréžje,qirg'oq
115,Festland::N,celína,materik
116,Festland::N,kopnína,materik
117,Meer::N,mórje,dengiz
118,Bucht::N,zalív,qo'ltiq
119,Insel::N,ôtok,orol
120,Blume::N,cvetlíca,gul
121,Gras::N,tráva,sabza
122,Wurzel::N,korenína,tub
123,Wurzel::N,korenína,tomir
124,Baum::N,drevó,daraxt
125,Stamm::N,dêblo,o'simta
126,Rinde::N,lúbje,qobiq
127,Rinde::N,skórja,qobiq
128,Ast::N,véja,shox
129,Zweig::N,véja,butoq
130,Blatt::N,líst,barg
131,Birke::N,bréza,qayin
132,Kiefer[Baum]::N,bòr,qarag'ay
133,Weide[Baum]::N,vŕba,shum
134,Tanne::N,hója,archa
135,Horn::N,róg,mugiz
136,Feder::N,peró,par
137,Fell::N,kŕzno,mo'yna
138,Flügel::N,krílo,qanot
139,Klaue::N,párkelj,tirnoq
140,Kralle::N,krémpelj,tirnoq
141,Schwanz::N,rèp,quyruq
142,Ei::N,jájce,tuxum
143,Nest::N,gnézdo,oshyon
144,Bau::N,brlòg,o'pqon
145,Tier::N,živál,hayvon
146,Herde::N,čréda,gala
147,Kuh::N,kráva,inak
148,Bulle::N,bìk,ho'kiz
149,Pferd::N,kònj,ot
150,Schaf::N,ôvca,qo'y
151,Schwein::N,svínja,cho'chqa
152,Hund::N,pès,it
153,Katze::N,máčka,mushuk
154,Bär::N,mêdved,ayiq
155,Eichhörnchen::N,véverica,tiyin
156,Elch::N,lós,los
157,Fuchs::N,lisíca,tulki
158,Hase::N,zájec,kuyon
159,Maus::N,mìš,sichqon
160,Wolf::N,vólk,bo'ri
161,Vogel::N,ptìč,qush
162,Vogel::N,ptíca,qush
163,Schwarm::N,játa,to'da
164,Huhn::N,kokóš,tovuq
165,Hahn::N,petêlin,xo'roz
166,Gans::N,gós,g'oz
167,Adler::N,ôrel,burgut
168,Ente::N,ráca,o'rdak
169,Eule::N,sôva,boyo'g'li
170,Kranich::N,žerjàv,turna
171,Krähe::N,vrána,qarg'a
172,Kuckuck::N,kúkavica,kakku
173,Schwan::N,labód,oqkush
174,Fisch::N,ríba,baliq
175,Barsch::N,ostríž,olabug'a
176,Hecht::N,ščúka,cho'rtan
177,Schlange[Tier]::N,káča,ilon
178,Wurm::N,čr̀v,qurt
179,Wurm::N,glísta,qurt
180,Spinne::N,pájek,o'rgimchak
181,Ameise::N,mrávlja,chumoli
182,Laus::N,úš,bit
183,Mücke::N,komár,chivin
184,Fliege::N,múha,pashsha
185,Schmetterling::N,metúlj,kapalak
186,Beere::N,jágoda,meva
187,Apfel::N,jábolko,olma
188,Pilz::N,góba,qo'ziqorin
189,Zwiebel::N,čebúla,piyoz
190,Saat::N,séme,äkin
191,Korn::N,zŕno,zarra
192,Heu::N,senó,xashak
193,Schale::N,lupína,po'choq
194,Grube::N,jáma,co'ra
195,Falle::N,pást,qopqon
196,Schlinge::N,zánka,sirtmoq
197,Schlinge::N,pêtlja,sirtmoq
198,Spur::N,sléd,iz
199,Asche::N,pepél,kul
200,Dreck::N,bláto,kir
201,Eisen::N,želézo,temir
202,Gold::N,zlató,tilla
203,Silber::N,srebró,kumush
204,Kohle::N,ógel,ko'mir
205,Glas::N,stêklo,oyna
206,Lehm::N,ílo,loy
207,Sand::N,pések,qum
208,Mensch::N,člôvek,odam
209,Mann::N,móž,ärkak
210,Mann::N,môški,ärkak
211,Frau::N,gospá,ayol
212,Frau::N,žénska,ayol
213,Kind::N,déte,bola
214,Kind::N,déte,kichkintoy
215,Kind::N,otròk,bola
216,Kind::N,otròk,kichkintoy
217,Junge::N,fànt,bola
218,Junge::N,déček,bola
219,Mädchen::N,deklè,qiz
220,Mädchen::N,déklica,qiz
221,Familie::N,družína,oila
222,Großvater::N,dèd,buva
223,Großvater::N,dèd,katta ota
224,Großvater::N,dédek,buva
225,Großvater::N,dédek,katta ota
226,Großmutter::N,bábica,buvi
227,Großmutter::N,bábica,katta oyi
228,Eltern::N,stárši,ota-ona
229,Vater::N,ôče,ota
230,Mutter::N,máma,ona
231,Sohn::N,sín,o'g'il
232,Tochter::N,hčí,qiz
233,Tochter::N,hčérka,qiz
234,Bruder::N,bràt,og'a
235,Bruder::N,bràt,uka
236,Schwester::N,sêstra,opa
237,Schwester::N,sêstra,singil
238,Onkel::N,újec,amaki
239,Onkel::N,stríc,amaki
240,Tante::N,têta,amma
241,Tante::N,têta,xola
242,Tante::N,strína,amma
243,Tante::N,strína,xola
244,Ehemann::N,móž,är
245,Ehemann::N,sopróg,är
246,Ehefrau::N,žêna,rafiqa
247,Ehefrau::N,sopróga,rafiqa
248,Freude::N,rádost,ayish
249,Freude::N,vesêlje,ayish
250,Gelächter::N,sméh,kulgi
251,Gelächter::N,grohòt,kulgi
252,Glück::N,sréča,saodat
253,Kummer::N,gorjé,g'am
254,Wunsch::N,žêlja,orzu
255,Lust::N,poželênje,rag'bat
256,Geist::N,dúša,ruh
257,Gedanke::N,mísel,fikr
258,Gedächtnis::N,pámet,äs
259,Sinn::N,pomèn,ma'ni
260,Sinn::N,smísel,ma'ni
261,Grund::N,vzròk,sabab
262,Wahrheit::N,resníca,haq
263,Gespräch::N,pogóvor,gap
264,Märchen::N,právljica,ärtak
265,Erzählung::N,povést,rivoyat
266,Nachricht::N,sporočílo,xabar
267,Neuigkeit::N,novóst,yangilik
268,Name::N,imé,ot
269,Rätsel::N,ugánka,topishmoq
270,Rede::N,góvor,nutq
271,Sprache::N,jêzik,til
272,Stimme::N,glás,ovoz
273,Wort::N,beséda,so'z
274,Zeichen::N,znák,alomat
275,Ruf::N,klíc,chaqiriq
276,Lärm::N,hrúp,taraq
277,Lärm::N,trúšč,taraq
278,Laut::N,glás,tovush
279,Ton::N,tón,un
280,Lied::N,pésem,ashula
281,Ruhe::N,pokòj,tinchlik
282,Leute::N,ljudjé,xaloyiq
