,Concept_ID,it,el
0,Auge::N,occhio,μάτι
1,Auge::N,occhio,οφθαλμός
2,Ohr::N,orecchio,αυτί
3,Nase::N,naso,μύτη
4,Mund::N,bocca,στόμα
5,Zahn::N,dente,δόντι
6,Zunge::N,lingua,γλώσσα
7,Lippe::N,labbro,χείλος
8,Wange::N,guancia,παρειά
9,Wange::N,guancia,μάγουλο
10,Gesicht::N,viso,πρόσωπο
11,Gesicht::N,faccia,πρόσωπο
12,Stirn::N,fronte,μέτωπο
13,Haar::N,capello,μαλλιά
14,Schnurrbart::N,baffi,μουστάκι
15,Schnurrbart::N,mustacchi,μουστάκι
16,Bart::N,barba,γένια
17,Kinn::N,mento,πιγούνι
18,Kiefer[Anatomie]::N,mascella,σαγόνι
19,Kehle::N,gola,λαρύγγι
20,Hals::N,collo,λαιμός
21,Genick::N,nuca,σβέρκος
22,Kopf::N,capo,κεφάλι
23,Kopf::N,testa,κεφάλι
24,Rücken::N,dorso,ράχη
25,Rücken::N,schiena,ράχη
26,Bauch::N,ventre,κοιλιά
27,Nabel::N,ombelico,αφαλός
28,Busen::N,seno,στήθος
29,Brust::N,petto,στήθος
30,Schulter::N,spalla,ώμος
31,Arm::N,braccio,χέρι
32,Arm::N,braccio,μπράτςο
33,Ellenbogen::N,gomito,αγκώνας
34,Hand::N,mano,χέρι
35,Handfläche::N,palma,παλάμη
36,Finger::N,dito,δάχτυλο
37,Fingernagel::N,unghia,νύχι
38,Nagel[Anatomie]::N,unghia,νύχι
39,Zeh::N,dito del piede,δάχτυλο του ποδιού
40,Fuß::N,piede,πόδι
41,Ferse::N,tallone,φτέρνα
42,Ferse::N,calcagno,φτέρνα
43,Knie::N,ginocchio,γόνατο
44,Oberschenkel::N,fèmore,μηρός
45,Bein::N,gamba,πόδι
46,Körper::N,corpo,σώμα
47,Körper::N,corpo,κορμί
48,Haut::N,pelle,πετσί
49,Blut::N,sangue,αίμα
50,Ader::N,vena,φλέβα
51,Sehne::N,tèndine,νεύρο
52,Sehne::N,tèndine,τένοντας
53,Knochen::N,osso,οστό
54,Knochen::N,osso,κόκκαλο
55,Gehirn::N,cervello,μυαλό
56,Gehirn::N,cervello,εγκέφαλος
57,Herz::N,cuore,καρδιά
58,Magen::N,stòmaco,στομάχι
59,Leber::N,fegato,ήπαρ
60,Leber::N,fegato,συκωτί
61,Atem::N,fiato,αναπνοή
62,Atem::N,respiro,αναπνοή
63,Hunger::N,fame,πείνα
64,Träne::N,làcrima,δάκρυ
65,Geschmack::N,gusto,γεύση
66,Geschmack::N,sapore,γεύση
67,Geruch::N,odore,οσμή
68,Geruch::N,odore,μυρωδία
69,Schlaf::N,sonno,ύπνος
70,Traum::N,sogno,όνειρο
71,Himmel::N,cielo,ουρανός
72,Sonne::N,sole,ήλιος
73,Mond::N,luna,σελήνη
74,Mond::N,luna,φεγγάρι
75,Stern::N,stella,άστρο
76,Stern::N,stella,αστέρι
77,Luft::N,aria,αέρας
78,Wind::N,vento,αέρας
79,Wind::N,vento,άνεμος
80,Welle::N,onda,κύμα
81,Wasser::N,acqua,νερό
82,Stein::N,sasso,πέτρα
83,Stein::N,pietra,πέτρα
84,Boden::N,suolo,χώμα
85,Boden::N,terreno,χώμα
86,Erde::N,terra,γη
87,Staub::N,polvere,σκόνη
88,Rauch::N,fumo,καπνός
89,Funke::N,scintilla,σπίθα
90,Funke::N,scintilla,σπινθήρας
91,Feuer::N,fuoco,φωτιά
92,Licht::N,luce,φως
93,Schatten::N,ombra,σκιά
94,Schatten::N,ombra,ίσκιος
95,Wetter::N,tempo,καιρός
96,Nebel::N,nebbia,ομίχλη
97,Wolke::N,nube,σύννεφο
98,Wolke::N,nùvola,σύννεφο
99,Regen::N,pioggia,βροχή
100,Schnee::N,neve,χιόνι
101,Eis::N,ghiaccio,πάγος
102,Frost::N,gelo,παγωνία
103,Kälte::N,freddo,κρύο
104,Kälte::N,freddo,ψύχος
105,Hitze::N,caldo,ζέστη
106,Hitze::N,calura,ζέστη
107,Raureif::N,brina,πάχνη
108,Regenbogen::N,arcobaleno,ουράνιο τόξο
109,Donner::N,tuono,βροντή
110,Strömung::N,corrente,ρεύμα
111,Tropfen::N,goccia,στάλα
112,Schaum::N,spuma,αφρός
113,Schaum::N,schiuma,αφρός
114,Schmutz::N,sudiciume,βρωμιά
115,See::N,lago,λίμνη
116,Sumpf::N,palude,βάλτος
117,Moor::N,torbiera,έλος
118,Wiese::N,prato,λιβάδι
119,Wald::N,bosco,δάσος
120,Wald::N,foresta,δάσος
121,Hügel::N,colle,λόφος
122,Hügel::N,collina,λόφος
123,Anhöhe::N,altura,ύψωμα
124,Berg::N,monte,όρος
125,Berg::N,monte,βουνό
126,Berg::N,montagna,όρος
