,Concept_ID,he,ml
0,Auge::N,עין,കണ്ണ്
1,Ohr::N,אזן,ചെവി
2,Nase::N,אף,മൂക്ക്
3,Nase::N,חטם,മൂക്ക്
4,Mund::N,פה,വായ
5,Zahn::N,שן,പല്ല്
6,Zunge::N,לשון,നാക്ക്
7,Lippe::N,שפה,ചുണ്ട്
8,Wange::N,לחי,കവിൾത്തടം
9,Gesicht::N,פנים,മുഖം
10,Stirn::N,מצח,നെറ്റി
11,Haar::N,שערה,തലമുടി
12,Schnurrbart::N,שפם,മീശ
13,Bart::N,זקן,താടിരോമം
14,Kinn::N,סנטר,താടി
15,Kiefer[Anatomie]::N,לסת,താടിയെല്ല്
16,Kehle::N,גרון,കണ്ഠനാളം
17,Hals::N,צואר,കഴുത്ത്
18,Genick::N,ערף,പിടലി
19,Kopf::N,ראש,തല
20,Rücken::N,גב,മുതുക്
21,Bauch::N,בטן,നയറ്
22,Nabel::N,טבור,നാഭി
23,Busen::N,שד,സ്തനം
24,Brust::N,חזה,സ്തനം
25,Schulter::N,כתף,തോൾ
26,Arm::N,זרוע,കൈ
27,Ellenbogen::N,מרפק,കൈമുട്ട്
28,Hand::N,יד,കൈ
29,Handfläche::N,כף יד,ഉള്ളം കൈ
30,Finger::N,אצבע,വിരൽ
31,Fingernagel::N,צפרן,നഖം
32,Nagel[Anatomie]::N,צפרן,നഖം
33,Zeh::N,אצבע,കാൽവിരൽ
34,Fuß::N,רגל,കാൽപ്പാദം
35,Ferse::N,עקב,ഉപ്പൂറ്റി
36,Knie::N,ברך,കാൽമുട്ട്
37,Oberschenkel::N,ירך,തുട
38,Bein::N,רגל,കാൽ
39,Körper::N,גוף,ശരീരം
40,Haut::N,עור,ചർമ്മം
41,Blut::N,דם,രക്തം
42,Ader::N,וריד,ഞരമ്പ്
43,Sehne::N,גיד,സ്നായു
44,Knochen::N,עצם,അസ്ഥി
45,Gehirn::N,מוח,തലച്ചോറ്
46,Herz::N,לב,ഹൃദയം
47,Magen::N,קבה,വയർ
48,Leber::N,כבד,കരൾ
49,Atem::N,נשימה,ശ്വാസം
50,Hunger::N,רעב,വിശപ്പ്
51,Träne::N,דמעה,കണ്ണീർ
52,Geschmack::N,טעם,രുചി
53,Geruch::N,ריח,ഗന്ധം
54,Schlaf::N,שנה,ഉറകും
55,Traum::N,חלום,സ്വപ്നം
56,Himmel::N,שמים,ആകാശം
57,Sonne::N,שמש,സൂര്യൻ
58,Mond::N,ירח,ചന്ദ്രൻ
59,Stern::N,כוכב,നക്ഷത്രം
60,Luft::N,אויר,കാറ്റ്
61,Wind::N,רוח,കാറ്റ്
62,Welle::N,גל,തിരമാല
63,Wasser::N,מים,വെള്ളം
64,Stein::N,אבן,ശില
65,Stein::N,אבן,കല്ല്
66,Boden::N,קרקע,തറ
67,Boden::N,קרקע,നിലം
68,Erde::N,אדמה,മണ്ണ്
69,Staub::N,אבק,പൊടി
70,Rauch::N,עשן,പുക
71,Funke::N,ניצוץ,തീപ്പൊരി
72,Feuer::N,אש,തീ
73,Licht::N,אור,വിളക്ക്
74,Licht::N,אור,സൂര്യപ്രകാശം
75,Schatten::N,צל,തണൽ
76,Wetter::N,מזג אויר,കാലാവസ്ഥ
77,Nebel::N,ערפל,മൂടൽമഞ്ഞ്
78,Wolke::N,ענן,മേഘം
79,Regen::N,גשם,മഴ
80,Schnee::N,שלג,മഞ്ഞ്
81,Eis::N,קרח,ഐസ്
82,Frost::N,צנה,മൂടൽമഞ്ഞ്
83,Kälte::N,קר,തണുപ്പ്
84,Hitze::N,חם,ചൂട്
85,Raureif::N,כפור,കോടമഞ്ഞ്
86,Regenbogen::N,קשת,മഴവില്ല്
87,Donner::N,רעם,ഇടി
88,Strömung::N,זרימה,പ്രവാഹം
89,Tropfen::N,טפה,തുള്ളി
90,Schaum::N,קצף,നുര
91,Schmutz::N,לכלוך,അഴുക്ക്
92,See::N,אגם,തടാകം
93,Sumpf::N,בצה,ചതുപ്പുനിലം
94,Moor::N,בצה,പാഴ്നിലം
95,Wiese::N,מרעה,പുൽത്തകിടി
96,Wald::N,יער,വനം
97,Wald::N,יער,കാട്
98,Hügel::N,תל,കുന്ന്
99,Anhöhe::N,מעלה,ഉയർന്ന ഭൂമി
