,Concept_ID,ar,ja
0,Auge::N,عين,目
1,Ohr::N,أذن,耳
2,Nase::N,أنف,鼻
3,Mund::N,فم,口
4,Zahn::N,سن,歯
5,Zunge::N,لسان,舌
6,Lippe::N,شفة,唇
7,Wange::N,خد,頬
8,Wange::N,وجنة,頬
9,Gesicht::N,وجه,顔
10,Stirn::N,جبين,額
11,Haar::N,شعر,髪
12,Schnurrbart::N,شارب,口髭
13,Bart::N,لحية,髭
14,Kinn::N,ذقن,顎
15,Kiefer[Anatomie]::N,فك,顎
16,Kehle::N,حلق,喉
17,Hals::N,عنق,首
18,Hals::N,رقبة,首
19,Genick::N,قفا,首
20,Kopf::N,رأس,頭
21,Rücken::N,ظهر,背中
22,Bauch::N,بطن,腹
23,Bauch::N,بطن,お腹
24,Nabel::N,سرة,へそ
25,Busen::N,ثدي,乳房
26,Brust::N,صدر,胸
27,Schulter::N,كتف,肩
28,Arm::N,ذراع,腕
29,Ellenbogen::N,كوع,肘
30,Hand::N,يد,手
31,Handfläche::N,كف,手のひら
32,Finger::N,إصبع,指
33,Fingernagel::N,ظفر,爪
34,Nagel[Anatomie]::N,ظفر,爪
35,Zeh::N,إصبع القدم,足の指
36,Fuß::N,قدم,足
37,Ferse::N,كعب,かかと
38,Knie::N,ركبة,膝
39,Oberschenkel::N,فخذ,上腿
40,Bein::N,ساق,足
41,Körper::N,جسم,体
42,Haut::N,بشرة,皮膚
43,Blut::N,دم,血
44,Ader::N,عرق,血管
45,Sehne::N,طنب,腱
46,Knochen::N,عظم,骨
47,Gehirn::N,دماغ,脳
48,Herz::N,قلب,心
49,Herz::N,قلب,心臓
50,Magen::N,معدة,胃
51,Leber::N,كبد,肝臓
52,Atem::N,نفس,息
53,Atem::N,نفس,呼吸
54,Hunger::N,جوع,空腹
55,Träne::N,دمعة,涙
56,Geschmack::N,طعم,味
57,Geschmack::N,مذاق,味
58,Geruch::N,رائحة,匂い
59,Schlaf::N,نوم,睡眠
60,Schlaf::N,منام,睡眠
61,Traum::N,حلم,夢
62,Himmel::N,سماء,空
63,Sonne::N,شمس,太陽
64,Mond::N,قمر,月
65,Stern::N,نجم,星
66,Stern::N,كوكب,星
67,Luft::N,هواء,空気
68,Wind::N,ريح,風
69,Welle::N,موجة,波
70,Wasser::N,ماء,水
71,Stein::N,حجر,石
72,Boden::N,تراب,土地
73,Erde::N,أرض,土
74,Staub::N,غبار,埃
75,Rauch::N,دخان,煙
76,Funke::N,شرارة,火花
77,Feuer::N,نار,火
78,Licht::N,نور,光
79,Licht::N,ضوء,光
80,Schatten::N,ظل,陰
81,Schatten::N,فيء,陰
82,Wetter::N,جو,天気
83,Wetter::N,طقس,天気
84,Nebel::N,ضباب,霧
85,Wolke::N,غيمة,雲
86,Wolke::N,سحابة,雲
87,Regen::N,مطر,雨
88,Schnee::N,ثلج,雪
89,Eis::N,جليد,氷
90,Frost::N,صقيع,霜
91,Kälte::N,برد,寒さ
92,Hitze::N,حر,暑さ
93,Hitze::N,حرارة,暑さ
94,Raureif::N,صقيع,霧氷
95,Regenbogen::N,قوس قزح,虹
96,Donner::N,رعد,雷
97,Strömung::N,تيار,流れ
98,Tropfen::N,قطرة,滴
99,Schaum::N,زبد,泡
100,Schaum::N,رغوة,泡
101,Schmutz::N,وسخ,汚れ
102,See::N,بحيرة,湖
103,Sumpf::N,مستنقع,沼
104,Moor::N,مستنقع,湿原
105,Wiese::N,مرج,草原
106,Wald::N,غابة,森
107,Hügel::N,تل,丘
108,Anhöhe::N,تل,高み
109,Berg::N,جبل,山
110,Gipfel::N,قمة,頂上
111,Höhle::N,كهف,洞窟
112,Abhang::N,منحدر,斜面
113,Quelle::N,منبع,泉
114,Bach::N,مجرى,小川
115,Fluss::N,نهر,川
116,Ufer::N,ضفة,岸
117,Küste::N,ساحل,海岸
118,Festland::N,بر,陸
119,Meer::N,بحر,海
120,Bucht::N,خليج,湾
121,Insel::N,جزيرة,島
122,Blume::N,زهرة,花
123,Gras::N,حشيش,草
124,Wurzel::N,أصل,根
125,Baum::N,شجرة,木
126,Stamm::N,جذع,幹
127,Rinde::N,قشرة,皮層
128,Ast::N,فرع,枝
129,Zweig::N,غصن,小枝
130,Blatt::N,ورقة,葉
131,Birke::N,قضبان,樺
132,Kiefer[Baum]::N,صنوبرة,松
133,Weide[Baum]::N,صفصاف,柳
134,Tanne::N,شوح,樅
135,Tanne::N,تبوب,樅
