,Concept_ID,ps,it
0,Auge::N,سترګه,occhio
1,Ohr::N,غوږ,orecchio
2,Nase::N,پوزه,naso
3,Mund::N,خوله,bocca
4,Zahn::N,غاښ,dente
5,Zunge::N,جبه,lingua
6,Lippe::N,شونډه,labbro
7,Wange::N,باړخو,guancia
8,Gesicht::N,مخ,viso
9,Gesicht::N,مخ,faccia
10,Stirn::N,تندی,fronte
11,Stirn::N,وچولی,fronte
12,Haar::N,وېښته,capello
13,Schnurrbart::N,برېت,baffi
14,Schnurrbart::N,برېت,mustacchi
15,Bart::N,ږیره,barba
16,Kinn::N,زنه,mento
17,Kiefer[Anatomie]::N,جامه,mascella
18,Kehle::N,غاړه,gola
19,Hals::N,غاړه,collo
20,Genick::N,ورمېږ,nuca
21,Kopf::N,سر,capo
22,Kopf::N,سر,testa
23,Rücken::N,شا,dorso
24,Rücken::N,شا,schiena
25,Bauch::N,نس,ventre
26,Bauch::N,ګېډه,ventre
27,Nabel::N,نوم,ombelico
28,Busen::N,تی,seno
29,Brust::N,سینه,petto
30,Schulter::N,اوږه,spalla
31,Arm::N,لاس,braccio
32,Ellenbogen::N,څنګل,gomito
33,Hand::N,لاس,mano
34,Handfläche::N,ورغوی,palma
35,Finger::N,ګوته,dito
36,Fingernagel::N,نوک,unghia
37,Nagel[Anatomie]::N,نوک,unghia
38,Zeh::N,ګوته,dito del piede
39,Fuß::N,پښه,piede
40,Ferse::N,پونده,tallone
41,Ferse::N,پونده,calcagno
42,Knie::N,زنګون,ginocchio
43,Oberschenkel::N,پتون,fèmore
44,Bein::N,پښه,gamba
45,Körper::N,ځان,corpo
46,Haut::N,پوټکی,pelle
47,Blut::N,وینه,sangue
48,Ader::N,رګ,vena
49,Sehne::N,پله,tèndine
50,Knochen::N,هډوکی,osso
51,Gehirn::N,ماغزه,cervello
52,Herz::N,زړه,cuore
53,Magen::N,معده,stòmaco
54,Leber::N,ينه,fegato
55,Leber::N,ځیګر,fegato
56,Atem::N,نفس,fiato
57,Atem::N,نفس,respiro
58,Hunger::N,ولږه,fame
59,Träne::N,اوښکه,làcrima
60,Geschmack::N,مزه,gusto
61,Geschmack::N,مزه,sapore
62,Geschmack::N,خوند,gusto
63,Geschmack::N,خوند,sapore
64,Geruch::N,بوی,odore
65,Schlaf::N,خوب,sonno
66,Traum::N,خوب,sogno
67,Himmel::N,اسمان,cielo
68,Sonne::N,لمر,sole
69,Mond::N,سپوږمۍ,luna
70,Stern::N,ستوری,stella
71,Luft::N,هوا,aria
72,Wind::N,ورښ,vento
73,Welle::N,موج,onda
74,Wasser::N,اوبه,acqua
75,Stein::N,ډبره,sasso
76,Stein::N,ډبره,pietra
77,Boden::N,مځکه,suolo
78,Boden::N,مځکه,terreno
79,Erde::N,خاوره,terra
80,Staub::N,ګرد,polvere
81,Staub::N,خاوره,polvere
82,Rauch::N,دود,fumo
83,Rauch::N,لوګی,fumo
84,Funke::N,سپرغۍ,scintilla
85,Feuer::N,اور,fuoco
86,Licht::N,رڼا,luce
87,Schatten::N,سیوری,ombra
88,Wetter::N,هوا,tempo
89,Nebel::N,لړه,nebbia
90,Wolke::N,ورېځ,nube
91,Wolke::N,ورېځ,nùvola
92,Regen::N,وریا,pioggia
93,Regen::N,باران,pioggia
94,Schnee::N,واوره,neve
95,Eis::N,یخ,ghiaccio
96,Eis::N,کنګل,ghiaccio
97,Frost::N,یخ,gelo
98,Kälte::N,ساړه,freddo
99,Hitze::N,تودوخي,caldo
100,Hitze::N,تودوخي,calura
101,Raureif::N,سپینه پرخه,brina
102,Regenbogen::N,بوډۍ ټال,arcobaleno
103,Regenbogen::N,سره زرغونه,arcobaleno
104,Donner::N,تالنده,tuono
105,Strömung::N,بهېدنه,corrente
106,Tropfen::N,قطره,goccia
107,Tropfen::N,څاڅکی,goccia
108,Schaum::N,ځګ,spuma
109,Schaum::N,ځګ,schiuma
110,Schmutz::N,ناپاکي,sudiciume
111,See::N,جهیل,lago
112,Sumpf::N,جبه,palude
113,Moor::N,جبه,torbiera
114,Wiese::N,چمن,prato
115,Wiese::N,شنېلی,prato
116,Wald::N,ځنګل,bosco
117,Wald::N,ځنګل,foresta
118,Hügel::N,تپه,colle
119,Hügel::N,تپه,collina
120,Anhöhe::N,غونډۍ,altura
121,Berg::N,غ‍‍‍‍‍ر,monte
122,Berg::N,غ‍‍‍‍‍ر,montagna
123,Gipfel::N,څوکه,cima
124,Höhle::N,کاز,grotta
125,Höhle::N,کاز,caverna
126,Abhang::N,لمن,pendìo
127,Quelle::N,چینه,sorgente
128,Bach::N,واله,ruscello
129,Fluss::N,سیند,fiume
130,Ufer::N,غاړه,riva
131,Küste::N,ساحل,costa
132,Festland::N,وچه,terraferma
133,Meer::N,بحر,mare
134,Meer::N,سمندر,mare
135,Bucht::N,کارۍ,cala
136,Insel::N,ټاپو,ìsola
137,Insel::N,جزيره,ìsola
138,Blume::N,ګل,fiore
139,Gras::N,واښه,erba
140,Wurzel::N,ریښه,radice
141,Baum::N,ونه,àlbero
142,Stamm::N,ډډ,tronco
143,Rinde::N,پوستکی,corteccia
144,Ast::N,ښاخ,ramo
145,Zweig::N,څانګه,ramo
146,Blatt::N,پاڼه,foglia
147,Birke::N,توس,betulla
148,Kiefer[Baum]::N,نښتر,pino
149,Weide[Baum]::N,وله,sàlice
150,Tanne::N,ناجو,abete
151,Horn::N,ښکر,corno
152,Feder::N,بڼکه,penna
153,Fell::N,پوستکی,manto
154,Fell::N,پوستکی,pelame
155,Flügel::N,وزر,ala
156,Klaue::N,پنجه,grinfia
157,Klaue::N,منګول,grinfia
158,Kralle::N,پنجه,unghia
159,Kralle::N,پنجه,artiglio
160,Kralle::N,منګول,unghia
161,Kralle::N,منګول,artiglio
162,Schwanz::N,لکۍ,coda
163,Ei::N,وۍ,uovo
164,Ei::N,هګۍ,uovo
165,Nest::N,جاله,nido
166,Bau::N,کاز,covo
167,Tier::N,ژوی,bestia
168,Tier::N,ژوی,animale
169,Tier::N,حیوان,bestia
170,Tier::N,حیوان,animale
171,Herde::N,رمه,gregge
172,Herde::N,غېله,gregge
173,Kuh::N,غوا,vacca
174,Bulle::N,غوئی,toro
175,Pferd::N,آس,cavallo
176,Schaf::N,پسه,pècora
177,Schwein::N,سرکوزی,porco
178,Schwein::N,سرکوزی,maiale
179,Hund::N,سپی,cane
180,Katze::N,پشه,gatta
181,Bär::N,خرس,orso
182,Eichhörnchen::N,خړ لمی,scoiàttolo
183,Elch::N,ګوزن,alce
184,Fuchs::N,سپلم,volpe
185,Hase::N,سوی,lepre
186,Maus::N,مږک,topo
187,Maus::N,مږک,sorcio
