,Concept_ID,ru,ta
0,Auge::N,глаз,கண்
1,Ohr::N,ухо,காது
2,Nase::N,нос,மூக்கு
3,Mund::N,рот,வாய்
4,Zahn::N,зуб,பல்
5,Zunge::N,язык,நாக்கு
6,Lippe::N,губа,உதடு
7,Wange::N,щека,கன்னம்
8,Gesicht::N,лицо,முகம்
9,Stirn::N,лоб,முன்னெற்றி
10,Haar::N,волос,முடி
11,Haar::N,волосы,முடி
12,Schnurrbart::N,ус,மீசை
13,Schnurrbart::N,усы,மீசை
14,Bart::N,борода,தாடி
15,Kinn::N,подбородок,கீழதாடை
16,Kiefer[Anatomie]::N,челюсть,தாடை
17,Kehle::N,горло,தொண்டை
18,Hals::N,шея,கழுத்து
19,Genick::N,затылок,கழுத்து
20,Kopf::N,голова,தலை
21,Rücken::N,спина,முதுகு
22,Bauch::N,живот,வயிறு
23,Nabel::N,пупок,தொப்புள்
24,Busen::N,женская грудь,மார்பகம்
25,Brust::N,грудь, மார்பு
26,Schulter::N,плечо,தோள்பட்டை
27,Arm::N,рука,கரம்
28,Ellenbogen::N,локоть,முழங்கை
29,Hand::N,кисть,கை
30,Handfläche::N,ладонь,உள்ளங்கை
31,Finger::N,палец,விரல்
32,Fingernagel::N,ноготь,விரல் நகம்
33,Nagel[Anatomie]::N,ноготь,நகம்
34,Zeh::N,палец,கால்விரல்
35,Fuß::N,ступня,கால்
36,Ferse::N,пята,குதிகால்
37,Ferse::N,пятка,குதிகால்
38,Knie::N,колено,முழங்கால்
39,Oberschenkel::N,бедро,தொடை
40,Bein::N,нога,கால்
41,Körper::N,тело,உடல்
42,Haut::N,кожа,சருமம்
43,Blut::N,кровь,இரத்தம்
44,Ader::N,вена,நாளம்
45,Ader::N,сосуд,நாளம்
46,Sehne::N,жила,தசைநார்
47,Sehne::N,тетива,தசைநார்
48,Sehne::N,сухожилие,தசைநார்
49,Knochen::N,кость,எலுமபு
50,Gehirn::N,мозг,மூனை
51,Herz::N,сердце,இதயம
52,Magen::N,желудок,வயிறு
53,Leber::N,печень,கல்லீரல்
54,Atem::N,дух,மூச்சு
55,Atem::N,дыхание,மூச்சு
56,Hunger::N,голод,பசி
57,Träne::N,слеза,கண்ணீர்
58,Geschmack::N,вкус,நறுமணம்
59,Geruch::N,запах,துர்நாற்றம்
60,Schlaf::N,сон,தூக்கம்
61,Traum::N,сновидение,கனவு
62,Himmel::N,небо,வானம்
63,Sonne::N,солнце,சூரியன்
64,Mond::N,луна,சந்திரன்
65,Stern::N,звезда,நட்சத்திரம்
66,Luft::N,воздух,காறறு
67,Wind::N,ветер,காற்று
68,Welle::N,волна,அலை
69,Wasser::N,вода,நீர்
70,Stein::N,камень,கல்
71,Boden::N,почва,தரை
72,Erde::N,земля,மண்
73,Staub::N,пыль,தூசி
74,Rauch::N,дым,புகை
75,Funke::N,искра,தீப்பொறி
76,Feuer::N,огонь,தீ
77,Licht::N,свет,வெளிச்சம்
78,Schatten::N,тень,நிழல்
79,Wetter::N,погода,வானிலை
80,Nebel::N,туман,பனிமூட்டம்
81,Wolke::N,облако,மேகம்
82,Regen::N,дождь,மழை
83,Schnee::N,снег,உறைபனி
84,Eis::N,лед,பனிக்கட்டி
85,Frost::N,мороз,உறைபனி
86,Kälte::N,холод,குளிர்ந்த
87,Hitze::N,жара,சூடு
88,Raureif::N,иней,உறைபனி வெண்திரை
89,Regenbogen::N,радуга,வானவில்
90,Donner::N,гром,இடி
91,Strömung::N,течение,நீரோட்டம்
92,Tropfen::N,капля,துளி
93,Schaum::N,пена,நுரை
94,Schmutz::N,грязь,அழுக்கு
95,See::N,озеро,ஏரி
96,Sumpf::N,топь,சதுப்பு நிலம்
97,Moor::N,болото,முட்புதற்காடு
98,Wiese::N,луг,பசும் புல்தரை
99,Wald::N,лес,காடு
100,Hügel::N,холм,குன்று
101,Anhöhe::N,возвышенность,பதுக்கை
102,Berg::N,гора,மலை
103,Gipfel::N,вершина,உச்சி மாநாடு
104,Höhle::N,пещера,குகை
105,Abhang::N,склон,சரிவு
106,Quelle::N,источник,மூலம்
107,Bach::N,ручей,ஓடை
108,Fluss::N,река,ஆறு
109,Ufer::N,берег,நீர்க்கரை
110,Küste::N,побережье,கடற்கரை
111,Festland::N,суша,நிலம்
112,Meer::N,море,கடல்
113,Bucht::N,бухта,சிறுகுடா
114,Insel::N,остров,தீவு
115,Blume::N,цветок,பூ
116,Gras::N,трава,புல்தரை
117,Wurzel::N,корень,வேர்
118,Baum::N,дерево,மரம்
119,Stamm::N,ствол,அடிமரம்
120,Rinde::N,кора,பட்டை
121,Rinde::N,кора,மரப்பட்டை
122,Ast::N,сук,கினை
123,Zweig::N,ветвь,குச்சி
124,Blatt::N,лист,இலை
125,Birke::N,береза,பிர்ச் மரம்
126,Kiefer[Baum]::N,сосна,தேவதாரு மரம்
127,Weide[Baum]::N,ива,மர வகைகளுள் ஒன்று
128,Tanne::N,ель,சாதிக்கய்
129,Horn::N,рог,கொம்பு
130,Feder::N,перо,இறகு
131,Fell::N,шкура,மென்முடி
132,Flügel::N,крыло,இறக்கை
133,Klaue::N,коготь,நகம்
134,Kralle::N,лапа,நகம்
135,Schwanz::N,хвост,வால்
136,Ei::N,яйцо,முட்டை
137,Nest::N,гнездо,கூடு
138,Bau::N,нора,குகை
139,Tier::N,животное,விலங்கு
140,Herde::N,стадо,கூட்டம்
141,Kuh::N,корова,பசு
142,Bulle::N,бык,காளை
143,Pferd::N,лошадь,குதிரை
144,Schaf::N,овца,செம்மறிஆடு
145,Schwein::N,свинья,பன்றி
146,Hund::N,собака,நாய்
147,Katze::N,кошка,பூனை
148,Bär::N,медведь,கரடி
149,Eichhörnchen::N,белка,அணில்
150,Elch::N,лось,கடம்பை
151,Fuchs::N,лиса,நரி
152,Hase::N,заяц,முயல்
153,Maus::N,мышь,எலி
154,Wolf::N,волк,ஓநாய்
155,Vogel::N,птица,பறவை
156,Schwarm::N,стая,தொகுதி
157,Huhn::N,курица,கோழிக்குஞசு
