,Concept_ID,fa,es
0,Auge::N,چشم,ojo
1,Ohr::N,گوش,oreja
2,Nase::N,بینی,nariz
3,Mund::N,دهان,boca
4,Zahn::N,دندان,diente
5,Zunge::N,زبان,lengua
6,Lippe::N,لب,labio
7,Wange::N,لپ,mejilla
8,Gesicht::N,رو,cara
9,Gesicht::N,چهره,cara
10,Stirn::N,پیشانی,frente
11,Haar::N,مو,cabello
12,Schnurrbart::N,سبیل,bigote
13,Bart::N,ریش,barba
14,Kinn::N,چانه,barbilla
15,Kiefer[Anatomie]::N,فک,mandíbula
16,Kiefer[Anatomie]::N,آرواره,mandíbula
17,Kehle::N,حلق,garganta
18,Hals::N,گردن,cuello
19,Genick::N,پشت گردن,nuca
20,Genick::N,پشت گردن,cerviz
21,Kopf::N,سر,cabeza
22,Kopf::N,کله,cabeza
23,Rücken::N,پشت,espalda
24,Bauch::N,شکم,vientre
25,Nabel::N,ناف,ombligo
26,Busen::N,پستان,pecho
27,Brust::N,سینه,pecho
28,Schulter::N,دوش,hombro
29,Schulter::N,شانه,hombro
30,Arm::N,بازو,brazo
31,Ellenbogen::N,آرنج,codo
32,Hand::N,دست,mano
33,Handfläche::N,کف دست,palma
34,Finger::N,انگشت,dedo
35,Fingernagel::N,ناخن دست,uña
36,Nagel[Anatomie]::N,ناخن,uña
37,Zeh::N,انگشت پا,dedo del pie
38,Fuß::N,پا,pie
39,Ferse::N,پاشنه,talón
40,Knie::N,زانو,rodilla
41,Oberschenkel::N,ران,muslo
42,Bein::N,پا,pierna
43,Bein::N,لنگ,pierna
44,Körper::N,تن,cuerpo
45,Körper::N,بدن,cuerpo
46,Haut::N,پوست,piel
47,Blut::N,خون,sangre
48,Ader::N,رگ,vena
49,Sehne::N,زردپی,tendón
50,Knochen::N,استخوان,hueso
51,Gehirn::N,مخ,cerebro
52,Gehirn::N,مخ,encéfalo
53,Gehirn::N,مغز,cerebro
54,Gehirn::N,مغز,encéfalo
55,Herz::N,دل,corazón
56,Herz::N,قلب,corazón
57,Magen::N,معده,estómago
58,Leber::N,کبد,hígado
59,Atem::N,نفس,aliento
60,Hunger::N,گرسنگی,hambre
61,Träne::N,اشک,lágrima
62,Geschmack::N,مزه,gusto
63,Geruch::N,بو,olor
64,Schlaf::N,خواب,sueño
65,Traum::N,رؤیا,sueño
66,Traum::N,رؤیا,ensueño
67,Himmel::N,فلک,cielo
68,Himmel::N,آسمان,cielo
69,Sonne::N,آفتاب,sol
70,Sonne::N,خورشید,sol
71,Mond::N,ماه,luna
72,Stern::N,ستاره,estrella
73,Luft::N,هوا,aire
74,Wind::N,باد,viento
75,Welle::N,موج,ola
76,Welle::N,موج,onda
77,Wasser::N,آب,agua
78,Stein::N,سنگ,piedra
