,Concept_ID,ab,ro
0,Auge::N,ала,ochi
1,Ohr::N,алымҳа,ureche
2,Nase::N,аҧынҵа,nas
3,Mund::N,аҧышə,gură
4,Zahn::N,ахаҧыц,dinte
5,Zunge::N,абз,limbă
6,Lippe::N,ақьышə,buză
7,Wange::N,аӡамҩа,bucă
8,Wange::N,аӡамҩа,obraz
9,Gesicht::N,аҿы,față
10,Gesicht::N,аҿы,figură
11,Stirn::N,алахь,frunte
12,Haar::N,ахəыц,păr
13,Schnurrbart::N,аҧаҵа,mustață
14,Bart::N,ажакьа,barbă
15,Kinn::N,ацламкəыгə,bărbie
16,Kiefer[Anatomie]::N,ацламҳəа,falcă
17,Kehle::N,ахəда,beregată
18,Hals::N,ахəда,gât
19,Genick::N,ахəдаџьал,ceafă
20,Kopf::N,ахы,cap
21,Rücken::N,азқəа,dos
22,Rücken::N,азқəа,spate
23,Rücken::N,азқəа,spinare
24,Bauch::N,амгəа,burtă
25,Bauch::N,амгəа,pântece
26,Nabel::N,аҷапан,buric
27,Busen::N,агəыҧҳəы,sân
28,Brust::N,агəышҧы,piept
29,Schulter::N,ажəҩахыр,umăr
30,Schulter::N,ажəҩахыр,spate
31,Arm::N,амахəар,braț
32,Ellenbogen::N,амашьхəылҵ,cot
33,Hand::N,анапы,mână
34,Handfläche::N,анапсаргəыҵа,palmă
35,Finger::N,анацəа,deget
36,Fingernagel::N,анапхыц,unghie
37,Nagel[Anatomie]::N,ашьапхыц,unghie
38,Zeh::N,ашьацəа,deget de la picior
39,Fuß::N,ашьапсыргəыҵа,picior
40,Ferse::N,ашьхəа,călcâi
41,Knie::N,ашьамхы,genunchi
42,Oberschenkel::N,ауаҭəа,coapsă
43,Bein::N,ашьапы,picior
44,Körper::N,ацəеижь,corp
45,Haut::N,ацəа,piele
46,Blut::N,ашьа,sânge
47,Ader::N,ада,vână
48,Ader::N,ада,arteră
49,Sehne::N,адаш,tendon
50,Knochen::N,абаҩ,os
51,Gehirn::N,ахшлыбаҩ,creier
52,Gehirn::N,ахшыбаҩ,creier
53,Herz::N,агəы,inimă
54,Magen::N,аца,stomac
55,Magen::N,ацар,stomac
56,Leber::N,агəаҵəа,ficat
57,Atem::N,аҧсыҧлагаҩгара,răsuflare
58,Atem::N,аҧсыҧлагаҩгара,respirație
59,Hunger::N,амла,foame
60,Träne::N,алабжыш,lacrimă
61,Geschmack::N,агьама,gust
62,Geruch::N,афҩы,miros
63,Schlaf::N,ацəа,somn
64,Traum::N,аҧхыӡ,vis
65,Himmel::N,ажəҩан,cer
66,Sonne::N,амра,soare
67,Mond::N,амза,lună
68,Stern::N,аеҵəа,stea
69,Luft::N,аҳаир,aer
70,Wind::N,аҧша,vânt
71,Welle::N,ацəқəырҧа,val
72,Welle::N,ацəқəырҧа,undă
73,Wasser::N,аӡы,apă
74,Stein::N,ахаҳə,piatră
75,Boden::N,адгьыл,sol
76,Boden::N,адгьыл,pământ
77,Erde::N,адгьыл,pământ
78,Staub::N,асаба,praf
79,Rauch::N,алҩа,fum
80,Funke::N,акəиц,scânteie
81,Funke::N,ацҧхь,scânteie
82,Feuer::N,амца,foc
83,Licht::N,алашара,lumină
84,Schatten::N,ашəшьыра,umbră
85,Wetter::N,амш,timp
86,Wetter::N,амш,vreme
87,Nebel::N,анаҟəа,ceață
88,Nebel::N,анаҟəа,negură
89,Wolke::N,аҧсҭҳəа,nor
90,Regen::N,ақəа,ploaie
91,Schnee::N,асы,zăpadă
92,Eis::N,аҵаа,gheață
93,Frost::N,аҵаа,ger
94,Kälte::N,ахьҭа,frig
95,Hitze::N,ашоура,arșiță
96,Hitze::N,ашоура,căldură
97,Raureif::N,аҵааҧшқа,chiciură
98,Regenbogen::N,ацəаҟəа,curcubeu
99,Donner::N,адыд,tunet
100,Strömung::N,аиасра,curent
101,Strömung::N,амҩасра,curent
102,Tropfen::N,ацəыкəбар,picătură
103,Schaum::N,ашəах,spumă
104,Schmutz::N,алымт,murdărie
105,See::N,аӡиа,lac
106,Sumpf::N,аӡмах,mlaștină
107,Wiese::N,адəы,fânaț
108,Wiese::N,адəы,livadă
109,Wald::N,абна,codru
110,Wald::N,абна,pădure
111,Hügel::N,ахəы,deal
112,Hügel::N,ахəы,movilă
113,Anhöhe::N,аҳаракыра,deal
114,Anhöhe::N,аҳаракыра,ridicătură
115,Berg::N,ашьха,munte
116,Gipfel::N,ацəқəа,pisc
117,Höhle::N,аҳаҧы,peșteră
118,Abhang::N,анаара,pantă
119,Abhang::N,анаара,versant
120,Quelle::N,аҵҵырҭа,izvor
121,Bach::N,акəараҷҷа,gârlă
122,Fluss::N,аӡиас,râu
123,Fluss::N,аӡиас,fluviu
124,Ufer::N,ахықə,mal
125,Ufer::N,ахықə,țărm
126,Küste::N,ахықə,coastă
127,Festland::N,абарра,uscat
128,Meer::N,амшын,mare
129,Bucht::N,аӡбжьахала,golf
130,Insel::N,адгьылбжьаха,insulă
131,Blume::N,ашəҭ,floare
132,Gras::N,аҳасакьын,iarbă
133,Wurzel::N,адац,rădăcină
134,Baum::N,аҵла,copac
135,Baum::N,аҵла,arbore
136,Stamm::N,ашьапы,tulpină
137,Rinde::N,ацəа,scoarță
138,Ast::N,амахə,cracă
139,Ast::N,амахə,creangă
140,Ast::N,амахəҭа,cracă
141,Ast::N,амахəҭа,creangă
142,Zweig::N,амахə,ramură
143,Zweig::N,амахə,creangă
144,Zweig::N,амахəҭа,ramură
145,Zweig::N,амахəҭа,creangă
146,Blatt::N,абҕьы,frunză
147,Birke::N,аҵааҵла,mesteacăn
148,Kiefer[Baum]::N,амза,pin
149,Weide[Baum]::N,аҧслыш,salcie
150,Weide[Baum]::N,аҧслыш,răchită
151,Tanne::N,аҧсаӡ,brad
152,Horn::N,атəыҩа,corn
153,Feder::N,ахӡы,pană
154,Fell::N,ацəа,piele
155,Flügel::N,амҵəыжəа,aripă
156,Klaue::N,ашьапхыц,gheară
157,Schwanz::N,аҵыхəа,coadă
158,Ei::N,акəтаӷь,ou
159,Nest::N,аҭра,cuib
160,Nest::N,аҵысҭра,cuib
161,Bau::N,аҭыҩра,bârlog
162,Bau::N,аҭыҩра,vizuină
163,Tier::N,аҧстəы,animal
