,Concept_ID,uk,ku
0,Auge::N,око,çav
1,Ohr::N,вухо,guh
2,Nase::N,ніс,bêvil
3,Mund::N,рот,dev
4,Zahn::N,зуб,didan
5,Zunge::N,язик,ziman
6,Lippe::N,губа,lêv
7,Wange::N,щока,dêm
8,Wange::N,щока,hinarik
9,Gesicht::N,обличчя,rû
10,Stirn::N,лоб,enî
11,Haar::N,волосся,por
12,Schnurrbart::N,вуса,simbêl
13,Bart::N,борода,rih
14,Kinn::N,підборіддя,zenî
15,Kiefer[Anatomie]::N,щелепа,arguşk
16,Kehle::N,горло,qirik
17,Hals::N,шия,stû
18,Hals::N,шия,qirik
19,Genick::N,потилиця,stû
20,Kopf::N,голова,serî
21,Rücken::N,спина,pişt
22,Bauch::N,живіт,ûr
23,Bauch::N,живіт,zik
24,Nabel::N,пупок,navik
25,Busen::N,груди,sîng
26,Brust::N,груди,sîng
27,Schulter::N,плече,mil
28,Arm::N,рука,çepil
29,Ellenbogen::N,лікоть,enîşk
30,Hand::N,рука,dest
31,Handfläche::N,долоня,kefadest
32,Finger::N,палець,tilî
33,Fingernagel::N,ніготь,neynuk
34,Nagel[Anatomie]::N,ніготь,bizmar
35,Zeh::N,палець на нозі,tilî linga
36,Fuß::N,нога,ling
37,Ferse::N,п’ятка,pahnî
38,Knie::N,коліно,kabok
39,Oberschenkel::N,стегно,rahn
40,Bein::N,нога,çip
41,Körper::N,тіло,laş
42,Körper::N,тіло,gowde
43,Haut::N,шкіра,çerm
44,Blut::N,кров,xwîn
45,Ader::N,вена,reh
46,Sehne::N,сухожилля,reh
47,Knochen::N,кістка,hestî
48,Gehirn::N,мозок,mêjî
49,Herz::N,серце,dil
50,Magen::N,шлунок,navêş
51,Leber::N,печінка,kezeb
52,Atem::N,дихання,hilm
53,Hunger::N,голод,birçîtî
54,Träne::N,сльоза,hêstir
55,Geschmack::N,смак,tam
56,Geruch::N,запах,bêhn
57,Schlaf::N,сон,xew
58,Schlaf::N,сплячка,xew
59,Traum::N,сон,xewn
60,Himmel::N,небо,ezman
61,Sonne::N,сонце,roj
62,Mond::N,місяць,heyv
63,Stern::N,зірка,stêrk
