,Concept_ID,lez,hy
0,Auge::N,вил,աչք
1,Ohr::N,яб,ականջ
2,Nase::N,нер,քիթ
3,Mund::N,сив,բերան
4,Zahn::N,сас,ատամ
5,Zahn::N,свах,ատամ
6,Zunge::N,мез,լեզու
7,Lippe::N,пӏуз,շրթունք
8,Wange::N,хъвехъ,այտ
9,Wange::N,хъвехъ,թուշ
10,Gesicht::N,ччин,դեմք
11,Stirn::N,пел,ճակատ
12,Haar::N,чӏар,մազ
13,Schnurrbart::N,спел,բեղ
14,Schnurrbart::N,спелар,բեղ
15,Bart::N,ччуру,մորուք
16,Kinn::N,чене,կզակ
17,Kiefer[Anatomie]::N,чене,ծնոտ
18,Kehle::N,туьд,կոկորդ
19,Hals::N,гардан,վիզ
20,Hals::N,гардан,պարանոց
21,Genick::N,кьам,ծոծրակ
22,Kopf::N,кьил,գլուխ
23,Rücken::N,далу,մեջք
24,Bauch::N,руфун,փոր
25,Bauch::N,руфун,որովայն
26,Nabel::N,пицӏ,պորտ
27,Busen::N,мам,ծոց
28,Brust::N,хур,կուրծք
29,Schulter::N,къуьн,ուս
30,Arm::N,гъил,թեւ
31,Arm::N,гъил,բազուկ
32,Ellenbogen::N,кьуьнт,արմունկ
33,Hand::N,капаш,ձեռք
34,Handfläche::N,капан юкь,ափ
35,Finger::N,тӏуб,մատ
36,Fingernagel::N,кек,եղունգ
37,Nagel[Anatomie]::N,кек,եղունգ
38,Zeh::N,кул,ոտքի մատ
39,Fuß::N,кӏвач,ոտք
40,Ferse::N,дабан,գարշապար
41,Knie::N,мет,ծունկ
42,Bein::N,кӏвач,ոտք
43,Körper::N,беден,մարմին
44,Haut::N,хам,մաշկ
45,Blut::N,иви,արյուն
46,Ader::N,дамар,երակ
47,Sehne::N,кьуру дамар,ջիղ
48,Sehne::N,кьуру дамар,ձգտան
49,Knochen::N,кӏараб,ոսկոր
50,Gehirn::N,мефт,խելք
51,Herz::N,рикӏ,սիրտ
52,Magen::N,хук,ստամոքս
53,Leber::N,лекь,լյարդ
54,Atem::N,ял,շունչ
55,Atem::N,нефес,շունչ
56,Hunger::N,каш,քաղց
57,Träne::N,вилин нагъв,արտասուք
58,Geschmack::N,дад,համ
59,Geschmack::N,дад,բուրմունք
60,Geschmack::N,тӏям,համ
61,Geschmack::N,тӏям,բուրմունք
62,Geruch::N,ни,հոտ
63,Geruch::N,ни,բուրում
64,Schlaf::N,ахвар,քուն
65,Traum::N,ахвар,երազ
66,Himmel::N,цав,երկինք
67,Sonne::N,рагъ,արեւ
68,Mond::N,варз,լուսին
69,Stern::N,гъед,աստղ
70,Luft::N,гьава,օդ
71,Wind::N,гар,քամի
72,Welle::N,лепе,ալիք
73,Wasser::N,яд,ջուր
74,Stein::N,къван,քար
75,Boden::N,накьв,գետին
76,Erde::N,ччил,հող
77,Staub::N,руг,փոշի
78,Rauch::N,гум,ծուխ
79,Funke::N,цӏелхем,կայծ
80,Feuer::N,цӏай,կրակ
81,Feuer::N,цӏай,հրդեհ
82,Licht::N,экв,լույս
