,Concept_ID,tt,es
0,Auge::N,күз,ojo
1,Ohr::N,колак,oreja
2,Nase::N,борын,nariz
3,Mund::N,авыз,boca
4,Mund::N,тамак,boca
5,Zahn::N,теш,diente
6,Zunge::N,тел,lengua
7,Lippe::N,ирен,labio
8,Wange::N,яңак,mejilla
9,Gesicht::N,йөз,cara
10,Stirn::N,маңгай,frente
11,Haar::N,чәч,cabello
12,Schnurrbart::N,мыек,bigote
13,Bart::N,сакал,barba
14,Kinn::N,ияк,barbilla
15,Kiefer[Anatomie]::N,казналык,mandíbula
16,Kehle::N,тамак,garganta
17,Hals::N,бугаз,cuello
18,Genick::N,җилкә,nuca
19,Genick::N,җилкә,cerviz
20,Kopf::N,баш,cabeza
21,Rücken::N,сырт,espalda
22,Bauch::N,корсак,vientre
23,Nabel::N,кендек,ombligo
24,Busen::N,түш,pecho
25,Brust::N,имчәк,pecho
26,Brust::N,күкрәк,pecho
27,Schulter::N,иңбаш,hombro
28,Schulter::N,кулбаш,hombro
29,Arm::N,кул,brazo
30,Ellenbogen::N,терсәк,codo
31,Hand::N,кул,mano
32,Handfläche::N,уч,palma
33,Finger::N,бармак,dedo
34,Fingernagel::N,тырнак,uña
35,Nagel[Anatomie]::N,тырнак,uña
36,Zeh::N,бармак,dedo del pie
37,Fuß::N,табан,pie
38,Ferse::N,үкчә,talón
39,Knie::N,тез,rodilla
40,Oberschenkel::N,бот,muslo
41,Bein::N,аяк,pierna
42,Körper::N,тән,cuerpo
43,Körper::N,җисем,cuerpo
44,Haut::N,тире,piel
45,Blut::N,кан,sangre
46,Ader::N,тамыр,vena
47,Sehne::N,сеңер,tendón
48,Knochen::N,сөяк,hueso
49,Gehirn::N,ми,cerebro
50,Gehirn::N,ми,encéfalo
51,Herz::N,йөрәк,corazón
52,Magen::N,ашказаны,estómago
53,Leber::N,бавыр,hígado
54,Atem::N,сулыш,aliento
55,Hunger::N,ачлык,hambre
56,Träne::N,яшь,lágrima
57,Geschmack::N,тәм,gusto
58,Geschmack::N,зәвык,gusto
59,Geruch::N,ис,olor
60,Schlaf::N,йокы,sueño
61,Traum::N,төш,sueño
62,Traum::N,төш,ensueño
63,Himmel::N,күк,cielo
64,Sonne::N,кояш,sol
65,Mond::N,ай,luna
66,Stern::N,йолдыз,estrella
67,Luft::N,һава,aire
68,Wind::N,җил,viento
69,Welle::N,дулкын,ola
70,Welle::N,дулкын,onda
71,Wasser::N,су,agua
72,Stein::N,таш,piedra
73,Boden::N,туфрак,suelo
74,Erde::N,җир,tierra
75,Staub::N,тузан,polvo
76,Rauch::N,төтен,humo
77,Funke::N,очкын,chispa
78,Feuer::N,ут,fuego
79,Licht::N,якты,luz
80,Schatten::N,күләгә,sombra
81,Wetter::N,һава,tiempo
82,Nebel::N,томан,niebla
83,Wolke::N,болыт,nube
84,Regen::N,яңгыр,lluvia
85,Schnee::N,кар,nieve
86,Eis::N,боз,hielo
87,Frost::N,суык,helada
88,Frost::N,салкын,helada
89,Kälte::N,суык,frío
90,Kälte::N,салкын,frío
91,Hitze::N,эсселек,calor
92,Raureif::N,бәс,escarcha
93,Raureif::N,сыкы,escarcha
94,Regenbogen::N,салават күпере,arco iris
95,Donner::N,күкрәү,trueno
96,Strömung::N,агыш'агым,corriente
97,Tropfen::N,тамчы,gota
98,Schaum::N,күбек,espuma
99,Schmutz::N,пычрак,suciedad
100,See::N,күл,lago
101,Sumpf::N,саз,pantano
102,Moor::N,торфлык,turbera
103,Wiese::N,болын,prado
104,Wiese::N,болын,pradera
105,Wald::N,урман,bosque
106,Hügel::N,калку,colina
107,Anhöhe::N,үр,cerro
108,Berg::N,тау,monte
109,Berg::N,тау,montaña
110,Gipfel::N,оч,cima
111,Gipfel::N,оч,cumbre
112,Höhle::N,мәгарә,cueva
113,Höhle::N,мәгарә,caverna
114,Abhang::N,кабырга,cuesta
115,Abhang::N,кабырга,declive
116,Quelle::N,чишмә,fuente
117,Quelle::N,чишмә,manantial
118,Bach::N,елга,arroyo
119,Fluss::N,дәрья,río
120,Ufer::N,су кырые,orilla
121,Küste::N,яр буе,costa
122,Festland::N,коры җир,tierra firme
123,Meer::N,диңгез,mar
124,Bucht::N,бухта,cala
125,Bucht::N,бухта,bahía
126,Bucht::N,култык,cala
127,Bucht::N,култык,bahía
128,Insel::N,атау,isla
129,Insel::N,утрау,isla
130,Blume::N,чәчкә,flor
131,Gras::N,үлән,hierba
132,Wurzel::N,тамыр,raíz
133,Baum::N,агач,árbol
134,Stamm::N,кәүсә,tronco
135,Rinde::N,кабык,corteza
136,Ast::N,ботак,rama
137,Zweig::N,ботак,ramo
138,Zweig::N,тармак,ramo
139,Blatt::N,яфрак,hoja
140,Birke::N,каен,abedul
141,Kiefer[Baum]::N,нарат,pino
142,Weide[Baum]::N,тал,sauce
143,Tanne::N,чыршы,abeto
144,Horn::N,мөгез,asta
145,Horn::N,мөгез,cuerno
146,Feder::N,йон,pluma
147,Fell::N,тире,piel
148,Flügel::N,канат,ala
149,Klaue::N,тырнак,garra
150,Kralle::N,тырнак,uña
151,Kralle::N,тырнак,garra
152,Schwanz::N,койрык,cola
153,Ei::N,күкәй,huevo
154,Ei::N,йомырка,huevo
155,Nest::N,оя,nido
156,Bau::N,өн,madriguera
157,Tier::N,хайван,animal
158,Herde::N,көтү,rebaño
159,Kuh::N,сыер,vaca
160,Bulle::N,үгез,toro
161,Pferd::N,ат,caballo
162,Schaf::N,сарык,oveja
163,Schwein::N,дуңгыз,cerdo
164,Hund::N,эт,perro
165,Katze::N,песи,gato
166,Bär::N,аю,oso
167,Eichhörnchen::N,тиен,ardilla
168,Elch::N,поши,alce
169,Fuchs::N,төлке,zorro
170,Hase::N,куян,liebre
171,Maus::N,тычкан,ratón
172,Wolf::N,бүре,lobo
173,Vogel::N,кош,ave
174,Vogel::N,кош,pájaro
175,Schwarm::N,көтү,bandada
176,Huhn::N,тавык,gallina
177,Hahn::N,әтәч,gallo
178,Gans::N,каз,oca
179,Gans::N,каз,ganso
180,Adler::N,каракош,águila
181,Ente::N,үрдәк,pato
182,Eule::N,ябалак,lechuza
183,Kranich::N,торна,grulla
184,Krähe::N,карга,corneja
185,Kuckuck::N,күке,cuco
186,Kuckuck::N,кәккүк,cuco
187,Schwan::N,аккош,cisne
188,Fisch::N,балык,pez
189,Barsch::N,алабуга,perca
190,Hecht::N,чуртан,lucio
191,Schlange[Tier]::N,елан,serpiente
192,Wurm::N,корт,gusano
193,Spinne::N,үрмәкүч,araña
194,Ameise::N,кырмыска,hormiga
195,Laus::N,бет,piojo
196,Mücke::N,черки,mosquito
197,Mücke::N,озынборын,mosquito
198,Fliege::N,чебен,mosca
199,Schmetterling::N,күбәләк,mariposa
200,Beere::N,җиләк,baya
201,Apfel::N,алма,manzana
202,Pilz::N,гөмбә,seta
203,Pilz::N,гөмбә,hongo
204,Zwiebel::N,суган,cebolla
205,Zwiebel::N,суганбаш,cebolla
206,Saat::N,орлык,siembra
207,Korn::N,иген,grano
208,Korn::N,орлык,grano
209,Heu::N,печән,heno
210,Schale::N,кабык,cáscara
211,Grube::N,баз,foso
212,Grube::N,чокыр,foso
213,Falle::N,тозак,trampa
214,Falle::N,капкын,trampa
215,Schlinge::N,элмәк,lazo
216,Spur::N,эз,huella
217,Asche::N,көл,ceniza
218,Dreck::N,пычрак,suciedad
219,Eisen::N,тимер,hierro
220,Gold::N,алтын,oro
221,Silber::N,көмеш,plata
222,Kohle::N,күмер,carbón
223,Glas::N,пыяла,vidrio
224,Glas::N,пыяла,cristal
225,Lehm::N,балчык,barro
226,Sand::N,ком,arena
227,Mensch::N,адәм,hombre
228,Mensch::N,адәм,ser humano
229,Mensch::N,инсан,hombre
230,Mensch::N,инсан,ser humano
231,Mann::N,ир,hombre
232,Frau::N,хатын,mujer
233,Kind::N,бала,niño
234,Junge::N,малай,chico
235,Junge::N,малай,muchacho
236,Mädchen::N,кыз,chica
237,Mädchen::N,кыз,muchacha
238,Familie::N,гаилә,familia
239,Großvater::N,бабай,abuelo
240,Großmutter::N,әби,abuela
241,Eltern::N,ата-ана,padres
242,Vater::N,ата,padre
243,Mutter::N,ана,madre
244,Sohn::N,ул,hijo
245,Tochter::N,кыз,hija
246,Bruder::N,кардәш,hermano
247,Schwester::N,апа,hermana
248,Schwester::N,сеңел,hermana
249,Onkel::N,дәдә,tío
250,Onkel::N,дәдәй,tío
251,Tante::N,түти,tía
252,Tante::N,тәтәй,tía
253,Ehemann::N,ир,esposo
254,Ehefrau::N,хатын,esposa
255,Freude::N,сөенеч,placer
256,Freude::N,сөенеч,alegría
257,Gelächter::N,көлү,risa
258,Gelächter::N,көлү,carcajada
259,Gelächter::N,көлеш,risa
260,Gelächter::N,көлеш,carcajada
261,Glück::N,бәхет,felicidad
262,Kummer::N,хәсрәт,pena
263,Wunsch::N,теләк,deseo
264,Lust::N,теләк,ganas
265,Lust::N,теләү,ganas
266,Geist::N,рух,mente
267,Geist::N,рух,espíritu
268,Gedanke::N,уй,idea
269,Gedanke::N,уй,pensamiento
270,Gedanke::N,фикер,idea
271,Gedanke::N,фикер,pensamiento
272,Gedächtnis::N,хәтер,memoria
273,Verstand::N,акыл,razón
274,Verstand::N,акыл,entendimiento
275,Sinn::N,мәгънә,sentido
276,Sinn::N,мәгънә,significado
277,Grund::N,сәбәп,causa
278,Wahrheit::N,хак,verdad
279,Gespräch::N,әңгәмә,conversación
280,Märchen::N,әкият,cuento
281,Erzählung::N,хикәя,cuento
282,Erzählung::N,хикәя,narración
283,Nachricht::N,хәбәр,mensaje
284,Neuigkeit::N,яңалык,noticia
285,Name::N,исем,nombre
286,Rätsel::N,табышмак,acertijo
287,Rätsel::N,табышмак,adivinanza
288,Rede::N,нотык,discurso
289,Sprache::N,тел,lengua
290,Stimme::N,тавыш,voz
291,Wort::N,сүз,palabra
292,Zeichen::N,ишарә,señal
293,Ruf::N,дәшү,llamada
294,Lärm::N,шау,ruido
295,Lärm::N,шау,barullo
296,Laut::N,аваз,sonido
297,Ton::N,шалтырату,tono
298,Lied::N,җыр,canción
299,Ruhe::N,тынлык,calma
300,Ruhe::N,тынлык,silencio
301,Leute::N,халык,gente
302,Volk::N,халык,pueblo
303,Arbeit::N,эш,trabajo
304,Arbeit::N,хезмәт,trabajo
305,Gast::N,кунак,huésped
306,Gast::N,кунак,invitado
307,Geschenk::N,бүләк,regalo
308,Spiel::N,уен,juego
309,Gesellschaft::N,җәмгыять,compañía
310,Hilfe::N,ярдәм,ayuda
311,Hilfe::N,ярдәм,socorro
312,Hilfe::N,булышлык,ayuda
313,Hilfe::N,булышлык,socorro
314,Freund::N,дус,amigo
315,Kamerad::N,иптәш,camarada
316,Kamerad::N,иптәш,compañero
