,Concept_ID,av,it
0,Ohr::N,гӏин,orecchio
1,Nase::N,мегӏер,naso
2,Mund::N,кӏал,bocca
3,Zahn::N,гӏус,dente
4,Zunge::N,мацӏ,lingua
5,Lippe::N,кӏветӏ,labbro
6,Wange::N,гӏоно,guancia
7,Gesicht::N,гьумер,viso
8,Gesicht::N,гьумер,faccia
9,Stirn::N,нодо,fronte
10,Haar::N,рас,capello
11,Schnurrbart::N,михъ,baffi
12,Schnurrbart::N,михъ,mustacchi
13,Bart::N,мегеж,barba
14,Kinn::N,нилъу,mento
15,Kiefer[Anatomie]::N,чанагъ,mascella
16,Kehle::N,щекъер,gola
17,Hals::N,габур,collo
18,Genick::N,гъванща,nuca
19,Kopf::N,бетӏер,capo
20,Kopf::N,бетӏер,testa
21,Rücken::N,мугъ,dorso
22,Rücken::N,мугъ,schiena
23,Bauch::N,чехь,ventre
24,Nabel::N,цӏину,ombelico
25,Busen::N,керен,seno
26,Brust::N,керен,petto
27,Schulter::N,гъажазубетӏер,spalla
28,Arm::N,гъеж,braccio
29,Ellenbogen::N,гӏункӏрукь,gomito
30,Hand::N,квер,mano
31,Handfläche::N,огъохъат,palma
32,Handfläche::N,жанисахъат,palma
33,Finger::N,килищ,dito
34,Fingernagel::N,малъ,unghia
35,Nagel[Anatomie]::N,малъ,unghia
36,Zeh::N,килищ,dito del piede
37,Fuß::N,хӏетӏ,piede
38,Fuß::N,хӏетӏе,piede
39,Ferse::N,эгъе,tallone
40,Ferse::N,эгъе,calcagno
41,Knie::N,наку,ginocchio
42,Oberschenkel::N,мачӏ,fèmore
43,Bein::N,бох,gamba
44,Körper::N,къаркъала,corpo
45,Haut::N,тӏом,pelle
46,Blut::N,би,sangue
47,Ader::N,бидурихь,vena
48,Knochen::N,ракьа,osso
49,Gehirn::N,гӏадалнах,cervello
50,Herz::N,ракӏ,cuore
51,Magen::N,кванирукъ,stòmaco
52,Leber::N,тӏул,fegato
53,Atem::N,хӏухь,fiato
54,Atem::N,хӏухь,respiro
55,Hunger::N,ракъи,fame
56,Träne::N,магӏу,làcrima
57,Geschmack::N,тату,gusto
58,Geschmack::N,тату,sapore
59,Geruch::N,махӏ,odore
60,Schlaf::N,макьу,sonno
61,Traum::N,макьу,sogno
62,Himmel::N,зоб,cielo
63,Sonne::N,бакъ,sole
64,Mond::N,моцӏ,luna
65,Stern::N,цӏва,stella
66,Luft::N,гьава,aria
67,Wind::N,гьури,vento
68,Welle::N,карачел,onda
69,Wasser::N,лъим,acqua
70,Stein::N,гьецӏо,sasso
71,Stein::N,гьецӏо,pietra
72,Boden::N,ракь,suolo
73,Boden::N,ракь,terreno
74,Erde::N,ракь,terra
75,Erde::N,дуниял,terra
76,Staub::N,хӏур,polvere
77,Rauch::N,кӏкӏуй,fumo
78,Feuer::N,цӏа,fuoco
79,Licht::N,канлъи,luce
80,Schatten::N,рагӏад,ombra
81,Wetter::N,гьава-бакъ,tempo
82,Nebel::N,гӏодобнакӏкӏ,nebbia
83,Wolke::N,накӏкӏ,nube
84,Wolke::N,накӏкӏ,nùvola
85,Regen::N,цӏад,pioggia
86,Schnee::N,гӏазу,neve
87,Eis::N,цӏер,ghiaccio
88,Frost::N,замгьари,gelo
89,Kälte::N,квач,freddo
90,Hitze::N,багӏари,caldo
91,Hitze::N,багӏари,calura
92,Raureif::N,мартӏ,brina
93,Regenbogen::N,нур,arcobaleno
94,Regenbogen::N,чамбара,arcobaleno
95,Donner::N,гъугъай,tuono
96,Donner::N,гъугъади,tuono
97,Strömung::N,чвахи,corrente
98,Tropfen::N,резел,goccia
99,Tropfen::N,тӏинкӏ,goccia
100,Tropfen::N,къатӏра,goccia
101,Tropfen::N,тӏенкӏел,goccia
102,Schaum::N,полоп,spuma
103,Schaum::N,полоп,schiuma
104,Schmutz::N,чороклъи,sudiciume
105,See::N,хӏор,lago
106,Sumpf::N,хьуцӏ,palude
107,Wiese::N,мегъ,prato
108,Wiese::N,гӏурдаллъи,prato
109,Wald::N,рохь,bosco
110,Wald::N,рохь,foresta
111,Hügel::N,гохӏ,colle
112,Hügel::N,гохӏ,collina
113,Anhöhe::N,сийитма,altura
114,Berg::N,мегӏер,monte
115,Berg::N,мегӏер,montagna
