,Concept_ID,av,cv
0,Ohr::N,гӏин,хӑлха
1,Nase::N,мегӏер,сӑмса
2,Mund::N,кӏал,ҫӑвар
3,Zahn::N,гӏус,шӑл
4,Zunge::N,мацӏ,чӗлхе
5,Lippe::N,кӏветӏ,тута
6,Wange::N,гӏоно,пит ҫӑмарти
7,Gesicht::N,гьумер,пит
8,Gesicht::N,гьумер,пит-куҫ
9,Stirn::N,нодо,ҫамка
10,Haar::N,рас,ҫӳҫ
11,Schnurrbart::N,михъ,усси
12,Bart::N,мегеж,сухал
13,Kinn::N,нилъу,янах
14,Kiefer[Anatomie]::N,чанагъ,янах
15,Kehle::N,щекъер,пыр
16,Kehle::N,щекъер,карланкӑ
17,Hals::N,габур,пыр
18,Genick::N,гъванща,ӗнсе
19,Kopf::N,бетӏер,пуҫ
20,Rücken::N,мугъ,ҫурӑм
21,Bauch::N,чехь,
22,Nabel::N,цӏину,кӑвапа
23,Busen::N,керен,кӑкӑр
24,Brust::N,керен,умӗ
25,Schulter::N,гъажазубетӏер,хул пуҫҫи
26,Arm::N,гъеж,алӑ
27,Ellenbogen::N,гӏункӏрукь,чавса
28,Hand::N,квер,алӑ сыппи
29,Handfläche::N,огъохъат,ал лаппи
30,Handfläche::N,жанисахъат,ал лаппи
31,Finger::N,килищ,пӳрне
32,Fingernagel::N,малъ,чӗрне
33,Nagel[Anatomie]::N,малъ,чӗрне
34,Zeh::N,килищ,пӳрне
35,Fuß::N,хӏетӏ,ура лаппи
36,Fuß::N,хӏетӏе,ура лаппи
37,Ferse::N,эгъе,кӗле
38,Knie::N,наку,чӗркуҫҫи
39,Oberschenkel::N,мачӏ,пӗҫӗ
40,Bein::N,бох,ура
41,Körper::N,къаркъала,ӳт
42,Körper::N,къаркъала,ӳт-пӳ
43,Haut::N,тӏом,тир
44,Blut::N,би,юн
45,Ader::N,бидурихь,вена
46,Knochen::N,ракьа,шӑмӑ
47,Gehirn::N,гӏадалнах,миме
48,Herz::N,ракӏ,чӗре
49,Magen::N,кванирукъ,хырӑмлӑх
50,Leber::N,тӏул,пӗвер
51,Atem::N,хӏухь,сывлав
52,Hunger::N,ракъи,выҫлӑх
53,Träne::N,магӏу,куҫҫуль
54,Geschmack::N,тату,техӗм
55,Geruch::N,махӏ,шӑршӑ
56,Schlaf::N,макьу,ыйхӑ
57,Traum::N,макьу,тӗлӗк
58,Himmel::N,зоб,пӗлӗт
59,Sonne::N,бакъ,хӗвел
60,Mond::N,моцӏ,уйӑх
61,Stern::N,цӏва,ҫӑлтӑр
62,Luft::N,гьава,сывлӑш
63,Wind::N,гьури,ҫил
64,Welle::N,карачел,хум
65,Wasser::N,лъим,шыв
66,Wasser::N,лъим,шыв-шур
67,Stein::N,гьецӏо,чул
68,Boden::N,ракь,тӑпра
69,Erde::N,ракь,ҫӗр
70,Erde::N,дуниял,ҫӗр
71,Staub::N,хӏур,тусан
72,Rauch::N,кӏкӏуй,тӗтӗм
73,Feuer::N,цӏа,вут
74,Feuer::N,цӏа,ҫулӑм
75,Licht::N,канлъи,ҫутӑ
76,Schatten::N,рагӏад,сулхӑн
77,Wetter::N,гьава-бакъ,ҫанталӑк
78,Nebel::N,гӏодобнакӏкӏ,тӗтре
79,Wolke::N,накӏкӏ,пӗлӗт
80,Regen::N,цӏад,ҫумӑр
81,Schnee::N,гӏазу,юр
82,Eis::N,цӏер,пӑр
83,Frost::N,замгьари,сивӗ
84,Kälte::N,квач,сивӗ
85,Hitze::N,багӏари,вӗри
86,Hitze::N,багӏари,шӑрӑх
87,Raureif::N,мартӏ,пас
88,Regenbogen::N,нур,асамат кӗперӗ
89,Regenbogen::N,чамбара,асамат кӗперӗ
90,Donner::N,гъугъай,аслати
91,Donner::N,гъугъади,аслати
92,Strömung::N,чвахи,юхӑ
93,Tropfen::N,резел,тумлам
94,Tropfen::N,тӏинкӏ,тумлам
95,Tropfen::N,къатӏра,тумлам
96,Tropfen::N,тӏенкӏел,тумлам
97,Schaum::N,полоп,кӑпӑк
98,Schmutz::N,чороклъи,пылчӑк
99,See::N,хӏор,кӳлӗ
100,Sumpf::N,хьуцӏ,шур
101,Sumpf::N,хьуцӏ,шурлӑх
102,Wiese::N,мегъ,улӑх
103,Wiese::N,мегъ,ҫаран
104,Wiese::N,гӏурдаллъи,улӑх
105,Wiese::N,гӏурдаллъи,ҫаран
106,Wald::N,рохь,вӑрман
107,Hügel::N,гохӏ,сӑрт
108,Hügel::N,гохӏ,тӗмеске
109,Anhöhe::N,сийитма,сӑрт
110,Berg::N,мегӏер,ту
111,Gipfel::N,тӏогь,тӳпе
112,Höhle::N,нохъо,ҫӗр хӑвӑлӗ
113,Abhang::N,лабаллъи,тӑвайкки
114,Quelle::N,ицц,ҫӑл куҫ
115,Bach::N,лъар,пӗчӗк шыв
116,Fluss::N,гӏор,юхан шыв
117,Ufer::N,рагӏал,ҫыран
118,Küste::N,рагӏал,тинӗс ҫыранӗ
119,Festland::N,ракь,тип ҫӗр
120,Festland::N,ракъдаллъи,тип ҫӗр
121,Meer::N,ралъад,тинӗс
122,Bucht::N,кӏветӏ,тинӗс кукӑрӗ
123,Insel::N,чӏинкӏиллъи,утрав
124,Blume::N,тӏегь,чечек
125,Gras::N,хер,курӑк
126,Wurzel::N,кьибил,тымар
127,Baum::N,гъветӏ,йывӑҫ
128,Stamm::N,рохти,вулӑ
129,Rinde::N,макъар,хуйӑр
130,Ast::N,ноцӏ,турат
131,Zweig::N,гӏаркьел,турат
132,Blatt::N,тӏамах,ҫулҫӑ
133,Birke::N,мах,хурӑн
134,Birke::N,махигъветӏ,хурӑн
135,Kiefer[Baum]::N,накӏкӏигъветӏ,хыр
136,Weide[Baum]::N,рицӏцӏ,хӑва
137,Weide[Baum]::N,рицӏцӏигъветӏ,хӑва
138,Tanne::N,ёлка,чӑрӑш
139,Horn::N,лълъар,мӑйрака
140,Feder::N,хӏули,тӗк
141,Fell::N,тӏом,ҫӑм
142,Fell::N,цӏоко,ҫӑм
143,Flügel::N,кваркьи,ҫунат
144,Klaue::N,галъ,чӗрне
145,Kralle::N,квачӏ,ура
146,Kralle::N,катиквачӏ,ура
147,Schwanz::N,рачӏ,хӳре
148,Ei::N,хоно,ҫӑмарта
149,Nest::N,бусен,йӑва
150,Bau::N,каратӏ,йӗнӗ
151,Tier::N,хӏайван,выльӑх
152,Herde::N,рехъен,кӗтӳ
153,Herde::N,рехъед,кӗтӳ
154,Kuh::N,гӏака,ӗне
155,Bulle::N,оц,вӑкӑр
156,Pferd::N,чу,лаша
157,Schaf::N,чахъу,сурӑх
158,Schwein::N,болъон,сысна
159,Hund::N,гьой,йытӑ
160,Katze::N,кету,кушак
161,Bär::N,ци,упа
162,Eichhörnchen::N,гвангва,пакша
163,Fuchs::N,цер,тилӗ
164,Hase::N,гӏанкӏ,куян
165,Hase::N,гӏанкӏ,мулкач
166,Maus::N,гӏункӏкӏ,шӑши
167,Wolf::N,бацӏ,кашкӑр
168,Vogel::N,хӏинчӏ,кайӑк
169,Vogel::N,хӏинчӏ,вӗҫен кайӑк
170,Schwarm::N,тӏел,ушкӑн
171,Huhn::N,гӏанкӏу,чӑх
172,Huhn::N,гӏанкӏу,чӑхӑ
173,Hahn::N,хӏелеко,автан
174,Gans::N,хъаз,хур
175,Adler::N,цӏум,ӑмӑрт кайӑк
176,Ente::N,ордек,кӑвакал
177,Eule::N,беццаруз,тӑмана
178,Kranich::N,къункъра,тӑрна
179,Krähe::N,гъеду,ула курак
180,Kuckuck::N,гагу,куккук
181,Schwan::N,хӏанкъва,акӑш
182,Fisch::N,ччугӏа,пулӑ
183,Barsch::N,окунь,уланкӑ
184,Hecht::N,щука,ҫӑрттан
185,Schlange[Tier]::N,борохь,ҫӗлен
186,Wurm::N,хӏапара,ӑман
187,Spinne::N,хъанхъра,эрешмен
188,Ameise::N,цӏунцӏра,кӑткӑ
189,Laus::N,нацӏ,пыйтӑ
190,Mücke::N,кӏкӏара,вӑрӑм туна
191,Fliege::N,тӏутӏ,шӑна
192,Schmetterling::N,кӏалкӏучӏ,лӗпӗш
193,Apfel::N,гӏеч,улма
194,Apfel::N,гӏеч,пан улми
195,Pilz::N,гӏурдахӏан,кӑмпа
196,Zwiebel::N,кӏочӏопер,сухан
197,Saat::N,хьон,вӑрӑ
198,Korn::N,мугь,тӗшӗ
199,Korn::N,мугь,пӗрчӗ
200,Heu::N,хер,утӑ
201,Schale::N,хъал,хупӑ
202,Grube::N,гвенд,шӑтӑк
203,Falle::N,къор,тапӑ
204,Falle::N,къор,капкӑн
205,Falle::N,къотен,тапӑ
206,Falle::N,къотен,капкӑн
207,Schlinge::N,кӏичӏ,йӑлӑ
