,Concept_ID,cy,tt
0,Auge::N,llygad,күз
1,Ohr::N,clust,колак
2,Nase::N,trwyn,борын
3,Mund::N,ceg,авыз
4,Mund::N,ceg,тамак
5,Zahn::N,dant,теш
6,Zunge::N,tafod,тел
7,Lippe::N,gwefus,ирен
8,Wange::N,boch,яңак
9,Gesicht::N,wyneb,йөз
10,Stirn::N,talcen,маңгай
11,Haar::N,blew,чәч
12,Schnurrbart::N,mwstas,мыек
13,Bart::N,barf,сакал
14,Kinn::N,gên,ияк
15,Kiefer[Anatomie]::N,gên,казналык
16,Kehle::N,gwddf,тамак
17,Hals::N,gwddf,бугаз
18,Genick::N,gwar,җилкә
19,Genick::N,gwegil,җилкә
20,Kopf::N,pen,баш
21,Rücken::N,cefn,сырт
22,Bauch::N,bol,корсак
23,Nabel::N,bogail,кендек
24,Busen::N,bron,түш
25,Brust::N,brest,имчәк
26,Brust::N,brest,күкрәк
27,Schulter::N,ysgwydd,иңбаш
28,Schulter::N,ysgwydd,кулбаш
29,Arm::N,braich,кул
30,Ellenbogen::N,penelin,терсәк
31,Hand::N,llaw,кул
32,Handfläche::N,palf,уч
33,Finger::N,bys,бармак
34,Fingernagel::N,ewin,тырнак
35,Nagel[Anatomie]::N,ewin,тырнак
36,Zeh::N,bys troed,бармак
37,Fuß::N,troed,табан
38,Ferse::N,sawdl,үкчә
39,Knie::N,glin,тез
40,Oberschenkel::N,clun,бот
41,Bein::N,coes,аяк
42,Körper::N,corff,тән
43,Körper::N,corff,җисем
44,Haut::N,croen,тире
45,Blut::N,gwaed,кан
46,Ader::N,gwythïen,тамыр
47,Sehne::N,gewyn,сеңер
48,Knochen::N,asgwrn,сөяк
49,Gehirn::N,ymennydd,ми
50,Herz::N,calon,йөрәк
51,Magen::N,cylla,ашказаны
52,Magen::N,stumog,ашказаны
53,Leber::N,iau,бавыр
54,Atem::N,anadl,сулыш
55,Hunger::N,newyn,ачлык
56,Träne::N,deigryn,яшь
57,Geschmack::N,cyflas,тәм
58,Geschmack::N,cyflas,зәвык
59,Geruch::N,aroglau,ис
60,Schlaf::N,cwsg,йокы
61,Traum::N,breuddwyd,төш
62,Himmel::N,awyr,күк
63,Sonne::N,haul,кояш
64,Mond::N,lleuad,ай
65,Stern::N,seren,йолдыз
66,Luft::N,awyr,һава
