,Concept_ID,xal,sl
0,Auge::N,нүдн,okó
1,Ohr::N,чикн,uhó
2,Nase::N,хамр,nós
3,Mund::N,амн,ústa
4,Zahn::N,шүдн,zób
5,Zunge::N,келн,jêzik
6,Lippe::N,урл,ústnica
7,Wange::N,халх,líce
8,Gesicht::N,нүр,oblíčje
9,Stirn::N,маңна,čêlo
10,Haar::N,үсн,lás
11,Schnurrbart::N,сахл,bŕki
12,Bart::N,сахл,bráda
13,Bart::N,өргнә сахл,bráda
14,Kinn::N,өргн,bráda
15,Kiefer[Anatomie]::N,өргн,čeljúst
16,Kehle::N,хол,gŕlo
17,Hals::N,күзүн,vrát
18,Genick::N,гиҗг,zatílnik
19,Kopf::N,толһа,gláva
20,Rücken::N,нурһн,hrbèt
21,Bauch::N,гесн,trébuh
22,Nabel::N,киисн,pópek
23,Busen::N,көкн,nédrja
24,Brust::N,чееҗ,pŕsi
25,Schulter::N,ээм,ráma
26,Schulter::N,ээм,plêče
27,Arm::N,һар,rôka
28,Ellenbogen::N,тоха,komólec
29,Hand::N,баһлцг,rôka
30,Handfläche::N,альхн,dlán
31,Finger::N,хурһн,pŕst
32,Finger::N,һарин хурһн,pŕst
33,Fingernagel::N,хумсн,nóht na rôki
34,Nagel[Anatomie]::N,хумсн,nóht
35,Zeh::N,хурһн,pŕst na nôgi
36,Zeh::N,көлин хурһн,pŕst na nôgi
37,Fuß::N,тавг,nôga
38,Ferse::N,өскә,pêta
39,Knie::N,өвдг,koléno
40,Oberschenkel::N,һуй,stêgno
41,Bein::N,көл,nôga
42,Körper::N,махмуд,teló
43,Haut::N,арсн,kóža
44,Blut::N,цусн,krí
45,Ader::N,судцн,žíla
46,Sehne::N,шүрүсн,kíta
47,Knochen::N,ясн,kóst
48,Gehirn::N,экн,možgáni
49,Herz::N,зүркн,srcé
50,Magen::N,гесн,želódec
51,Leber::N,элкн,jétra
52,Atem::N,әмсхл,díh
53,Hunger::N,харһнлһн,glád
54,Träne::N,нульмсн,sólza
55,Geschmack::N,амтн,okús
56,Geruch::N,үнр,vónj
57,Schlaf::N,нөр,sèn
58,Schlaf::N,нөр,spánec
59,Traum::N,зүүдн,sánje
60,Himmel::N,теңгр,nebó
61,Sonne::N,нарн,sónce
62,Mond::N,сар,lúna
63,Mond::N,сар,mésec
64,Stern::N,одн,zvézda
65,Luft::N,аһар,zràk
66,Wind::N,салькн,véter
67,Welle::N,дольган,vál
68,Wasser::N,усн,vôda
69,Stein::N,чолун,kámen
70,Boden::N,Һазр,tlà
71,Erde::N,Һазр,pŕst
72,Erde::N,Һазр,zêmlja
73,Staub::N,тоосн,práh
74,Rauch::N,утан,dìm
75,Funke::N,очн,ískra
76,Feuer::N,һал,ôgenj
77,Licht::N,герл,lúč
78,Schatten::N,сүүдр,sénca
79,Wetter::N,теңгр,vrême
80,Nebel::N,будн,meglà
81,Wolke::N,үүлн,oblák
82,Regen::N,хур,dèž
83,Schnee::N,цасн,snég
84,Eis::N,мөсн,léd
85,Frost::N,киитн,zmrzál
86,Kälte::N,киитн,mràz
87,Hitze::N,халун,pripéka
88,Raureif::N,цаң,ívje
89,Raureif::N,цаң,slána
90,Raureif::N,кирү,ívje
91,Raureif::N,кирү,slána
92,Regenbogen::N,солңһ,mávrica
93,Donner::N,оһтрһун дун,gròm
94,Strömung::N,урсхл,strúja
95,Tropfen::N,дусал,káplja
96,Schaum::N,көөсн,péna
97,Schmutz::N,кир,nesnága
98,See::N,нур,jézero
99,Sumpf::N,унул,močvírje
100,Moor::N,улм,bárje
101,Wiese::N,хадлһн,trávnik
102,Wald::N,ө-модн,lés
103,Wald::N,ө-модн,gòzd
104,Hügel::N,толһа,brég
105,Hügel::N,толһа,goríca
106,Anhöhe::N,хамр,gríč
107,Anhöhe::N,хамр,višína
108,Berg::N,уул,gôra
