,Concept_ID,es,mrj
298,Gast::N,huésped,хына
299,Gast::N,invitado,хына
300,Geschenk::N,regalo,подарка
301,Spiel::N,juego,мадыш
302,Gesellschaft::N,compañía,йӓл
303,Gesellschaft::N,compañía,йӓлвлӓ
304,Hilfe::N,ayuda,палшык
305,Hilfe::N,socorro,палшык
306,Freund::N,amigo,тӓнг
307,Kamerad::N,camarada,тос
308,Kamerad::N,compañero,тос
309,Angelegenheit::N,asunto,дела
310,Angelegenheit::N,asunto,йела
311,Angelegenheit::N,asunto,йыла
312,Angelegenheit::N,asunto,пӓшӓ
313,Anzahl::N,cantidad,шот
314,Art::N,tipo,цӹре
315,Art::N,clase,цӹре
316,Stück::N,pieza,лаштык
317,Teil::N,parte,пай
318,Teil::N,parte,часть
319,Hälfte::N,mitad,пел
320,Kreis::N,círculo,тӹртӹш
321,Kreuz::N,cruz,крестӹ
322,Linie::N,línea,
323,Strich::N,raya,
324,Strich::N,trazo,
325,Abstand::N,distancia,ло
326,Entfernung::N,distancia,ло
327,Gegend::N,región,вӓр
328,Gegend::N,comarca,вӓр
329,Platz::N,espacio,вӓр
330,Ort::N,sitio,вӓр
331,Seite::N,lado,öрдӹж
332,Seite::N,costado,öрдӹж
333,Mitte::N,medio,ло
334,Mitte::N,centro,ло
335,Gegenstand::N,objeto,хӓдӹр
336,Sache::N,cosa,хӓдӹр
337,Rand::N,borde,шöр
338,Kante::N,borde,шöр
339,Ecke::N,esquina,лык
340,Spitze::N,punta,вуй
341,Ende::N,cabo,вуй
342,Ende::N,cabo,мычаш
343,Ende::N,extremo,вуй
344,Ende::N,extremo,мычаш
345,Loch::N,agujero,ыраж
346,Loch::N,abertura,ыраж
347,Winkel::N,ángulo,лык
348,Muster::N,dibujo,тӹрлец
349,Größe::N,tamaño,кӱкшӹц
350,Länge::N,longitud,кыт
351,Höhe::N,altura,кӱкшӹц
352,Höhe::N,altitud,кӱкшӹц
353,Gewicht::N,peso,нелӹц
354,Menge::N,cantidad,шот
355,Haufen::N,montón,ара
356,Reihe::N,fila,ряд
357,Boot::N,bote,пыш
358,Boot::N,barca,пыш
359,Ruder::N,remo,вешлӓ
360,Schlitten::N,trineo,тир
361,Ski::N,esquí,ечӹ
362,Lagerfeuer::N,hoguera,тыл
363,Last::N,carga,нелӹц
364,Gang::N,marcha,ход
365,Schritt::N,paso,ашкыл
366,Norden::N,norte,йыдпелвел
367,Süden::N,sur,кечӹвӓлвел
368,Westen::N,oeste,кечӹ шӹцмӹ
369,Osten::N,este,ирвел
370,Osten::N,este,кечӹ лӱлтмӹ
371,Holz::N,madera,пушӓнгӹ
372,Brett::N,tabla,ханга
373,Platte::N,placa,плитӓ
374,Platte::N,plancha,плитӓ
375,Stütze::N,sostén,цӓрӓк
376,Stütze::N,soporte,цӓрӓк
377,Stange::N,vara,равы
378,Stange::N,vara,намаш
379,Stange::N,percha,равы
380,Stange::N,percha,намаш
381,Stock::N,palo,панды
382,Stock::N,bastón,панды
383,Stab::N,vara,равы
384,Stab::N,bastón,равы
385,Rohr::N,tubo,пыч
386,Haus::N,casa,пöрт
387,Heim::N,hogar,пöрт
388,Ofen::N,estufa,камака
389,Fußboden::N,suelo,седӹрӓ
390,Tisch::N,mesa,стöл
391,Stuhl::N,silla,пöкен
392,Wiege::N,cuna,шипкӓ
393,Bett::N,cama,койка
394,Bett::N,cama,кравать
395,Regal::N,estantería,полицӓ
396,Kiste::N,caja,шӱ́ндӹк
397,Fenster::N,ventana,окня
398,Tür::N,puerta,амаса
399,Tor::N,puerta,хапка
400,Zaun::N,valla,забор
401,Zaun::N,cercado,забор
402,Dach::N,techo,левӓш
403,Dach::N,tejado,левӓш
404,Leiter::N,escalera,ташкалтыш
405,Besen::N,escoba,сало
406,Besen::N,escoba,салко
407,Spaten::N,pala,кольмы
408,Schaufel::N,pala,лоток
409,Schaufel::N,paleta,лоток
410,Gabel::N,tenedor,ви́лка
411,Löffel::N,cuchara,савала
412,Messer::N,cuchillo,кӹзӹ
413,Nagel::N,clavo,пыда
414,Netz::N,red,вӓпш
415,Haken::N,gancho,крӱк
416,Haken::N,gancho,кагак
417,Haken::N,corchete,крӱк
418,Haken::N,corchete,кагак
419,Griff::N,asa,кычем
420,Griff::N,mango,кычем
421,Schloss::N,cerradura,замок
422,Schloss::N,cerradura,сыравач
423,Bild::N,imagen,картин
424,Figur::N,figura,кӓн
425,Puppe::N,muñeca,поханя
426,Beutel::N,bolsa,мешӓк
427,Bündel::N,haz,топ
428,Bündel::N,haz,пидӹш
429,Bündel::N,haz,кӹлдӹш
430,Tasche::N,bolso,сумкы
431,Eimer::N,cubo,ведӹрӓ
432,Deckel::N,tapa,комдыш
433,Deckel::N,tapadera,комдыш
434,Geschirr::N,vajilla,ӓтӹ
435,Sack::N,saco,мешӓк
436,Tasse::N,taza,цӓшкӓ
437,Topf::N,olla,ми́ска
438,Topf::N,marmita,ми́ска
439,Kessel::N,caldera,пад
440,Essen::N,comida,качкыш
441,Essen::N,comida,качкыш-йӱш
442,Nahrung::N,alimento,качкыш
443,Nahrung::N,alimento,качкыш-йӱш
444,Speise::N,plato,няня
445,Fleisch::N,carne,пай
446,Getreide::N,cereales,киндӹ
447,Brei::N,puré,шӹрӓш
448,Brei::N,papilla,шӹрӓш
449,Brot::N,pan,сыкыр
450,Scheibe::N,lonja,ламыт
451,Scheibe::N,lonja,лаштык
452,Scheibe::N,rebanada,ламыт
453,Scheibe::N,rebanada,лаштык
454,Fett::N,grasa,кая
455,Butter::N,mantequilla,ӱ
456,Öl::N,aceite,ӱ
457,Salz::N,sal,санзал
458,Suppe::N,sopa,лем
459,Honig::N,miel,мӱ
460,Milch::N,leche,шӹшер
461,Tee::N,té,чӓй
462,Leder::N,cuero,шарга
463,Leder::N,cuero,кавашты
464,Wolle::N,lana,миж
465,Stoff::N,tela,матер
466,Stoff::N,tela,матери
467,Stoff::N,tejido,матер
468,Stoff::N,tejido,матери
469,Nadel::N,aguja,им
470,Faden::N,hilo,шӹртӹ
471,Knopf::N,botón,полдыш
472,Knoten::N,nudo,пӱкшем
473,Farbe::N,pintura,чиӓ
474,Farbe::N,pintura,крӓскӓ
475,Kleidung::N,ropa,выргем
476,Kleidung::N,vestidos,выргем
477,Hemd::N,camisa,тыгыр
478,Kragen::N,cuello,шӱ
479,Ärmel::N,manga,шокш
480,Hose::N,pantalón,ялаш
481,Gürtel::N,cinturón,ӹштӹ
482,Mütze::N,gorro,упш
483,Schuh::N,zapato,ту́фльы
484,Stiefel::N,bota,кем
485,Ring::N,anillo,шӓргӓш
486,Band::N,cinta,лемтӓ
487,Kamm::N,peine,шерге
488,Spiegel::N,espejo,тӹгӹр
489,Riemen::N,correa,прӓжӓ
490,Schnur::N,cuerda,кӓндӹра
491,Leine::N,correa,керем
492,Decke::N,manta,одеял
493,Kissen::N,almohada,кӹпцӹк
494,Tuch::N,pañuelo,савыц
495,Handtuch::N,toalla,шӹргӹсавыц
496,Handtuch::N,toalla,шӹргӹмсавыц
497,Kraft::N,fuerza,ви
498,Stärke::N,fuerza,ви
499,Gesundheit::N,salud,шу
500,Gesundheit::N,salud,шулык
501,Krankheit::N,enfermedad,мыж
502,Schmerz::N,dolor,карштыш
503,Wunde::N,llaga,шушыр
504,Wunde::N,herida,шушыр
505,Fieber::N,fiebre,ӱштӹмыж
506,Arznei::N,medicina,лекӓрцӹ
507,Arznei::N,medicamento,лекӓрцӹ
508,Brücke::N,puente,кӹвер
509,Brunnen::N,pozo,вӹдсӹнзӓ
510,Weide::N,pasto,ныр
511,Pfad::N,sendero,ялгорны
512,Weg::N,camino,корны
513,Straße::N,vía,корны
514,Straße::N,carretera,корны
515,Dorf::N,aldea,сола
516,Dorf::N,pueblo,сола
517,Stadt::N,ciudad,города
518,Brief::N,carta,сирмӓш
519,Buch::N,libro,книгӓ
520,Buchstabe::N,letra,буква́
521,Buchstabe::N,carácter,буква́
522,Zeitung::N,diario,газет
523,Zeitung::N,diario,кайзет
524,Zeitung::N,periódico,газет
525,Zeitung::N,periódico,кайзет
526,Leben::N,vida,житя
527,Tod::N,muerte,смöрт
528,Grab::N,tumba,шӹгер
529,Grab::N,tumba,мыгилӓ
530,Grab::N,tumba,шӹгерлӓ
531,Grab::N,sepulcro,шӹгер
532,Grab::N,sepulcro,мыгилӓ
533,Grab::N,sepulcro,шӹгерлӓ
534,Kirche::N,iglesia,церкӹ
535,Sünde::N,pecado,сулык
536,Gott::N,dios,йымы
537,Arbeiter::N,obrero,пӓшӓзӹ
538,Arbeiter::N,trabajador,пӓшӓзӹ
539,Chef::N,jefe,вуй
540,Meister::N,maestro,мастар
541,Arzt::N,médico,доктор
542,Lehrer::N,profesor,тымдышы
543,Geld::N,dinero,окса
544,Geschäft::N,negocio,торге́йӹмӓш
545,Laden::N,tienda,лапка
546,Laden::N,tienda,магазин
547,Preis::N,precio,ӓк
548,Ware::N,mercancía,товар
549,Nutzen::N,provecho,пайда
550,Reichtum::N,riqueza,перке
551,Welt::N,mundo,сӓндӓлӹк
552,Welt::N,mundo,свет
553,Land::N,país,сӓндӓлӹк
554,Staat::N,Estado,кугижӓншӹ
555,König::N,rey,король
556,Macht::N,poder,власть
557,Macht::N,potencia,власть
558,Grenze::N,frontera,пӹсмӓн
559,Krieg::N,guerra,вырсы
560,Feind::N,enemigo,тышман
561,Gewalt::N,violencia,ви
562,Kampf::N,lucha,кредӓлмӓш
563,Kampf::N,combate,кредӓлмӓш
564,Bogen[Waffe]::N,arco,янгеж
565,Pfeil::N,flecha,пикш
566,Gewehr::N,fusil,пичӓл
567,Gewehr::N,escopeta,пичӓл
568,Fehler::N,error,самынь
569,Lüge::N,mentira,шая
570,Schaden::N,daño,вре́дӓ
571,Unglück::N,desgracia,пёда
572,Unglück::N,desgracia,тымаша
573,Schuld::N,culpa,вуйнамат
574,Alter::N,edad,иӓш
575,Alter::N,edad,игечӹ
576,Schluss::N,fin,пӹтӓртӹш
577,Schluss::N,final,пӹтӓртӹш
578,Zeit::N,tiempo,веремӓ
579,Tag::N,día,кечӹ
580,Morgen::N,mañana,ир
581,Morgen::N,mañana,ирок
582,Mittag::N,mediodía,кечӹвӓл
583,Abend::N,noche,вады
584,Nacht::N,noche,йыд
585,Woche::N,semana,ӓрня
586,Monat::N,mes,тӹ́лзӹ
587,Jahr::N,año,год
588,Frühling::N,primavera,шошым
589,Sommer::N,verano,кӓнгӹж
590,Herbst::N,otoño,шӹжӹ
591,Winter::N,invierno,тел
592,Winter::N,invierno,телӹ
593,Januar::N,enero,январ
594,Januar::N,enero,январь
595,Februar::N,febrero,февраль
596,März::N,marzo,март
597,April::N,abril,апрель
598,Mai::N,mayo,май
599,Juni::N,junio,июнь
600,Juli::N,julio,июль
601,August::N,agosto,август
602,September::N,septiembre,сентябрь
603,Oktober::N,octubre,октябрь
604,November::N,noviembre,ноябрь
605,Dezember::N,diciembre,декавыр
606,Montag::N,lunes,шачмы
607,Dienstag::N,martes,кышкыжмы
608,Mittwoch::N,miércoles,вӹрчегӹ
609,Donnerstag::N,jueves,изӓрня
610,Freitag::N,viernes,когарня
611,Samstag::N,sábado,кукшыгечӹ
612,Sonntag::N,domingo,рушӓрня
613,groß::A,grande,кого
