,Concept_ID,vep,tt
0,Auge::N,sil'm,күз
1,Ohr::N,korv,колак
2,Nase::N,nena,борын
3,Mund::N,su,авыз
4,Mund::N,su,тамак
5,Zahn::N,pi,теш
6,Zahn::N,hambaz,теш
7,Zunge::N,kel',тел
8,Lippe::N,hul',ирен
9,Wange::N,modpolišk,яңак
10,Gesicht::N,mod,йөз
11,Stirn::N,oc,маңгай
12,Haar::N,tuk,чәч
13,Haar::N,hibuz,чәч
14,Schnurrbart::N,habinod,мыек
15,Bart::N,bard,сакал
16,Kinn::N,löug,ияк
17,Kiefer[Anatomie]::N,hambazlu,казналык
18,Kehle::N,kurk,тамак
19,Hals::N,kagl,бугаз
20,Genick::N,tagarai,җилкә
21,Kopf::N,pä,баш
22,Rücken::N,sel'g,сырт
23,Bauch::N,vac,корсак
24,Bauch::N,koht,корсак
25,Nabel::N,naba,кендек
26,Busen::N,niža,түш
27,Brust::N,rind,имчәк
28,Brust::N,rind,күкрәк
29,Schulter::N,oug,иңбаш
30,Schulter::N,oug,кулбаш
31,Arm::N,käzi,кул
32,Ellenbogen::N,künambruz,терсәк
33,Hand::N,käzi,кул
34,Hand::N,käzitera,кул
35,Handfläche::N,kämen,уч
36,Finger::N,sor'm,бармак
37,Fingernagel::N,künz',тырнак
38,Nagel[Anatomie]::N,künz',тырнак
39,Zeh::N,barbaz,бармак
40,Fuß::N,jaug,табан
41,Ferse::N,kand,үкчә
42,Knie::N,komb,тез
43,Knie::N,pol'v,тез
44,Oberschenkel::N,riiže,бот
45,Bein::N,jaug,аяк
46,Körper::N,hibj,тән
47,Körper::N,hibj,җисем
48,Haut::N,nahk,тире
49,Blut::N,čak,кан
50,Blut::N,veri,кан
51,Ader::N,son',тамыр
52,Sehne::N,jände,сеңер
53,Knochen::N,lu,сөяк
54,Gehirn::N,aivod,ми
55,Herz::N,südäin,йөрәк
56,Magen::N,südäikoht,ашказаны
57,Leber::N,maks,бавыр
58,Atem::N,hengaiduz,сулыш
59,Hunger::N,näl'g,ачлык
60,Träne::N,kündal',яшь
61,Geschmack::N,magu,тәм
62,Geschmack::N,magu,зәвык
63,Geruch::N,haju,ис
64,Schlaf::N,uni,йокы
65,Traum::N,unikuva,төш
66,Himmel::N,taivaz,күк
67,Sonne::N,päiväine,кояш
68,Mond::N,kudmaine,ай
69,Stern::N,tähtaz,йолдыз
70,Luft::N,il'm,һава
71,Wind::N,döl,җил
72,Wind::N,tullei,җил
73,Welle::N,ald,дулкын
74,Welle::N,laineh,дулкын
75,Wasser::N,vezi,су
76,Stein::N,kivi,таш
77,Boden::N,ma,туфрак
78,Boden::N,pohj,туфрак
79,Erde::N,ma,җир
80,Staub::N,pölü,тузан
81,Rauch::N,savu,төтен
82,Funke::N,kibin,очкын
83,Feuer::N,lämoi,ут
84,Licht::N,vauktuz,якты
85,Schatten::N,pil'vez,күләгә
86,Schatten::N,kuvahaine,күләгә
87,Wetter::N,sä,һава
88,Nebel::N,sumeg,томан
89,Wolke::N,pil'v,болыт
90,Regen::N,vihm,яңгыр
91,Schnee::N,lumi,кар
92,Eis::N,jä,боз
93,Frost::N,hala,суык
94,Frost::N,hala,салкын
95,Frost::N,pakaine,суык
96,Frost::N,pakaine,салкын
97,Kälte::N,vilu,суык
98,Kälte::N,vilu,салкын
99,Hitze::N,räk,эсселек
100,Raureif::N,hüde,бәс
101,Raureif::N,hüde,сыкы
102,Regenbogen::N,jumalanbembel',салават күпере
103,Donner::N,juru,күкрәү
