,Concept_ID,hi,myv
0,Auge::N,आँख,сельме
1,Auge::N,चक्षु,сельме
2,Ohr::N,कान,пиле
3,Ohr::N,कर्ण,пиле
4,Nase::N,नाक,судо
5,Nase::N,नासा,судо
6,Mund::N,मुख,курго
7,Mund::N,मुँह,курго
8,Zahn::N,दंत,пей
9,Zahn::N,दाँत,пей
10,Zunge::N,जीभ,кель
11,Zunge::N,ज़बान,кель
12,Zunge::N,जिह्वा,кель
13,Lippe::N,ओंठ,турва
14,Lippe::N,होंठ,турва
15,Wange::N,गाल,чамабока
16,Wange::N,गाल,чамаумарь
17,Wange::N,कपोल,чамабока
18,Wange::N,कपोल,чамаумарь
19,Gesicht::N,मुँह,чама
20,Gesicht::N,चेहरा,чама
21,Stirn::N,माथा,коня
22,Stirn::N,मस्तक,коня
23,Haar::N,बाल,черь
24,Schnurrbart::N,मूँछें,ус
25,Schnurrbart::N,मूँछें,муюк
26,Bart::N,दाढ़ी,сакал
27,Kinn::N,चिबुक,уло
28,Kiefer[Anatomie]::N,जबड़ा,пейпакар
29,Kiefer[Anatomie]::N,जबड़ा,пейловажа
30,Kehle::N,गला,кирьгапарь
31,Hals::N,गला,кирьга
32,Hals::N,गरदन,кирьга
33,Genick::N,गरदन,човонь
34,Genick::N,ग्रीवा,човонь
35,Kopf::N,सिर,пря
36,Kopf::N,शीर्ष,пря
37,Rücken::N,पीठ,копорь
38,Bauch::N,उदर,пеке
39,Nabel::N,नाभि,почо
40,Nabel::N,ढोंढी,почо
41,Busen::N,कुच,поте
42,Busen::N,स्तन,поте
43,Brust::N,वक्ष,меште
44,Schulter::N,कंधा,лавтов
45,Schulter::N,स्कंध,лавтов
46,Arm::N,बाँह,кедь
47,Arm::N,बाज़ू,кедь
48,Ellenbogen::N,कुहनी,кенерепакарь
49,Hand::N,हाथ,кедь
50,Hand::N,हस्त,кедь
51,Handfläche::N,हथेली,кедькуншка
52,Handfläche::N,हथेली,кедьлапушка
53,Finger::N,उँगली,сур
54,Finger::N,अँगुली,сур
55,Fingernagel::N,नख,кенже
56,Fingernagel::N,नाख़ून,кенже
57,Nagel[Anatomie]::N,नख,кенже
58,Nagel[Anatomie]::N,नाख़ून,кенже
59,Zeh::N,उँगली,пильге сур
60,Zeh::N,पाँव की उँगली,пильге сур
61,Fuß::N,चरण,пильге
62,Fuß::N,पाँव,пильге
63,Ferse::N,एड़ी,кочкаря
64,Knie::N,जानु,эле
65,Knie::N,जानु,эзне
66,Knie::N,जानु,кумажа
67,Knie::N,घुटना,эле
68,Knie::N,घुटना,эзне
69,Knie::N,घुटना,кумажа
70,Oberschenkel::N,उरु,качо
71,Bein::N,टाँग,пильге
72,Körper::N,तन,рунго
73,Körper::N,देह,рунго
74,Körper::N,शरीर,рунго
75,Haut::N,चर्म,киське
76,Haut::N,त्वचा,киське
77,Blut::N,लहू,верь
78,Blut::N,ख़ून,верь
79,Ader::N,रग,сан
80,Ader::N,शिरा,сан
81,Sehne::N,कंडरा,коське сан
