,Concept_ID,xal,kn
0,Auge::N,нүдн,ಕಣ್ಣು
1,Ohr::N,чикн,ಕಿವಿ
2,Nase::N,хамр,ಮೂಗು
3,Mund::N,амн,ಬಾಯಿ
4,Zahn::N,шүдн,ಹಲ್ಲು
5,Zunge::N,келн,ನಾಲಿಗೆ
6,Lippe::N,урл,ತುಟಿ
7,Wange::N,халх,ಗಲ್ಲ
8,Gesicht::N,нүр,ಮುಖ
9,Stirn::N,маңна,ಹಣೆ
10,Haar::N,үсн,ಕೂದಲು
11,Schnurrbart::N,сахл,ಮೀಸೆ
12,Bart::N,сахл,ಗಡ್ಡ
13,Bart::N,өргнә сахл,ಗಡ್ಡ
14,Kinn::N,өргн,ಗದ್ದ
15,Kiefer[Anatomie]::N,өргн,ದವಡೆ
16,Kehle::N,хол,ಗಂಟಲು
17,Hals::N,күзүн,ಕೊರಳು
18,Genick::N,гиҗг,ಹಿಂಗತ್ತು
19,Kopf::N,толһа,ತಲೆ
20,Rücken::N,нурһн,ಬೆನ್ನು
21,Bauch::N,гесн,ಹೊಟ್ಟೆ
22,Nabel::N,киисн,ಹೊಕ್ಕುಳು
23,Busen::N,көкн,ಸ್ತನ
24,Brust::N,чееҗ,ಎದೆ
25,Schulter::N,ээм,ಭುಜ
26,Arm::N,һар,ತೋಳು
27,Ellenbogen::N,тоха,ಮೊಣಕೈ
28,Hand::N,баһлцг,ಕೈ
29,Handfläche::N,альхн,ಅಂಗೈ
30,Finger::N,хурһн,ಕೈಬೆರಳು
31,Finger::N,һарин хурһн,ಕೈಬೆರಳು
32,Fingernagel::N,хумсн,ಉಗುರು
33,Nagel[Anatomie]::N,хумсн,ಉಗುರು
34,Zeh::N,хурһн,ಕಾಲ್ಬೆರಳು
35,Zeh::N,көлин хурһн,ಕಾಲ್ಬೆರಳು
36,Fuß::N,тавг,ಪಾದ
37,Ferse::N,өскә,ಹಿಮ್ಮಡಿ
38,Knie::N,өвдг,ಮಂಡಿ
39,Oberschenkel::N,һуй,ತೊಡೆ
40,Bein::N,көл,ಕಾಲು
41,Körper::N,махмуд,ದೇಹ
42,Haut::N,арсн,ಚರ್ಮ
43,Blut::N,цусн,ರಕ್ತ
44,Ader::N,судцн,ನರ
45,Sehne::N,шүрүсн,ನರ
46,Knochen::N,ясн,ಮೂಳೆ
47,Gehirn::N,экн,ಮಿದುಳು
48,Herz::N,зүркн,ಹೃದಯ
49,Magen::N,гесн,ಉದರ
50,Leber::N,элкн,ಯಕೃತ್ತು
51,Atem::N,әмсхл,ಉಸಿರು
52,Hunger::N,харһнлһн,ಹಸಿವು
53,Träne::N,нульмсн,ಕಣ್ಣೀರು
54,Geschmack::N,амтн,ರುಚಿ
55,Geruch::N,үнр,ವಾಸನೆ
56,Schlaf::N,нөр,ನಿದ್ರೆ
57,Traum::N,зүүдн,ಕನಸು
58,Himmel::N,теңгр,ಬಾನು
59,Sonne::N,нарн,ಸೂರ್ಯ
60,Mond::N,сар,ಚಂದ್ರ
61,Stern::N,одн,ಚುಕ್ಕಿ
62,Luft::N,аһар,ವಾಯು
63,Wind::N,салькн,ಗಾಳಿ
64,Welle::N,дольган,ಅಲೆ
65,Wasser::N,усн,ನೀರು
66,Stein::N,чолун,ಕಲ್ಲು
67,Boden::N,Һазр,ನೆಲ
68,Erde::N,Һазр,ಭೂಮಿ
69,Staub::N,тоосн,ದೂಳು
70,Rauch::N,утан,ಹೊಗೆ
71,Funke::N,очн,ಕಿಡಿ
72,Feuer::N,һал,ಬೆಂಕಿ
73,Licht::N,герл,ಬೆಳಕು
74,Schatten::N,сүүдр,ನೆರಳು
75,Wetter::N,теңгр,ಹವ
76,Nebel::N,будн,ಮಂಜು
77,Wolke::N,үүлн,ಮೋಡ
78,Regen::N,хур,ಮಳೆ
79,Schnee::N,цасн,ಹಿಮ
80,Eis::N,мөсн,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,киитн,ಮಂಜು
82,Kälte::N,киитн,ಹಿಮ
83,Hitze::N,халун,ಉಷ್ಣ
84,Raureif::N,цаң,ಇಬ್ಬನಿ
85,Raureif::N,кирү,ಇಬ್ಬನಿ
86,Regenbogen::N,солңһ,ಇಂದ್ರಚಾಪ
87,Donner::N,оһтрһун дун,ಗುಡುಗು
88,Strömung::N,урсхл,ಪ್ರವಾಹ
