,Concept_ID,sk,fa
0,Auge::N,oko,چشم
1,Ohr::N,ucho,گوش
2,Nase::N,nos,بینی
3,Mund::N,ústa,دهان
4,Zahn::N,zub,دندان
5,Zunge::N,jazyk,زبان
6,Lippe::N,pera,لب
7,Wange::N,líce,لپ
8,Gesicht::N,tvár,رو
9,Gesicht::N,tvár,چهره
10,Gesicht::N,obličaj,رو
11,Gesicht::N,obličaj,چهره
12,Stirn::N,čelo,پیشانی
13,Haar::N,vlas,مو
14,Schnurrbart::N,fúzy,سبیل
15,Bart::N,brada,ریش
16,Kinn::N,brada,چانه
17,Kiefer[Anatomie]::N,čeľusť,فک
18,Kiefer[Anatomie]::N,čeľusť,آرواره
19,Kehle::N,hrdlo,حلق
20,Hals::N,krk,گردن
21,Genick::N,väzy,پشت گردن
22,Kopf::N,hlava,سر
23,Kopf::N,hlava,کله
24,Rücken::N,chrbát,پشت
25,Bauch::N,brucho,شکم
26,Nabel::N,pupok,ناف
27,Busen::N,prsia,پستان
28,Brust::N,hruď,سینه
29,Schulter::N,plece,دوش
30,Schulter::N,plece,شانه
31,Arm::N,rameno,بازو
32,Ellenbogen::N,lakeť,آرنج
33,Hand::N,ruka,دست
34,Handfläche::N,dlaň,کف دست
35,Finger::N,prst,انگشت
36,Fingernagel::N,necht,ناخن دست
37,Nagel[Anatomie]::N,necht,ناخن
38,Zeh::N,prst na nohe,انگشت پا
39,Fuß::N,noha,پا
40,Ferse::N,päta,پاشنه
41,Knie::N,koleno,زانو
42,Oberschenkel::N,stehno,ران
43,Bein::N,noha,پا
44,Bein::N,noha,لنگ
45,Körper::N,telo,تن
46,Körper::N,telo,بدن
47,Haut::N,koža,پوست
48,Blut::N,krv,خون
49,Ader::N,žila,رگ
50,Sehne::N,šľacha,زردپی
51,Knochen::N,kosť,استخوان
52,Gehirn::N,mozog,مخ
53,Gehirn::N,mozog,مغز
54,Herz::N,srdce,دل
55,Herz::N,srdce,قلب
56,Magen::N,žalúdok,معده
57,Leber::N,pečeň,کبد
58,Atem::N,dych,نفس
59,Hunger::N,hlad,گرسنگی
60,Träne::N,slza,اشک
61,Geschmack::N,chuť,مزه
62,Geruch::N,pach,بو
63,Schlaf::N,spánok,خواب
64,Traum::N,sen,رؤیا
65,Himmel::N,nebo,فلک
66,Himmel::N,nebo,آسمان
67,Sonne::N,slnko,آفتاب
68,Sonne::N,slnko,خورشید
69,Mond::N,mesiac,ماه
70,Stern::N,hviezda,ستاره
71,Luft::N,vzduch,هوا
72,Wind::N,vietor,باد
73,Welle::N,vlna,موج
74,Wasser::N,voda,آب
75,Stein::N,kameň,سنگ
76,Boden::N,zem,زمین
77,Boden::N,pôda,زمین
78,Erde::N,zem,خاک
79,Erde::N,zem,زمین
80,Staub::N,prach,گرد
81,Staub::N,prach,غبار
82,Rauch::N,dym,دود
83,Funke::N,iskra,جرقه
84,Feuer::N,oheň,آتش
85,Licht::N,svetlo,نور
86,Licht::N,svetlo,روشنی
87,Schatten::N,tieň,سایه
88,Wetter::N,počasie,هوا
89,Nebel::N,hmla,مه
90,Wolke::N,oblak,ابر
91,Wolke::N,mračno,ابر
92,Regen::N,dážď,باران
93,Schnee::N,sneh,برف
94,Eis::N,ľad,یخ
95,Frost::N,mráz,یخبندان
96,Kälte::N,zima,سرما
97,Kälte::N,chlad,سرما
98,Hitze::N,horúčava,گرما
99,Hitze::N,horúčava,حرارت
100,Raureif::N,srieň,برف ریزه
101,Raureif::N,inovať,برف ریزه
102,Regenbogen::N,dúha,رنگین‌کمان
103,Donner::N,hrom,رعد
104,Strömung::N,prúdenie,جریان
105,Tropfen::N,kvapka,قطره
106,Schaum::N,pena,کف
107,Schmutz::N,špina,گل
108,Schmutz::N,špina,کثافت
109,Schmutz::N,nečistota,گل
110,Schmutz::N,nečistota,کثافت
111,See::N,jazero,دریاچه
112,Sumpf::N,bahno,مرداب
113,Sumpf::N,bahno,باتلاق
114,Moor::N,močiar,باتلاق
115,Wiese::N,lúka,چمن
116,Wald::N,les,جنگل
117,Wald::N,hora,جنگل
118,Hügel::N,vŕšok,تل
119,Hügel::N,vŕšok,تپه
120,Anhöhe::N,výšina,بلندی
121,Anhöhe::N,vyvýšenina,بلندی
122,Berg::N,hora,کوه
123,Gipfel::N,vrchol,قله
124,Höhle::N,jaskyňa,غار
125,Abhang::N,úbočie,سرازیری
126,Quelle::N,prameň,چشمه
127,Bach::N,potok,نهر
128,Fluss::N,rieka,رود
129,Ufer::N,breh,ساحل
130,Ufer::N,breh,کرانه
131,Küste::N,pobrežie,ساحل
132,Festland::N,pevnina,خشکی
133,Meer::N,more,دریا
134,Bucht::N,záliv,خلیج
135,Bucht::N,zátoka,خلیج
136,Insel::N,ostrov,جزیره
137,Blume::N,kvet,گل
138,Blume::N,kvetina,گل
139,Gras::N,tráva,علف
140,Wurzel::N,koreň,ریشه
141,Baum::N,strom,درخت
142,Stamm::N,kmeň,تنه
143,Rinde::N,kôra,توژ
144,Rinde::N,kôra,پوست
145,Ast::N,konár,شاخه
146,Zweig::N,vetva,شاخه
147,Blatt::N,list,برگ
148,Birke::N,breza,غان
149,Kiefer[Baum]::N,sosna,کاج
150,Kiefer[Baum]::N,borovica,کاج
151,Weide[Baum]::N,vŕba,بید
152,Tanne::N,jedľa,صنوبر
153,Horn::N,roh,شاخ
154,Feder::N,pero,پر
155,Fell::N,koža,خز
156,Fell::N,kožušina,خز
157,Flügel::N,krídlo,پر
158,Flügel::N,krídlo,بال
159,Klaue::N,paznecht,چنگ
160,Klaue::N,paznecht,پنجه
161,Kralle::N,pazúr,پنجه
162,Schwanz::N,chvost,دم
163,Ei::N,vajce,تخم
164,Ei::N,vajíčko,تخم
165,Nest::N,hniezdo,لانه
166,Bau::N,nora,بنا
167,Bau::N,nora,ساختمان
168,Tier::N,zviera,هیوان
169,Herde::N,stádo,رمه
170,Kuh::N,krava,گاو
171,Bulle::N,býk,گاو نر
172,Pferd::N,kôň,اسب
173,Schaf::N,ovca,گوسفند
174,Schwein::N,sviňa,خوک
175,Hund::N,pes,سگ
176,Katze::N,mačka,گربه
177,Bär::N,medveď,خرس
178,Eichhörnchen::N,veverička,سنجاب
179,Elch::N,los,گوزن شمالی
180,Fuchs::N,líška,روباه
181,Hase::N,zajac,خرگوش
182,Maus::N,myš,موش
183,Wolf::N,vlk,گرگ
184,Vogel::N,vták,پرنده
185,Schwarm::N,roj,دسته
186,Huhn::N,kurča,مرغ
187,Huhn::N,sliepka,مرغ
188,Hahn::N,kohút,خروس
189,Gans::N,hus,غاز
190,Adler::N,orol,عقاب
191,Ente::N,kačka,اردک
192,Ente::N,kačka,مرغابی
193,Ente::N,kačica,اردک
194,Ente::N,kačica,مرغابی
195,Eule::N,sova,جغد
196,Kranich::N,žeriav,درنا
197,Krähe::N,vrana,زاغ
198,Krähe::N,vrana,کلاغ
199,Kuckuck::N,kukučka,فاخته
200,Schwan::N,labuť,قو
201,Fisch::N,ryba,ماهی
202,Barsch::N,ostriež,ماهی خاردار
203,Hecht::N,šťuka,اردک ماهی
