,Concept_ID,mrj,es
0,Auge::N,сӹнзӓ,ojo
1,Ohr::N,пӹлӹш,oreja
2,Nase::N,нер,nariz
3,Mund::N,ышма,boca
4,Zahn::N,пӱ,diente
5,Zunge::N,йӹлмӹ,lengua
6,Lippe::N,тӹрвӹ,labio
7,Wange::N,шӹргӹ,mejilla
8,Gesicht::N,лицӓ,cara
9,Stirn::N,лепкӓ,frente
10,Haar::N,ӱп,cabello
11,Schnurrbart::N,öрш,bigote
12,Bart::N,пандаш,barba
13,Kinn::N,онгылаш,barbilla
14,Kiefer[Anatomie]::N,пӱ арата,mandíbula
15,Kehle::N,логер,garganta
16,Hals::N,шӱ,cuello
17,Genick::N,ланга,nuca
18,Genick::N,ланга,cerviz
19,Kopf::N,вуй,cabeza
20,Rücken::N,туп,espalda
21,Bauch::N,мӹшкӹр,vientre
22,Nabel::N,кӹлӹмдӹ,ombligo
23,Busen::N,цӹзӹ,pecho
24,Brust::N,мел,pecho
25,Schulter::N,ӹнгӹжӓ,hombro
26,Arm::N,кид,brazo
27,Ellenbogen::N,кӹнервуй,codo
28,Hand::N,лапа,mano
29,Handfläche::N,кид лапа,palma
30,Finger::N,парня,dedo
31,Fingernagel::N,кӹч,uña
32,Nagel[Anatomie]::N,кӹч,uña
33,Zeh::N,парня,dedo del pie
34,Fuß::N,ял лапа,pie
35,Ferse::N,ялгавал,talón
36,Ferse::N,ял кавал,talón
37,Knie::N,пылвуй,rodilla
38,Oberschenkel::N,ӓрдӹ,muslo
39,Bein::N,ял,pierna
40,Körper::N,монгыр,cuerpo
41,Haut::N,кавашты,piel
42,Blut::N,вӹр,sangre
43,Ader::N,вӹршӓр,vena
44,Sehne::N,кукшышӱн,tendón
45,Knochen::N,лу,hueso
46,Gehirn::N,вим,cerebro
47,Gehirn::N,вим,encéfalo
48,Herz::N,шӱм,corazón
49,Magen::N,шӱм,estómago
50,Leber::N,мокш,hígado
51,Atem::N,шӱлӹш,aliento
52,Hunger::N,шужымаш,hambre
53,Träne::N,сӹнзӓвӹд,lágrima
54,Geschmack::N,тот,gusto
55,Geruch::N,пыш,olor
56,Schlaf::N,ом,sueño
57,Traum::N,ом,sueño
58,Traum::N,ом,ensueño
59,Himmel::N,пӹлгом,cielo
60,Sonne::N,кечӹ,sol
61,Mond::N,тӹлзӹ,luna
62,Stern::N,шӹдӹр,estrella
63,Luft::N,юж,aire
64,Luft::N,воздух,aire
65,Wind::N,мардеж,viento
66,Welle::N,ко,ola
67,Welle::N,ко,onda
68,Welle::N,коэ,ola
69,Welle::N,коэ,onda
70,Wasser::N,вӹд,agua
71,Stein::N,кӱ,piedra
72,Boden::N,рок,suelo
73,Erde::N,свет,tierra
74,Staub::N,пырак,polvo
75,Rauch::N,шӹкш,humo
76,Funke::N,ип,chispa
77,Funke::N,тылип,chispa
78,Feuer::N,тыл,fuego
79,Licht::N,соты,luz
80,Licht::N,валгыды,luz
81,Schatten::N,ӹмӹл,sombra
82,Wetter::N,игечӹ,tiempo
83,Nebel::N,тӹтӹрӓ,niebla
84,Wolke::N,пӹл,nube
85,Regen::N,юр,lluvia
86,Schnee::N,лым,nieve
87,Eis::N,и,hielo
88,Frost::N,ӱштӹ,helada
89,Kälte::N,ӱштӹ,frío
90,Hitze::N,шокшы,calor
91,Raureif::N,пöрш,escarcha
92,Regenbogen::N,шанавӹл,arco iris
93,Donner::N,хӹдӹртӹш,trueno
94,Strömung::N,йогы,corriente
95,Tropfen::N,капльы,gota
96,Tropfen::N,капльык,gota
97,Schaum::N,шонг,espuma
98,Schmutz::N,лявӹрӓ,suciedad
99,See::N,йӓр,lago
100,Sumpf::N,лӱкӹ,pantano
101,Moor::N,куп,turbera
102,Wiese::N,алык,prado
103,Wiese::N,алык,pradera
104,Wald::N,шӹргӹ,bosque
105,Hügel::N,пӱгӹрикӓ,colina
106,Anhöhe::N,кӱкшикӓ,cerro
107,Berg::N,кырык,monte
108,Berg::N,кырык,montaña
109,Gipfel::N,неркӓ,cima
110,Gipfel::N,неркӓ,cumbre
111,Höhle::N,ы́раж,cueva
112,Höhle::N,ы́раж,caverna
113,Abhang::N,полом,cuesta
114,Abhang::N,полом,declive
115,Quelle::N,вӹдсӹнзӓ,fuente
