,Concept_ID,pt,ca
0,Auge::N,olho,ull
1,Ohr::N,orelha,orella
2,Nase::N,nariz,nas
3,Mund::N,boca,boca
4,Zahn::N,dente,dent
5,Zunge::N,língua,llēngua
6,Lippe::N,lábio,llavi
7,Wange::N,face,galta
8,Gesicht::N,cara,cara
9,Gesicht::N,rosto,cara
10,Stirn::N,testa,front
11,Haar::N,cabelo,cabēll
12,Schnurrbart::N,bigode,bigoti
13,Bart::N,barba,barba
14,Kinn::N,queixo,mentó
15,Kinn::N,queixo,barbeta
16,Kiefer[Anatomie]::N,maxila,queix
17,Kiefer[Anatomie]::N,maxila,mandíbula
18,Kiefer[Anatomie]::N,mandíbula,queix
19,Kiefer[Anatomie]::N,mandíbula,mandíbula
20,Kehle::N,garganta,gola
21,Kehle::N,garganta,gorja
22,Hals::N,colo,coll
23,Hals::N,pescoço,coll
24,Genick::N,nuca,nuca
25,Kopf::N,cabeça,cap
26,Rücken::N,dorso,esquena
27,Rücken::N,costas,esquena
28,Bauch::N,ventre,panxa
29,Bauch::N,barriga,panxa
30,Nabel::N,umbigo,llombrígol
31,Busen::N,seio,pit
32,Busen::N,seio,mama
33,Brust::N,peito,pit
34,Schulter::N,ombro,espatlla
35,Arm::N,braço,braç
36,Ellenbogen::N,cotovelo,colze
37,Hand::N,mão,mà
38,Handfläche::N,palma,palma
39,Handfläche::N,palma da mão,palma
40,Finger::N,dedo,dit
41,Fingernagel::N,unha,ungla
42,Nagel[Anatomie]::N,unha,ungla
43,Zeh::N,dedo do pé,dit del peu
44,Fuß::N,pé,peu
45,Ferse::N,calcanhar,taló
46,Knie::N,joelho,genoll
47,Oberschenkel::N,coxa,cuixa
48,Bein::N,perna,cama
49,Körper::N,corpo,cos
50,Haut::N,pele,pell
51,Blut::N,sangue,sang
52,Ader::N,veia,vena
53,Sehne::N,tendão,tendó
54,Knochen::N,osso,os
55,Gehirn::N,cérebro,cervell
56,Herz::N,coração,cor
57,Magen::N,estômago,estómac
58,Leber::N,fígado,fetge
59,Atem::N,fôlego,alè
60,Atem::N,fôlego,hàlit
61,Hunger::N,fome,fam
62,Hunger::N,fome,gana
63,Träne::N,lágrima,llàgrima
64,Geschmack::N,gosto,gust
65,Geschmack::N,gosto,sabor
66,Geruch::N,odor,olor
67,Geruch::N,cheiro,olor
68,Schlaf::N,sono,son
69,Traum::N,sonho,somni
70,Himmel::N,céu,celm
71,Sonne::N,sol,sol
72,Mond::N,lua,lluna
73,Stern::N,estrela,estel
74,Stern::N,estrela,estrella
75,Luft::N,ar,aire
76,Wind::N,vento,vent
77,Welle::N,onda,ona
78,Wasser::N,água,āigua
79,Stein::N,pedra,pedra
80,Boden::N,solo,sòl
81,Erde::N,terra,terra
82,Staub::N,pó,pols
83,Rauch::N,fumo,fum
84,Funke::N,faísca,guspira
85,Funke::N,faísca,centella
86,Funke::N,centelha,guspira
87,Funke::N,centelha,centella
88,Feuer::N,fogo,foc
89,Licht::N,luz,llum
90,Schatten::N,sombra,ombra
91,Wetter::N,tempo,temps
92,Nebel::N,nevoeiro,boira
93,Wolke::N,nuvem,núvol
94,Regen::N,chuva,pluja
95,Schnee::N,neve,neu
96,Eis::N,gelo,gel
97,Eis::N,gelo,glaç
98,Frost::N,gelo,glaçada
99,Frost::N,geada,glaçada
100,Kälte::N,frio,fred
101,Hitze::N,ardor,calor
102,Raureif::N,geada,gebre
103,Regenbogen::N,arco-iris,arc iris
104,Donner::N,trovão,tro
105,Strömung::N,corrente,corrent
106,Tropfen::N,gota,gota
107,Schaum::N,espuma,escuma
108,Schmutz::N,sujidade,brutícia
109,Schmutz::N,imundície,brutícia
110,See::N,lago,llac
111,Sumpf::N,charco,pantà
112,Sumpf::N,pântano,pantà
113,Moor::N,pântano,pantà
114,Wiese::N,prado,prat
115,Wiese::N,prado,prada
116,Wald::N,bosque,bosc
117,Wald::N,floresta,bosc
118,Hügel::N,colina,puig
119,Hügel::N,colina,pujol
120,Anhöhe::N,alto,turó
121,Anhöhe::N,outeiro,turó
122,Berg::N,monte,muntanya
123,Berg::N,montanha,muntanya
124,Gipfel::N,pico,cim
125,Höhle::N,caverna,cova
126,Abhang::N,encosta,coster
127,Quelle::N,fonte,font
128,Bach::N,regato,riera
129,Bach::N,ribeiro,riera
130,Fluss::N,rio,riu
131,Ufer::N,beira,riba
132,Küste::N,costa,costa
133,Festland::N,terra firme,terra ferma
134,Meer::N,mar,mar
135,Bucht::N,baía,cala
136,Bucht::N,baía,badia
137,Insel::N,ilha,illa
138,Blume::N,flor,flor
139,Gras::N,erva,herba
140,Wurzel::N,raiz,rel
141,Wurzel::N,raiz,arrel
142,Baum::N,árvore,arbre
143,Stamm::N,tronco,tronc
144,Rinde::N,casca,escorça
145,Ast::N,ramo,branca
146,Zweig::N,galho,ram
147,Blatt::N,folha,fulla
148,Birke::N,bétula,bedoll
149,Kiefer[Baum]::N,pinheiro,pi
150,Weide[Baum]::N,salgueiro,salze
151,Tanne::N,abeto,avet
152,Horn::N,corno,corn
153,Horn::N,corno,banya
154,Horn::N,chifre,corn
155,Horn::N,chifre,banya
156,Feder::N,pena,ploma
157,Fell::N,pele,pell
158,Flügel::N,asa,ala
159,Klaue::N,pata,urpa
160,Kralle::N,unha,grapa
161,Kralle::N,garra,grapa
162,Schwanz::N,rabo,cua
163,Schwanz::N,cauda,cua
164,Ei::N,ovo,ou
165,Nest::N,ninho,niu
166,Bau::N,toca,cau
167,Bau::N,covil,cau
168,Tier::N,animal,animāl
169,Herde::N,rebanho,ramat
170,Kuh::N,vaca,vaca
171,Bulle::N,touro,toro
172,Pferd::N,cavalo,cavāll
173,Schaf::N,ovelha,be
174,Schaf::N,ovelha,ovella
175,Schwein::N,porco,bacó
176,Hund::N,cão,ca
177,Hund::N,cão,gos
178,Katze::N,gata,gat
179,Bär::N,urso,ós
180,Eichhörnchen::N,esquilo,esquirol
181,Elch::N,alce,ant
182,Fuchs::N,raposa,guilla
183,Hase::N,lebre,llebre
184,Maus::N,rato,ratolí
185,Wolf::N,lobo,llop
186,Vogel::N,ave,au
187,Vogel::N,ave,ocēll
188,Vogel::N,pássaro,au
189,Vogel::N,pássaro,ocēll
190,Schwarm::N,bando,bandada
191,Schwarm::N,enxame,bandada
192,Huhn::N,galinha,gallina
193,Hahn::N,galo,gall
194,Gans::N,ganso,oca
195,Adler::N,águia,àguila
196,Ente::N,pata,ànec
197,Eule::N,mocho,òliba
198,Eule::N,mocho,mussol
199,Eule::N,coruja,òliba
200,Eule::N,coruja,mussol
201,Kranich::N,grou,grua
202,Krähe::N,gralha,cornella
203,Kuckuck::N,cuco,cucut
204,Schwan::N,cisne,cigne
205,Fisch::N,peixe,peix
206,Barsch::N,perca,perca
207,Hecht::N,lúcio,lluç
208,Schlange[Tier]::N,serpente,serp
209,Wurm::N,verme,cuc
210,Spinne::N,aranha,aranya
211,Ameise::N,formiga,formiga
212,Laus::N,piolho,poll
213,Mücke::N,mosquito,mosquit
214,Fliege::N,mosca,mosca
215,Schmetterling::N,borboleta,papallona
216,Beere::N,bago,baia
217,Apfel::N,maçã,poma
218,Pilz::N,fungo,bolet
219,Pilz::N,cogumelo,bolet
220,Zwiebel::N,cebola,ceba
221,Saat::N,sementeira,sembra
222,Korn::N,grão,gra
223,Heu::N,feno,fenc
224,Schale::N,casca,closca
225,Grube::N,cova,sot
226,Grube::N,cova,clot
227,Grube::N,fossa,sot
228,Grube::N,fossa,clot
229,Falle::N,armadilha,trampa
230,Schlinge::N,laço,baga
231,Spur::N,pista,traça
232,Spur::N,vestígio,traça
233,Asche::N,cinza,cendra
234,Dreck::N,sujidade,llot
235,Eisen::N,ferro,ferro
236,Gold::N,ouro,or
237,Silber::N,prata,plata
238,Kohle::N,carvão,carbó
239,Glas::N,vidro,vidre
240,Lehm::N,barro,fang
241,Lehm::N,barro,argila
242,Lehm::N,argila,fang
243,Lehm::N,argila,argila
244,Sand::N,areia,arena
245,Mensch::N,homem,humà
246,Mensch::N,homem,persona
247,Mensch::N,pessoa,humà
248,Mensch::N,pessoa,persona
249,Mann::N,homem,home
250,Frau::N,mulher,dona
251,Kind::N,filho,nen
252,Kind::N,criança,nen
253,Junge::N,rapaz,noi
254,Junge::N,menino,noi
255,Mädchen::N,menina,noia
256,Mädchen::N,rapariga,noia
257,Familie::N,família,família
258,Großvater::N,avô,avi
259,Großmutter::N,avó,àvia
260,Eltern::N,pais,pares
261,Vater::N,pai,pare
262,Mutter::N,mãe,mare
263,Sohn::N,filho,fill
264,Tochter::N,filha,filla
265,Bruder::N,irmão,germà
266,Schwester::N,irmã,germana
267,Onkel::N,tio,oncle
268,Tante::N,tia,tia
269,Ehemann::N,esposo,espòs
270,Ehefrau::N,esposa,muller
271,Freude::N,prazer,goig
272,Freude::N,prazer,alegria
273,Freude::N,alegria,goig
274,Freude::N,alegria,alegria
275,Gelächter::N,risada,riallada
276,Gelächter::N,gargalhada,riallada
277,Glück::N,felicidade,felicitat
278,Kummer::N,aflição,pena
279,Kummer::N,desgosto,pena
280,Wunsch::N,desejo,desig
281,Lust::N,vontade,ganes
282,Geist::N,mente,ment
283,Geist::N,mente,esperit
284,Geist::N,espírito,ment
285,Geist::N,espírito,esperit
286,Gedanke::N,ideia,pensament
287,Gedanke::N,pensamento,pensament
288,Gedächtnis::N,memória,memòria
289,Verstand::N,razão,raó
290,Verstand::N,razão,seny
291,Verstand::N,inteligência,raó
292,Verstand::N,inteligência,seny
293,Sinn::N,sentido,solta
294,Sinn::N,sentido,sentit
295,Sinn::N,significado,solta
296,Sinn::N,significado,sentit
297,Grund::N,causa,raó
298,Grund::N,causa,causa
299,Grund::N,motivo,raó
300,Grund::N,motivo,causa
301,Wahrheit::N,verdade,veritāt
302,Gespräch::N,conversa,conversa
303,Gespräch::N,conversação,conversa
304,Märchen::N,conto,conte
305,Erzählung::N,conto,narració
306,Erzählung::N,narrativa,narració
307,Nachricht::N,mensagem,missatge
308,Neuigkeit::N,notícia,novetat
309,Neuigkeit::N,novidade,novetat
310,Name::N,nome,nom
311,Rätsel::N,adivinha,endevinalla
312,Rede::N,oração,discurs
313,Rede::N,discurso,discurs
314,Sprache::N,língua,llēngua
315,Stimme::N,voz,veu
316,Wort::N,palavra,mot
317,Wort::N,palavra,paraula
318,Zeichen::N,marca,signe
319,Zeichen::N,marca,senyal
320,Ruf::N,grito,crida
321,Ruf::N,chamada,crida
322,Lärm::N,ruído,sorōll
323,Lärm::N,barulho,sorōll
324,Laut::N,som,so
325,Ton::N,tom,to
326,Lied::N,canção,cançó
327,Ruhe::N,calma,calma
328,Ruhe::N,calma,silenci
329,Ruhe::N,silêncio,calma
330,Ruhe::N,silêncio,silenci
331,Leute::N,gente,gent
332,Leute::N,pessoas,gent
333,Volk::N,povo,poble
334,Volk::N,nação,poble
335,Arbeit::N,trabalho,labor
336,Arbeit::N,trabalho,treball
337,Gast::N,hóspede,hoste
338,Gast::N,convidado,hoste
339,Geschenk::N,prenda,regal
340,Geschenk::N,prenda,obsequi
341,Geschenk::N,presente,regal
342,Geschenk::N,presente,obsequi
343,Spiel::N,jogo,joc
344,Gesellschaft::N,companhia,companyia
345,Hilfe::N,ajuda,ajut
346,Hilfe::N,socorro,ajut
347,Freund::N,amigo,amīc
348,Kamerad::N,camarada,company
349,Kamerad::N,camarada,camarada
350,Angelegenheit::N,assunto,afer
351,Angelegenheit::N,assunto,assumpte
352,Anzahl::N,número,nombre
353,Anzahl::N,número,quantitat
354,Anzahl::N,quantidade,nombre
355,Anzahl::N,quantidade,quantitat
356,Art::N,tipo,tipus
357,Art::N,tipo,classe
358,Art::N,espécie,tipus
359,Art::N,espécie,classe
360,Stück::N,pedaço,peça
361,Teil::N,peça,part
362,Teil::N,parte,part
363,Hälfte::N,metade,meitat
364,Kreis::N,círculo,cercle
365,Kreuz::N,cruz,creu
366,Linie::N,linha,línia
367,Strich::N,traço,traç
368,Strich::N,traço,ratlla
369,Abstand::N,distância,distància
370,Entfernung::N,distância,distància
371,Gegend::N,área,regió
372,Gegend::N,área,contrada
373,Gegend::N,região,regió
374,Gegend::N,região,contrada
375,Platz::N,lugar,cabuda
376,Ort::N,sítio,lloc
377,Seite::N,lado,banda
378,Seite::N,lado,costāt
379,Mitte::N,meio,mig
380,Mitte::N,meio,centre
381,Gegenstand::N,objecto,objecte
382,Sache::N,coisa,cosa
383,Rand::N,bordo,vora
384,Rand::N,bordo,marge
385,Rand::N,margem,vora
386,Rand::N,margem,marge
387,Kante::N,borda,caire
388,Kante::N,borda,cantell
389,Kante::N,aresta,caire
390,Kante::N,aresta,cantell
391,Ecke::N,esquina,cantonada
392,Spitze::N,ponta,punta
393,Ende::N,cabo,cap
394,Ende::N,extremo,cap
395,Loch::N,furo,forāt
396,Loch::N,buraco,forāt
397,Winkel::N,canto,racó
398,Winkel::N,ângulo,racó
399,Muster::N,padrão,dibuix
400,Muster::N,padrão,disseny
401,Muster::N,desenho,dibuix
402,Muster::N,desenho,disseny
403,Größe::N,tamanho,grandària
404,Länge::N,comprimento,longitud
405,Höhe::N,altura,altura
406,Höhe::N,altura,altitud
407,Höhe::N,altitude,altura
408,Höhe::N,altitude,altitud
409,Gewicht::N,peso,pes
410,Menge::N,quantidade,quantitat
411,Haufen::N,pilha,pila
412,Reihe::N,fila,fila
413,Boot::N,barco,bot
414,Boot::N,barco,barca
415,Ruder::N,remo,rem
416,Schlitten::N,trenó,trineu
417,Ski::N,esqui,esquí
418,Lagerfeuer::N,fogueira,foc de campament
419,Last::N,carga,càrrega
420,Gang::N,curso,marxa
421,Gang::N,caminhada,marxa
422,Schritt::N,passo,pas
423,Norden::N,norte,nord
424,Süden::N,sul,sud
425,Westen::N,oeste,oest
426,Westen::N,oeste,occident
427,Westen::N,ocidente,oest
428,Westen::N,ocidente,occident
429,Osten::N,este,est
430,Osten::N,este,orient
431,Osten::N,leste,est
432,Osten::N,leste,orient
433,Osten::N,oriente,est
434,Osten::N,oriente,orient
435,Holz::N,madeira,fusta
436,Brett::N,tábua,taula
437,Brett::N,prancha,taula
438,Platte::N,laje,placa
439,Platte::N,chapa,placa
440,Stütze::N,apoio,suport
441,Stütze::N,suporte,suport
442,Stange::N,vara,vara
443,Stange::N,barra,vara
444,Stock::N,pau,pal
445,Stock::N,bengala,pal
446,Stab::N,bastão,bastó
447,Rohr::N,cano,tub
448,Haus::N,casa,casa
449,Heim::N,lar,llar
450,Heim::N,casa,llar
451,Ofen::N,estufa,estufa
452,Ofen::N,aquecedor,estufa
453,Fußboden::N,piso,terra
454,Tisch::N,mesa,taula
455,Stuhl::N,cadeira,cadira
456,Wiege::N,berço,bressol
457,Bett::N,cama,llit
458,Regal::N,estante,prestatgeria
459,Regal::N,prateleira,prestatgeria
460,Kiste::N,caixa,caixa
461,Fenster::N,janela,finestra
462,Tür::N,porta,porta
463,Tor::N,portão,portal
464,Zaun::N,cerca,tanca
465,Zaun::N,vedação,tanca
466,Dach::N,telhado,teulada
467,Leiter::N,escada,escala
468,Leiter::N,escada,escala de mà
469,Leiter::N,escada móvel,escala
470,Leiter::N,escada móvel,escala de mà
471,Besen::N,vassoura,escombra
472,Spaten::N,pá,pala
473,Schaufel::N,pá,pala
474,Gabel::N,garfo,forquilla
475,Löffel::N,colher,cullera
476,Messer::N,faca,coltell
477,Nagel::N,cravo,clau
478,Netz::N,rede,filat
479,Haken::N,gancho,ganxo
480,Griff::N,asa,puny
481,Griff::N,asa,mànec
482,Griff::N,cabo,puny
483,Griff::N,cabo,mànec
484,Schloss::N,fechadura,pany
485,Bild::N,imagem,imatge
486,Figur::N,figura,figura
487,Puppe::N,boneca,nina
488,Beutel::N,saco,bossa
489,Beutel::N,bolsa,bossa
490,Bündel::N,fardo,feix
491,Bündel::N,fardo,paquet
492,Tasche::N,saco,bossa
493,Tasche::N,bolso,bossa
494,Eimer::N,balde,galleda
495,Deckel::N,tampa,tapa
496,Deckel::N,tampa,tapadora
497,Geschirr::N,louça,vaixella
498,Sack::N,saca,sac
499,Sack::N,saca,saca
500,Tasse::N,chávena,tassa
501,Topf::N,tacho,pot
502,Topf::N,tacho,olla
503,Topf::N,panela,pot
504,Topf::N,panela,olla
505,Kessel::N,caldeira,caldera
506,Essen::N,refeição,àpat
507,Essen::N,refeição,menjada
508,Nahrung::N,comida,aliment
509,Nahrung::N,alimento,aliment
510,Speise::N,prato,plat
511,Fleisch::N,carne,carn
512,Getreide::N,cereais,cereals
513,Brei::N,puré,puré
514,Brot::N,pão,pa
515,Scheibe::N,fatia,tall
516,Scheibe::N,fatia,llesca
517,Fett::N,banha,greix
518,Fett::N,gordura,greix
519,Butter::N,manteiga,mantega
520,Öl::N,azeite,oli
521,Salz::N,sal,sal
522,Suppe::N,sopa,sopa
523,Suppe::N,caldo,sopa
524,Honig::N,mel,mel
525,Milch::N,leite,llet
526,Tee::N,chá,te
527,Leder::N,couro,cuir
528,Wolle::N,lã,llana
529,Stoff::N,pano,tela
530,Stoff::N,tecido,tela
531,Nadel::N,agulha,agulla
532,Faden::N,fio,fil
533,Knopf::N,botão,botó
534,Knoten::N,nó,nus
535,Farbe::N,corante,pintura
536,Kleidung::N,roupa,roba
537,Kleidung::N,roupa,vestits
538,Kleidung::N,vestuário,roba
539,Kleidung::N,vestuário,vestits
540,Hemd::N,camisa,camisa
541,Kragen::N,gola,coll
542,Ärmel::N,manga,màniga
543,Hose::N,calça,pantalōns
544,Gürtel::N,cinto,cinturó
545,Mütze::N,boné,gorra
546,Mütze::N,barrete,gorra
547,Schuh::N,sapato,sabata
548,Stiefel::N,bota,bota
549,Ring::N,anel,anell
550,Band::N,fita,veta
551,Band::N,fita,cinta
552,Band::N,faixa,veta
553,Band::N,faixa,cinta
554,Kamm::N,pente,pinta
555,Spiegel::N,espelho,mirāll
556,Riemen::N,correia,corretja
557,Schnur::N,corda,corda
558,Schnur::N,cordel,corda
559,Leine::N,trela,corretja
560,Decke::N,cobertor,manta
561,Decke::N,cobertor,flassada
562,Kissen::N,almofada,coixí
563,Tuch::N,pano,mocador
564,Handtuch::N,toalha,tovallola
565,Kraft::N,força,força
566,Stärke::N,força,vigor
567,Gesundheit::N,saúde,salut
568,Krankheit::N,doença,malaltia
569,Krankheit::N,enfermidade,malaltia
570,Schmerz::N,dor,dolor
571,Wunde::N,chaga,ferida
572,Wunde::N,ferida,ferida
573,Fieber::N,febre,febre
574,Arznei::N,remédio,medicament
575,Brücke::N,ponte,pont
576,Brunnen::N,poço,pou
577,Weide::N,pastagem,pastura
578,Pfad::N,senda,senda
579,Pfad::N,senda,sender
580,Pfad::N,trilho,senda
581,Pfad::N,trilho,sender
582,Weg::N,caminho,camí
583,Straße::N,via,carretera
584,Straße::N,estrada,carretera
585,Dorf::N,aldeia,poble
586,Stadt::N,cidade,ciutāt
587,Brief::N,carta,carta
588,Buch::N,livro,llibre
589,Buchstabe::N,letra,lletra
590,Zeitung::N,jornal,diāri
591,Leben::N,vida,vida
592,Tod::N,morte,mort
593,Grab::N,túmulo,tomba
594,Grab::N,sepultura,tomba
595,Kirche::N,igreja,església
596,Sünde::N,pecado,pecat
597,Gott::N,deus,déu
598,Arbeiter::N,operário,obrer
599,Arbeiter::N,trabalhador,obrer
600,Chef::N,chefe,cap
601,Chef::N,patrão,cap
602,Meister::N,mestre,mestre
603,Arzt::N,médico,metge
604,Lehrer::N,professor,mestre
605,Geld::N,dinheiro,dinērs
606,Geschäft::N,negócio,negoci
607,Laden::N,loja,tenda
608,Laden::N,loja,botiga
609,Preis::N,preço,preu
610,Ware::N,mercadoria,mercaderia
611,Nutzen::N,proveito,profit
612,Reichtum::N,riqueza,riquesa
613,Welt::N,mundo,món
614,Land::N,país,país
615,Staat::N,Estado,estat
616,König::N,rei,rei
617,Macht::N,poder,poder
618,Macht::N,poder,potència
619,Macht::N,potência,poder
620,Macht::N,potência,potència
621,Grenze::N,fronteira,frontera
622,Krieg::N,guerra,guerra
623,Feind::N,inimigo,enemic
624,Gewalt::N,violência,violència
625,Kampf::N,luta,lluita
626,Kampf::N,combate,lluita
627,Bogen[Waffe]::N,arco,arc
628,Pfeil::N,seta,fletxa
629,Pfeil::N,flecha,fletxa
630,Gewehr::N,espingarda,fusell
631,Gewehr::N,espingarda,escopeta
632,Fehler::N,erro,falta
633,Fehler::N,falha,falta
634,Lüge::N,mentira,mentida
635,Schaden::N,dano,dany
636,Schaden::N,estrago,dany
637,Unglück::N,desgraça,desgràcia
638,Schuld::N,culpa,culpa
639,Alter::N,idade,edat
640,Schluss::N,fim,fi
641,Schluss::N,fim,final
642,Zeit::N,tempo,temps
643,Tag::N,dia,dia
644,Morgen::N,manhã,matí
645,Mittag::N,meio-dia,migdia
646,Abend::N,noite,vespre
647,Abend::N,tardinha,vespre
648,Nacht::N,noite,nit
649,Woche::N,semana,setmana
650,Monat::N,mês,mes
651,Jahr::N,ano,any
