,Concept_ID,ps,hu
0,Auge::N,سترګه,szem
1,Ohr::N,غوږ,fül
2,Nase::N,پوزه,orr
3,Mund::N,خوله,száj
4,Zahn::N,غاښ,fog
5,Zunge::N,جبه,nyelv
6,Lippe::N,شونډه,ajak
7,Wange::N,باړخو,orca
8,Gesicht::N,مخ,arc
9,Stirn::N,تندی,homlok
10,Stirn::N,وچولی,homlok
11,Haar::N,وېښته,haj
12,Schnurrbart::N,برېت,bajusz
13,Bart::N,ږیره,szakáll
14,Kinn::N,زنه,áll
15,Kiefer[Anatomie]::N,جامه,állkapocs
16,Kehle::N,غاړه,gége
17,Kehle::N,غاړه,torok
18,Hals::N,غاړه,nyak
19,Genick::N,ورمېږ,tarkó
20,Kopf::N,سر,fő
21,Kopf::N,سر,fej
22,Rücken::N,شا,hát
23,Bauch::N,نس,has
24,Bauch::N,ګېډه,has
25,Nabel::N,نوم,köldök
26,Busen::N,تی,mell
27,Busen::N,تی,kebel
28,Brust::N,سینه,mell
29,Schulter::N,اوږه,váll
30,Arm::N,لاس,kar
31,Ellenbogen::N,څنګل,könyök
32,Hand::N,لاس,kéz
33,Handfläche::N,ورغوی,tenyér
34,Finger::N,ګوته,ujj
35,Fingernagel::N,نوک,köröm
36,Nagel[Anatomie]::N,نوک,köröm
37,Zeh::N,ګوته,lábujj
38,Fuß::N,پښه,láb
39,Ferse::N,پونده,sarok
40,Knie::N,زنګون,térd
41,Oberschenkel::N,پتون,comb
42,Bein::N,پښه,láb
43,Bein::N,پښه,lábszár
44,Körper::N,ځان,test
45,Haut::N,پوټکی,bőr
46,Blut::N,وینه,vér
47,Ader::N,رګ,ér
48,Sehne::N,پله,ín
49,Knochen::N,هډوکی,csont
50,Gehirn::N,ماغزه,agy
51,Gehirn::N,ماغزه,agyvelő
52,Herz::N,زړه,szív
53,Magen::N,معده,gyomor
54,Leber::N,ينه,máj
55,Leber::N,ځیګر,máj
56,Atem::N,نفس,lehelet
57,Atem::N,نفس,lélegzet
58,Hunger::N,ولږه,éhség
59,Träne::N,اوښکه,könny
60,Geschmack::N,مزه,íz
61,Geschmack::N,خوند,íz
62,Geruch::N,بوی,szag
63,Schlaf::N,خوب,álom
64,Schlaf::N,خوب,alvás
65,Traum::N,خوب,álom
66,Himmel::N,اسمان,ég
67,Himmel::N,اسمان,menny
68,Sonne::N,لمر,nap
69,Mond::N,سپوږمۍ,hold
70,Stern::N,ستوری,csillag
