,Concept_ID,kn,udm
0,Auge::N,ಕಣ್ಣು,син
1,Ohr::N,ಕಿವಿ,пель
2,Nase::N,ಮೂಗು,ныр
3,Mund::N,ಬಾಯಿ,ым
4,Zahn::N,ಹಲ್ಲು,пинь
5,Zunge::N,ನಾಲಿಗೆ,кыл
6,Lippe::N,ತುಟಿ,ымдур
7,Wange::N,ಗಲ್ಲ,бам
8,Gesicht::N,ಮುಖ,ымныр
9,Stirn::N,ಹಣೆ,кымес
10,Haar::N,ಕೂದಲು,йырси
11,Schnurrbart::N,ಮೀಸೆ,мыйык
12,Bart::N,ಗಡ್ಡ,туш
13,Kinn::N,ಗದ್ದ,ангес
14,Kiefer[Anatomie]::N,ದವಡೆ,ан
15,Kiefer[Anatomie]::N,ದವಡೆ,анлы
16,Kehle::N,ಗಂಟಲು,гульым
17,Hals::N,ಕೊರಳು,чырты
18,Genick::N,ಹಿಂಗತ್ತು,йырбер
19,Kopf::N,ತಲೆ,йыр
20,Rücken::N,ಬೆನ್ನು,мыш
21,Bauch::N,ಹೊಟ್ಟೆ,кӧт
22,Nabel::N,ಹೊಕ್ಕುಳು,гогы
23,Busen::N,ಸ್ತನ,ноны
24,Brust::N,ಎದೆ,мӧля
25,Schulter::N,ಭುಜ,пельпум
26,Arm::N,ತೋಳು,суй
27,Ellenbogen::N,ಮೊಣಕೈ,гырпум
28,Hand::N,ಕೈ,ки
29,Handfläche::N,ಅಂಗೈ,ки пыдэс
30,Handfläche::N,ಅಂಗೈ,кырым пыдэс
31,Finger::N,ಕೈಬೆರಳು,чиньы
32,Fingernagel::N,ಉಗುರು,гижы
33,Fingernagel::N,ಉಗುರು,гиждӥнь
34,Nagel[Anatomie]::N,ಉಗುರು,гижы
35,Zeh::N,ಕಾಲ್ಬೆರಳು,пыдчиньы
36,Fuß::N,ಪಾದ,пыд
37,Ferse::N,ಹಿಮ್ಮಡಿ,пыдбер
38,Knie::N,ಮಂಡಿ,пыдес
39,Oberschenkel::N,ತೊಡೆ,макес
40,Bein::N,ಕಾಲು,пыд
41,Körper::N,ದೇಹ,мугор
42,Körper::N,ದೇಹ,вылтыр
43,Haut::N,ಚರ್ಮ,ку
44,Blut::N,ರಕ್ತ,вир
45,Ader::N,ನರ,вирсэр
46,Sehne::N,ನರ,вуж
47,Knochen::N,ಮೂಳೆ,лы
48,Gehirn::N,ಮಿದುಳು,вим
49,Herz::N,ಹೃದಯ,сюлэм
50,Magen::N,ಉದರ,ӝуш
51,Leber::N,ಯಕೃತ್ತು,мус
52,Atem::N,ಉಸಿರು,лул
53,Atem::N,ಉಸಿರು,шокан
54,Hunger::N,ಹಸಿವು,кӧтсюман
55,Träne::N,ಕಣ್ಣೀರು,синкыли
56,Geschmack::N,ರುಚಿ,шӧм
57,Geruch::N,ವಾಸನೆ,зын
58,Schlaf::N,ನಿದ್ರೆ,вӧт
59,Traum::N,ಕನಸು,уйвӧт
60,Himmel::N,ಬಾನು,ин
61,Sonne::N,ಸೂರ್ಯ,шунды
62,Mond::N,ಚಂದ್ರ,толэзь
63,Stern::N,ಚುಕ್ಕಿ,кизили
64,Luft::N,ವಾಯು,омыр
65,Wind::N,ಗಾಳಿ,тӧл
66,Welle::N,ಅಲೆ,тулкым
67,Wasser::N,ನೀರು,ву
68,Stein::N,ಕಲ್ಲು,из
69,Boden::N,ನೆಲ,музъем
70,Erde::N,ಭೂಮಿ,му
71,Staub::N,ದೂಳು,пыль
72,Rauch::N,ಹೊಗೆ,ӵын
73,Funke::N,ಕಿಡಿ,гизьы
74,Feuer::N,ಬೆಂಕಿ,тыл
75,Licht::N,ಬೆಳಕು,тыл
76,Schatten::N,ನೆರಳು,вужер
77,Wetter::N,ಹವ,куазь
78,Nebel::N,ಮಂಜು,бус
79,Wolke::N,ಮೋಡ,пилем
80,Regen::N,ಮಳೆ,зор
81,Schnee::N,ಹಿಮ,лымы
82,Eis::N,ಮಂಜುಗಡ್ಡೆ,йӧ
83,Frost::N,ಮಂಜು,кезьыт
84,Kälte::N,ಹಿಮ,кезьыт
85,Hitze::N,ಉಷ್ಣ,пӧсь
86,Raureif::N,ಇಬ್ಬನಿ,гӧр
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,вуюись
88,Donner::N,ಗುಡುಗು,гудыри
89,Strömung::N,ಪ್ರವಾಹ,бызён
90,Tropfen::N,ತೊಟ್ಟು,шапык
91,Schaum::N,ನೊರೆ,шукы
92,Schmutz::N,ಕಸ,нӧд
93,Schmutz::N,ಕಸ,дэри
94,See::N,ಸರೋವರ,ты
95,Sumpf::N,ಜೌಗುಸ್ಥಳ,нюр
96,Moor::N,ಬಂಜರು ಭೂಮಿ,нюр
97,Wiese::N,ಹುಲ್ಲುಗಾವಲು,возь
98,Wiese::N,ಹುಲ್ಲುಗಾವಲು,возьвыл
99,Wald::N,ಕಾಡು,сик
100,Wald::N,ಕಾಡು,нюлэс
101,Hügel::N,ಗುಡ್ಡೆ,выр
102,Hügel::N,ಗುಡ್ಡೆ,вырйыл
103,Anhöhe::N,ದಿಬ್ಬ,выр
104,Anhöhe::N,ದಿಬ್ಬ,вырйыл
105,Berg::N,ಮಲೆ,гурезь
106,Berg::N,ಪರ್ವತ,гурезь
107,Gipfel::N,ಶೃಂಗ,йыл
108,Höhle::N,ಗುಹೆ,гу
109,Abhang::N,ಇಳಿಜಾರು,бам
110,Quelle::N,ಮೂಲ,ошмес
111,Bach::N,ತೊರೆ,пичи шур
112,Fluss::N,ನದಿ,шур
113,Ufer::N,ತೀರ,ярдур
114,Küste::N,ದಂಡೆ,вудур
115,Festland::N,ಭೂಮಿ,мувыр
116,Meer::N,ಕಡಲು,зарезь
117,Bucht::N,ಖಾರಿ,вукож
118,Insel::N,ದ್ವೀಪ,вумуӵ
119,Insel::N,ದ್ವೀಪ,шормуӵ
120,Blume::N,ಸುಮ,сяська
121,Gras::N,ಹುಲ್ಲು,турын
122,Wurzel::N,ಬೇರು,выжы
123,Baum::N,ಮರ,пу
124,Stamm::N,ಕಾಂಡ,модос
125,Rinde::N,ತೂಗಟಿ,сул
126,Ast::N,ಶಾಖೆ,ул
127,Zweig::N,ರೆಂಬೆ,вай
128,Blatt::N,ಎಲೆ,куар
129,Birke::N,ಬರ್ಚ್ ಮರ,кызьпу
130,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,пужым
131,Weide[Baum]::N,ವಿಲೋಮರ,бадьпу
132,Tanne::N,ಭದ್ರದಾರು,кыз
133,Horn::N,ಕೊಂಬು,сюр
134,Feder::N,ಪುಕ್ಕ,тылы
135,Fell::N,ರೋಮ,ку
136,Flügel::N,ರೆಕ್ಕೆ,бурд
137,Klaue::N,ಪಂಜ,гижы
138,Kralle::N,ಉಗುರು,пыд
139,Schwanz::N,ಬಾಲ,быж
140,Ei::N,ಮೊಟ್ಟೆ,пуз
141,Ei::N,ಮೊಟ್ಟೆ,кукей
142,Nest::N,ಗೂಡು,кар
