,Concept_ID,ml,xal
0,Auge::N,കണ്ണ്,нүдн
1,Ohr::N,ചെവി,чикн
2,Nase::N,മൂക്ക്,хамр
3,Mund::N,വായ,амн
4,Zahn::N,പല്ല്,шүдн
5,Zunge::N,നാക്ക്,келн
6,Lippe::N,ചുണ്ട്,урл
7,Wange::N,കവിൾത്തടം,халх
8,Gesicht::N,മുഖം,нүр
9,Stirn::N,നെറ്റി,маңна
10,Haar::N,തലമുടി,үсн
11,Schnurrbart::N,മീശ,сахл
12,Bart::N,താടിരോമം,сахл
13,Bart::N,താടിരോമം,өргнә сахл
14,Kinn::N,താടി,өргн
15,Kiefer[Anatomie]::N,താടിയെല്ല്,өргн
16,Kehle::N,കണ്ഠനാളം,хол
17,Hals::N,കഴുത്ത്,күзүн
18,Genick::N,പിടലി,гиҗг
19,Kopf::N,തല,толһа
20,Rücken::N,മുതുക്,нурһн
21,Bauch::N,നയറ്,гесн
22,Nabel::N,നാഭി,киисн
23,Busen::N,സ്തനം,көкн
24,Brust::N,സ്തനം,чееҗ
25,Schulter::N,തോൾ,ээм
26,Arm::N,കൈ,һар
27,Ellenbogen::N,കൈമുട്ട്,тоха
28,Hand::N,കൈ,баһлцг
29,Handfläche::N,ഉള്ളം കൈ,альхн
30,Finger::N,വിരൽ,хурһн
31,Finger::N,വിരൽ,һарин хурһн
32,Fingernagel::N,നഖം,хумсн
33,Nagel[Anatomie]::N,നഖം,хумсн
34,Zeh::N,കാൽവിരൽ,хурһн
35,Zeh::N,കാൽവിരൽ,көлин хурһн
36,Fuß::N,കാൽപ്പാദം,тавг
37,Ferse::N,ഉപ്പൂറ്റി,өскә
38,Knie::N,കാൽമുട്ട്,өвдг
39,Oberschenkel::N,തുട,һуй
40,Bein::N,കാൽ,көл
41,Körper::N,ശരീരം,махмуд
42,Haut::N,ചർമ്മം,арсн
43,Blut::N,രക്തം,цусн
44,Ader::N,ഞരമ്പ്,судцн
45,Sehne::N,സ്നായു,шүрүсн
46,Knochen::N,അസ്ഥി,ясн
47,Gehirn::N,തലച്ചോറ്,экн
48,Herz::N,ഹൃദയം,зүркн
49,Magen::N,വയർ,гесн
50,Leber::N,കരൾ,элкн
51,Atem::N,ശ്വാസം,әмсхл
52,Hunger::N,വിശപ്പ്,харһнлһн
53,Träne::N,കണ്ണീർ,нульмсн
54,Geschmack::N,രുചി,амтн
55,Geruch::N,ഗന്ധം,үнр
56,Schlaf::N,ഉറകും,нөр
57,Traum::N,സ്വപ്നം,зүүдн
58,Himmel::N,ആകാശം,теңгр
59,Sonne::N,സൂര്യൻ,нарн
60,Mond::N,ചന്ദ്രൻ,сар
61,Stern::N,നക്ഷത്രം,одн
62,Luft::N,കാറ്റ്,аһар
63,Wind::N,കാറ്റ്,салькн
64,Welle::N,തിരമാല,дольган
65,Wasser::N,വെള്ളം,усн
66,Stein::N,ശില,чолун
67,Stein::N,കല്ല്,чолун
68,Boden::N,തറ,Һазр
69,Boden::N,നിലം,Һазр
70,Erde::N,മണ്ണ്,Һазр
71,Staub::N,പൊടി,тоосн
72,Rauch::N,പുക,утан
73,Funke::N,തീപ്പൊരി,очн
74,Feuer::N,തീ,һал
75,Licht::N,വിളക്ക്,герл
76,Licht::N,സൂര്യപ്രകാശം,герл
77,Schatten::N,തണൽ,сүүдр
78,Wetter::N,കാലാവസ്ഥ,теңгр
79,Nebel::N,മൂടൽമഞ്ഞ്,будн
80,Wolke::N,മേഘം,үүлн
81,Regen::N,മഴ,хур
82,Schnee::N,മഞ്ഞ്,цасн
83,Eis::N,ഐസ്,мөсн
84,Frost::N,മൂടൽമഞ്ഞ്,киитн
85,Kälte::N,തണുപ്പ്,киитн
86,Hitze::N,ചൂട്,халун
87,Raureif::N,കോടമഞ്ഞ്,цаң
88,Raureif::N,കോടമഞ്ഞ്,кирү
