,Concept_ID,ce,nl
0,Auge::N,бӏаьрг,oog
1,Ohr::N,лерг,oor
2,Nase::N,мара,neus
3,Mund::N,бага,mond
4,Zahn::N,церг,tand
5,Zunge::N,мотт,tong
6,Lippe::N,балда,lip
7,Wange::N,бесни,wang
8,Gesicht::N,юьхь,gelaat
9,Gesicht::N,юьхь,gezicht
10,Stirn::N,хьаж,voorhoofd
11,Haar::N,мас,haar
12,Schnurrbart::N,мекх,snor
13,Bart::N,маж,baard
14,Kinn::N,чӏениг,kin
15,Kiefer[Anatomie]::N,мочхал,kaak
16,Kehle::N,къамкъарг,keel
17,Kehle::N,къамкъарг,strot
18,Hals::N,ворта,hals
19,Genick::N,кӏесаркӏаг,nek
20,Kopf::N,корта,hoofd
21,Rücken::N,букъ,rug
22,Bauch::N,кийра,buik
23,Nabel::N,цӏонга,navel
24,Busen::N,зударийн накха,boezem
25,Brust::N,накха,borst
26,Schulter::N,белш,schouder
27,Arm::N,пхьарс,arm
28,Ellenbogen::N,пхьаьрсан гола,elleboog
29,Hand::N,куьг,hand
30,Handfläche::N,кераюкъ,handpalm
31,Finger::N,пӏелг,vinger
32,Fingernagel::N,мӏара,nagel
33,Nagel[Anatomie]::N,мӏара,nagel
34,Zeh::N,кога пӏелг,teen
35,Fuß::N,ког,voet
36,Ferse::N,кӏажа,hak
37,Ferse::N,кӏажа,hiel
38,Knie::N,гола,knie
39,Oberschenkel::N,варе,dij
40,Bein::N,ког,been
41,Körper::N,хӏума,lichaam
42,Haut::N,чкъор,huid
43,Blut::N,цӏий,bloed
44,Ader::N,пха,ader
45,Sehne::N,хьорзам,pees
46,Knochen::N,даьӏахк,bot
47,Knochen::N,даьӏахк,been
48,Knochen::N,даьӏахк,knook
49,Gehirn::N,хье,hersenen
50,Herz::N,дог,hart
51,Magen::N,зорх,maag
52,Leber::N,доӏах,lever
53,Atem::N,садеӏар,adem
54,Hunger::N,мацалла,honger
55,Träne::N,бӏаьрхи,traan
56,Geschmack::N,чам,smaak
57,Geruch::N,хьожа,geur
58,Schlaf::N,наб,slaap
59,Traum::N,гӏан,droom
60,Himmel::N,стигал,hemel
61,Sonne::N,малх,zon
62,Mond::N,бутт,maan
63,Stern::N,седа,ster
64,Luft::N,xӏаваъ,lucht
65,Wind::N,мох,wind
66,Welle::N,тулгӏе,golf
67,Wasser::N,хи,water
68,Stein::N,тӏулг,steen
69,Boden::N,цӏенкъа,grond
70,Erde::N,латта,aarde
71,Staub::N,чан,stof
72,Rauch::N,кӏур,rook
73,Funke::N,суй,vonk
74,Feuer::N,цӏе,vuur
75,Licht::N,серло,licht
76,Schatten::N,ӏиндагӏ,schaduw
77,Wetter::N,хенан хӏоттам,weer
78,Nebel::N,дохк,mist
79,Nebel::N,дохк,nevel
80,Wolke::N,марха,wolk
81,Regen::N,догӏа,regen
82,Schnee::N,ло,sneeuw
83,Eis::N,ша,ijs
84,Frost::N,шело,vorst
85,Kälte::N,шело,kou
86,Kälte::N,шело,koude
87,Hitze::N,йовхо,hitte
88,Raureif::N,йис,rijp
89,Regenbogen::N,стелаӏад,regenboog
90,Donner::N,ткъес,donder
91,Strömung::N,дӏаэхар,stroming
92,Strömung::N,дӏасалелар,stroming
93,Tropfen::N,тӏадам,druppel
94,Schaum::N,чопа,schuim
95,Schmutz::N,хатт,vuil
96,See::N,ӏам,meer
97,Sumpf::N,уьшал,moeras
98,Moor::N,уьшал,veen
99,Wiese::N,бай,wei
100,Wiese::N,бай,weide
101,Wald::N,хьун,bos
