,Concept_ID,et,ro
0,Auge::N,silm,ochi
1,Ohr::N,kõrv,ureche
2,Nase::N,nina,nas
3,Mund::N,suu,gură
4,Zahn::N,hammas,dinte
5,Zunge::N,keel,limbă
6,Lippe::N,huul,buză
7,Wange::N,põsk,bucă
8,Wange::N,põsk,obraz
9,Gesicht::N,nägu,față
10,Gesicht::N,nägu,figură
11,Stirn::N,otsmik,frunte
12,Haar::N,juus,păr
13,Schnurrbart::N,vurrud,mustață
14,Schnurrbart::N,vuntsid,mustață
15,Bart::N,habe,barbă
16,Kinn::N,lõug,bărbie
17,Kiefer[Anatomie]::N,lõualuu,falcă
18,Kehle::N,kõri,beregată
19,Hals::N,kael,gât
20,Genick::N,kukal,ceafă
21,Kopf::N,pea,cap
22,Rücken::N,selg,dos
23,Rücken::N,selg,spate
24,Rücken::N,selg,spinare
25,Bauch::N,kõht,burtă
26,Bauch::N,kõht,pântece
27,Nabel::N,naba,buric
28,Busen::N,rind,sân
29,Brust::N,rind,piept
30,Schulter::N,õlg,umăr
31,Schulter::N,õlg,spate
32,Arm::N,käsivars,braț
33,Ellenbogen::N,küünarnukk,cot
34,Hand::N,käsi,mână
35,Handfläche::N,pihk,palmă
36,Finger::N,sõrm,deget
37,Fingernagel::N,küüs,unghie
38,Nagel[Anatomie]::N,küüs,unghie
39,Zeh::N,varvas,deget de la picior
40,Fuß::N,jalg,picior
41,Ferse::N,kand,călcâi
42,Knie::N,põlv,genunchi
43,Oberschenkel::N,reis,coapsă
44,Bein::N,jalg,picior
45,Körper::N,ihu,corp
46,Körper::N,keha,corp
47,Haut::N,nahk,piele
48,Blut::N,veri,sânge
49,Ader::N,veen,vână
50,Ader::N,veen,arteră
51,Sehne::N,kõõlus,tendon
52,Knochen::N,luu,os
53,Gehirn::N,aju,creier
54,Herz::N,süda,inimă
55,Magen::N,magu,stomac
56,Leber::N,maks,ficat
57,Atem::N,hingeõhk,răsuflare
58,Atem::N,hingeõhk,respirație
59,Atem::N,hingamine,răsuflare
60,Atem::N,hingamine,respirație
61,Hunger::N,nälg,foame
62,Träne::N,pisar,lacrimă
63,Geschmack::N,maitse,gust
64,Geruch::N,lõhn,miros
65,Schlaf::N,uni,somn
66,Traum::N,unenägu,vis
67,Himmel::N,taevas,cer
68,Sonne::N,päike,soare
69,Mond::N,kuu,lună
70,Stern::N,täht,stea
71,Luft::N,õhk,aer
72,Wind::N,tuul,vânt
73,Welle::N,laine,val
74,Welle::N,laine,undă
75,Wasser::N,vesi,apă
76,Stein::N,kivi,piatră
77,Boden::N,maa,sol
78,Boden::N,maa,pământ
79,Boden::N,pinnas,sol
80,Boden::N,pinnas,pământ
81,Erde::N,maa,pământ
82,Staub::N,põrm,praf
83,Rauch::N,suits,fum
84,Funke::N,säde,scânteie
85,Feuer::N,tuli,foc
86,Licht::N,valgus,lumină
87,Schatten::N,vari,umbră
88,Wetter::N,ilm,timp
89,Wetter::N,ilm,vreme
90,Nebel::N,udu,ceață
91,Nebel::N,udu,negură
92,Wolke::N,pilv,nor
93,Regen::N,sadu,ploaie
94,Schnee::N,lumi,zăpadă
95,Eis::N,jää,gheață
96,Frost::N,pakane,ger
97,Kälte::N,külm,frig
98,Kälte::N,külmus,frig
99,Hitze::N,kuumus,arșiță
100,Hitze::N,kuumus,căldură
101,Hitze::N,palavus,arșiță
102,Hitze::N,palavus,căldură
103,Raureif::N,härmatis,chiciură
104,Regenbogen::N,vikerkaar,curcubeu
