,Concept_ID,ja,bn
0,Auge::N,目,চক্ষু
1,Ohr::N,耳,কর্ণ
2,Nase::N,鼻,নাক
3,Mund::N,口,মুখ
4,Zahn::N,歯,দাঁত
5,Zunge::N,舌,জিহবা
6,Lippe::N,唇,অধর
7,Wange::N,頬,গণ্ড
8,Gesicht::N,顔,মুখমণ্ডল
9,Stirn::N,額,কপাল
10,Haar::N,髪,চুল
11,Schnurrbart::N,口髭,গোঁফ
12,Bart::N,髭,শ্মশ্রু
13,Kinn::N,顎,চিবুক
14,Kiefer[Anatomie]::N,顎,চোয়াল
15,Kehle::N,喉,কণ্ঠ
16,Hals::N,首,গল
17,Genick::N,首,ঘাড়
18,Kopf::N,頭,মাথা
19,Rücken::N,背中,পৃষ্ঠ
20,Bauch::N,腹,উদর
21,Bauch::N,お腹,উদর
22,Nabel::N,へそ,নাভি
23,Busen::N,乳房,স্তন
24,Brust::N,胸,বুক
25,Schulter::N,肩,স্কন্ধ
26,Arm::N,腕,বাহু
27,Ellenbogen::N,肘,কনুই
28,Hand::N,手,হাত
29,Handfläche::N,手のひら,করতল
30,Finger::N,指,আঙ্গুল
31,Fingernagel::N,爪,হাতের নখ
32,Nagel[Anatomie]::N,爪,নখ
33,Zeh::N,足の指,আঙ্গুল
34,Fuß::N,足,পা
35,Ferse::N,かかと,গোড়ালি
36,Knie::N,膝,হাঁটু
37,Oberschenkel::N,上腿,ঊরু
38,Bein::N,足,পা
39,Körper::N,体,দেহ
40,Haut::N,皮膚,ত্বক
41,Blut::N,血,রক্ত
42,Ader::N,血管,শিরা
43,Sehne::N,腱,কণ্ডরা
44,Knochen::N,骨,অস্থি
45,Gehirn::N,脳,মস্তিষ্ক
46,Herz::N,心,হৃৎপিণ্ড
47,Herz::N,心臓,হৃৎপিণ্ড
48,Magen::N,胃,পাকস্থলী
49,Leber::N,肝臓,যকৃৎ
50,Atem::N,息,শ্বাস
51,Atem::N,呼吸,শ্বাস
52,Hunger::N,空腹,ক্ষুধা
53,Träne::N,涙,অশ্রু
54,Geschmack::N,味,স্বাদ
55,Geruch::N,匂い,গন্ধ
56,Schlaf::N,睡眠,ঘুম
57,Traum::N,夢,স্বপ্ন
58,Himmel::N,空,আকাশ
59,Sonne::N,太陽,সূর্য
60,Mond::N,月,চন্দ্র
61,Stern::N,星,নক্ষত্র
62,Luft::N,空気,বায়ু
63,Wind::N,風,বাতাস
64,Welle::N,波,ঢেউ
65,Welle::N,波,তরঙ্গ
66,Wasser::N,水,জল
67,Stein::N,石,ঢিল
68,Stein::N,石,প্রস্তর
69,Boden::N,土地,ভূতল
70,Erde::N,土,ভূমি
71,Staub::N,埃,ধুলা
72,Rauch::N,煙,ধোঁয়া
73,Funke::N,火花,স্ফুলিঙ্গ
74,Feuer::N,火,অগ্নি
75,Licht::N,光,আলো
76,Schatten::N,陰,ছায়া
77,Wetter::N,天気,আবহাওয়া
78,Nebel::N,霧,কুহেলিকা
79,Wolke::N,雲,মেঘ
80,Regen::N,雨,বৃষ্টি
81,Schnee::N,雪,তুষার
82,Eis::N,氷,বরফ
83,Frost::N,霜,তুষার
84,Kälte::N,寒さ,শৈত্য
85,Hitze::N,暑さ,তাপ
86,Raureif::N,霧氷,তুহিন
87,Regenbogen::N,虹,রামধনু
88,Donner::N,雷,বজ্রধ্বনি
89,Strömung::N,流れ,স্রোত
90,Tropfen::N,滴,ফোঁটা
91,Schaum::N,泡,ফেনা
92,Schmutz::N,汚れ,ধুলা
93,See::N,湖,হ্রদ
94,Sumpf::N,沼,জলা
95,Moor::N,湿原,মাঠ
96,Wiese::N,草原,তৃণভূমি
97,Wald::N,森,বন
