,Concept_ID,sl,tr
0,Auge::N,okó,göz
1,Ohr::N,uhó,kulak
2,Nase::N,nós,burun
3,Mund::N,ústa,ağız
4,Zahn::N,zób,diş
5,Zunge::N,jêzik,dil
6,Lippe::N,ústnica,dudak
7,Wange::N,líce,yanak
8,Gesicht::N,oblíčje,yüz
9,Stirn::N,čêlo,alın
10,Haar::N,lás,saç
11,Schnurrbart::N,bŕki,bıyık
12,Bart::N,bráda,sakal
13,Kinn::N,bráda,çene
14,Kiefer[Anatomie]::N,čeljúst,çene
15,Kehle::N,gŕlo,boğaz
16,Hals::N,vrát,boyun
17,Hals::N,vrát,gerdan
18,Genick::N,zatílnik,ense
19,Kopf::N,gláva,baş
20,Kopf::N,gláva,kafa
21,Rücken::N,hrbèt,arka
22,Bauch::N,trébuh,karın
23,Nabel::N,pópek,göbek
24,Busen::N,nédrja,koyun
25,Brust::N,pŕsi,göğüs
26,Schulter::N,ráma,omuz
27,Schulter::N,plêče,omuz
28,Arm::N,rôka,kol
29,Ellenbogen::N,komólec,dirsek
30,Hand::N,rôka,el
31,Handfläche::N,dlán,avuç
32,Handfläche::N,dlán,el ayası
33,Finger::N,pŕst,parmak
34,Fingernagel::N,nóht na rôki,el tırnağı
35,Nagel[Anatomie]::N,nóht,tırnak
36,Zeh::N,pŕst na nôgi,ayak parmağı
37,Fuß::N,nôga,ayak
38,Ferse::N,pêta,topuk
39,Knie::N,koléno,diz
40,Oberschenkel::N,stêgno,uyluk
41,Bein::N,nôga,bacak
42,Körper::N,teló,vücut
43,Haut::N,kóža,cilt
44,Blut::N,krí,kan
45,Ader::N,žíla,damar
46,Sehne::N,kíta,kiriş
47,Knochen::N,kóst,kemik
48,Gehirn::N,možgáni,beyin
49,Herz::N,srcé,kalp
50,Herz::N,srcé,yürek
51,Magen::N,želódec,mide
52,Leber::N,jétra,karaciğer
53,Atem::N,díh,nefes
54,Hunger::N,glád,açlık
55,Träne::N,sólza,gözyaşı
56,Geschmack::N,okús,tat
