,Concept_ID,lt,cv
0,Auge::N,akis,куҫ
1,Ohr::N,ausis,хӑлха
2,Nase::N,nosis,сӑмса
3,Mund::N,burna,ҫӑвар
4,Zahn::N,dantis,шӑл
5,Zunge::N,liežuvis,чӗлхе
6,Lippe::N,lūpa,тута
7,Wange::N,žandas,пит ҫӑмарти
8,Wange::N,skruostas,пит ҫӑмарти
9,Gesicht::N,veidas,пит
10,Gesicht::N,veidas,пит-куҫ
11,Stirn::N,kakta,ҫамка
12,Haar::N,plaukai,ҫӳҫ
13,Schnurrbart::N,ūsai,усси
14,Bart::N,barzda,сухал
15,Kinn::N,smakras,янах
16,Kiefer[Anatomie]::N,žandikaulis,янах
17,Kehle::N,gerklė,пыр
18,Kehle::N,gerklė,карланкӑ
19,Hals::N,kaklas,пыр
20,Genick::N,sprandas,ӗнсе
21,Kopf::N,galva,пуҫ
22,Rücken::N,nugara,ҫурӑм
23,Bauch::N,pilvas,
24,Nabel::N,bamba,кӑвапа
25,Busen::N,krūtinė,кӑкӑр
26,Brust::N,krūtis,умӗ
27,Schulter::N,petys,хул пуҫҫи
28,Arm::N,ranka,алӑ
29,Ellenbogen::N,alkūnė,чавса
30,Hand::N,ranka,алӑ сыппи
31,Hand::N,plaštaka,алӑ сыппи
32,Handfläche::N,delnas,ал лаппи
33,Handfläche::N,plaštaka,ал лаппи
34,Finger::N,pirštas,пӳрне
35,Fingernagel::N,nagas,чӗрне
36,Nagel[Anatomie]::N,nagas,чӗрне
37,Zeh::N,pirštas,пӳрне
38,Fuß::N,pėda,ура лаппи
39,Ferse::N,kulnas,кӗле
40,Knie::N,kelis,чӗркуҫҫи
41,Oberschenkel::N,kulšis,пӗҫӗ
42,Oberschenkel::N,šlaunis,пӗҫӗ
43,Bein::N,koja,ура
44,Körper::N,kūnas,ӳт
45,Körper::N,kūnas,ӳт-пӳ
46,Haut::N,oda,тир
47,Blut::N,kraujas,юн
48,Ader::N,kraujagyslė,вена
49,Sehne::N,sausgyslė,шӑнӑр
50,Knochen::N,kaulas,шӑмӑ
51,Gehirn::N,smegenys,миме
52,Herz::N,širdis,чӗре
53,Magen::N,skrandis,хырӑмлӑх
54,Leber::N,kepenys,пӗвер
55,Atem::N,kvapas,сывлав
56,Hunger::N,badas,выҫлӑх
