,Concept_ID,se,mn
0,Auge::N,tjelmie,нүд
1,Auge::N,tjalmme,нүд
2,Auge::N,čalbmi,нүд
3,Auge::N,čalme,нүд
4,Auge::N,čâ´lmm,нүд
5,Auge::N,ча̄лльм,нүд
6,Ohr::N,bieljie,чих
7,Ohr::N,biellje,чих
8,Ohr::N,beallji,чих
9,Ohr::N,pelji,чих
10,Ohr::N,pe´llj,чих
11,Ohr::N,пе̄лльй,чих
12,Nase::N,njuenie,хамар
13,Nase::N,njunnje,хамар
14,Nase::N,njunni,хамар
15,Nase::N,njuṇe,хамар
16,Nase::N,njuu´nn,хамар
17,Nase::N,нюннҍ,хамар
18,Mund::N,njaelmie,ам
19,Mund::N,njálmme,ам
20,Mund::N,njálbmi,ам
21,Mund::N,njälmi,ам
22,Mund::N,njä´lmm,ам
23,Mund::N,ня̄лльм,ам
24,Zahn::N,baenie,шүд
25,Zahn::N,bádne,шүд
26,Zahn::N,bátni,шүд
27,Zahn::N,pääṇi,шүд
28,Zahn::N,pää´nn,шүд
29,Zahn::N,па̄ннҍ,шүд
30,Zunge::N,njoektjeme,хэл
31,Zunge::N,njuovtjav,хэл
32,Zunge::N,njuovčča,хэл
33,Zunge::N,njuovčâ,хэл
34,Zunge::N,njuhččâm,хэл
35,Zunge::N,нюхчем,хэл
36,Lippe::N,bangseme,уруул
37,Lippe::N,njálmmerabdda,уруул
38,Lippe::N,bavssa,уруул
39,Lippe::N,poovsâ,уруул
40,Lippe::N,põõus,уруул
41,Lippe::N,пэ̄кс,уруул
42,Wange::N,skiehrie,хацар
43,Wange::N,nierra,хацар
44,Wange::N,muohtu,хацар
45,Wange::N,nieṛâ,хацар
46,Wange::N,njiõrr,хацар
47,Wange::N,нӣрр,хацар
48,Gesicht::N,ååredæjja,царай
49,Gesicht::N,ååredæjja,нүүр
50,Gesicht::N,muohto,царай
51,Gesicht::N,muohto,нүүр
52,Gesicht::N,muođut,царай
53,Gesicht::N,muođut,нүүр
54,Gesicht::N,ámadadju,царай
55,Gesicht::N,ámadadju,нүүр
56,Gesicht::N,muáđuh,царай
57,Gesicht::N,muáđuh,нүүр
58,Gesicht::N,muâđ,царай
59,Gesicht::N,muâđ,нүүр
60,Gesicht::N,ка̄ссв,царай
61,Gesicht::N,ка̄ссв,нүүр
62,Stirn::N,gaalloe,дух
63,Stirn::N,gállo,дух
64,Stirn::N,gállu,дух
65,Stirn::N,kállu,дух
66,Stirn::N,käll,дух
67,Stirn::N,вуэххьц,дух
68,Haar::N,voepte,үс
69,Haar::N,vuoppta,үс
70,Haar::N,vuokta,үс
71,Haar::N,vuop'tâ,үс
72,Haar::N,vuõpt,үс
73,Haar::N,вӯппт,үс
74,Schnurrbart::N,bijjie-skaavtjoe,дээд сахал
75,Schnurrbart::N,bijjie-skaavtjoe,живэр сахал
76,Schnurrbart::N,njunjevuolskávttjá,дээд сахал
77,Schnurrbart::N,njunjevuolskávttjá,живэр сахал
78,Schnurrbart::N,seamu,дээд сахал
79,Schnurrbart::N,seamu,живэр сахал
80,Schnurrbart::N,siämu,дээд сахал
81,Schnurrbart::N,siämu,живэр сахал
82,Schnurrbart::N,ää´bben,дээд сахал
83,Schnurrbart::N,ää´bben,живэр сахал
84,Schnurrbart::N,о̄а̄бпан,дээд сахал
85,Schnurrbart::N,о̄а̄бпан,живэр сахал
86,Bart::N,skaavtja,сахал
87,Bart::N,skaavtjoe,сахал
88,Bart::N,skávttjá,сахал
89,Bart::N,seamu,сахал
90,Bart::N,siämu,сахал
91,Bart::N,seäm,сахал
92,Bart::N,ся̄м,сахал
93,Kinn::N,gaejpie,эрүү
94,Kinn::N,gájbbe,эрүү
95,Kinn::N,gáibi,эрүү
96,Kinn::N,käibi,эрүү
97,Kinn::N,käi´bb,эрүү
98,Kinn::N,ка̄ййп,эрүү
99,Kiefer[Anatomie]::N,gaejpie,эрүү
100,Kiefer[Anatomie]::N,oalol,эрүү
