,Concept_ID,sq,ce
180,Gans::N,patë,гӏаз
181,Adler::N,shqiponjë,aьрзу
182,Ente::N,rosë,бад
183,Eule::N,buf,бухӏа
184,Kranich::N,lejlek,гӏаргӏули
185,Kranich::N,kurrillë,гӏаргӏули
186,Krähe::N,sorrë,къиг
187,Kuckuck::N,qyqe,aттйокх
188,Schwan::N,mjellmë,гӏургӏаз
189,Fisch::N,peshk,чӏара
190,Barsch::N,purtekë,окунь
191,Hecht::N,mlysh,гӏазкхийн чӏара
192,Schlange[Tier]::N,gjarpër,лаьхьа
193,Wurm::N,krimb,нӏаьна
194,Spinne::N,marimangë,гезг
195,Ameise::N,thnegël,зингат
196,Ameise::N,milingonë,зингат
197,Laus::N,morr,меза
198,Laus::N,morr,гӏениг
199,Mücke::N,kunup,чуьрк
200,Mücke::N,mushkonjë,чуьрк
201,Fliege::N,mizë,моза
202,Schmetterling::N,flutur,полла
203,Beere::N,frutë,цӏазам
204,Beere::N,manaferrë,цӏазам
205,Apfel::N,mollë,ӏаж
206,Pilz::N,kërpudhë,жӏаьлин нускал
207,Zwiebel::N,qepë,xох
208,Saat::N,farë,чlу
209,Korn::N,grurë,буьртиг
210,Korn::N,kokërr,буьртиг
211,Heu::N,sanë,йол
212,Schale::N,lëkurë,пардо
213,Grube::N,gropë,ор
214,Falle::N,kurth,кӏело
215,Falle::N,grackë,кӏело
216,Schlinge::N,nyjë,
217,Spur::N,gjurmë,лар
218,Asche::N,hi,чим
219,Dreck::N,baltë,мода
220,Eisen::N,hekur,эчиг
221,Gold::N,ar,деши
222,Gold::N,flori,деши
223,Silber::N,argjend,дети
224,Kohle::N,qymyr,кӏора
225,Glas::N,qelq,aнгали
226,Lehm::N,argjilë,поппар
227,Sand::N,rërë,гӏум
228,Mensch::N,njeri,адам
229,Mann::N,burrë,майра
230,Mann::N,mashkull,майра
231,Frau::N,grua,зуда
232,Frau::N,femër,зуда
233,Kind::N,kalama,бер
234,Junge::N,djalë,жимха
235,Mädchen::N,gocë,жима йоӏ
236,Mädchen::N,vajzë,жима йоӏ
237,Familie::N,familje,доьзал
238,Großvater::N,gjysh,ненада
239,Großmutter::N,gjyshe,денана
240,Eltern::N,prindër,да-нана
241,Vater::N,atë,да
242,Mutter::N,nënë,нана
243,Sohn::N,bir,кӏант
244,Tochter::N,bijë,йоӏ
245,Bruder::N,vëlla,ваша
246,Schwester::N,motër,йиша
247,Onkel::N,dajë,деваша
248,Onkel::N,xhaxha,деваша
249,Tante::N,teze,дейиша
250,Tante::N,hallë,дейиша
251,Ehemann::N,burrë,майра
252,Ehemann::N,bashkëshort,майра
253,Ehefrau::N,grua,зуда
254,Ehefrau::N,bashkëshorte,зуда
255,Freude::N,gaz,самукъа
256,Freude::N,gaz,хазахетар
257,Freude::N,gëzim,самукъа
258,Freude::N,gëzim,хазахетар
259,Gelächter::N,qeshje,белам
260,Glück::N,lumturi,ирс
261,Kummer::N,brengë,бала
262,Kummer::N,pikëllim,бала
263,Wunsch::N,dëshirë,лаам
264,Lust::N,epsh,лаам
265,Lust::N,dashuri,лаам
266,Geist::N,frymë,са
267,Geist::N,shpirt,са
268,Gedanke::N,ide,ойла
269,Gedanke::N,mendim,ойла
270,Gedächtnis::N,kujtesë,диццадалар
271,Verstand::N,mend,хьекъал
272,Sinn::N,kuptim,маьӏна
273,Grund::N,arsye,бахьана
274,Wahrheit::N,vërtetë,бакъдерг
275,Gespräch::N,bisedim,къамел
276,Märchen::N,përrallë,туьйра
277,Erzählung::N,tregim,дийцар
278,Nachricht::N,lajm,хаам
279,Neuigkeit::N,risi,керланиг
280,Name::N,emër,цӏе
281,Rätsel::N,gjëzë,хӏетал-метал
282,Rätsel::N,gjëegjëzë,хӏетал-метал
283,Rede::N,fjalim,къамел
284,Sprache::N,gjuhë,мотт
285,Stimme::N,zë,aз
286,Wort::N,fjalë,дош
287,Zeichen::N,shenjë,билгало
288,Ruf::N,thirrmë,кхайкхар
289,Lärm::N,zhurmë,гӏовгӏа
290,Laut::N,tingull,аз
291,Ton::N,ton,aз
292,Lied::N,këngë,илли
293,Ruhe::N,qetësi,тийналла
294,Leute::N,botë,нах
295,Leute::N,njerëz,нах
296,Volk::N,popull,халкъ
297,Arbeit::N,punë,болх
298,Gast::N,mik,хьаша
299,Gast::N,mysafir,хьаша
300,Geschenk::N,dhuratë,совгӏат
301,Geschenk::N,peshqesh,совгӏат
302,Spiel::N,lojë,ловзар
303,Gesellschaft::N,shoqëri,юкъаралла
304,Hilfe::N,ndihmë,гӏо
305,Freund::N,mik,доттагl
306,Kamerad::N,shok,накъост
307,Angelegenheit::N,punë,гӏуллакх
308,Anzahl::N,sasi,терахь
309,Art::N,lloj,
310,Stück::N,copë,юьхк
311,Teil::N,pjesë,дакъа
312,Hälfte::N,gjysmë,ах
313,Kreis::N,qark,го
314,Kreis::N,rreth,го
315,Kreuz::N,kryq,жӏара
316,Linie::N,vijë,сиз
317,Strich::N,vizë,сиз
318,Abstand::N,distancë,юкъ
319,Entfernung::N,largim,
320,Gegend::N,vise,мeттиг
321,Gegend::N,krahinë,мeттиг
322,Platz::N,shesh,майда
323,Ort::N,vend,меттиг
324,Seite::N,anë,aгӏo
325,Mitte::N,mes,юкъ
326,Gegenstand::N,send,хӏума
327,Sache::N,gjë,хӏума
328,Sache::N,send,хӏума
329,Rand::N,qoshe,йист
330,Kante::N,teh,йист
331,Ecke::N,qoshe,са
332,Spitze::N,majë,ралла
333,Ende::N,skaj,юьхьиг
334,Ende::N,bisht,юьхьиг
335,Loch::N,vrimë,ӏуьрг
336,Winkel::N,kënd,са
337,Muster::N,mostër,дагар
338,Muster::N,mostër,тӏамар
339,Größe::N,madhësi,барам
340,Länge::N,gjatësi,йохалла
341,Höhe::N,lartësi,локхалла
342,Gewicht::N,peshë,йозалла
343,Menge::N,sasi,дукхалла
344,Haufen::N,grumbull,сал
345,Haufen::N,grumbull,оьла
346,Reihe::N,radhë,рагӏ
347,Reihe::N,radhë,могӏа
348,Reihe::N,rresht,рагӏ
349,Reihe::N,rresht,могӏа
350,Boot::N,barkë,кема
351,Boot::N,lundër,кема
352,Ruder::N,rrem,пийсиг
353,Schlitten::N,sajë,салаз
354,Ski::N,ski,когсалаз
355,Lagerfeuer::N,flakadan,цӏе
356,Lagerfeuer::N,zjarr i madh,цӏе
357,Last::N,barrë,дукъ
358,Gang::N,ecje,лелар
359,Schritt::N,hap,гӏулч
360,Norden::N,veri,къилбаседе
361,Süden::N,jug,къилбе
362,Westen::N,perëndim,малхбузе
363,Osten::N,lindje,малхбале
364,Holz::N,dru,дечиг
365,Brett::N,dërrasë,у
366,Platte::N,pllakë,у
367,Stütze::N,shtyllë,гӏopтоp
368,Stütze::N,mbështetesë,гӏopтоp
369,Stange::N,shufër,гӏуркх
370,Stock::N,dajak,ӏаса
371,Stab::N,shkop,гӏаж
372,Rohr::N,tub,биргӏа
373,Haus::N,shtëpi,цӏа
374,Heim::N,konak,кхерч
375,Heim::N,shtëpi,кхерч
376,Ofen::N,sobë,кхерч
377,Ofen::N,stufë,кхерч
378,Fußboden::N,dysheme,цӏенкъа
379,Tisch::N,tryezë,шун
380,Stuhl::N,karrige,гӏант
381,Wiege::N,djep,ага
382,Bett::N,shtrat,маьнга
383,Regal::N,raft,терхи
384,Kiste::N,kuti,яьшка
385,Fenster::N,dritare,кор
386,Tür::N,derë,неӏ
387,Tor::N,portë,ков
388,Zaun::N,gardh,керт
389,Dach::N,çati,тхов
390,Leiter::N,shkallë,лами
391,Besen::N,fshesë,нуй
392,Spaten::N,lopatë,бел
