,Concept_ID,vep,te
0,Auge::N,sil'm,కన్ను
1,Ohr::N,korv,చెవి
2,Nase::N,nena,ముక్కు
3,Mund::N,su,నోరు
4,Zahn::N,pi,పల్లు
5,Zahn::N,hambaz,పల్లు
6,Zunge::N,kel',నాలుక
7,Lippe::N,hul',పెదవి
8,Wange::N,modpolišk,చెంప
9,Gesicht::N,mod,ముఖము
10,Stirn::N,oc,నుదురు
11,Haar::N,tuk,వెండ్రుక
12,Haar::N,hibuz,వెండ్రుక
13,Schnurrbart::N,habinod,మీసము
14,Bart::N,bard,గడ్డము
15,Kinn::N,löug,గడ్డము
16,Kiefer[Anatomie]::N,hambazlu,దౌడ
17,Kehle::N,kurk,గొంతు
18,Hals::N,kagl,మెడ
19,Genick::N,tagarai,మూపు
20,Kopf::N,pä,తల
21,Rücken::N,sel'g,వెన్ను
22,Bauch::N,vac,కడుపు
23,Bauch::N,koht,కడుపు
24,Nabel::N,naba,బొడ్డు
25,Busen::N,niža,స్తనము
26,Brust::N,rind,ఱొమ్ము
27,Schulter::N,oug,భుజము
28,Arm::N,käzi,చేయి
29,Ellenbogen::N,künambruz,మోచేయి
30,Hand::N,käzi,చేయి
31,Hand::N,käzitera,చేయి
32,Handfläche::N,kämen,అరచేయు
33,Finger::N,sor'm,చేతిప్రేలు
34,Fingernagel::N,künz',గోరు
35,Nagel[Anatomie]::N,künz',గోరు
36,Zeh::N,barbaz,కాలిప్రేలు
37,Fuß::N,jaug,అడుగు
38,Ferse::N,kand,మడమ
39,Knie::N,komb,మోకాలు
40,Knie::N,pol'v,మోకాలు
41,Oberschenkel::N,riiže,తొడ
42,Bein::N,jaug,కాలు
43,Körper::N,hibj,కాయము
44,Haut::N,nahk,చర్మము
45,Blut::N,čak,రక్తము
46,Blut::N,veri,రక్తము
47,Ader::N,son',సిర
48,Sehne::N,jände,స్నాయువు
49,Knochen::N,lu,ఎముక
50,Gehirn::N,aivod,మెదడు
51,Herz::N,südäin,హృదయము
52,Magen::N,südäikoht,కడుపు
53,Leber::N,maks,కాలేయము
54,Atem::N,hengaiduz,ఉపిరి
55,Hunger::N,näl'g,ఆకలి
56,Träne::N,kündal',కన్నీటిచుక్క
57,Geschmack::N,magu,రుచి
58,Geruch::N,haju,వాసన
59,Schlaf::N,uni,నిద్ర
60,Traum::N,unikuva,కల
61,Himmel::N,taivaz,ఆకాశము
62,Sonne::N,päiväine,సూర్యుడు
63,Mond::N,kudmaine,చంద్రుడు
64,Stern::N,tähtaz,నక్షత్రము
65,Luft::N,il'm,గాలి
66,Wind::N,döl,వీచుచున్నగాలి
67,Wind::N,tullei,వీచుచున్నగాలి
68,Welle::N,ald,అల
69,Welle::N,laineh,అల
70,Wasser::N,vezi,నీరు
71,Stein::N,kivi,ఱాయి
72,Boden::N,ma,నేల
73,Boden::N,pohj,నేల
74,Erde::N,ma,మన్ను
