,Concept_ID,zh,mhr
0,Auge::N,眼睛,шинча́
1,Ohr::N,耳朵,пы́лыш
2,Nase::N,鼻子,нер
3,Mund::N,嘴,умша́
4,Zahn::N,牙齿,пӱй
5,Zunge::N,舌头,йы́лме
6,Lippe::N,嘴唇,тӱ́рвӧ
7,Wange::N,面颊,шӱ́ргӧ
8,Gesicht::N,脸,чури́й
9,Stirn::N,额,саҥга́
10,Haar::N,头发,ӱп
11,Schnurrbart::N,髭须,ӧ́рыш
12,Bart::N,胡子,понда́ш
13,Kinn::N,下巴,оҥыла́ш
14,Kiefer[Anatomie]::N,颌,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,颌,пӱйората́
16,Kehle::N,嗓子,лога́р
17,Hals::N,颈,шӱй
18,Genick::N,后颈,шӱйло́дыш
19,Kopf::N,头,вуй
20,Rücken::N,背,туп
21,Bauch::N,肚子,мӱ́шкыр
22,Nabel::N,肚脐,кы́лымде
23,Busen::N,胸脯,чы́зе
24,Brust::N,胸,оҥ
25,Schulter::N,肩膀,ва́че
26,Arm::N,臂膀,кид
27,Ellenbogen::N,肘,кынерву́й
28,Hand::N,手,кид
29,Hand::N,手,копа́
30,Handfläche::N,手掌,со́во
31,Finger::N,手指,парня́
32,Fingernagel::N,指甲,кидкӱ́ч
33,Fingernagel::N,指甲,парнягӱ́ч
34,Nagel[Anatomie]::N,指甲,кӱч
35,Zeh::N,脚趾,йолварня́
36,Fuß::N,脚,йол
37,Fuß::N,脚,йолкопа́
38,Ferse::N,后跟,тага́н
39,Knie::N,膝,пулву́й
40,Oberschenkel::N,大腿,э́рде
41,Bein::N,腿,йол
42,Körper::N,身体,кап
43,Haut::N,皮肤,кова́ште
44,Blut::N,血,вӱр
45,Ader::N,血管,шӧн
46,Sehne::N,腱,шӧн
47,Sehne::N,腱,кӱсе́н
48,Knochen::N,骨,лу
49,Gehirn::N,脑,вем
50,Gehirn::N,脑,вуйве́м
51,Herz::N,心,шӱм
52,Magen::N,胃,пага́р
53,Leber::N,肝,мокш
54,Atem::N,呼吸,шӱ́лыш
55,Hunger::N,饿,шужыма́ш
56,Träne::N,眼泪,шинчавӱ́д
57,Geschmack::N,味道,там
58,Geruch::N,气味,пуш
59,Schlaf::N,睡眠,о́мо
60,Traum::N,梦,йӱдо́мо
61,Himmel::N,天空,кава́
62,Sonne::N,太阳,ке́че
63,Mond::N,月亮,ты́лзе
64,Stern::N,星,шӱ́дыр
65,Luft::N,空气,юж
66,Wind::N,风,марде́ж
67,Welle::N,波,то́лкын
68,Wasser::N,水,вӱд
69,Stein::N,石头,кӱ
70,Boden::N,地面,рок
71,Erde::N,地,мла́нде
72,Staub::N,灰尘,пура́к
73,Rauch::N,烟,шикш
74,Funke::N,火花,сеске́м
75,Funke::N,火花,тулйы́п
76,Feuer::N,火,тул
77,Licht::N,光,со́то
78,Schatten::N,影子,ӱ́мыл
79,Wetter::N,天气,иге́че
80,Nebel::N,雾,тӱтыра́
81,Wolke::N,云,пыл
82,Regen::N,雨,йӱр
83,Schnee::N,雪,лум
84,Eis::N,冰,ий
85,Frost::N,霜冻,чатлама́
86,Kälte::N,寒冷,йӱ́штӧ
87,Hitze::N,炎热,шо́кшо
88,Raureif::N,霜,пӧрш
89,Raureif::N,霜,по́кшым
90,Regenbogen::N,虹,шонанпы́л
91,Donner::N,雷,кӱ́дырчӧ
92,Strömung::N,水流,йо́гын
93,Tropfen::N,滴,чӱча́лтыш
94,Schaum::N,泡沫,шоҥ
95,Schmutz::N,赃物,лавыра́
96,See::N,湖,ер
97,Sumpf::N,沼泽,лӱ́кӧ
98,Moor::N,沼泽,куп
99,Wiese::N,草地,о́лык
100,Wald::N,森林,чодыра́
101,Hügel::N,丘陵,арка́
102,Anhöhe::N,山丘,тӧва́
103,Anhöhe::N,山丘,кӱкшака́
