,Concept_ID,la,pt
0,Auge::N,oculus,olho
1,Ohr::N,auris,orelha
2,Nase::N,nasus,nariz
3,Mund::N,os,boca
4,Zahn::N,dens,dente
5,Zunge::N,lingua,língua
6,Lippe::N,labrum,lábio
7,Wange::N,gena,face
8,Gesicht::N,vultus,cara
9,Gesicht::N,vultus,rosto
10,Stirn::N,frons,testa
11,Haar::N,capillus,cabelo
12,Schnurrbart::N,barba labri superioris,bigode
13,Bart::N,barba,barba
14,Kinn::N,mentum,queixo
15,Kiefer[Anatomie]::N,mala,maxila
16,Kiefer[Anatomie]::N,mala,mandíbula
17,Kehle::N,iugulums,garganta
18,Hals::N,collum,colo
19,Hals::N,collum,pescoço
20,Genick::N,cervices,nuca
21,Kopf::N,caput,cabeça
22,Rücken::N,tergum,dorso
23,Rücken::N,tergum,costas
24,Bauch::N,venter,ventre
25,Bauch::N,venter,barriga
26,Nabel::N,umbilicus,umbigo
27,Busen::N,sinus,seio
28,Brust::N,pectus,peito
29,Schulter::N,umerus,ombro
30,Arm::N,bracchium,braço
31,Ellenbogen::N,cubitum,cotovelo
32,Hand::N,manus,mão
33,Handfläche::N,palma,palma
34,Handfläche::N,palma,palma da mão
35,Finger::N,digitus,dedo
36,Fingernagel::N,unguiculus,unha
37,Nagel[Anatomie]::N,unguis,unha
38,Zeh::N,digitus,dedo do pé
39,Fuß::N,pes,pé
40,Ferse::N,calx,calcanhar
41,Knie::N,genu,joelho
42,Oberschenkel::N,femur,coxa
43,Bein::N,crus,perna
44,Körper::N,corpus,corpo
45,Haut::N,cutis,pele
46,Haut::N,pellis,pele
47,Blut::N,sanguis,sangue
48,Ader::N,vena,veia
49,Sehne::N,nervus,tendão
50,Knochen::N,os,osso
51,Gehirn::N,cerebrum,cérebro
52,Herz::N,cor,coração
53,Herz::N,animus,coração
54,Magen::N,stomachus,estômago
55,Leber::N,iecur,fígado
56,Atem::N,spiritus,fôlego
57,Hunger::N,fames,fome
58,Träne::N,lacrima,lágrima
59,Geschmack::N,sapor,gosto
60,Geschmack::N,gustus,gosto
61,Geruch::N,odor,odor
62,Geruch::N,odor,cheiro
63,Schlaf::N,somnus,sono
64,Traum::N,somnium,sonho
65,Himmel::N,caelum,céu
66,Sonne::N,sol,sol
67,Mond::N,luna,lua
68,Stern::N,sidus,estrela
69,Stern::N,stella,estrela
70,Luft::N,aer,ar
71,Wind::N,ventus,vento
72,Welle::N,unda,onda
73,Wasser::N,aqua,água
74,Stein::N,lapis,pedra
75,Boden::N,solum,solo
76,Erde::N,terra,terra
77,Staub::N,pulvis,pó
78,Rauch::N,fumus,fumo
79,Funke::N,scintilla,faísca
80,Funke::N,scintilla,centelha
81,Feuer::N,ignis,fogo
82,Licht::N,lux,luz
83,Licht::N,lumen,luz
84,Schatten::N,umbra,sombra
85,Wetter::N,caelum,tempo
86,Wetter::N,tempestas,tempo
87,Nebel::N,nebula,nevoeiro
88,Wolke::N,nubes,nuvem
89,Regen::N,imber,chuva
90,Regen::N,pluvia,chuva
91,Schnee::N,nix,neve
92,Eis::N,glacies,gelo
93,Frost::N,gelu,gelo
94,Frost::N,gelu,geada
95,Kälte::N,frigus,frio
96,Hitze::N,calor,ardor
97,Hitze::N,aestus,ardor
98,Raureif::N,pruina,geada
99,Regenbogen::N,arcus,arco-iris
100,Donner::N,tonitrus,trovão
101,Strömung::N,fluctus,corrente
102,Tropfen::N,gutta,gota
103,Schaum::N,spuma,espuma
104,Schmutz::N,sordes,sujidade
105,Schmutz::N,sordes,imundície
106,Schmutz::N,squalor,sujidade
107,Schmutz::N,squalor,imundície
108,See::N,lacus,lago
109,Sumpf::N,palus,charco
110,Sumpf::N,palus,pântano
111,Moor::N,palus,pântano
112,Wiese::N,pratum,prado
113,Wald::N,silva,bosque
114,Wald::N,silva,floresta
115,Hügel::N,collis,colina
116,Anhöhe::N,specula,alto
117,Anhöhe::N,specula,outeiro
118,Berg::N,mons,monte
119,Berg::N,mons,montanha
120,Gipfel::N,vertex,pico
121,Höhle::N,caverna,caverna
122,Höhle::N,spelunca,caverna
123,Abhang::N,declivum,encosta
124,Quelle::N,fons,fonte
125,Bach::N,rivus,regato
126,Bach::N,rivus,ribeiro
127,Fluss::N,flumen,rio
128,Ufer::N,ripa,beira
129,Küste::N,litus,costa
130,Festland::N,continens,terra firme
131,Meer::N,mare,mar
132,Bucht::N,sinus,baía
133,Insel::N,insula,ilha
134,Blume::N,flos,flor
135,Gras::N,herba,erva
136,Gras::N,gramen,erva
137,Wurzel::N,radix,raiz
138,Baum::N,arbor,árvore
139,Stamm::N,truncus,tronco
140,Rinde::N,cortex,casca
141,Ast::N,ramus,ramo
142,Zweig::N,ramus,galho
143,Blatt::N,folium,folha
144,Birke::N,betulla,bétula
145,Kiefer[Baum]::N,pinus,pinheiro
146,Weide[Baum]::N,salix,salgueiro
147,Tanne::N,abies,abeto
148,Horn::N,cornu,corno
149,Horn::N,cornu,chifre
150,Feder::N,penna,pena
151,Fell::N,pellis,pele
152,Flügel::N,ala,asa
153,Klaue::N,unguis,pata
154,Kralle::N,unguis,unha
155,Kralle::N,unguis,garra
156,Schwanz::N,cauda,rabo
157,Schwanz::N,cauda,cauda
158,Ei::N,ovum,ovo
159,Nest::N,nidus,ninho
160,Bau::N,cavum,toca
161,Bau::N,cavum,covil
162,Bau::N,latibulum,toca
163,Bau::N,latibulum,covil
164,Tier::N,bestia,animal
165,Herde::N,grex,rebanho
166,Kuh::N,vacca,vaca
167,Bulle::N,taurus,touro
168,Pferd::N,equus,cavalo
169,Schaf::N,ovis,ovelha
170,Schwein::N,sus,porco
171,Schwein::N,porcus,porco
172,Hund::N,canis,cão
173,Katze::N,felis,gata
174,Bär::N,ursus,urso
175,Eichhörnchen::N,sciurus,esquilo
176,Elch::N,alces,alce
177,Fuchs::N,vulpes,raposa
178,Hase::N,lepus,lebre
179,Maus::N,mus,rato
180,Wolf::N,lupus,lobo
181,Vogel::N,avis,ave
182,Vogel::N,avis,pássaro
183,Schwarm::N,examen,bando
184,Schwarm::N,examen,enxame
185,Huhn::N,gallina,galinha
186,Hahn::N,gallus,galo
187,Gans::N,anser,ganso
188,Adler::N,aquila,águia
189,Ente::N,anas,pata
190,Eule::N,ulula,mocho
191,Eule::N,ulula,coruja
192,Eule::N,noctua,mocho
193,Eule::N,noctua,coruja
194,Kranich::N,grus,grou
195,Krähe::N,cornix,gralha
196,Kuckuck::N,cuculus,cuco
197,Schwan::N,olor,cisne
198,Schwan::N,cycnus,cisne
199,Fisch::N,piscis,peixe
200,Barsch::N,perca,perca
201,Hecht::N,esox,lúcio
202,Schlange[Tier]::N,serpens,serpente
203,Wurm::N,vermis,verme
204,Spinne::N,aranea,aranha
205,Ameise::N,formica,formiga
206,Laus::N,pediculus,piolho
207,Mücke::N,culex,mosquito
208,Fliege::N,musca,mosca
209,Schmetterling::N,papilio,borboleta
210,Beere::N,baca,bago
211,Apfel::N,malum,maçã
212,Pilz::N,fungus,fungo
213,Pilz::N,fungus,cogumelo
214,Zwiebel::N,cepa,cebola
215,Saat::N,seges,sementeira
216,Korn::N,granum,grão
217,Heu::N,faenum,feno
218,Schale::N,putamen,casca
219,Grube::N,fovea,cova
220,Grube::N,fovea,fossa
221,Falle::N,pedica,armadilha
222,Schlinge::N,laqueus,laço
223,Spur::N,vestigium,pista
224,Spur::N,vestigium,vestígio
225,Asche::N,cinis,cinza
226,Dreck::N,lutum,sujidade
227,Eisen::N,ferrum,ferro
228,Gold::N,aurum,ouro
229,Silber::N,argentum,prata
230,Kohle::N,carbo,carvão
231,Glas::N,vitrum,vidro
232,Lehm::N,lutum,barro
233,Lehm::N,lutum,argila
234,Sand::N,arena,areia
235,Mensch::N,homo,homem
236,Mensch::N,homo,pessoa
237,Mann::N,vir,homem
238,Frau::N,mulier,mulher
239,Kind::N,puer,filho
240,Kind::N,puer,criança
241,Kind::N,infans,filho
242,Kind::N,infans,criança
243,Junge::N,puer,rapaz
244,Junge::N,puer,menino
245,Mädchen::N,puella,menina
246,Mädchen::N,puella,rapariga
247,Familie::N,familia,família
248,Großvater::N,avus,avô
249,Großmutter::N,avia,avó
250,Eltern::N,parentes,pais
251,Vater::N,pater,pai
252,Mutter::N,mater,mãe
253,Sohn::N,filius,filho
254,Tochter::N,filia,filha
255,Bruder::N,frater,irmão
256,Schwester::N,soror,irmã
257,Onkel::N,patruus,tio
258,Onkel::N,avunculus,tio
259,Tante::N,amita,tia
260,Ehemann::N,maritus,esposo
261,Ehefrau::N,uxor,esposa
262,Freude::N,gaudium,prazer
263,Freude::N,gaudium,alegria
264,Freude::N,laetitia,prazer
265,Freude::N,laetitia,alegria
266,Gelächter::N,risus,risada
267,Gelächter::N,risus,gargalhada
268,Glück::N,felicitas,felicidade
269,Kummer::N,aegritudo,aflição
270,Kummer::N,aegritudo,desgosto
271,Wunsch::N,voluntas,desejo
272,Wunsch::N,desiderium,desejo
273,Lust::N,libido,vontade
274,Lust::N,voluptas,vontade
275,Geist::N,mens,mente
276,Geist::N,mens,espírito
277,Geist::N,animus,mente
278,Geist::N,animus,espírito
279,Gedanke::N,sententia,ideia
280,Gedanke::N,sententia,pensamento
281,Gedächtnis::N,memoria,memória
282,Verstand::N,ratio,razão
283,Verstand::N,ratio,inteligência
284,Verstand::N,ingenium,razão
285,Verstand::N,ingenium,inteligência
286,Sinn::N,sensus,sentido
287,Sinn::N,sensus,significado
288,Grund::N,causa,causa
289,Grund::N,causa,motivo
290,Wahrheit::N,veritas,verdade
291,Gespräch::N,sermo,conversa
292,Gespräch::N,sermo,conversação
293,Märchen::N,fabula,conto
294,Erzählung::N,fabula,conto
295,Erzählung::N,fabula,narrativa
296,Erzählung::N,narratio,conto
297,Erzählung::N,narratio,narrativa
298,Nachricht::N,nuntius,mensagem
299,Neuigkeit::N,novitas,notícia
300,Neuigkeit::N,novitas,novidade
301,Name::N,nomen,nome
302,Rätsel::N,aenigma,adivinha
303,Rede::N,oratio,oração
304,Rede::N,oratio,discurso
305,Sprache::N,lingua,língua
306,Stimme::N,vox,voz
307,Wort::N,verbum,palavra
308,Wort::N,vocabulum,palavra
309,Zeichen::N,signum,marca
310,Ruf::N,clamor,grito
311,Ruf::N,clamor,chamada
312,Lärm::N,strepitus,ruído
313,Lärm::N,strepitus,barulho
314,Laut::N,sonus,som
315,Ton::N,sonus,tom
316,Lied::N,carmen,canção
317,Ruhe::N,quies,calma
318,Ruhe::N,quies,silêncio
319,Leute::N,homines,gente
320,Leute::N,homines,pessoas
321,Volk::N,populus,povo
322,Volk::N,populus,nação
323,Arbeit::N,labor,trabalho
324,Gast::N,hospes,hóspede
325,Gast::N,hospes,convidado
326,Gast::N,conviva,hóspede
327,Gast::N,conviva,convidado
328,Geschenk::N,munus,prenda
329,Geschenk::N,munus,presente
330,Spiel::N,ludus,jogo
331,Gesellschaft::N,societas,companhia
332,Hilfe::N,auxilium,ajuda
333,Hilfe::N,auxilium,socorro
334,Hilfe::N,subsidium,ajuda
335,Hilfe::N,subsidium,socorro
336,Freund::N,amicus,amigo
337,Kamerad::N,socius,camarada
338,Angelegenheit::N,res,assunto
339,Anzahl::N,numerus,número
340,Anzahl::N,numerus,quantidade
