,Concept_ID,it,be
0,Auge::N,occhio,вока
1,Ohr::N,orecchio,вуха
2,Nase::N,naso,нос
3,Mund::N,bocca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,lingua,язык
6,Lippe::N,labbro,губа
7,Wange::N,guancia,шчака
8,Gesicht::N,viso,твар
9,Gesicht::N,faccia,твар
10,Stirn::N,fronte,лоб
11,Haar::N,capello,волас
12,Haar::N,capello,валасы
13,Schnurrbart::N,baffi,вус
14,Schnurrbart::N,baffi,вусы
15,Schnurrbart::N,mustacchi,вус
16,Schnurrbart::N,mustacchi,вусы
17,Bart::N,barba,барада
18,Kinn::N,mento,падбародак
19,Kiefer[Anatomie]::N,mascella,сківіца
20,Kehle::N,gola,горла
21,Hals::N,collo,шыя
22,Genick::N,nuca,патыліца
23,Kopf::N,capo,галава
24,Kopf::N,testa,галава
25,Rücken::N,dorso,спіна
26,Rücken::N,schiena,спіна
27,Bauch::N,ventre,жывот
28,Nabel::N,ombelico,пупок
29,Busen::N,seno,грудзі
30,Brust::N,petto,грудзі
31,Schulter::N,spalla,плячо
32,Arm::N,braccio,рука
33,Ellenbogen::N,gomito,локаць
34,Hand::N,mano,кісць
35,Handfläche::N,palma,далонь
36,Finger::N,dito,палец
37,Fingernagel::N,unghia,ногаць
38,Nagel[Anatomie]::N,unghia,ногаць
39,Zeh::N,dito del piede,палец
40,Fuß::N,piede,нага
41,Ferse::N,tallone,пята
42,Ferse::N,tallone,пятка
43,Ferse::N,calcagno,пята
44,Ferse::N,calcagno,пятка
45,Knie::N,ginocchio,калена
46,Oberschenkel::N,fèmore,бядро
47,Oberschenkel::N,fèmore,сцягно
48,Bein::N,gamba,нага
49,Körper::N,corpo,цела
50,Haut::N,pelle,скура
51,Blut::N,sangue,кроў
52,Ader::N,vena,вена
53,Ader::N,vena,сасуд
54,Sehne::N,tèndine,жыла
55,Sehne::N,tèndine,цеціва
56,Sehne::N,tèndine,сухажылле
57,Knochen::N,osso,косць
58,Gehirn::N,cervello,мозг
59,Herz::N,cuore,сэрца
60,Magen::N,stòmaco,страўнік
61,Leber::N,fegato,печань
62,Atem::N,fiato,дыханне
63,Atem::N,respiro,дыханне
64,Hunger::N,fame,голад
