,Concept_ID,cv,kl
0,Auge::N,куҫ,isi
1,Ohr::N,хӑлха,siut
2,Nase::N,сӑмса,
3,Mund::N,ҫӑвар,paaq
4,Mund::N,ҫӑвар,qaneq
5,Zahn::N,шӑл,kigut
6,Zunge::N,чӗлхе,oqaq
7,Lippe::N,тута,qarloq
8,Wange::N,пит ҫӑмарти,ersaq
9,Gesicht::N,пит,kiinaq
10,Gesicht::N,пит-куҫ,kiinaq
11,Stirn::N,ҫамка,qaaq
12,Haar::N,ҫӳҫ,meqqoq
13,Schnurrbart::N,усси,
14,Bart::N,сухал,umik
15,Kinn::N,янах,talloq
16,Kiefer[Anatomie]::N,янах,alleroq
17,Kehle::N,пыр,malaq
18,Kehle::N,карланкӑ,malaq
19,Hals::N,пыр,qungaseq
20,Genick::N,ӗнсе,pukusuk
21,Kopf::N,пуҫ,niaqoq
22,Rücken::N,ҫурӑм,qimerlut
23,Nabel::N,кӑвапа,qalaseq
24,Busen::N,кӑкӑр,iviangeq
25,Brust::N,умӗ,iviangeq
26,Schulter::N,хул пуҫҫи,ersik
27,Schulter::N,хул пуҫҫи,assaqqoq
28,Arm::N,алӑ,taleq
29,Ellenbogen::N,чавса,ikusik
30,Hand::N,алӑ сыппи,assak
31,Handfläche::N,ал лаппи,itumak
32,Finger::N,пӳрне,inuak
33,Fingernagel::N,чӗрне,kikiak
34,Nagel[Anatomie]::N,чӗрне,kukik
35,Zeh::N,пӳрне,isigak
36,Fuß::N,ура лаппи,
37,Ferse::N,кӗле,kimmik
38,Knie::N,чӗркуҫҫи,seeqqoq
39,Oberschenkel::N,пӗҫӗ,uppat
40,Oberschenkel::N,пӗҫӗ,quttoraq
41,Bein::N,ура,isigak
42,Körper::N,ӳт,timi
43,Körper::N,ӳт-пӳ,timi
44,Haut::N,тир,mattak
45,Blut::N,юн,aak
46,Ader::N,вена,taqaq
47,Sehne::N,шӑнӑр,ujalu
48,Sehne::N,шӑнӑр,ujaloq
49,Knochen::N,шӑмӑ,saanikut
50,Gehirn::N,миме,qarasaq
51,Herz::N,чӗре,uummat
52,Magen::N,хырӑмлӑх,aqajaroq
53,Leber::N,пӗвер,tinguk
54,Atem::N,сывлав,anerneq
55,Hunger::N,выҫлӑх,kaanneq
56,Träne::N,куҫҫуль,qia
57,Träne::N,куҫҫуль,qiak
58,Geschmack::N,техӗм,qilanaartuut
59,Geruch::N,шӑршӑ,tipi
60,Geruch::N,шӑршӑ,tipik
61,Schlaf::N,ыйхӑ,
62,Traum::N,тӗлӗк,sinnattoq
63,Traum::N,тӗлӗк,sinnattugaq
64,Himmel::N,пӗлӗт,qilak
65,Sonne::N,хӗвел,seqineq
66,Mond::N,уйӑх,qaammat
67,Stern::N,ҫӑлтӑр,ulloriaq
68,Luft::N,сывлӑш,silaannaq
69,Wind::N,ҫил,anori
70,Wind::N,ҫил,anorsarik
71,Welle::N,хум,aalappaa
72,Wasser::N,шыв,imeq
73,Wasser::N,шыв-шур,imeq
74,Stein::N,чул,ujarak
75,Boden::N,тӑпра,nateq
76,Erde::N,ҫӗр,issoq
77,Staub::N,тусан,pujualanerit
78,Staub::N,тусан,pujoralanerit
79,Rauch::N,тӗтӗм,iseq
80,Rauch::N,тӗтӗм,pujoq
81,Funke::N,хӗм,illoorneq
82,Feuer::N,вут,inneq
83,Feuer::N,ҫулӑм,inneq
84,Licht::N,ҫутӑ,qaamaneq
85,Schatten::N,сулхӑн,tarraq
86,Wetter::N,ҫанталӑк,sila
87,Nebel::N,тӗтре,pujoq
88,Wolke::N,пӗлӗт,nuia
89,Regen::N,ҫумӑр,sialuk
90,Schnee::N,юр,aput
91,Eis::N,пӑр,siku
92,Frost::N,сивӗ,issi
93,Frost::N,сивӗ,issik
94,Kälte::N,сивӗ,issi
95,Hitze::N,вӗри,kianneq
96,Hitze::N,вӗри,kiassuseq
97,Hitze::N,шӑрӑх,kianneq
98,Hitze::N,шӑрӑх,kiassuseq
99,Raureif::N,пас,kaneq
100,Regenbogen::N,асамат кӗперӗ,neriusaaq
101,Donner::N,аслати,kalleq
102,Strömung::N,юхӑ,
103,Tropfen::N,тумлам,kuseriarneq
104,Schaum::N,кӑпӑк,qapuk
105,Schmutz::N,пылчӑк,minguk
106,See::N,кӳлӗ,taseq
107,Sumpf::N,шур,maqulluk
108,Sumpf::N,шурлӑх,maqulluk
109,Moor::N,торфлӑ шурлӑх,
110,Wiese::N,улӑх,masarsuk
111,Wiese::N,ҫаран,masarsuk
112,Wald::N,вӑрман,
113,Hügel::N,сӑрт,qattuneq
114,Hügel::N,сӑрт,majuariaq
115,Hügel::N,сӑрт,majorajaaq
116,Hügel::N,сӑрт,qaqqannguaq
117,Hügel::N,тӗмеске,qattuneq
118,Hügel::N,тӗмеске,majuariaq
119,Hügel::N,тӗмеске,majorajaaq
120,Hügel::N,тӗмеске,qaqqannguaq
121,Anhöhe::N,сӑрт,
122,Berg::N,ту,qaqqaq
123,Gipfel::N,тӳпе,
124,Höhle::N,ҫӗр хӑвӑлӗ,qaarusuk
125,Abhang::N,тӑвайкки,ippik
126,Abhang::N,тӑвайкки,sivinganeq
127,Abhang::N,тӑвайкки,sivingajaaq
128,Abhang::N,тӑвайкки,kussangajaaq
129,Quelle::N,ҫӑл куҫ,
130,Bach::N,пӗчӗк шыв,kuunnguaq
131,Fluss::N,юхан шыв,kuuk
132,Ufer::N,ҫыран,sissap sinaa
133,Küste::N,тинӗс ҫыранӗ,sineriak
134,Festland::N,тип ҫӗр,
135,Meer::N,тинӗс,imaq
136,Bucht::N,тинӗс кукӑрӗ,ikeq
137,Bucht::N,тинӗс кукӑрӗ,kangerluk
138,Bucht::N,тинӗс кукӑрӗ,kangerliumaneq
139,Insel::N,утрав,qeqertaq
140,Blume::N,чечек,naasoq
141,Gras::N,курӑк,ivigaq
142,Wurzel::N,тымар,niulutaq
143,Baum::N,йывӑҫ,orpik
144,Stamm::N,вулӑ,kanaartaq
145,Rinde::N,хуйӑр,ameraq
146,Ast::N,турат,avalequt
147,Zweig::N,турат,avalequt
148,Blatt::N,ҫулҫӑ,pilutaq
149,Birke::N,хурӑн,patitsit
150,Kiefer[Baum]::N,хыр,
151,Weide[Baum]::N,хӑва,palleq
152,Tanne::N,чӑрӑш,orsuerneq
153,Horn::N,мӑйрака,nassuk
154,Feder::N,тӗк,suluk
155,Fell::N,ҫӑм,ameq
156,Flügel::N,ҫунат,suluk
157,Flügel::N,ҫунат,isaroq
158,Klaue::N,чӗрне,kukik
159,Kralle::N,ура,kukik
160,Schwanz::N,хӳре,pamioq
161,Schwanz::N,хӳре,paperuusaq
162,Ei::N,ҫӑмарта,mannik
163,Nest::N,йӑва,ullut
164,Bau::N,йӗнӗ,ini
165,Tier::N,выльӑх,uumasoq
166,Herde::N,кӗтӳ,unguukkat
167,Kuh::N,ӗне,ussik
168,Bulle::N,вӑкӑр,angukulak
169,Bulle::N,вӑкӑр,anguteralak
170,Bulle::N,вӑкӑр,angutikulooq
171,Pferd::N,лаша,
172,Schaf::N,сурӑх,sava
173,Schwein::N,сысна,puuluki
174,Hund::N,йытӑ,qimmeq
175,Katze::N,кушак,puisaaq
176,Bär::N,упа,allaq
177,Eichhörnchen::N,пакша,sissinnguaq
178,Elch::N,пӑши,
179,Fuchs::N,тилӗ,terianniaq
180,Hase::N,куян,ukaleq
181,Hase::N,мулкач,ukaleq
182,Maus::N,шӑши,teriannguaq
183,Wolf::N,кашкӑр,amaroq
184,Vogel::N,кайӑк,timmiaq
185,Vogel::N,вӗҫен кайӑк,timmiaq
186,Schwarm::N,ушкӑн,
187,Huhn::N,чӑх,kukkukooq
188,Huhn::N,чӑх,marloraaqaaq
189,Huhn::N,чӑхӑ,kukkukooq
190,Huhn::N,чӑхӑ,marloraaqaaq
191,Hahn::N,автан,kiasiusaq
192,Gans::N,хур,nerleq
193,Adler::N,ӑмӑрт кайӑк,nattoralik
194,Ente::N,кӑвакал,
195,Eule::N,тӑмана,uppik
196,Kranich::N,тӑрна,qorlorfik
197,Krähe::N,ула курак,tuluatsiaq
198,Kuckuck::N,куккук,kukkooq
199,Schwan::N,акӑш,qussuk
200,Fisch::N,пулӑ,aalisagaq
201,Barsch::N,уланкӑ,
202,Hecht::N,ҫӑрттан,
203,Schlange[Tier]::N,ҫӗлен,pulateriarsuk
204,Schlange[Tier]::N,ҫӗлен,pulateriaarsuk
205,Wurm::N,ӑман,
206,Spinne::N,эрешмен,aasiaq
207,Spinne::N,эрешмен,nissavaarsuk
208,Ameise::N,кӑткӑ,uniaaluk
209,Laus::N,пыйтӑ,kumak
210,Mücke::N,вӑрӑм туна,ippernaq
211,Fliege::N,шӑна,ippernaq
212,Schmetterling::N,лӗпӗш,paluaq
213,Schmetterling::N,лӗпӗш,pakkaluaq
214,Schmetterling::N,лӗпӗш,utsuppaluaq
215,Schmetterling::N,лӗпӗш,taqaleqisaaq
216,Beere::N,ҫырла,paarmaq
217,Beere::N,ҫырла,paarngaq
218,Apfel::N,улма,iipili
219,Apfel::N,пан улми,iipili
220,Pilz::N,кӑмпа,anngiusaq
221,Zwiebel::N,сухан,uanitsoq
222,Saat::N,вӑрӑ,naatsiiassaq
223,Korn::N,тӗшӗ,maannineq
224,Korn::N,пӗрчӗ,maannineq
225,Heu::N,утӑ,
226,Schale::N,хупӑ,niutsivik
227,Schale::N,хупӑ,ilulissaq qaartussaq
228,Grube::N,шӑтӑк,itersaq
229,Falle::N,тапӑ,pualavoq
230,Falle::N,капкӑн,pualavoq
231,Schlinge::N,йӑлӑ,orseq
232,Schlinge::N,йӑлӑ,norloq
233,Spur::N,йӗр,tumaa
234,Asche::N,кӗл,arsat
235,Dreck::N,пылчӑк,minguk
236,Eisen::N,тимӗр,savimineq
237,Eisen::N,тимӗр,saffiugassaq
238,Gold::N,ылтӑн,kuulti
239,Silber::N,кӗмӗл,siilviuvoq
240,Kohle::N,кӑмрӑк,aamarsuit aamaruutissat
241,Glas::N,кӗленче,igalaaq
242,Glas::N,кӗленче,imertarfik
243,Glas::N,кӗленче,igalaamineq
244,Lehm::N,тӑм,marraq
245,Sand::N,хӑйӑр,sioqqat
246,Mensch::N,ҫын,inuk
247,Mensch::N,ҫын,silamiu
248,Mensch::N,этем,inuk
249,Mensch::N,этем,silamiu
250,Mann::N,ар,angut
251,Frau::N,хӗрарӑм,arnaq
252,Kind::N,ача,meeraq
253,Junge::N,ача,nukappiaraq
254,Junge::N,ар ҫын ача,nukappiaraq
255,Mädchen::N,хӗр ача,arnannguaq
256,Familie::N,ҫемье,ilaqutakka
257,Familie::N,ҫемье,ilaqutariit
258,Familie::N,кил-йыш,ilaqutakka
259,Familie::N,кил-йыш,ilaqutariit
260,Großvater::N,кукаҫи,aatak
261,Großmutter::N,кукамай,aanaq
262,Eltern::N,аҫа-ама,angajoqqaat
263,Vater::N,атте,ataata
264,Vater::N,атте,ataataq
265,Mutter::N,анне,anaana
266,Sohn::N,ывӑл,erneq
267,Tochter::N,хӗр,panik
268,Bruder::N,ар тӑван,ani
269,Bruder::N,ар тӑван,aqqaluk
270,Bruder::N,ар тӑван,qatanngut
271,Schwester::N,аппа,naja
272,Schwester::N,аппа,aleqa
273,Schwester::N,аппа,qatanngut
274,Schwester::N,йӑмӑк,naja
275,Schwester::N,йӑмӑк,aleqa
276,Schwester::N,йӑмӑк,qatanngut
277,Onkel::N,мучи,akkak
278,Onkel::N,пичче,akkak
279,Tante::N,аппа,aja
280,Tante::N,аппа,ajak
281,Tante::N,аппа,atsak
282,Ehemann::N,упӑшка,ui
283,Ehefrau::N,арӑм,nuliaq
284,Freude::N,савӑнӑҫ,tipaatsussuseq
285,Freude::N,хаваслӑх,tipaatsussuseq
286,Gelächter::N,кулӑ,illaq
287,Glück::N,телей,usornaat
288,Glück::N,телей,usornarsuseq
289,Glück::N,ӑраскал,usornaat
290,Glück::N,ӑраскал,usornarsuseq
291,Kummer::N,хурлӑх,
292,Wunsch::N,ӗмӗт,kissaat
293,Wunsch::N,кӑмӑл,kissaat
294,Lust::N,кӑмӑл,illigussuseq
295,Lust::N,кӑмӑл,piummaseq
296,Geist::N,чун-чӗм,anerneq
297,Geist::N,чун-чӗм,toornaq
298,Geist::N,ыр-усал,anerneq
299,Geist::N,ыр-усал,toornaq
300,Geist::N,чун хавалӗ,anerneq
301,Geist::N,чун хавалӗ,toornaq
302,Gedanke::N,шухӑш,isumassaq
303,Gedächtnis::N,ас,eqqaamannissuseq
304,Verstand::N,ӑс,isuma
305,Verstand::N,ӑс,sianissut
306,Verstand::N,ӑс,misigissut
307,Verstand::N,ӑс,sianissuseq
308,Verstand::N,ӑс,silaqassuseq
309,Verstand::N,ӑс-тӑн,isuma
310,Verstand::N,ӑс-тӑн,sianissut
311,Verstand::N,ӑс-тӑн,misigissut
312,Verstand::N,ӑс-тӑн,sianissuseq
313,Verstand::N,ӑс-тӑн,silaqassuseq
314,Verstand::N,ӑс-хакӑл,isuma
315,Verstand::N,ӑс-хакӑл,sianissut
316,Verstand::N,ӑс-хакӑл,misigissut
317,Verstand::N,ӑс-хакӑл,sianissuseq
318,Verstand::N,ӑс-хакӑл,silaqassuseq
319,Sinn::N,тупсӑм,isuma
320,Sinn::N,пӗлтерӗш,isuma
321,Grund::N,сӑлтав,patsit
322,Wahrheit::N,чӑнлӑх,sallusuissut
323,Gespräch::N,калаҫу,
324,Märchen::N,юмах,oqalualaarut
325,Märchen::N,юмах,oqaluasaaq
326,Erzählung::N,акалав,oqaluttuaq
327,Erzählung::N,каласа пани,oqaluttuaq
328,Nachricht::N,хыпар,oqaassut
329,Nachricht::N,хыпар,oqqersuut
330,Neuigkeit::N,ҫӗнӗ хыпар,tusarnartaq
331,Name::N,ят,ateq
332,Rätsel::N,сутмалли юмах,nalorsitsaarut
333,Rede::N,сӑмах,oqaluuseq
334,Sprache::N,чӗлхе,oqaatsit
335,Stimme::N,сасӑ,erinaq
336,Stimme::N,сасӑ,qarluuseq
337,Wort::N,сӑмах,oqaasii
338,Zeichen::N,паллӑ,nalunaaqqut
339,Ruf::N,йыхрав,qaaqqussut
340,Ruf::N,чӗнӳ,qaaqqussut
341,Lärm::N,шав,perpaluk
342,Laut::N,сасӑ,torsukattak
343,Ton::N,сасӑ,erinaq
344,Lied::N,юрӑ,taalliaq
345,Lied::N,юрӑ,erinarsuut
346,Ruhe::N,канӑҫлӑх,qatsunganeq
347,Ruhe::N,лӑпкӑлӑх,qatsunganeq
348,Leute::N,ҫамрӑксем,inuiak
349,Leute::N,ҫамрӑксем,inuiaqatigiit
350,Leute::N,ҫамрӑк ҫынсем,inuiak
351,Leute::N,ҫамрӑк ҫынсем,inuiaqatigiit
352,Volk::N,халӑх,inuiaat
353,Arbeit::N,ӗҫхӗл,suliaq
354,Arbeit::N,ӗҫлев,suliaq
355,Gast::N,хӑна,qaaqqusaq
356,Geschenk::N,парне,pajugut
357,Geschenk::N,кучченеҫ,pajugut
358,Spiel::N,вӑйӑ,
359,Gesellschaft::N,общество,
360,Hilfe::N,пулӑшу,annertoqqut
361,Freund::N,тус,tiliaq
362,Freund::N,тус,ikinngut
363,Kamerad::N,юлташ,tiliaq
364,Kamerad::N,юлташ,ikinngut
365,Kamerad::N,тус,tiliaq
366,Kamerad::N,тус,ikinngut
367,Angelegenheit::N,ӗҫ,
368,Anzahl::N,йыш,
369,Anzahl::N,хисеп,
370,Art::N,тӗс,ileqquuseq
371,Stück::N,татӑк,nakkaalaniku
372,Teil::N,пай,tassiaasat
373,Hälfte::N,ҫурӑ,affaq
374,Kreis::N,ункӑ,kaajaluinneq or kaajaluitsoq
375,Kreis::N,ҫавракӑш,kaajaluinneq or kaajaluitsoq
376,Kreuz::N,хӗрес,sanningasulik
377,Linie::N,йӗр,tittaq
378,Linie::N,йӗр,titarneq
379,Strich::N,йӗр,
380,Abstand::N,хушӑ,aku
381,Abstand::N,хушӑ,ikiaq
382,Entfernung::N,хушӑ,asi
383,Gegend::N,вырӑн,nuna
384,Platz::N,хутлӑх,ini
385,Platz::N,хутлӑх,inissaq
386,Ort::N,вырӑн,sumiiffik
