,Concept_ID,lt,vep
0,Auge::N,akis,sil'm
1,Ohr::N,ausis,korv
2,Nase::N,nosis,nena
3,Mund::N,burna,su
4,Zahn::N,dantis,pi
5,Zahn::N,dantis,hambaz
6,Zunge::N,liežuvis,kel'
7,Lippe::N,lūpa,hul'
8,Wange::N,žandas,modpolišk
9,Wange::N,skruostas,modpolišk
10,Gesicht::N,veidas,mod
11,Stirn::N,kakta,oc
12,Haar::N,plaukai,tuk
13,Haar::N,plaukai,hibuz
14,Schnurrbart::N,ūsai,habinod
15,Bart::N,barzda,bard
16,Kinn::N,smakras,löug
17,Kiefer[Anatomie]::N,žandikaulis,hambazlu
18,Kehle::N,gerklė,kurk
19,Hals::N,kaklas,kagl
20,Genick::N,sprandas,tagarai
21,Kopf::N,galva,pä
22,Rücken::N,nugara,sel'g
23,Bauch::N,pilvas,vac
24,Bauch::N,pilvas,koht
25,Nabel::N,bamba,naba
26,Busen::N,krūtinė,niža
27,Brust::N,krūtis,rind
28,Schulter::N,petys,oug
29,Arm::N,ranka,käzi
30,Ellenbogen::N,alkūnė,künambruz
31,Hand::N,ranka,käzi
32,Hand::N,ranka,käzitera
33,Hand::N,plaštaka,käzi
34,Hand::N,plaštaka,käzitera
35,Handfläche::N,delnas,kämen
36,Handfläche::N,plaštaka,kämen
37,Finger::N,pirštas,sor'm
38,Fingernagel::N,nagas,künz'
39,Nagel[Anatomie]::N,nagas,künz'
40,Zeh::N,pirštas,barbaz
41,Fuß::N,pėda,jaug
42,Ferse::N,kulnas,kand
43,Knie::N,kelis,komb
44,Knie::N,kelis,pol'v
45,Oberschenkel::N,kulšis,riiže
46,Oberschenkel::N,šlaunis,riiže
47,Bein::N,koja,jaug
48,Körper::N,kūnas,hibj
49,Haut::N,oda,nahk
50,Blut::N,kraujas,čak
51,Blut::N,kraujas,veri
52,Ader::N,kraujagyslė,son'
53,Sehne::N,sausgyslė,jände
54,Knochen::N,kaulas,lu
55,Gehirn::N,smegenys,aivod
56,Herz::N,širdis,südäin
57,Magen::N,skrandis,südäikoht
58,Leber::N,kepenys,maks
59,Atem::N,kvapas,hengaiduz
60,Hunger::N,badas,näl'g
61,Hunger::N,alkis,näl'g
62,Träne::N,ašara,kündal'
63,Geschmack::N,skonis,magu
64,Geruch::N,kvapas,haju
65,Schlaf::N,miegas,uni
66,Traum::N,sapnas,unikuva
67,Himmel::N,dangus,taivaz
68,Sonne::N,saulė,päiväine
69,Mond::N,mėnulis,kudmaine
70,Stern::N,žvaigždė,tähtaz
71,Luft::N,oras,il'm
72,Wind::N,vėjas,döl
73,Wind::N,vėjas,tullei
74,Welle::N,banga,ald
75,Welle::N,banga,laineh
76,Welle::N,vilnis,ald
77,Welle::N,vilnis,laineh
78,Wasser::N,vanduo,vezi
79,Stein::N,akmuo,kivi
80,Boden::N,žemė,ma
81,Boden::N,žemė,pohj
82,Boden::N,dugnas,ma
83,Boden::N,dugnas,pohj
84,Erde::N,žemė,ma
85,Staub::N,dulkės,pölü
86,Rauch::N,dūmai,savu
87,Funke::N,kibirkštis,kibin
88,Feuer::N,ugnis,lämoi
89,Licht::N,šviesa,vauktuz
90,Schatten::N,paūksmė,pil'vez
91,Schatten::N,paūksmė,kuvahaine
92,Wetter::N,oras,sä
93,Nebel::N,migla,sumeg
94,Nebel::N,rūkas,sumeg
95,Wolke::N,debesis,pil'v
96,Regen::N,lietus,vihm
97,Schnee::N,sniegas,lumi
98,Eis::N,ledas,jä
99,Frost::N,šalna,hala
100,Frost::N,šalna,pakaine
101,Kälte::N,šaltis,vilu
102,Hitze::N,karštis,räk
103,Raureif::N,šerkšnas,hüde
104,Regenbogen::N,vaivorykštė,jumalanbembel'
105,Donner::N,perkūnas,juru
106,Donner::N,perkūnas,jumalanjuru
107,Donner::N,griaustinis,juru
108,Donner::N,griaustinis,jumalanjuru
109,Strömung::N,tėkmė,joksmuz
110,Tropfen::N,lašas,tilkuine
111,Schaum::N,putos,vaht
112,Schmutz::N,purvas,redu
113,Schmutz::N,purvas,pačak
114,See::N,ežeras,järv
115,Sumpf::N,klampynė,so
116,Sumpf::N,liūnas,so
117,Moor::N,pelkė,so
118,Wiese::N,pieva,nit
119,Wald::N,miškas,mec
120,Hügel::N,kalva,kukaz
121,Anhöhe::N,kauburys,kukaz
122,Berg::N,kalnas,mägi
123,Gipfel::N,viršūnė,ladv
124,Höhle::N,ola,mägionduz
125,Abhang::N,šlaitas,paute
126,Abhang::N,nuokalnė,paute
127,Quelle::N,versmė,lähte
128,Quelle::N,šaltinis,lähte
129,Bach::N,upelis,oja
130,Fluss::N,upė,jogi
131,Ufer::N,krantas,rand
132,Küste::N,pajūris,randišt
133,Festland::N,sausuma,kuivma
134,Meer::N,jūra,meri
135,Bucht::N,įlanka,laht
136,Bucht::N,užutekis,laht
137,Insel::N,sala,sar'
138,Blume::N,gėlė,änik
139,Gras::N,žolė,hein
140,Wurzel::N,šaknis,jur'
141,Baum::N,medis,pu
142,Stamm::N,kamienas,tüvi
143,Rinde::N,žievė,kor'
144,Ast::N,šaka,oks
145,Zweig::N,šakelė,oks
146,Zweig::N,šakelė,barb
147,Blatt::N,lapas,lehtez
148,Birke::N,beržas,koiv
149,Kiefer[Baum]::N,pušis,pedai
150,Weide[Baum]::N,karklas,raid
151,Tanne::N,eglė,kuz'
152,Tanne::N,kėnis,kuz'
153,Horn::N,ragas,sar'v
154,Feder::N,plunksna,höuneh
155,Fell::N,kailis,nahk
156,Flügel::N,sparnas,suug
157,Klaue::N,kanopa,künz'
158,Kralle::N,nagas,künz'
159,Schwanz::N,uodega,händ
160,Ei::N,kiaušinis,muna
161,Nest::N,gūžta,peza
162,Nest::N,lizdas,peza
163,Bau::N,ola,uru
164,Tier::N,gyvūnas,živat
165,Herde::N,banda,kogo
166,Herde::N,kaimenė,kogo
167,Kuh::N,karvė,lehm
168,Bulle::N,bulius,härg
169,Pferd::N,arklys,hebo
170,Schaf::N,avis,lambaz
171,Schwein::N,kiaulė,siga
172,Hund::N,šuo,koir
173,Katze::N,katė,kaži
174,Bär::N,lokys,kondi
175,Eichhörnchen::N,voveraitė,orav
176,Elch::N,briedis,hirb'
177,Fuchs::N,lapė,reboi
178,Hase::N,kiškas,jäniš
179,Maus::N,pelė,hir'
180,Wolf::N,vilkas,händikaz
181,Vogel::N,paukštis,lind
182,Schwarm::N,spiečius,parveh
183,Huhn::N,višta,kana
184,Hahn::N,gaidys,kukoi
185,Gans::N,žąsis,hanh'
186,Adler::N,erelis,orl
187,Ente::N,antis,sorz
188,Eule::N,pelėda,hir'pulo
