,Concept_ID,es,bg
0,Auge::N,ojo,око
1,Ohr::N,oreja,ухо
2,Nase::N,nariz,нос
3,Mund::N,boca,уста
4,Zahn::N,diente,зъб
5,Zunge::N,lengua,език
6,Lippe::N,labio,устна
7,Wange::N,mejilla,буза
8,Gesicht::N,cara,лице
9,Gesicht::N,cara,образ
10,Stirn::N,frente,чело
11,Haar::N,cabello,коса
12,Haar::N,cabello,косъм
13,Schnurrbart::N,bigote,мустаци
14,Bart::N,barba,брада
15,Kinn::N,barbilla,брада
16,Kinn::N,barbilla,брадичка
17,Kiefer[Anatomie]::N,mandíbula,челюст
18,Kehle::N,garganta,гърло
19,Hals::N,cuello,врат
20,Genick::N,nuca,тил
21,Genick::N,cerviz,тил
22,Kopf::N,cabeza,глава
23,Rücken::N,espalda,гръб
24,Bauch::N,vientre,корем
25,Nabel::N,ombligo,пъп
26,Busen::N,pecho,бозка
27,Brust::N,pecho,гръд
28,Schulter::N,hombro,рамо
29,Schulter::N,hombro,плещи
30,Arm::N,brazo,ръка
31,Ellenbogen::N,codo,лакът
32,Hand::N,mano,ръка
33,Hand::N,mano,китка
34,Handfläche::N,palma,длан
35,Finger::N,dedo,пръст
36,Fingernagel::N,uña,нокът
37,Nagel[Anatomie]::N,uña,нокът
38,Zeh::N,dedo del pie,пръст на крак
39,Fuß::N,pie,крак
40,Fuß::N,pie,нога
41,Ferse::N,talón,пета
42,Knie::N,rodilla,коляно
43,Oberschenkel::N,muslo,бедро
44,Bein::N,pierna,крак
45,Bein::N,pierna,нога
46,Körper::N,cuerpo,тяло
47,Haut::N,piel,кожа
48,Blut::N,sangre,кръв
49,Ader::N,vena,вена
50,Ader::N,vena,артерия
51,Sehne::N,tendón,жила
52,Sehne::N,tendón,сухожилие
53,Knochen::N,hueso,кост
54,Gehirn::N,cerebro,мозък
55,Gehirn::N,encéfalo,мозък
56,Herz::N,corazón,сърце
57,Magen::N,estómago,стомах
58,Leber::N,hígado,черен дроб
59,Atem::N,aliento,дишане
60,Hunger::N,hambre,глад
61,Träne::N,lágrima,сълза
62,Geschmack::N,gusto,вкус
63,Geruch::N,olor,миризма
64,Schlaf::N,sueño,сън
65,Traum::N,sueño,сън
66,Traum::N,ensueño,сън
67,Himmel::N,cielo,небе
68,Sonne::N,sol,слънце
69,Mond::N,luna,луна
70,Mond::N,luna,месец
71,Stern::N,estrella,звезда
72,Luft::N,aire,въздух
73,Wind::N,viento,вятър
74,Welle::N,ola,вълна
75,Welle::N,onda,вълна
76,Wasser::N,agua,вода
77,Stein::N,piedra,камък
78,Boden::N,suelo,земя
79,Boden::N,suelo,почва
80,Erde::N,tierra,земя
81,Erde::N,tierra,почва
82,Staub::N,polvo,прах
83,Rauch::N,humo,дим
84,Rauch::N,humo,пушек
85,Funke::N,chispa,искра
86,Feuer::N,fuego,огън
87,Licht::N,luz,светлина
88,Schatten::N,sombra,сянка
89,Wetter::N,tiempo,време
90,Nebel::N,niebla,мъгла
91,Wolke::N,nube,облак
92,Regen::N,lluvia,дъжд
93,Schnee::N,nieve,сняг
94,Eis::N,hielo,лед
95,Frost::N,helada,мраз
96,Kälte::N,frío,студ
97,Hitze::N,calor,жега
98,Hitze::N,calor,горещина
99,Raureif::N,escarcha,скреж
100,Raureif::N,escarcha,слана
101,Regenbogen::N,arco iris,дъга
102,Donner::N,trueno,гръм
103,Strömung::N,corriente,течение
104,Tropfen::N,gota,капка
105,Schaum::N,espuma,пяна
106,Schmutz::N,suciedad,кал
107,Schmutz::N,suciedad,мръсотия
108,See::N,lago,езеро
109,Sumpf::N,pantano,блато
110,Moor::N,turbera,мочурище
111,Wiese::N,prado,ливада
112,Wiese::N,pradera,ливада
113,Wald::N,bosque,гора
114,Hügel::N,colina,рид
115,Hügel::N,colina,хълм
116,Anhöhe::N,cerro,могила
117,Anhöhe::N,cerro,възвишение
118,Berg::N,monte,планина
119,Berg::N,montaña,планина
120,Gipfel::N,cima,връх
121,Gipfel::N,cumbre,връх
122,Höhle::N,cueva,пещера
123,Höhle::N,caverna,пещера
124,Abhang::N,cuesta,склон
125,Abhang::N,cuesta,стръмнина
126,Abhang::N,declive,склон
127,Abhang::N,declive,стръмнина
128,Quelle::N,fuente,извор
129,Quelle::N,manantial,извор
130,Bach::N,arroyo,поток
131,Fluss::N,río,река
132,Ufer::N,orilla,бряг
133,Küste::N,costa,бряг
134,Küste::N,costa,крайбрежие
135,Festland::N,tierra firme,суша
136,Meer::N,mar,море
137,Bucht::N,cala,залив
138,Bucht::N,bahía,залив
139,Insel::N,isla,остров
140,Blume::N,flor,цвете
141,Gras::N,hierba,трева
142,Wurzel::N,raíz,корен
143,Baum::N,árbol,дърво
144,Stamm::N,tronco,стъбло
145,Rinde::N,corteza,кора
146,Ast::N,rama,клон
147,Zweig::N,ramo,клон
148,Blatt::N,hoja,лист
149,Birke::N,abedul,бреза
150,Kiefer[Baum]::N,pino,бор
151,Weide[Baum]::N,sauce,върба
152,Tanne::N,abeto,ела
153,Horn::N,asta,рог
154,Horn::N,cuerno,рог
155,Feder::N,pluma,перо
156,Fell::N,piel,кожа
157,Flügel::N,ala,крило
158,Klaue::N,garra,нокът
159,Kralle::N,uña,нокът
160,Kralle::N,garra,нокът
161,Schwanz::N,cola,опашка
162,Ei::N,huevo,яйце
163,Nest::N,nido,гнездо
164,Bau::N,madriguera,дупка
165,Tier::N,animal,животно
166,Herde::N,rebaño,стадо
167,Kuh::N,vaca,крава
168,Bulle::N,toro,бик
169,Pferd::N,caballo,кон
170,Schaf::N,oveja,овца
171,Schwein::N,cerdo,свиня
172,Hund::N,perro,куче
173,Katze::N,gato,котка
174,Bär::N,oso,мечка
175,Eichhörnchen::N,ardilla,катерица
176,Elch::N,alce,лос
177,Fuchs::N,zorro,лисица
178,Hase::N,liebre,заек
179,Maus::N,ratón,мишка
180,Wolf::N,lobo,вълк
181,Vogel::N,ave,птица
182,Vogel::N,pájaro,птица
183,Schwarm::N,bandada,рой
184,Schwarm::N,bandada,рояк
185,Huhn::N,gallina,кокошка
186,Hahn::N,gallo,петел
187,Gans::N,oca,гъска
188,Gans::N,ganso,гъска
189,Adler::N,águila,орел
190,Ente::N,pato,патица
191,Eule::N,lechuza,сова
192,Kranich::N,grulla,жерав
193,Krähe::N,corneja,врана
194,Kuckuck::N,cuco,кукувица
195,Schwan::N,cisne,лебед
196,Fisch::N,pez,риба
197,Barsch::N,perca,костур
198,Hecht::N,lucio,щука
199,Schlange[Tier]::N,serpiente,змия
200,Wurm::N,gusano,червей
201,Spinne::N,araña,паяк
202,Ameise::N,hormiga,мравка
203,Laus::N,piojo,въшка
204,Mücke::N,mosquito,комар
205,Fliege::N,mosca,муха
206,Schmetterling::N,mariposa,пеперуда
207,Beere::N,baya,плод
208,Apfel::N,manzana,ябълка
209,Pilz::N,seta,гъба
210,Pilz::N,hongo,гъба
211,Zwiebel::N,cebolla,лук
212,Zwiebel::N,cebolla,кромид
213,Saat::N,siembra,семе
214,Korn::N,grano,зърно
215,Heu::N,heno,сено
216,Schale::N,cáscara,кора
217,Grube::N,foso,яма
218,Grube::N,foso,дупка
219,Falle::N,trampa,примка
220,Schlinge::N,lazo,клуп
221,Spur::N,huella,диря
222,Spur::N,huella,следа
223,Asche::N,ceniza,пепел
224,Dreck::N,suciedad,кал
225,Eisen::N,hierro,желязо
226,Gold::N,oro,злато
227,Silber::N,plata,сребро
228,Kohle::N,carbón,въглища
229,Glas::N,vidrio,стъкло
230,Glas::N,cristal,стъкло
231,Lehm::N,barro,глина
232,Sand::N,arena,пясък
233,Mensch::N,hombre,човек
234,Mensch::N,ser humano,човек
235,Mann::N,hombre,мъж
236,Frau::N,mujer,жена
237,Kind::N,niño,дете
238,Junge::N,chico,момче
239,Junge::N,muchacho,момче
240,Mädchen::N,chica,момиче
241,Mädchen::N,muchacha,момиче
242,Familie::N,familia,фамилия
243,Familie::N,familia,семейство
244,Großvater::N,abuelo,дядо
245,Großmutter::N,abuela,баба
246,Eltern::N,padres,родители
247,Vater::N,padre,баща
248,Mutter::N,madre,майка
249,Sohn::N,hijo,син
250,Tochter::N,hija,дъщеря
251,Bruder::N,hermano,брат
252,Schwester::N,hermana,сестра
253,Onkel::N,tío,чичо
254,Onkel::N,tío,вуйчо
255,Tante::N,tía,леля
256,Ehemann::N,esposo,съпруг
257,Ehefrau::N,esposa,съпруга
258,Freude::N,placer,радост
259,Freude::N,alegría,радост
260,Gelächter::N,risa,смях
261,Gelächter::N,carcajada,смях
262,Glück::N,felicidad,щастие
263,Kummer::N,pena,тъга
264,Wunsch::N,deseo,желание
265,Lust::N,ganas,желание
266,Geist::N,mente,дух
267,Geist::N,espíritu,дух
268,Gedanke::N,idea,мисъл
269,Gedanke::N,pensamiento,мисъл
270,Gedächtnis::N,memoria,памет
271,Verstand::N,razón,ум
272,Verstand::N,razón,разум
273,Verstand::N,entendimiento,ум
274,Verstand::N,entendimiento,разум
275,Sinn::N,sentido,смисъл
276,Sinn::N,significado,смисъл
277,Grund::N,causa,причина
278,Wahrheit::N,verdad,правда
279,Gespräch::N,conversación,разговор
280,Märchen::N,cuento,приказка
281,Erzählung::N,cuento,разказ
282,Erzählung::N,narración,разказ
283,Nachricht::N,mensaje,вест
284,Nachricht::N,mensaje,известие
285,Neuigkeit::N,noticia,новина
286,Name::N,nombre,име
287,Rätsel::N,acertijo,гатанка
288,Rätsel::N,adivinanza,гатанка
289,Rede::N,discurso,реч
290,Rede::N,discurso,слово
291,Sprache::N,lengua,език
292,Stimme::N,voz,глас
293,Wort::N,palabra,дума
294,Zeichen::N,señal,знак
295,Ruf::N,llamada,зов
296,Lärm::N,ruido,шум
297,Lärm::N,ruido,глъчка
298,Lärm::N,barullo,шум
299,Lärm::N,barullo,глъчка
300,Laut::N,sonido,звук
301,Ton::N,tono,тон
302,Lied::N,canción,песен
303,Ruhe::N,calma,тишина
304,Ruhe::N,calma,спокойствие
305,Ruhe::N,silencio,тишина
306,Ruhe::N,silencio,спокойствие
307,Leute::N,gente,хора
308,Volk::N,pueblo,народ
309,Arbeit::N,trabajo,труд
310,Arbeit::N,trabajo,работа
311,Gast::N,huésped,гост
312,Gast::N,invitado,гост
313,Geschenk::N,regalo,дар
314,Geschenk::N,regalo,подарък
315,Spiel::N,juego,игра
316,Gesellschaft::N,compañía,общество
317,Hilfe::N,ayuda,помощ
318,Hilfe::N,socorro,помощ
319,Freund::N,amigo,приятел
320,Kamerad::N,camarada,другар
321,Kamerad::N,compañero,другар
322,Angelegenheit::N,asunto,работа
323,Anzahl::N,cantidad,брой
324,Anzahl::N,cantidad,количество
325,Art::N,tipo,вид
326,Art::N,clase,вид
327,Stück::N,pieza,къс
328,Stück::N,pieza,парче
329,Teil::N,parte,дял
330,Teil::N,parte,част
331,Hälfte::N,mitad,половина
332,Kreis::N,círculo,кръг
333,Kreuz::N,cruz,кръст
334,Linie::N,línea,черта
335,Strich::N,raya,щрих
336,Strich::N,raya,черта
337,Strich::N,trazo,щрих
338,Strich::N,trazo,черта
339,Abstand::N,distancia,дистанция
340,Abstand::N,distancia,разстояние
341,Entfernung::N,distancia,разстояние
342,Gegend::N,región,местност
343,Gegend::N,comarca,местност
344,Platz::N,espacio,място
345,Ort::N,sitio,място
346,Seite::N,lado,страна
347,Seite::N,costado,страна
348,Mitte::N,medio,среда
349,Mitte::N,centro,среда
350,Gegenstand::N,objeto,предмет
351,Sache::N,cosa,вещ
352,Rand::N,borde,ръб
353,Kante::N,borde,ръб
354,Kante::N,borde,кант
355,Ecke::N,esquina,ъгъл
356,Spitze::N,punta,връх
357,Spitze::N,punta,острие
358,Ende::N,cabo,край
359,Ende::N,extremo,край
360,Loch::N,agujero,дупка
361,Loch::N,abertura,дупка
362,Winkel::N,ángulo,кът
363,Winkel::N,ángulo,ъгъл
364,Muster::N,dibujo,десен
365,Muster::N,dibujo,образец
366,Größe::N,tamaño,големина
367,Länge::N,longitud,дължина
368,Höhe::N,altura,висота
369,Höhe::N,altura,височина
370,Höhe::N,altitud,висота
371,Höhe::N,altitud,височина
372,Gewicht::N,peso,тегло
373,Gewicht::N,peso,тежест
374,Menge::N,cantidad,количество
375,Haufen::N,montón,куп
376,Haufen::N,montón,грамада
377,Reihe::N,fila,ред
378,Reihe::N,fila,редица
379,Boot::N,bote,лодка
380,Boot::N,barca,лодка
381,Ruder::N,remo,весло
382,Ruder::N,remo,гребло
383,Schlitten::N,trineo,шейна
384,Ski::N,esquí,ски
385,Lagerfeuer::N,hoguera,огнище
386,Last::N,carga,товар
387,Gang::N,marcha,ход
388,Gang::N,marcha,вървеж
389,Schritt::N,paso,стъпка
390,Norden::N,norte,север
391,Süden::N,sur,юг
392,Westen::N,oeste,запад
393,Osten::N,este,изток
394,Holz::N,madera,дърво
395,Brett::N,tabla,дъска
396,Platte::N,placa,
397,Platte::N,plancha,
398,Stütze::N,sostén,
399,Stütze::N,soporte,
400,Stange::N,vara,прът
401,Stange::N,vara,върлина
402,Stange::N,percha,прът
403,Stange::N,percha,върлина
404,Stock::N,palo,прът
405,Stock::N,palo,тояга
406,Stock::N,bastón,прът
407,Stock::N,bastón,тояга
408,Stab::N,vara,прът
409,Stab::N,bastón,прът
410,Rohr::N,tubo,цев
411,Rohr::N,tubo,тръба
412,Haus::N,casa,къща
413,Heim::N,hogar,дом
414,Ofen::N,estufa,печка
415,Fußboden::N,suelo,под
416,Tisch::N,mesa,маса
417,Stuhl::N,silla,стол
418,Wiege::N,cuna,люлка
419,Bett::N,cama,легло
420,Bett::N,cama,креват
421,Regal::N,estantería,рафт
422,Regal::N,estantería,етажерка
423,Kiste::N,caja,кутия
424,Kiste::N,caja,сандък
425,Fenster::N,ventana,прозорец
426,Tür::N,puerta,врата
427,Tor::N,puerta,врата
428,Zaun::N,valla,ограда
429,Zaun::N,cercado,ограда
430,Dach::N,techo,покрив
431,Dach::N,tejado,покрив
432,Leiter::N,escalera,стълба
433,Besen::N,escoba,метла
434,Spaten::N,pala,лопата
435,Schaufel::N,pala,лопата
436,Schaufel::N,paleta,лопата
437,Gabel::N,tenedor,вилица
438,Löffel::N,cuchara,лъжица
439,Messer::N,cuchillo,нож
440,Nagel::N,clavo,гвоздей
441,Netz::N,red,мрежа
442,Haken::N,gancho,кука
443,Haken::N,gancho,закачалка
444,Haken::N,corchete,кука
445,Haken::N,corchete,закачалка
446,Griff::N,asa,ръчка
447,Griff::N,asa,дръжка
448,Griff::N,mango,ръчка
449,Griff::N,mango,дръжка
450,Schloss::N,cerradura,брава
451,Schloss::N,cerradura,ключалка
452,Bild::N,imagen,картина
453,Figur::N,figura,фигура
454,Puppe::N,muñeca,кукла
455,Beutel::N,bolsa,кесия
456,Bündel::N,haz,връзка
457,Tasche::N,bolso,чанта
458,Eimer::N,cubo,кофа
459,Deckel::N,tapa,капак
460,Deckel::N,tapa,похлупак
461,Deckel::N,tapadera,капак
462,Deckel::N,tapadera,похлупак
463,Geschirr::N,vajilla,съдове
464,Sack::N,saco,чувал
465,Tasse::N,taza,чаша
466,Topf::N,olla,гърне
467,Topf::N,olla,тенджера
468,Topf::N,marmita,гърне
469,Topf::N,marmita,тенджера
470,Kessel::N,caldera,котел
471,Essen::N,comida,ядене
472,Nahrung::N,alimento,храна
473,Speise::N,plato,ястие
474,Fleisch::N,carne,месо
475,Getreide::N,cereales,зърнено храни
476,Brei::N,puré,каша
477,Brei::N,papilla,каша
478,Brot::N,pan,хляб
479,Scheibe::N,lonja,резен
480,Scheibe::N,rebanada,резен
481,Fett::N,grasa,мазнина
482,Butter::N,mantequilla,масло
483,Öl::N,aceite,олио
484,Öl::N,aceite,оливия
485,Salz::N,sal,сол
486,Suppe::N,sopa,супа
487,Honig::N,miel,мед
488,Milch::N,leche,мляко
