,Concept_ID,myv,lt
0,Auge::N,сельме,akis
1,Ohr::N,пиле,ausis
2,Nase::N,судо,nosis
3,Mund::N,курго,burna
4,Zahn::N,пей,dantis
5,Zunge::N,кель,liežuvis
6,Lippe::N,турва,lūpa
7,Wange::N,чамабока,žandas
8,Wange::N,чамабока,skruostas
9,Wange::N,чамаумарь,žandas
10,Wange::N,чамаумарь,skruostas
11,Gesicht::N,чама,veidas
12,Stirn::N,коня,kakta
13,Haar::N,черь,plaukai
14,Schnurrbart::N,ус,ūsai
15,Schnurrbart::N,муюк,ūsai
16,Bart::N,сакал,barzda
17,Kinn::N,уло,smakras
18,Kiefer[Anatomie]::N,пейпакар,žandikaulis
19,Kiefer[Anatomie]::N,пейловажа,žandikaulis
20,Kehle::N,кирьгапарь,gerklė
21,Hals::N,кирьга,kaklas
22,Genick::N,човонь,sprandas
23,Kopf::N,пря,galva
24,Rücken::N,копорь,nugara
25,Bauch::N,пеке,pilvas
26,Nabel::N,почо,bamba
27,Busen::N,поте,krūtinė
28,Brust::N,меште,krūtis
29,Schulter::N,лавтов,petys
30,Arm::N,кедь,ranka
31,Ellenbogen::N,кенерепакарь,alkūnė
32,Hand::N,кедь,ranka
33,Hand::N,кедь,plaštaka
34,Handfläche::N,кедькуншка,delnas
35,Handfläche::N,кедькуншка,plaštaka
36,Handfläche::N,кедьлапушка,delnas
37,Handfläche::N,кедьлапушка,plaštaka
38,Finger::N,сур,pirštas
39,Fingernagel::N,кенже,nagas
40,Nagel[Anatomie]::N,кенже,nagas
41,Zeh::N,пильге сур,pirštas
42,Fuß::N,пильге,pėda
43,Ferse::N,кочкаря,kulnas
44,Knie::N,эле,kelis
45,Knie::N,эзне,kelis
46,Knie::N,кумажа,kelis
47,Oberschenkel::N,качо,kulšis
48,Oberschenkel::N,качо,šlaunis
49,Bein::N,пильге,koja
50,Körper::N,рунго,kūnas
51,Haut::N,киське,oda
52,Blut::N,верь,kraujas
53,Ader::N,сан,kraujagyslė
54,Sehne::N,коське сан,sausgyslė
55,Knochen::N,пакарь,kaulas
56,Gehirn::N,удем,smegenys
57,Herz::N,седей,širdis
58,Magen::N,пеке,skrandis
59,Leber::N,максо,kepenys
60,Atem::N,лексема,kvapas
61,Atem::N,оймень таргсема,kvapas
62,Hunger::N,вачочи,badas
63,Hunger::N,вачочи,alkis
64,Träne::N,селведь,ašara
65,Geschmack::N,тансть,skonis
66,Geruch::N,чине,kvapas
