,Concept_ID,os,fa
0,Auge::N,цӕст,چشم
1,Ohr::N,хъус,گوش
2,Nase::N,фындз,بینی
3,Mund::N,дзых,دهان
4,Zahn::N,дӕндаг,دندان
5,Zunge::N,ӕвзаг,زبان
6,Lippe::N,был,لب
7,Wange::N,рус,لپ
8,Wange::N,уадул,لپ
9,Wange::N,ӕхсӕрфарс,لپ
10,Gesicht::N,цӕсгом,رو
11,Gesicht::N,цӕсгом,چهره
12,Stirn::N,ных,پیشانی
13,Haar::N,хил,مو
14,Schnurrbart::N,рихи,سبیل
15,Bart::N,зачъе,ریش
16,Kinn::N,роцъо,چانه
17,Kiefer[Anatomie]::N,ӕфсӕр,فک
18,Kiefer[Anatomie]::N,ӕфсӕр,آرواره
19,Kehle::N,хъуыр,حلق
20,Hals::N,къубал,گردن
21,Genick::N,къӕбут,پشت گردن
22,Kopf::N,сӕр,سر
23,Kopf::N,сӕр,کله
24,Rücken::N,фӕсонтӕ,پشت
25,Bauch::N,гуыбын,شکم
26,Nabel::N,бикъ,ناف
27,Busen::N,дзидзи,پستان
28,Brust::N,риу,سینه
29,Schulter::N,уӕхск,دوش
30,Schulter::N,уӕхск,شانه
31,Arm::N,цонг,بازو
32,Ellenbogen::N,рæмбын,آرنج
33,Hand::N,къух,دست
34,Handfläche::N,армытъӕпӕн,کف دست
35,Finger::N,ӕнруылдз,انگشت
36,Fingernagel::N,ных,ناخن دست
37,Nagel[Anatomie]::N,ных,ناخن
38,Zeh::N,къух,انگشت پا
39,Fuß::N,фад,پا
40,Ferse::N,зӕвӕт,پاشنه
41,Knie::N,уӕраг,زانو
42,Oberschenkel::N,агъд,ران
43,Bein::N,зӕнг,پا
44,Bein::N,зӕнг,لنگ
45,Körper::N,буар,تن
46,Körper::N,буар,بدن
47,Haut::N,царм,پوست
48,Blut::N,туг,خون
49,Ader::N,дадзин,رگ
50,Ader::N,тугдадзин,رگ
51,Sehne::N,хъиутæ,زردپی
52,Sehne::N,нуар,زردپی
53,Knochen::N,стӕг,استخوان
54,Gehirn::N,магъз,مخ
55,Gehirn::N,магъз,مغز
56,Herz::N,зӕрдӕ,دل
57,Herz::N,зӕрдӕ,قلب
58,Magen::N,ахсӕн,معده
59,Leber::N,игæр,کبد
60,Atem::N,улӕфт,نفس
61,Hunger::N,стонг,گرسنگی
62,Träne::N,цæссыг,اشک
63,Geschmack::N,ад,مزه
64,Geruch::N,смаг,بو
65,Schlaf::N,хуыссӕг,خواب
66,Traum::N,фын,رؤیا
67,Himmel::N,арв,فلک
68,Himmel::N,арв,آسمان
69,Himmel::N,уӕларв,فلک
70,Himmel::N,уӕларв,آسمان
71,Sonne::N,хур,آفتاب
72,Sonne::N,хур,خورشید
73,Mond::N,мӕй,ماه
74,Stern::N,стъалы,ستاره
75,Luft::N,уӕлдӕф,هوا
76,Wind::N,дымгӕ,باد
77,Welle::N,уылӕн,موج
78,Wasser::N,дон,آب
79,Stein::N,дур,سنگ
80,Boden::N,зӕхх,زمین
81,Erde::N,сыджыт,خاک
82,Erde::N,сыджыт,زمین
83,Staub::N,рыг,گرد
84,Staub::N,рыг,غبار
85,Rauch::N,фӕздӕг,دود
86,Funke::N,цӕхӕр,جرقه
87,Feuer::N,зынг,آتش
88,Licht::N,рухс,نور
89,Licht::N,рухс,روشنی
90,Schatten::N,аууон,سایه
91,Wetter::N,боныхъӕд,هوا
92,Nebel::N,мигъ,مه
93,Wolke::N,ӕврагъ,ابر
94,Regen::N,уарын,باران
95,Schnee::N,мит,برف
96,Eis::N,их,یخ
97,Frost::N,ихæн,یخبندان
98,Kälte::N,уазал,سرما
99,Hitze::N,ӕнтӕф,گرما
100,Hitze::N,ӕнтӕф,حرارت
101,Raureif::N,халас,برف ریزه
102,Regenbogen::N,арвырон,رنگین‌کمان
103,Regenbogen::N,арвырдын,رنگین‌کمان
104,Donner::N,æрвнæрын,رعد
105,Strömung::N,цыд,جریان
106,Tropfen::N,æртах,قطره
107,Schaum::N,фынк,کف
108,Schmutz::N,цъыф,گل
109,Schmutz::N,цъыф,کثافت
110,See::N,цад,دریاچه
111,Sumpf::N,цъыфдзаст,مرداب
112,Sumpf::N,цъыфдзаст,باتلاق
113,Moor::N,цъыфдзаст,باتلاق
